"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" 6.13341038020696 1.84065714294141 16.6926974085139 1.18977490326189e-08 2.49852729684997e-06 10.507637923697
"GDI2" -2.44366546483982 2.16737953791039 -8.37919085039746 7.64484998718112e-06 0.000775133738256692 4.11462765165297
"F7" -1.38034096619466 2.63114259233792 -7.80935772711584 1.42185804514363e-05 0.000775133738256692 3.47243722034062
"LUM" 1.5293179800553 3.47323049409322 7.77572809858857 1.47644521572703e-05 0.000775133738256692 3.43336860047436
"TGM3" 2.6438974979822 1.2990670776417 7.18450574438852 2.92194761460187e-05 0.00122721799813279 2.72414754938294
"MDH1B" 4.06989406608918 2.13715887360276 6.13368108297849 0.0001089399126915 0.00246471937998945 1.35203679374359
"THBS4" 1.29175469057703 2.59476000527697 6.12489826735378 0.000110210313130585 0.00246471937998945 1.33993253319853
"CAPN1" -1.34471426836217 1.71150583854924 -6.11548405472094 0.000111589772866106 0.00246471937998945 1.3269460373092
"HSPA1A" -2.06899635654383 2.66329086595133 -6.07736960510474 0.000117367589523307 0.00246471937998945 1.27424113326174
"HSPA1B" -2.06899635654383 2.66329086595133 -6.07736960510474 0.000117367589523307 0.00246471937998945 1.27424113326174
"APOA2" 2.66199422904789 2.83142347922601 5.20901046694716 0.000391334218482495 0.00747092598921126 0.0172130058495314
"SeRPINA3-8" 1.6403969924339 3.94262723422624 5.02198771175076 0.000514329169349201 0.00900076046361102 -0.267695087119148
"FGA" -2.02099922599428 3.90552896286996 -4.78951398513626 0.000727477239915163 0.0117515554140142 -0.628733493708553
"COL1A2" 2.29933096426355 2.43239036993102 4.65016465617215 0.000898857083123557 0.0126225732139132 -0.848730445226384
"LTF" -1.47878587051117 3.61105158529327 -4.64816180844708 0.000901612372422371 0.0126225732139132 -0.851911627812366
"H2A1" 2.07410956448631 1.81484749722115 4.60583487757154 0.000961985671185548 0.0126260619343103 -0.919266483443635
"CFL1" 1.87246391542549 2.28532404078674 4.51186629226088 0.00111187103431983 0.0137348774827744 -1.06964819509021
"IGFBP3" -1.64515108334201 1.80276586125359 -4.45699355276272 0.00121067097365117 0.014124494692597 -1.15799659835949
"CST3" 2.00256043508977 1.73039472256853 4.37127675143147 0.00138402853252725 0.0145603701649193 -1.29677581639777
"F2" -0.917698142989877 6.01393104044267 -4.36562472816855 0.0013963454310408 0.0145603701649193 -1.3059591890699
