"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" 6.31118006696047 1.63432839743559 25.4225913229809 1.07538690002794e-10 4.59190206311929e-08 13.8693136331845
"F7" -2.56958317946349 2.39568587803144 -11.320642295969 3.57469293959764e-07 7.63196942604096e-05 7.18418010916749
"GDI2" -3.63215207689499 1.76965202492705 -8.0000783095297 9.31573541182849e-06 0.00122203854600698 3.98073149569979
"CAPN1" -2.632308936828 1.25172616153746 -7.81950399739054 1.14476678782855e-05 0.00122203854600698 3.77326850913506
"eXT1" -2.36744362349414 0.91355813581641 -6.72208027388117 4.33601335208524e-05 0.0037029554026808 2.42328407283072
"TGM3" 2.60526166468591 1.12881896814017 6.51544512025522 5.66334508945141e-05 0.00403041392199292 2.15100378714521
"LUM" 1.43456624148022 3.55830037316055 6.02915467176333 0.000108531500422647 0.00546533406412041 1.48631191631556
"HSPA1A" -3.29334203655015 2.36590338799201 -5.98575990921308 0.000115194394794107 0.00546533406412041 1.4253374498588
"HSPA1B" -3.29334203655015 2.36590338799201 -5.98575990921308 0.000115194394794107 0.00546533406412041 1.4253374498588
"IGFBP1" -1.30846092922482 0.648812462249081 -5.59206664304957 0.000200138141491848 0.00854589864170192 0.859537598514054
"HSPA1L" -2.20368025736002 1.71309403699572 -5.34546056603521 0.000286024004678554 0.0111029318179766 0.49349319984059
"LTF" -2.46334625909134 3.46662224499435 -5.27184089916629 0.000318730274454185 0.0113414855993281 0.382482141489902
"IGFBP4" -1.54230122651978 0.70727253657282 -5.1701360481398 0.000370624938145118 0.0121736037375358 0.227815287252426
"MTAP" -1.18456271612035 0.617837908972962 -4.96813387986783 0.000502290957398493 0.015199598691194 -0.0838356260899173
"HSPA8" -2.5457718926509 2.71351494027571 -4.9279871976482 0.000533943747934215 0.015199598691194 -0.146473628449301
"MDH1B" 4.11079030848683 2.02281863736917 4.82991202919074 0.000620513238513568 0.0165599470528308 -0.300455761153192
"IGFBP6" 1.62910377201002 1.33893448199256 4.78780875313344 0.000662136451877932 0.0166313097030516 -0.36697511430453
"PeBP1" -1.61993359992036 0.989592584313003 -4.68374272150794 0.000778231307939778 0.0175782830676943 -0.532446362216715
"APOA2" 2.48737663115357 2.92984961441833 4.68050507821212 0.000782171846103492 0.0175782830676943 -0.537618311782258
"FGA" -2.88625699826901 3.77516754425321 -4.64160654146056 0.000831200533476885 0.0177461313897315 -0.599868136554188
"IGFBP3" -2.47547064547073 1.41855360328732 -4.55841498508146 0.000947292980797732 0.0192616239428872 -0.733685903282045
"SeRPINA3-8" 1.61759974447411 4.04312880663964 4.4901975012471 0.00105525095908723 0.0197412131046986 -0.844103004090379
"OLFML3" -1.64820398957622 0.907161839369262 -4.48538376815897 0.00106334403140063 0.0197412131046986 -0.851917546180285
"MYL6" -1.28605406025904 1.28414089301023 -4.44747366317563 0.00112941421731577 0.0200941612830764 -0.913565106101622
"LDHA" -2.56510944253719 1.86723077393249 -4.38588930865651 0.0012461318593851 0.0212839321582975 -1.01410286698977
"APCS" -1.23321266737033 2.1393585301351 -4.34978054898487 0.00132041672478281 0.0216853054416254 -1.07327355354235
"AHCY" -2.61484743001714 2.30692394805216 -4.28826501573036 0.00145790113218381 0.0230564364237958 -1.17444892384272
"CST3" 1.79486871199516 1.57751655785258 4.25005108999309 0.00155082009780893 0.0236500064915862 -1.23753104749824
"FGG" -2.510274516839 3.46014535346016 -4.21031754186037 0.00165405907207989 0.0243545939233832 -1.30330577631516
"ARF2" 2.08784100074814 0.578493630882512 4.14025680644902 0.00185405689284095 0.0263511177157643 -1.41973036823665
"B4GALT1" -1.54274971344591 1.00666728430726 -4.09965594107207 0.00198142127894304 0.0263511177157643 -1.48745345184201
"RAP1A" 3.72630518618264 1.29469653953489 4.09518241595459 0.00199600500530407 0.0263511177157643 -1.49492653464056
"APOD" -1.7797967592914 2.64006340870884 -4.06334655727635 0.00210309167739146 0.0263511177157643 -1.54817169411192
"F5" -1.49490285582661 6.24315152845296 -4.03726753050094 0.00219529065063669 0.0263511177157643 -1.59186976675667
"PPIA" -1.97983107181126 1.69247800455589 -4.03493693032648 0.00220373352496628 0.0263511177157643 -1.59577843667964
"COL1A2" 2.10897676700186 2.5047030394118 4.02441316286512 0.0022422822386609 0.0263511177157643 -1.61343505033885
"NAP1L1" -2.07676535570208 2.10603889824491 -4.01340730718624 0.00228335212056974 0.0263511177157643 -1.63191289199277
"HMGB2" -1.33323170234096 1.8914820562858 -3.95606461295721 0.00251042940606143 0.0276608271554409 -1.72838719006331
"TUBB5" -2.47281774562925 3.04898017321813 -3.95223807875223 0.00252639873316674 0.0276608271554409 -1.73483680851112
"IGFBP5" -1.16342208446925 0.612552751060188 -3.90775802184655 0.00272000501586281 0.0290360535443355 -1.80991317068887
"H2A1" 1.90215271882537 1.75258522708785 3.87794078660192 0.00285840598078393 0.029769252531579 -1.86034684408341
"YWHAB" -1.19830348272048 1.86596588662691 -3.86060519332472 0.00294222836000603 0.0299126549933946 -1.88970686077745
"F2" -0.944289256493732 6.16233936367882 -3.793783049594 0.00329005450625519 0.032671006376069 -2.00313148799522
"MYH10" -2.45769742285411 1.50882721049745 -3.75644848172359 0.0035027715620746 0.0337672475414862 -2.06667120615132
"NOSTRIN" 2.34734536301767 0.643369721449895 3.71637477698848 0.00374706756370667 0.0337672475414862 -2.13499919584309
"TNFAIP8" 2.34734536301767 0.643369721449895 3.71637477698848 0.00374706756370667 0.0337672475414862 -2.13499919584309
"CFL1" 1.64446608610653 2.36364223420273 3.71053594918314 0.00378411218792457 0.0337672475414862 -2.14496529746183
"HNRNPK" -0.93319859687187 0.554996879160843 -3.70869827944957 0.00379584984072913 0.0337672475414862 -2.14810249926976
"ARPC1B" -1.03276691451835 0.579888958572463 -3.64355267068346 0.00423731974952912 0.0369252149601824 -2.25947942219779
"PLG" -3.03041510038716 5.19886416204139 -3.62950529466115 0.00433930189886075 0.0370576382162708 -2.28353553911616
"CFD" -1.64820398957622 1.39338356244753 -3.6038227506548 0.00453237872225001 0.0379475630274657 -2.32755144349721
"TUBB3" -1.92863063211101 2.97026572683777 -3.53148161436326 0.00512547303365307 0.0416829817422713 -2.45175775756123
"F13A1" 1.90183107883263 3.27773283732891 3.52597718783544 0.00517376588370112 0.0416829817422713 -2.46122129170148
"VASP" -2.06443170659752 1.57621041762669 -3.51099879786698 0.00530757139496632 0.0419691293639004 -2.48698152080218
"KRT7" 1.40289071986651 4.15669002752408 3.43900050181262 0.00600238896599054 0.0466003652450539 -2.61096706429227
"BLVRB" -1.09174421125341 3.35531171733281 -3.40883157336527 0.00632078769882107 0.0481960062035106 -2.66299103068735
"GSTA1" 2.33707803412648 0.719135086218648 3.36689335876374 0.00679251515946091 0.0508842802296458 -2.73536996740067
"SePTIN2" -0.954885434850954 0.654348465109691 -3.32816427479671 0.00726027348397318 0.0522254902803407 -2.80226377534093
"CAT" -2.19340932657658 3.86951405485917 -3.31923355580503 0.00737275052198881 0.0522254902803407 -2.81769544386266
"HABP2" -2.07676516977142 1.66677707551178 -3.30815901134132 0.00751471426220424 0.0522254902803407 -2.836834449914
"TPI1" -1.11501677869005 1.0812397470591 -3.30678617873387 0.00753250672180419 0.0522254902803407 -2.83920719494148
"C7" -2.12950033178598 2.51010884622911 -3.29485178179865 0.00768901256375484 0.0522254902803407 -2.85983602355062
"KRT8" -2.32863372893227 2.32328615316849 -3.29361656496914 0.00770540020529617 0.0522254902803407 -2.8619713102924
"SeRPINA3-1" 1.11004621776315 6.17402969191073 3.20137212611285 0.00903601842768905 0.0597403027482102 -3.0215087214809
"THBS4" 1.17256430773389 2.53956007255448 3.19601801708621 0.00912011223218952 0.0597403027482102 -3.03077191948898
"eSD" -1.30162287336937 0.741032824739296 -3.18885528509573 0.0092338641250161 0.0597403027482102 -3.04316452152877
"AKR1A1" -1.12298751826077 0.756980046568206 -3.15040724146354 0.00986967999845328 0.062900796408053 -3.10968840567958
"HMGB1" -1.5249246854879 1.79747581974222 -3.13607603616296 0.0101179431339501 0.0632415045907657 -3.13448460005309
"C4BPA" -2.38113026042592 2.30481814479615 -3.13032482333845 0.0102193532008497 0.0632415045907657 -3.14443527260774
"PGK1" -1.89590400980908 2.57489153092758 -3.11181497738956 0.0105528143166803 0.0643721673317495 -3.1764594003295
"PROS1" -1.01120167358093 6.16477537271403 -3.08340666518751 0.0110862745984377 0.0666737923032805 -3.22560275386834
"SeRPINA3-2" 1.1984963737422 6.29324212475739 3.05562341878387 0.0116345188042319 0.068999160130653 -3.27365378971958
"RAC1" -1.35204713317557 1.40902248895824 -2.99438299329245 0.0129421767150625 0.0757028692785162 -3.37950942792316
"H2AJ" 1.90215271882537 1.5335651176893 2.87980956473772 0.0158017121161303 0.091180149643076 -3.57719120219903
"PGM1" -0.811341022906523 0.524532485669506 -2.85994075758601 0.0163588723177167 0.0931365130622005 -3.61140544191606
"KNG1" -0.694104611119006 5.64121807585725 -2.84244966286572 0.0168656900779753 0.0942136004343561 -3.64150513088723
"ORM1" 0.869119203814229 4.8102881838775 2.83600436158299 0.0170564011043885 0.0942136004343561 -3.65259156609959
"SeRPINF1" 0.844800918235411 4.8400555296092 2.83086643537432 0.0172099785336763 0.0942136004343561 -3.66142720928244
"SeRPINA3-4" 0.748539043564907 5.90792193596409 2.805603222151 0.0179855541692027 0.097213058610754 -3.70484515117197
"KRT80" -1.45805913142394 1.83083533134938 -2.71463283543071 0.0210799230094519 0.109376961927009 -3.86076505349701
"HP20" -1.17552359287087 1.61578220240543 -2.71200412693584 0.0211768414036057 0.109376961927009 -3.86525946979706
"H2AC20" 1.90215271882537 1.6957651497276 2.71156613323659 0.0211930330319775 0.109376961927009 -3.86600826051898
"FGB" -1.54149802377481 4.50853166234196 -2.70974126516484 0.0212606272598168 0.109376961927009 -3.86912783741346
"ACTC1" -2.91668423308674 3.39617056398317 -2.68380854286605 0.022244747515341 0.111518769250505 -3.91342290904206
"RAB11B" -1.06565367208164 1.33183829362584 -2.68016907260818 0.0223864460182583 0.111518769250505 -3.91963380716282
"APOe" -0.591766605186485 4.85994025296833 -2.67827729716746 0.022460454696823 0.111518769250505 -3.92286163713268
"VDAC1" 1.13166119962932 0.394917832836802 2.6572160762954 0.0233010242995611 0.114362498573708 -3.95877082185668
"KRT17" -3.35569649571837 2.67216397339243 -2.63873390410627 0.0240643862482534 0.116766965090957 -3.99024147525985
"CKM" -2.48878075953419 1.94798796451312 -2.62525042815525 0.0246369108333058 0.118201808155299 -4.01317516822082
"HPSe" 1.23446972679265 0.36515081239364 2.60197085037397 0.0256573694868435 0.120392272207496 -4.05271816615237
"RNPC3" 1.23446972679265 0.36515081239364 2.60197085037397 0.0256573694868435 0.120392272207496 -4.05271816615237
"CPB2" -1.32042913374894 3.04629665060279 -2.58510905695341 0.0264225542082165 0.122635115727266 -4.08131649103203
"HSP90AB1" -2.83091920071726 3.3072440104728 -2.56695766608406 0.0272715128728998 0.124507065913014 -4.11205955885727
"ARF3" -1.31111402521944 2.87918901252281 -2.55326302625747 0.0279298203026074 0.124507065913014 -4.13522403832172
"RAC2" -0.917154753098332 0.763257734923616 -2.55233852655137 0.0279748228050743 0.124507065913014 -4.13678687248703
"CDH1" -1.35337343667143 1.22800214430714 -2.55198150578544 0.0279922209078438 0.124507065913014 -4.13739037077828
"RAN" -1.64737561246879 1.04895830466732 -2.52480924065462 0.0293481757622976 0.128858779694375 -4.18326706931474
"CTSL" -1.53323812980084 1.67243024294141 -2.4997661453197 0.0306551038767894 0.128858779694375 -4.22545011648839
"CTSV" -1.53323812980084 1.67243024294141 -2.4997661453197 0.0306551038767894 0.128858779694375 -4.22545011648839
"KNG2" -0.648881435432479 5.28730966303119 -2.49437930053228 0.0309436270661371 0.128858779694375 -4.23451094801902
"SNRPD1" 1.37338250025574 0.399879005759411 2.48839413576512 0.0312673294817655 0.128858779694375 -4.24457270123319
"VIM" 1.38369897245029 0.402458123808049 2.48076434501122 0.0316848103377576 0.128858779694375 -4.25739081014055
"ACAN" 1.38369897245029 0.402458123808049 2.48076434501122 0.0316848103377576 0.128858779694375 -4.25739081014055
"MIA3" 1.38369897245029 0.402458123808049 2.48076434501122 0.0316848103377576 0.128858779694375 -4.25739081014055
"S100A12" -0.729736611488048 0.504131382814887 -2.48073211990613 0.0316865851707479 0.128858779694375 -4.25744492831184
"ACO1" -0.843421834825339 0.53255268864921 -2.46539046455861 0.0325427281815345 0.13109193333505 -4.28318974876668
"TGFBI" 1.7279786650449 2.85148189879729 2.43830969291984 0.0341097032384308 0.136120030680467 -4.32853576426258
"ATP6V1D" -0.618968374257365 0.476439323507216 -2.40239868806922 0.0363020249299446 0.14295259108466 -4.38846495727176
"LYRM7" 1.51237304721776 0.434626642499916 2.39412693972879 0.0368261944246197 0.14295259108466 -4.40223488701937
"CCT6A" 1.51237304721776 0.434626642499916 2.39412693972879 0.0368261944246197 0.14295259108466 -4.40223488701937
"APRT" -0.609212977442596 0.474000474303524 -2.38843637061245 0.037191080220677 0.14306838967774 -4.41170029708223
"ADIPOQ" 1.09547752571185 3.62619020801899 2.35861345905306 0.0391617647519824 0.143371267096263 -4.46120175242979
"KRT27" -1.73722805395233 1.59978620673897 -2.35356157311139 0.0395055141885933 0.143371267096263 -4.46956932545461
"HP" -1.63464350377401 1.8487185539759 -2.3354178376991 0.0407644459948953 0.143371267096263 -4.49957754077231
"RAP1B" 0.841675976059069 3.30247536489936 2.32242160112326 0.0416900810089734 0.143371267096263 -4.52102933215401
"ACTG2" 1.65082639022217 0.469239978251018 2.31637769027739 0.042127466872911 0.143371267096263 -4.53099306361361
"ACTA2" 1.65082639022217 0.469239978251018 2.31637769027739 0.042127466872911 0.143371267096263 -4.53099306361361
"C9" 0.943434505403424 3.33848214867488 2.31466930412966 0.0422519041420471 0.143371267096263 -4.53380798770195
"PLeKHA2" 1.31304798371024 0.384795376623037 2.31110172693417 0.0425129135324654 0.143371267096263 -4.53968424850862
"TUBA3" 1.31304798371024 0.384795376623037 2.31110172693417 0.0425129135324654 0.143371267096263 -4.53968424850862
