"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -5.54556966226944 1.84065714294141 -15.0928293708882 3.15644433451157e-08 6.62853310247429e-06 9.58857293901308
"THBS4" -2.47441948537667 2.59476000527697 -11.7325431285409 3.48777542884752e-07 3.6621642002899e-05 7.25561200843474
"RNASe4" -2.29264329283431 1.79223314365347 -7.26941828272553 2.64266028179888e-05 0.00165572529598818 2.8376207209441
"FGG" 2.77323759047093 3.58496865621262 7.12044770049274 3.15376246854892e-05 0.00165572529598818 2.65384798637741
"LTF" 2.16126269552616 3.61105158529327 6.79334237613021 4.69295532760363e-05 0.0018550907345549 2.24026656785447
"FGA" 2.81230711385863 3.90552896286996 6.66481415681758 5.50582094922606e-05 0.0018550907345549 2.07389304998205
"IGFBP6" -2.80175287683865 1.54222197353315 -6.57242572103494 6.18363578184967e-05 0.0018550907345549 1.95292760152916
"CST3" -2.8199105974574 1.73039472256853 -6.15542453540393 0.00010586213225449 0.00277888097168037 1.39236768130263
"APCS" 1.58594764795858 2.33755003449784 5.90897798984258 0.00014703663843114 0.0034308548967266 1.04963115233664
"TGM3" -2.03282305466407 1.2990670776417 -5.52397697895084 0.00024977930054782 0.00524536531150421 0.496827557038316
"CPN1" -2.49184337208627 3.97045309647127 -5.34764003087825 0.000320604637034831 0.00571261651675027 0.236499965265283
"MDH1B" -3.539962287362 2.13715887360276 -5.33502822527121 0.000326435229528587 0.00571261651675027 0.217709109449405
"NAP1L1" 1.69606392083861 2.39086209650566 5.20053121800188 0.000396170412786779 0.00639967589886335 0.0158917944320702
"CFH" -2.43282172234532 2.85344079396398 -5.00110720441705 0.000530430103936678 0.00795645155905017 -0.288121407172347
"IGFBP2" -2.32816594870033 3.02662991303917 -4.90744013274482 0.000609558026773864 0.00815614878391696 -0.432861012614268
"TAGLN2" -2.52483986596903 2.39451263921162 -4.86089644090095 0.000653469180187687 0.00815614878391696 -0.505241143559786
"H2A1" -2.185862501136 1.81484749722115 -4.85399706827993 0.000660259663459944 0.00815614878391696 -0.515996104726322
"CAPN1" -1.05289760490051 1.71150583854924 -4.7883618591074 0.00072874242133051 0.00850199491552261 -0.618640976763908
"F7" 0.837643827798738 2.63114259233792 4.73901772054519 0.000785184677805481 0.00867835696521847 -0.696200436312982
"HBA" -1.32406815162609 6.20511823843738 -4.50465747182531 0.00112434876655392 0.0118056620488161 -1.06906659706353
