"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"BLVRB" -1.57385783854296 3.35612670303937 -5.24141763839396 0.000348101441558357 0.102689925259715 0.519039455823793
"B4GALT1" -1.26183340506141 1.24308889878845 -4.52356057745452 0.00103460584106623 0.124155891408463 -0.456034494687056
"CAPN1" -1.18865045053781 1.51228701556479 -4.39728209416778 0.0012626022855098 0.124155891408463 -0.63654139004484
"F7" -0.858874734157362 2.54411352435091 -3.99249209935202 0.0024255781526459 0.137483644542014 -1.23190864564143
"VCP" 2.46928211352778 2.05154812599339 3.84564312673972 0.00308979366621405 0.137483644542014 -1.45372228197231
"COLeC11" 1.28744014061866 0.878097155110028 3.84434648515215 0.00309643973005275 0.137483644542014 -1.45569348472184
"HBA" -1.23230570458998 6.35501045088591 -3.7820325412255 0.00343406526471659 0.137483644542014 -1.5506751012829
"LDHA" -1.97605880905307 2.07875724163171 -3.66125583592366 0.00420210132107214 0.137483644542014 -1.73610031354726
"MYL6" 0.955257348200449 1.48582233364358 3.65349047901971 0.00425722125507619 0.137483644542014 -1.74807939170917
"H2A1" -1.70718323910779 1.80050811147294 -3.56227209845641 0.00496380670986084 0.137483644542014 -1.88927864226071
"C7" 1.75455991858933 2.66104238691755 3.52001157890369 0.005331322711956 0.137483644542014 -1.95498187656956
"NAP1L1" 1.40971320970599 2.28559176631142 3.49176539903961 0.0055925550322175 0.137483644542014 -1.99899191367795
"CPB2" 1.31176696338583 3.10802413129862 3.39052210625789 0.00664260972821047 0.150736143832468 -2.15731778485314
"HMGB1" 1.29878170574205 1.98671738771771 3.27335277708126 0.00811513249120759 0.165578015718067 -2.34154013587558
"RAB8A" -1.21797448487943 1.38000849937086 -3.24387028608828 0.00853588374383148 0.165578015718067 -2.38803645718357
"KRT7" -1.2749424271529 4.15157157333388 -3.16384156996168 0.00979423320979977 0.165578015718067 -2.51448396873122
"KRT72" -2.41010771179487 1.45974011251792 -3.16326299639225 0.00980399014840287 0.165578015718067 -2.5153992430173
"CDH5" 1.29834773226534 1.5390920750393 3.14580767863716 0.0101030653658482 0.165578015718067 -2.54301931135274
"ARF1" -1.51758465152971 2.89869732311397 -3.03256635923057 0.012282808659699 0.187277396871474 -2.7224583228345
"CATHL1" 0.719296836615332 1.12063156902237 3.01338936939406 0.0126967726692524 0.187277396871474 -2.75287743846808
"CFAP210" -1.737008200521 1.3109368308122 -2.96176247942708 0.0138829426452509 0.195022289540429 -2.83479353573338
"CDH1" -1.13511369485416 1.43591872050169 -2.81647376761054 0.0178581285104921 0.239461268663417 -3.06529426996225
"CFD" 1.28401918414543 1.58119921366968 2.78417660703038 0.0188873082569469 0.242250258078233 -3.11647968872918
"AFM" 0.893533675260111 5.12355881834063 2.75036167337773 0.0200286665101458 0.246185692520542 -3.17003101848394
"GC" 0.542789315868555 6.49281553533094 2.66555978700197 0.0232036794053876 0.272070876673316 -3.30408766025059
"NAP1L4" 0.670627214091146 1.24565818745757 2.63920248297288 0.0242892360274647 0.272070876673316 -3.34566550764604
"KRT40" -2.31413560801012 1.01789079062104 -2.60909487199823 0.0255911615390157 0.272070876673316 -3.39309740360206
"HPX" 0.579744871608566 5.86609039902919 2.59445648385402 0.0262489625438304 0.272070876673316 -3.41613289402774
"COL1A1" 1.64858716114937 2.56140591566763 2.58363602679246 0.0267459505882243 0.272070876673316 -3.43314870197057
"FGG" 1.23746034037464 3.56420348710343 2.50567005500172 0.0306129283978614 0.277265052303036 -3.5554278364108
"F9" -0.684196692690157 4.81557720003636 -2.49624364258802 0.0311163506356646 0.277265052303036 -3.5701690354978
"LUM" 0.574409437690048 3.55311337599626 2.47355555578373 0.0323616814279489 0.277265052303036 -3.60560717555825
"RAB1B" -1.57482759603495 2.05726537668342 -2.45669662795476 0.0333186737670073 0.277265052303036 -3.63190031707181
"CL43" 0.991528943149749 1.3755767612888 2.44046641145067 0.0342662131477358 0.277265052303036 -3.6571791379628
"CFB" 0.470670025786885 5.17575984876085 2.43976547823002 0.0343077246761255 0.277265052303036 -3.65827008513171
"APOC3" 0.80460908593918 1.13974386430514 2.42584665781912 0.0351423286457412 0.277265052303036 -3.67992013876253
"GPI" 0.764747272961157 0.96200959067858 2.42118272519967 0.0354264145489606 0.277265052303036 -3.68716882665997
"TPI1" 0.833231702340961 1.27946679388455 2.41647419657299 0.035715498262764 0.277265052303036 -3.69448380029568
"AOC3" 1.23958937601735 1.06814424980227 2.38670714264443 0.0375972274980895 0.277535727046528 -3.74065614217529
"CAH2" 0.819558638346042 0.959260349194158 2.38617146416903 0.0376319629893598 0.277535727046528 -3.74148586734666
"ACTN4" 1.12545566575393 1.11834791595904 2.35611285464267 0.0396320904140202 0.285157723710633 -3.78797461185073
"SeRPINC1" 0.489624935424055 5.93004310799188 2.29412350492538 0.0440890622111676 0.304959222004412 -3.88338526694684
"FGB" 1.26715389161319 4.5228412397939 2.28552281621924 0.0447446518516896 0.304959222004412 -3.89657032759842
"CSRP1" -0.736568146567948 0.964335538599025 -2.27164551786058 0.045822404554331 0.304959222004412 -3.91781597992915
"THBS1" 0.619025623840434 3.57337983648066 2.26284054385553 0.0465192033566052 0.304959222004412 -3.9312774203747
"VASP" 1.22728148703911 1.79324105901057 2.19486635350755 0.0522534977106247 0.332084701826805 -4.03468351833166
"GSN" 0.696816959289285 5.17463596655203 2.1875651399723 0.0529084101215588 0.332084701826805 -4.04573340300753
"CTNNB1" -1.47087971823136 1.31725686209541 -2.15182821082849 0.0562291762457074 0.345575145676744 -4.09964840212843
"FABP1" 1.31883703873497 1.08208954090528 2.13543335891465 0.0578185216908568 0.348091099975566 -4.12428484290271
"CTSC" 0.869464833075587 1.02165701214 2.08052582462094 0.0634591868816213 0.374409202601566 -4.20631897354786
"KRT80" -1.09688529997891 1.95337552253847 -2.04986240789259 0.0668328454352303 0.386582145164567 -4.25179557381869
"APOe" -0.417018794405013 4.8631984576915 -2.02403048382706 0.0698059331354726 0.390861665594453 -4.28990909248768
"A2M" 0.519974365356003 6.81672493265751 2.01551492487802 0.070813073014237 0.390861665594453 -4.30243243895422
"KRT74" -1.10891590310592 1.02251601349466 -2.00937637196327 0.0715475591257644 0.390861665594453 -4.31144724102541
"IGF2" -0.656248338685835 1.12024655550427 -1.96945703603595 0.0765015679885165 0.403501703065767 -4.36980211980626
"YWHAe" 0.868835493231434 1.94978720226753 1.96871264648045 0.076596933463332 0.403501703065767 -4.3708857590594
"CPN1" -0.91373295344693 4.04459748475027 -1.84702231298793 0.0937671287786399 0.473253338804179 -4.54563812209006
"HSPA1A" 0.790314007940229 2.57110647693856 1.83711392459015 0.0953115952035721 0.473253338804179 -4.55964475912074
"HSPA1B" 0.790314007940229 2.57110647693856 1.83711392459015 0.0953115952035721 0.473253338804179 -4.55964475912074
"F10" -0.671876667513963 5.1611806557838 -1.82636261591791 0.0970139199137129 0.473253338804179 -4.57480279706642
"BPT2" -0.727152884227793 1.03210113327212 -1.81409461568002 0.0989905043919596 0.473253338804179 -4.59204743253378
"LTF" -0.696406751049552 3.57797574930512 -1.79713447638887 0.101783939692649 0.473253338804179 -4.61579529640779
"PROC" -0.696939369458152 4.75746675749236 -1.78725971486849 0.103443428709351 0.473253338804179 -4.62957196995838
"FN1" 1.41584382916092 2.13624108186912 1.76968953740229 0.106457399456139 0.473253338804179 -4.65399199003185
"PeBP1" -0.457247108603293 1.24116627154522 -1.7693729839744 0.106512427785117 0.473253338804179 -4.6544308518192
"FTL" 0.462210721668449 1.30731771792175 1.76789257569104 0.106770120024252 0.473253338804179 -4.65648273134461
"KRT81" -2.52567363239198 1.0707752967165 -1.75793653107857 0.108517954520835 0.473253338804179 -4.67025960660939
"KRT35" -2.2076365210458 1.07961282265096 -1.74868953479644 0.110164584981004 0.473253338804179 -4.68302006386357
"KRT83" -2.77830304489695 1.13393264984274 -1.74574786588242 0.110693153821994 0.473253338804179 -4.68707226049436
"RAP1B" -0.616171516619788 3.30804854291596 -1.73566203484855 0.112522931450492 0.474203782541358 -4.70093912062139
"SeRPINA6" 0.94548561804382 1.4102426806531 1.70975171819753 0.117349860281578 0.487580405395289 -4.73637168066788
"C3" 0.409288710075548 7.70740898894547 1.67358156707839 0.124400594007004 0.501526106729633 -4.78536189662936
"APOC2" -1.22405145837975 1.50536108894806 -1.66885777332673 0.125348974526534 0.501526106729633 -4.79171830619747
"RAC2" 0.627729077818013 0.986340511399302 1.66500505679483 0.126127264193684 0.501526106729633 -4.79689533656861
"SeRPINF2" 0.517475960452773 5.35831819392891 1.64773829906585 0.129668723364972 0.501526106729633 -4.82001659481075
"LBP" 0.781636339371205 1.21561721980863 1.64770448708932 0.129675744597054 0.501526106729633 -4.82006174073063
"CLU" 0.467395484366046 3.79084776663646 1.64180116489743 0.130906814298921 0.501526106729633 -4.82793600808431
"UBB" 0.859956312129616 0.894150552614127 1.62732152435848 0.133970605857403 0.506683701640179 -4.84718315852867
"S100A9" -0.745227373305338 1.41227031890738 -1.60814417018054 0.138126493565497 0.515788805086349 -4.87252662609057
"TGFBI" 1.08819012043588 2.84364297883443 1.56155203056409 0.148702258017843 0.528048039251011 -4.93337661681167
"MYH10" 0.926645420894267 1.73941337943095 1.55029431895994 0.151362063199829 0.528048039251011 -4.94792167190127
"AOCX" 0.883719910496357 0.976284858992125 1.54301865418852 0.153103148711823 0.528048039251011 -4.95728853555274
"ANXA5" -0.7722514285545 2.45911308020224 -1.53686108699687 0.15459033612975 0.528048039251011 -4.9651953080286
"RNASe4" -0.585198394098337 1.70306998652199 -1.52952786901632 0.156377923202779 0.528048039251011 -4.97458686763901
"ARF3" -0.643674850112236 2.92293264906822 -1.52695373156182 0.157009673170412 0.528048039251011 -4.97787709746871
"CRYZ" -1.46261703424753 0.972972602809832 -1.52159861121029 0.158331070842775 0.528048039251011 -4.98471117667818
"H4" -1.03095546311032 1.41629504327181 -1.51828339223526 0.159153960586142 0.528048039251011 -4.9889346662329
"C4BPA" -1.03843409610503 2.47824943331545 -1.50645016642894 0.162121570779308 0.528048039251011 -5.00396392211391
"MFAP4" 0.502866724377586 1.49856907363757 1.49372529830345 0.165366281029096 0.528048039251011 -5.02004488238557
"KNG1" 0.346918800275776 5.64121807585725 1.49231618853937 0.165729025872973 0.528048039251011 -5.0218204453697
"F5" -0.541763176130241 6.24315152845296 -1.48811307559459 0.166815119337875 0.528048039251011 -5.02711043873495
"RGN" 0.656524763031495 1.81532287427901 1.47942594379644 0.169079407073684 0.528048039251011 -5.03801449513604
"MYH7" -1.38839658458704 1.02182111531282 -1.47615269865049 0.169939429170702 0.528048039251011 -5.04211270383115
"AHCY" 0.698926084180142 2.50915357508349 1.46904916335553 0.171818815136144 0.528048039251011 -5.05098694431832
"H2BC12" -0.645313397620263 1.26098429550885 -1.46897187304487 0.171839361925753 0.528048039251011 -5.0510833526931
"P62808" -0.645313397620263 1.26098429550885 -1.46897187304487 0.171839361925753 0.528048039251011 -5.0510833526931
"JUP" -1.53639863380519 2.44279411280677 -1.46092107395414 0.173991192424237 0.529148471805669 -5.06110799756143
"HBB" -0.416129427889864 6.12256865805915 -1.45036990502383 0.176846349190215 0.531117595911637 -5.07419309388685
"LYSM" -0.658546779612469 1.56989321086644 -1.43504202577508 0.181065571952799 0.531117595911637 -5.09309395011528
"SLC2A1" 0.952739313130214 1.71343258384693 1.43347259128753 0.181502398431582 0.531117595911637 -5.09502193745483
"CKM" 1.361364706114 2.09436362453755 1.43226092328254 0.181840261651103 0.531117595911637 -5.09650949200496
"FGA" 0.731946470834345 3.88432828550186 1.3977344975837 0.19169528495054 0.553954466822766 -5.13855258991572
"MBL" 0.582635109288663 1.17350438883095 1.39172668208891 0.193455561874606 0.553954466822766 -5.1457994849234
"TUBB6" 1.33832514855254 1.35947464401831 1.38147078418452 0.196492068955718 0.553954466822766 -5.15812273540537
"SeRPINA3-7" 0.492748413416646 5.25226519355215 1.37911353551545 0.197195641233949 0.553954466822766 -5.16094657216604
"KRT73" -0.985009665774579 3.07372693801291 -1.37294093543224 0.199048045705807 0.553954466822766 -5.16832568805296
"PROS1" -0.432560302469175 6.16477537271403 -1.35045725942921 0.205919478063254 0.567721925501495 -5.19501553498038
"RPLP0" 0.679989737479076 1.54491768258111 1.32828523790208 0.212888744137233 0.576211300192249 -5.22104149479601
"TUBB4A" -1.32803423645122 1.38941392986648 -1.32823362918342 0.212905192274424 0.576211300192249 -5.22110172940369
"APOH" 0.376656492116093 4.79099369335543 1.31116346888865 0.218403760471728 0.576718304682695 -5.24093619970032
"KNG2" 0.326915140094285 5.28730966303119 1.31091460690994 0.218484784044861 0.576718304682695 -5.2412240462252
"A1BG" 0.326453415485895 5.09463027094381 1.29823797201245 0.22264496268737 0.576718304682695 -5.25583606701023
"CHIA" 0.846442109931167 2.53194710138403 1.29797865868912 0.222730740249002 0.576718304682695 -5.25613393460517
"PDIA4" 0.83694441546301 1.06427355770383 1.29756565554536 0.222867412657041 0.576718304682695 -5.25660825630386
"KLKB1" 0.772437630499987 2.8469065840615 1.28048529753529 0.228580418180206 0.582006472120578 -5.27613148520176
"OGN" 0.701609625534565 0.927783833766107 1.27966796564168 0.228856782257583 0.582006472120578 -5.2770611360403
"GGH" -0.588567976239798 1.35113077047041 -1.27094627628165 0.231822914837525 0.584510768180084 -5.28695515455752
"IGFBP3" -0.585198394098337 1.63593540287619 -1.24037642846746 0.242467869869444 0.596028193471738 -5.32125155398278
"VNN1" 0.429372475737325 3.90245807131805 1.2372232830859 0.243588044974815 0.596028193471738 -5.32475484144658
"RPS27A" 0.647040139100916 1.37387567387354 1.23687116790045 0.243713395524315 0.596028193471738 -5.32514565652358
"H2AJ" -0.809860269485828 1.57617736906745 -1.2347417053515 0.24447258105112 0.596028193471738 -5.32750744300487
"SeRPINA3-8" 0.419236777204921 4.03795786355504 1.21211738757502 0.252656876685511 0.610932611657589 -5.35241676236794
"KRT25" 0.757322738699818 1.86771160522844 1.18887603109161 0.26129172953111 0.617626936544227 -5.37765231768523
"SeRPINA7" 0.431699684367962 4.32534762956744 1.18791992075796 0.261651928419095 0.617626936544227 -5.37868271294449
"GDI1" -0.663782463876244 0.989505186265949 -1.18249075313119 0.263704771816841 0.617626936544227 -5.3845219976574
"RAP1A" -1.07854612338466 1.36097873018299 -1.17684107063425 0.2658545520345 0.617626936544227 -5.39057726523006
"RBP4" 0.67219145028644 3.17213094040432 1.17004192421787 0.268460105718187 0.617626936544227 -5.39783573746827
"TGM3" -0.423026411120112 1.21697549074761 -1.16985126445653 0.268533460022227 0.617626936544227 -5.3980388230264
"APCS" 0.308016485156881 2.27668375580325 1.16583869356143 0.270080931573577 0.617626936544227 -5.40230713668613
"CLeC3B" 0.472093760285756 3.02569859813768 1.12482740570846 0.286302630151429 0.64968673765132 -5.44529409947966
"XPNPeP1" -0.942040913890784 0.801096131408489 -1.09134386766317 0.300100658434479 0.675799192657796 -5.47951263271814
"CATHL4" -0.389074274617861 1.2154817398604 -1.07499479780427 0.307020886405904 0.682007841043672 -5.49592780432555
"KRT75" -0.767004721453526 4.15083135279794 -1.06922557380358 0.309491733719873 0.682007841043672 -5.50167392759078
"LGALS3BP" 0.758035471523462 1.11384513425394 1.06852363017 0.309793392202888 0.682007841043672 -5.50237139959124
"CD9" -0.584361678975608 1.49428184304782 -1.0617628537287 0.312710269852725 0.682783087496154 -5.50907060533289
"SeRPINA5" 0.35153061136241 4.89883954726343 1.05700702668469 0.31477457593043 0.682783087496154 -5.51376298213334
"F13A1" 0.55471703342887 3.24384767405591 1.02996121490765 0.326710192538464 0.690323179581039 -5.54012907110331
"TUBA8" 1.01883214681637 1.35808204354821 1.02936001242209 0.326979311394695 0.690323179581039 -5.54070895875925
"HSPA8" -0.461923331206175 2.81201248770465 -1.02351080058689 0.329606272171974 0.690323179581039 -5.54633660912986
"eeF1A1" -0.443048754868823 2.97553678681301 -1.02048133372451 0.330973020153009 0.690323179581039 -5.54924119029864
"TUBB4B" 1.07877517977887 2.67509760294301 1.01864547846159 0.331803320243833 0.690323179581039 -5.55099799247238
"MDH1B" -0.772330548296446 2.09523810948778 -1.01756842770999 0.332291157628839 0.690323179581039 -5.55202747871632
"USO1" -0.840178561327798 1.87627378149205 -1.01212693716013 0.334763971730319 0.69059700461849 -5.55721523088285
"FeRMT3" 0.677841808656373 2.52396267043321 1.00152587964057 0.339620630559755 0.69316542416804 -5.56725732661584
"PGLYRP1" -0.492533555207516 1.73149257566973 -0.999166826142096 0.340708428828359 0.69316542416804 -5.56948033137458
"AGT" 0.225199552256663 6.11889226085239 0.989480190158188 0.34520202215812 0.697497236552365 -5.57856361311892
"ACTC1" 0.892410273204543 3.56228896540496 0.983170827318232 0.348152225069793 0.698672832623053 -5.58444116045446
"KRT8" 0.56409151924486 2.50224461653863 0.976524488216518 0.351279908992611 0.700186305086623 -5.59059934693573
"YWHAQ" -0.620999547449078 1.85149844596752 -0.941419340792752 0.368139584136647 0.728866961881282 -5.62255431740343
"eeF1A2" -0.83491934355779 1.4675400061289 -0.920839658992686 0.378289256722949 0.743968871555134 -5.64083472148672
"CAP1" 0.698038517628187 1.94823539362229 0.911693856148527 0.382863044573353 0.747977471186353 -5.64885000647247
"eNO1" 0.287603405082868 4.21493837642468 0.89658345781411 0.390504892274829 0.757887784349174 -5.66194482193934
"KRT5" -0.781346956692661 4.9750515731116 -0.889080001518522 0.394339074690634 0.760326974076712 -5.66837857254793
"GSTT1" -0.581593736767819 0.864876618879392 -0.869520608694411 0.404456610386804 0.774502067211541 -5.68493321534168
"UTP15" 0.96307488304054 2.6750110592195 0.864768087196616 0.406941764128098 0.774502067211541 -5.68890815499821
"COL1A2" 0.431585079928076 2.49163112753144 0.849577832616224 0.414955121404819 0.78037506491822 -5.70148767520002
"ANXA2" -0.568824455201341 2.25831039389751 -0.848894231846247 0.41531825488868 0.78037506491822 -5.70204927846831
"TRAP1" -0.352859689128357 0.9445780910529 -0.811509547999338 0.435505699898369 0.807350623523662 -5.73216553914537
"PTGeS3" -0.311486421952063 1.12398756783855 -0.808662941519681 0.437069203243484 0.807350623523662 -5.73441035631277
"CAT" 0.452792322389616 3.92509564827897 0.803764092622033 0.439768606835583 0.807350623523662 -5.73825742114592
"TUBB3" 0.385531657719639 3.06979014321408 0.798679568093665 0.442581952224233 0.807350623523662 -5.74222866135469
"HSPA1L" 0.249188074898932 1.8929692356715 0.796859366474148 0.44359197395038 0.807350623523662 -5.74364495273519
"YWHAB" 0.247387084313024 1.99087116427765 0.792359503573304 0.446095429269007 0.807350623523662 -5.74713410983925
"TUBB5" 0.446151483395679 3.15978881443397 0.778759742808943 0.453717686054823 0.81121965590579 -5.75757359986264
"CSN1S1" -0.417208713430485 1.50433106772898 -0.778732520389636 0.45373302787951 0.81121965590579 -5.75759433673082
"PRDX2" -0.502705763166559 1.31397924720715 -0.773110663304757 0.45690857261747 0.811961063990287 -5.76186311253742
"MAeA" -0.581593736767819 0.777135503515863 -0.767254108548273 0.460231944235181 0.811961063990287 -5.766281018571
"GFAP" -0.650144287709114 2.58492407395942 -0.758248966371394 0.465372317439047 0.811961063990287 -5.77301598936963
"CSN2" 0.421609206429521 1.01358231248571 0.749139161691473 0.470609681178716 0.811961063990287 -5.77975735393982
"HABP2" 0.374631689083596 1.86544166549811 0.747217949208774 0.471718985728765 0.811961063990287 -5.78116981408801
"APOA4" 0.536605980828536 2.66364124325596 0.745254209432222 0.47285455969908 0.811961063990287 -5.78261019987821
"AFP" 0.192849097232311 7.01239407037668 0.744286860231896 0.473414586462133 0.811961063990287 -5.78331849969158
"PLG" 0.537624697052558 5.2510944043989 0.73663825743463 0.477857361387012 0.814843477509645 -5.78888994031086
"ANXA11" -0.249881558983161 1.07538527316866 -0.712457413692784 0.492074766846204 0.833012462522953 -5.80616446876434
"RAC1" -0.241801934004795 1.6047117066381 -0.706614125664574 0.495549293376365 0.833012462522953 -5.81026104715535
"SeRPINA3-2" 0.272282719558585 6.29324212475739 0.704209155472174 0.496983706454372 0.833012462522953 -5.81193827094203
