"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"BLVRB" -1.54031331076636 3.32894323911684 -5.95754658224472 0.000137728568207251 0.0289229993235227 1.32298460291396
"F7" -0.905988456207437 2.63114259233792 -5.12568135296763 0.00044173651393426 0.0463823339630973 0.136007515451769
"CAPN1" -1.0441510042837 1.71150583854924 -4.74858411757258 0.000773889601533655 0.0541722721073558 -0.435960472119803
"HBA" -1.27443485381175 6.20511823843738 -4.33579833449456 0.00146328863641163 0.0732922471245317 -1.08520598651273
"VCP" 2.30860626769052 2.13836727543858 4.22432157305705 0.00174505350296504 0.0732922471245317 -1.26442937551206
"C7" 1.55931893160762 2.75835570545551 3.93901292242875 0.00275940540440165 0.0965791891540579 -1.72994270498468
"NAP1L1" 1.16189065530377 2.39086209650566 3.56263024675641 0.00512864928189333 0.124411918443304 -2.3568194386727
"LDHA" -1.74812177668989 2.21903357119157 -3.52201356566828 0.00548857369469971 0.124411918443304 -2.42516002378261
"CFAP210" -1.59631007771878 1.48543917210232 -3.45570134346556 0.00613345528918356 0.124411918443304 -2.53696245990202
"CDH5" 1.20791800332092 1.62330616968147 3.33328848067769 0.00753768416535105 0.124411918443304 -2.74397729723962
"MYL6" 0.905345385376971 1.60640712905673 3.31360031346677 0.00779275838336837 0.124411918443304 -2.77733492107426
"CPB2" 1.06160349582929 3.1308940527783 3.30419285612098 0.00791775866170965 0.124411918443304 -2.79327907864264
"KRT72" -2.23424732745015 1.66486311146226 -3.29497667208165 0.00804221810140314 0.124411918443304 -2.80890210394229
"KRT7" -1.25910815700032 4.06946235951879 -3.24227239592143 0.00879362868998189 0.124411918443304 -2.89829689557949
"ARF1" -1.41497730957987 2.8894116531532 -3.20247999970867 0.00940844021613486 0.124411918443304 -2.96583978114991
"H2A1" -1.43785367532838 1.81484749722115 -3.19294444231158 0.0095622069874921 0.124411918443304 -2.98203018162401
"CDH1" -1.01000934583003 1.62027951224513 -3.16245046734546 0.0100714410168389 0.124411918443304 -3.03381586832147
"HMGB1" 1.08187137020494 2.09096914264629 3.09848864130097 0.0112316186798001 0.131035551264334 -3.14246903122366
"FGG" 1.14946319624598 3.58496865621262 2.95131315132682 0.0144468767977697 0.159676006712191 -3.39240976057386
"AFM" 0.81053273701425 5.01846987539221 2.91460844234049 0.0153853399620818 0.161546069601859 -3.45467367496348
"COL1A1" 1.4338133296423 2.59070863168508 2.88557017831796 0.0161713372771115 0.161713372771115 -3.50389870539135
"HPX" 0.508420367582312 5.72988093777137 2.79896209719973 0.0187648783164108 0.178977564045184 -3.65047997063918
"GC" 0.452989156692408 6.33749488135356 2.77139343046814 0.0196753718105621 0.178977564045184 -3.69704775683309
"F9" -0.672560157735274 4.71690097133428 -2.74879915840407 0.020454578748021 0.178977564045184 -3.73517394276964
"LUM" 0.519500380944868 3.47323049409322 2.64136939604569 0.0246039498116706 0.206673178418033 -3.91587953333237
"RAB1B" -1.39270481146165 2.1190953438568 -2.53692164380523 0.0294405894430485 0.230327099907739 -4.09042872401239
"CFB" 0.4121145663828 5.05473589975052 2.53351135027637 0.0296134842738522 0.230327099907739 -4.09610523816253
"APOe" -0.439418373286993 4.76444191034778 -2.50875911164897 0.0308988340218687 0.231741255164016 -4.13725851165606
"THBS1" 0.59032208840935 3.51534039804172 2.46961079735999 0.0330450999229215 0.239292102890121 -4.20216820053558
"CFD" 1.13919032283375 1.72282440702689 2.42923253308957 0.0354126102794479 0.247888271956135 -4.26887074375889
"SeRPINC1" 0.427536208126661 5.79168167307252 2.40419983562361 0.0369632351495929 0.250396109077887 -4.31008864016207
"FGB" 1.17598174838651 4.45733019811218 2.26673583817849 0.0467363825799119 0.301191988684006 -4.53434632390201
"GSN" 0.637904849108959 5.05939569202448 2.25931323976995 0.0473301696503437 0.301191988684006 -4.54634471748355
"VASP" 1.21541052116442 1.90427834547892 2.23248737262229 0.0495376520959142 0.305967851180647 -4.58960398885826
"LTF" -0.687811538112181 3.61105158529327 -2.16194878962238 0.0558265950707625 0.334959570424575 -4.70253373310692
"RAP1B" -0.683216370928688 3.2229236989313 -2.03706099812003 0.0688811924718733 0.401806956085928 -4.8992167007985
"KRT80" -1.092967633538 2.06580377796066 -2.00165488273867 0.0730801020177649 0.414778957398125 -4.95413359966725
"ARF3" -0.650595064079006 2.92353999270686 -1.96994923751885 0.0770439216175188 0.425769040517867 -5.00296691312863
"F10" -0.698554636601875 5.05332503436848 -1.95227644518004 0.079340173403341 0.427216318325682 -5.03004048320607
"CPN1" -0.887834384306359 3.97045309647127 -1.90534395038311 0.0857529782785581 0.431944805541291 -5.10140925862485
"A2M" 0.449257560906872 6.65954998363921 1.89668414144871 0.0869878511246356 0.431944805541291 -5.11449147260406
"YWHAe" 0.685155792537515 2.07157282639794 1.88710927705344 0.0883724572203245 0.431944805541291 -5.12892385335046
"PROC" -0.717700052827761 4.66365728954961 -1.8866057109314 0.0884458411346453 0.431944805541291 -5.12968194576137
"RGN" 0.649017536430872 1.84659104055194 1.83783760352186 0.0958265518241937 0.449498554902077 -5.20264305040191
"HSPA1A" 0.615740334070432 2.66329086595133 1.8086458098784 0.100512531460922 0.449498554902077 -5.24587054191864
"HSPA1B" 0.615740334070432 2.66329086595133 1.8086458098784 0.100512531460922 0.449498554902077 -5.24587054191864
"JUP" -1.61469368277515 2.50181661177357 -1.80448085563627 0.101198028764697 0.449498554902077 -5.25200997469876
"ANXA5" -0.778394287761824 2.49945214933383 -1.79166854208776 0.103333765953199 0.449498554902077 -5.27085150620515
"F5" -0.632341924108156 6.11640606054422 -1.76107247387 0.108601977379544 0.449498554902077 -5.31556765306473
"MFAP4" 0.575824991533701 1.58183909018346 1.73587800731663 0.113122850178628 0.449498554902077 -5.35208793000998
"HBB" -0.436704239621924 5.96721099198713 -1.72770498998911 0.114625760419081 0.449498554902077 -5.36387517834683
"H4" -1.04475574416974 1.60112968709193 -1.71811991456961 0.116411396681479 0.449498554902077 -5.37766100545429
"PROS1" -0.528900402501288 6.02882916831202 -1.71433978671883 0.11712251290332 0.449498554902077 -5.38308647258335
"FN1" 1.24077987686778 2.24724570455298 1.69788467574623 0.120264058161958 0.449498554902077 -5.4066283344552
"SeRPINF2" 0.448704884655268 5.23179885810656 1.68719072193181 0.12234629937975 0.449498554902077 -5.42186133047024
"APOC2" -1.05783524198927 1.60215160264266 -1.67860787852631 0.124040925674965 0.449498554902077 -5.43404877036952
"S100A9" -0.641553880365213 1.58047300266955 -1.67541652503111 0.124676406388704 0.449498554902077 -5.43857163400943
"TGFBI" 1.15444361207687 2.78209095025877 1.67214585219328 0.125330718234224 0.449498554902077 -5.44320194453443
"SeRPINA6" 0.7481351367532 1.54892818286882 1.66738982359332 0.126287689234393 0.449498554902077 -5.44992607727255
"KRT73" -1.00561347693538 3.10773789844879 -1.62684944122759 0.134714565508036 0.469911803649453 -5.5068023194376
"CLU" 0.411651066654386 3.72420391435761 1.61856019399662 0.136498190583889 0.469911803649453 -5.51833296412176
"FGA" 0.652835045267627 3.90552896286996 1.54713695041524 0.152755407577268 0.517397348245584 -5.61624059514679
"RNASe4" -0.473721110617938 1.79223314365347 -1.5020552535156 0.163871848397741 0.546239494659138 -5.67665273046373
"C4BPA" -0.939325931539581 2.5604307449876 -1.49100212792566 0.166702605910515 0.546992925643879 -5.69129429980923
