"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"eXT1" -2.74110692800584 0.91355813581641 -7.7830536814017 1.19389995893461e-05 0.00509795282465079 3.77027382952937
"IGFBP1" -1.68212423373652 0.648812462249081 -7.18901925678138 2.41821297676734e-05 0.00516288470539827 3.08662651699062
"GDI2" -2.99847379878398 1.76965202492705 -6.60435595523066 5.04520261355388e-05 0.00546184883414022 2.36658305899084
"MTAP" -1.55822602063205 0.617837908972962 -6.53530233582599 5.518543343273e-05 0.00546184883414022 2.27831244387154
"IGFBP4" -1.91596453103148 0.70727253657282 -6.42273838502719 6.39560753412204e-05 0.00546184883414022 2.13292655980632
"RNASe4" -2.1901884958578 1.5844410704628 -5.8505141501666 0.000138929142011172 0.00988712393979506 1.36462182765415
"CAPN1" -1.91816545178934 1.25172616153746 -5.6980782947147 0.000172111956121985 0.0103284686771487 1.15157497486806
"IGFBP3" -3.04960518696893 1.41855360328732 -5.61564565845129 0.000193507609876322 0.0103284686771487 1.03488178990613
"CTSL" -3.2147415789759 1.67243024294141 -5.24126162067167 0.000333467067337881 0.0133323885373095 0.491767209505242
"CTSV" -3.2147415789759 1.67243024294141 -5.24126162067167 0.000333467067337881 0.0133323885373095 0.491767209505242
"HNRNPK" -1.30686190138357 0.554996879160843 -5.19370314248864 0.000357846849991101 0.0133323885373095 0.421238057361691
"IGFBP5" -1.53708538898095 0.612552751060188 -5.16283629066023 0.000374680708308463 0.0133323885373095 0.375278221263972
"CPB2" -2.53584175307673 3.04629665060279 -4.96461893738076 0.000504980980533855 0.0137636950881407 0.0767020478727432
"ARPC1B" -1.40643021903005 0.579888958572463 -4.96181907905784 0.000507134687310792 0.0137636950881407 0.0724422827783373
"THBS1" -1.43727118009151 3.56414186627016 -4.9498295388616 0.00051646819316511 0.0137636950881407 0.0541878961734197
"CFH" -3.13081532381155 2.73311449355811 -4.9379793617427 0.000525872602843087 0.0137636950881407 0.036124619579982
"CPN1" -2.52345108492556 4.05252449055689 -4.91099909788172 0.000547969125288976 0.0137636950881407 -0.00507951293005515
"IGFBP2" -3.21500651011317 2.93082251674727 -4.85579013377862 0.000596313859967231 0.0141458899003338 -0.0897309135058082
"IGFBP6" -1.59358592260605 1.33893448199256 -4.68342456767482 0.000778617601032624 0.0170223312038886 -0.356891748697716
"THBS4" -1.70495518720118 2.53956007255448 -4.64713744114426 0.000824035453434407 0.0170223312038886 -0.413682332705388
"OLFML3" -1.7039323517749 0.907161839369262 -4.63704162896556 0.000837163829699439 0.0170223312038886 -0.429515970910822
"APCS" 1.19686454880177 2.1393585301351 4.22157367654099 0.00162409954849526 0.0294867808290534 -1.093217080334
"MFAP4" 1.42256345052093 1.33666554632046 4.19571462049091 0.00169379355566656 0.0294867808290534 -1.13527106038402
"PGM1" -1.18500432741822 0.524532485669506 -4.17708716583609 0.00174593793345927 0.0294867808290534 -1.16561532390601
"CST3" -1.75805410712942 1.57751655785258 -4.16287816726528 0.00178684464794506 0.0294867808290534 -1.18879026153193
"GSN" -1.35714688845331 5.17463596655203 -4.15993322056018 0.00179544801301028 0.0294867808290534 -1.19359653612239
"eSD" -1.67528617788107 0.741032824739296 -4.10429571551319 0.00196641344428941 0.0310984644707992 -1.28459383360969
"APRT" -0.982876281954293 0.474000474303524 -3.85339371706534 0.00297784857933662 0.0438973391770305 -1.69927381140345
"ATP6V1D" -0.992631678769062 0.476439323507216 -3.85269610207773 0.00298131811740956 0.0438973391770305 -1.70043598137164
"PeBP1" -1.31766859268822 0.989592584313003 -3.80979855017913 0.00320296532018111 0.0455888730572444 -1.77198999901863
"S100A12" -1.10339991599975 0.504131382814887 -3.75099668788802 0.00353500990966381 0.0486919106911757 -1.87035169284199
"MYL6" -1.06212125001845 1.28414089301023 -3.67306199057041 0.0040310940254197 0.0529403122916777 -2.00118428195772
"HABP2" -2.30032296378503 1.66677707551178 -3.66427280869622 0.00409140586797509 0.0529403122916777 -2.01597054458506
"RAC2" -1.29081805761003 0.763257734923616 -3.59220147753305 0.00462264744852571 0.0568143818503147 -2.13744176021811
"CAPN2" -1.81429178323118 0.857889856697209 -3.5639535416418 0.00484990387029911 0.0568143818503147 -2.18515464996813
"ACO1" -1.21708513933704 0.53255268864921 -3.55763862539662 0.00490226936400938 0.0568143818503147 -2.19582849363279
"KNG2" -0.924828850428503 5.28730966303119 -3.55515478649254 0.00492302606197106 0.0568143818503147 -2.20002755673193
"eHD1" -0.970494123465826 0.54595713616329 -3.4923343112046 0.00547931959183165 0.0605111512958886 -2.30636031994839
"DDBX" -1.65375980371903 2.5284027046102 -3.4872830285449 0.00552677962655657 0.0605111512958886 -2.31492081936974
"MYH10" -2.2472247291268 1.50882721049745 -3.43475313247345 0.00604619715562446 0.0645431546362911 -2.40402864745528
"KNG1" -0.829605060033168 5.64121807585725 -3.39734182056697 0.00644657414608161 0.0671387112287036 -2.46757716924324
"SePTIN2" -0.952829233546342 0.654348465109691 -3.32099757660022 0.0073503929297806 0.0722300227189078 -2.5974487039298
"CFD" -1.51819650277656 1.39338356244753 -3.31955943030905 0.00736861506943152 0.0722300227189078 -2.59989730654499
"AKR1A1" -1.17871588045945 0.756980046568206 -3.30674649988871 0.00753302161724456 0.0722300227189078 -2.62171578696883
"TPI1" -1.11296057738544 1.0812397470591 -3.30068813771356 0.00761206328419403 0.0722300227189078 -2.63203411217506
"HSPA1A" -1.7961632508423 2.36590338799201 -3.26458711484337 0.00810101127072198 0.0735985492042188 -2.69354217168247
"HSPA1B" -1.7961632508423 2.36590338799201 -3.26458711484337 0.00810101127072198 0.0735985492042188 -2.69354217168247
"C1QB" -2.29317442336969 1.52003506182875 -3.20106807226518 0.00904077274645224 0.0804252075569814 -2.80183962865558
"NMe2" 1.10305978152513 0.536652456672674 3.05450431471582 0.011657170057861 0.101583910504217 -3.05187329530728
"LOX" -0.829033385073965 0.435539750083442 -3.02911934410094 0.0121831711523293 0.104044281640892 -3.0951689236803
"VASP" -1.76216669936537 1.57621041762669 -2.99693380185004 0.0128848457551713 0.105960869413518 -3.15004663660522
"KRT40" 2.63399971880389 0.808449136524372 2.98676322905318 0.0131149779967968 0.105960869413518 -3.16738301614134
"APOA2" 1.58640393436565 2.92984961441833 2.98514168618306 0.0131520517070642 0.105960869413518 -3.1701467921376
"SLC2A3" 1.18879843483408 1.0823529794274 2.9714981302393 0.0134682169183299 0.106160552403328 -3.19339816290402
"SeRPINA5" -1.006711994085 4.89883954726343 -2.96278766718118 0.0136740758364943 0.106160552403328 -3.20823970996672
"KRT7" 1.18554911430585 4.15669002752408 2.90621638683966 0.0150906646684701 0.115066318097084 -3.30456585163198
"HSPA1L" -1.19042413647121 1.71309403699572 -2.887608244032 0.0155882774699939 0.116775341748901 -3.33622201542823
"CTSC" -1.17891061588852 0.790974136159921 -2.85691757495849 0.0164453637697218 0.121071902235711 -3.38839596953369
"LTF" 1.32310607761781 3.46662224499435 2.83159734778578 0.0171880464361041 0.124394844546042 -3.43140144484708
"CATHL4" 1.28436035935671 1.03247856969317 2.73919367901918 0.0201955082844581 0.143724700624394 -3.58798395327196
"KRT74" 1.83607477198774 0.805729347189191 2.66607018187424 0.0229439032910856 0.160274531789528 -3.71139637857226
"OMD" 0.770755069833081 0.475287784920511 2.65754090041452 0.023287825709002 0.160274531789528 -3.72575750074887
"C1QA" -1.8095837542322 1.65284025768012 -2.64876453761925 0.0236470620673074 0.160274531789528 -3.74052661917351
"ACTN4" -1.30686190138357 0.901381464650456 -2.5783745658505 0.0267344385646801 0.17829684078332 -3.85866380172592
"NMe1-1" 0.865930180614378 0.555702253436536 2.54544166853208 0.0283128128254519 0.17829684078332 -3.91372415217163
"NMe1-2" 0.865930180614378 0.555702253436536 2.54544166853208 0.0283128128254519 0.17829684078332 -3.91372415217163
"GSTM1" -0.645625281440809 0.389687724175153 -2.54379961341168 0.0283938762839948 0.17829684078332 -3.91646567495707
"PNP" -0.645625281440809 0.389687724175153 -2.54379961341168 0.0283938762839948 0.17829684078332 -3.91646567495707
"YWHAB" 0.783151682952707 1.86596588662691 2.52309994752263 0.0294356062894614 0.182159476602899 -3.95099278333005
"H2A1" 1.21579160560366 1.75258522708785 2.47864843275579 0.0318015541156075 0.193989480105206 -4.02492544396715
"CRYBB1" 1.24781457362516 0.461902850229692 2.43725787262618 0.0341720336469458 0.20431658825664 -4.09348676311097
"FeRMT3" -1.99472951570388 2.41521703554718 -2.43256473084157 0.0344515090268807 0.20431658825664 -4.10124262093762
"TAGLN2" -1.39830806125432 2.39193528895552 -2.40663386943345 0.036036474879298 0.209822109214566 -4.14402633254816
"COL1A2" 1.25846274302032 2.5047030394118 2.40143661477418 0.0363626137748896 0.209822109214566 -4.15258689223494
"CDH1" -1.25919102380109 1.22800214430714 -2.37438693410056 0.0381071138698387 0.215951583806665 -4.1970604788401
"CAPNS1" -1.60974170750454 1.85341022823834 -2.36941769907427 0.038436347469102 0.215951583806665 -4.20521555662969
"eNO1" -0.777846859150161 4.21357154108241 -2.3555078573111 0.0393727353644239 0.218339714293623 -4.22801764897741
"ANG1" -0.59759611475229 0.377680432503023 -2.34095941949673 0.0403758547479895 0.218586852178916 -4.25182554034516
"PSMA1" -1.02947913792594 0.485651188296436 -2.33008205893979 0.0411420376900886 0.218586852178916 -4.2695978419618
"A2M" -0.624851140504182 6.81672493265751 -2.32898739838936 0.0412199212401359 0.218586852178916 -4.27138503783391
"RAN" -1.51736812566913 1.04895830466732 -2.32555650099913 0.0414649532236351 0.218586852178916 -4.27698487631537
"IGF2" -0.967496102986542 0.890394580469718 -2.30468972810672 0.0429859594123086 0.223841520354339 -4.31098983795127
"ITIH4" -1.45774048222323 4.82000702427043 -2.26247342556031 0.0462301097384555 0.237834419979765 -4.37949593393988
"GSTA2" -1.71641263382491 0.934895426186002 -2.25400229281654 0.0469089931505018 0.238452748977023 -4.39319372495392
"C3" -0.574321127209057 7.70740898894547 -2.2471254033619 0.047467174854911 0.238452748977023 -4.4043013067094
"KRT20" 0.897270050776133 0.616444086072879 2.20756468687531 0.0508045908264124 0.246792637315093 -4.46797933142743
"MAML2" 1.13917934633058 0.489061657053337 2.20603122161547 0.0509383960273324 0.246792637315093 -4.47043988712475
"HNRNPA2B1" -0.779627244052107 0.573292617791743 -2.20322974666225 0.0511837178830321 0.246792637315093 -4.47493352904808
"C7" -1.42209565617753 2.51010884622911 -2.200325746235 0.0514392148033801 0.246792637315093 -4.47958953404806
"LYSM" 1.14798034488483 1.46591368537073 2.16246264175494 0.0548843934093717 0.25992502554621 -4.54009676487141
"CORO1A" -1.38915479996871 1.0930879520495 -2.15705761035496 0.0553938579032907 0.25992502554621 -4.54870346581608
"SePTIN8" -0.650579788479685 0.390926350934872 -2.11807640869433 0.0592040992755796 0.274784243376875 -4.61053807732372
"F2" -0.524276174587698 6.16233936367882 -2.10633558602813 0.0603997958345721 0.275667645783478 -4.62907840118914
"DSC1" 0.552931533287671 0.399120394613309 2.10356177950522 0.0606856175729437 0.275667645783478 -4.63345280863387
"COMP" -1.22693867504272 1.00670265617101 -2.05678880735771 0.0657028760391047 0.292287130338507 -4.70687234778241
"CBR1" -0.709503556473795 0.480709494415282 -2.05669550764582 0.0657132658372288 0.292287130338507 -4.70701813805741
"SePTIN7" -1.45130087234804 0.834597337592445 -2.04765968304153 0.0667268802308454 0.293735854212072 -4.7211247289148
"YWHAZ" 0.741125808315489 3.19842278451098 2.03611068361894 0.0680439211600161 0.296477085054356 -4.73911762040239
"APOC4" 0.949671075028526 1.16049840548255 2.00421908599936 0.0718092219587458 0.306971065104801 -4.7885815944448
"MST1" -1.69951911687977 1.90001014243331 -2.00048624977357 0.0722625357632728 0.306971065104801 -4.79434950757857
"HMGB2" 0.671071185845841 1.8914820562858 1.99125250805131 0.0733954496101546 0.306971065104801 -4.80859739016016
"AOC3" -0.9780753921784 0.881833515934563 -1.98624694227892 0.074016542214662 0.306971065104801 -4.81630914172
"RAP1B" 0.71975362353984 3.30247536489936 1.98600341502245 0.0740468845568958 0.306971065104801 -4.81668411272224
"B4GALT1" -0.719282513946003 1.00666728430726 -1.91139937081659 0.0839099404229288 0.331963308943303 -4.93058213899265
"PKP1" 1.00569611056958 0.401373234465796 1.91127622048709 0.0839271887560821 0.331963308943303 -4.93076849934339
"HSPA5" 1.03274483157732 0.40813541471773 1.9072309868793 0.0844955946427668 0.331963308943303 -4.9368869270997
"eeF2" 1.03274483157732 0.40813541471773 1.9072309868793 0.0844955946427668 0.331963308943303 -4.9368869270997
"GRB14" 1.09444706226076 0.42356097238859 1.89778850946029 0.0858363131281653 0.331963308943303 -4.95114497936239
"H3-3A" 1.11518943117809 0.428746564617923 1.8945900448494 0.0862949116925214 0.331963308943303 -4.9559670509851
"P68432" 1.11518943117809 0.428746564617923 1.8945900448494 0.0862949116925214 0.331963308943303 -4.9559670509851
"Q5e9F8" 1.11518943117809 0.428746564617923 1.8945900448494 0.0862949116925214 0.331963308943303 -4.9559670509851
"APOC2" 1.62897782442171 1.38785434990623 1.88544501539686 0.0876186885493414 0.333612090440832 -4.9697329463791
"SeLeNBP1" 1.20492207031874 0.451179724403086 1.88088272014808 0.0882861035592834 0.333612090440832 -4.97658861107695
"SFN" 1.32977770815276 0.482393633861589 1.86272193805575 0.090989694116759 0.340812275332071 -5.00379895082066
"YWHAH" 1.23240249598467 1.00969491056355 1.84907445572557 0.0930714517026525 0.343193568276447 -5.02416223377616
"ANXA5" 1.04814555099109 2.36293676180519 1.84802774398801 0.0932329131617513 0.343193568276447 -5.02572098209047
"PTGR1" -1.21664129764115 1.08470721320811 -1.82316883872736 0.0971440930339392 0.354534425004206 -5.06261131471247
"ATIC" -0.923171655996537 0.592567773217681 -1.81118600638218 0.099082717624259 0.356082332982651 -5.08030388905789
"eIF4A1" 0.850124106683356 0.437532434976122 1.81024737460467 0.0992360600115584 0.356082332982651 -5.08168727115397
"CLU" -0.532267850836955 3.78165880678675 -1.79670158511831 0.101473328353139 0.3592679788587 -5.10161058052419
"KRT80" 0.961595774861931 1.83083533134938 1.79031111193847 0.102544726452183 0.3592679788587 -5.11098303363172
