"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.39270766974746 1.75040977732359 -13.4363133469154 7.69781150055507e-08 2.27085439266374e-05 8.26832156095561
"TGM3" -3.1304168196087 1.21697549074761 -6.12139404178878 0.000101171292871254 0.0105236927611223 1.69587545772991
"GDI2" 2.945324166928 2.01690458088736 6.0796490640517 0.000107020604350396 0.0105236927611223 1.64037459730875
"HSPA1A" 3.45174686145793 2.57110647693856 5.67362137491106 0.000187184721510686 0.0110438985691305 1.08668693208819
"HSPA1B" 3.45174686145793 2.57110647693856 5.67362137491106 0.000187184721510686 0.0110438985691305 1.08668693208819
"H2A1" -3.69917294301733 1.80050811147294 -5.45803842783332 0.000254231629127528 0.0124997217654368 0.782396352804126
"NAP1L1" 2.79489099323401 2.28559176631142 4.89512925876698 0.00058334214194994 0.0213820724275955 -0.045859777927534
"C7" 3.37867763083726 2.66104238691755 4.79300240243135 0.000681510323667716 0.0213820724275955 -0.201277691720665
"KRT7" -2.69777644431134 4.15157157333388 -4.73385678318653 0.000746256404458741 0.0213820724275955 -0.291991991469196
"FGG" 3.30312846081828 3.56420348710343 4.72936747131427 0.000751430202412034 0.0213820724275955 -0.298898413324912
"CPB2" 2.56664280417297 3.10802413129862 4.6909448400293 0.00079729761594424 0.0213820724275955 -0.358128637252558
"MDH1B" -4.91901474085213 2.09523810948778 -4.58272225497331 0.000943159451386656 0.023186003179922 -0.526105770236759
"FGA" 3.18156050410876 3.88432828550186 4.29606211354725 0.00148348187264904 0.0336636271101129 -0.978959019954813
"MYL6" 1.55790610888252 1.48582233364358 4.21321745954473 0.00169447342587705 0.0357049757595521 -1.11187635089189
"AHCY" 2.68140827651535 2.50915357508349 3.98522667957743 0.00245464594581284 0.0466995440171692 -1.4820341311367
"HSPA1L" 1.75398560263217 1.8929692356715 3.96611637450908 0.00253285662466002 0.0466995440171692 -1.51333547504239
"HBA" -1.79373029353154 6.35501045088591 -3.89268218314446 0.002858482509528 0.0475724254021347 -1.63398468350641
"CFAP210" -3.22055033031154 1.3109368308122 -3.88296477747717 0.00290474054776726 0.0475724254021347 -1.64999276473793
"APOA2" -2.84112157339229 2.92054742881332 -3.85070576690385 0.00306398672081545 0.0475724254021347 -1.70320461425891
"HMGB1" 2.12897821081699 1.98671738771771 3.79413578090447 0.00336560707663645 0.0496427043803877 -1.79676901218645
"RAP1A" -4.83498348118504 1.36097873018299 -3.73043168389538 0.00374260185880868 0.0525746451594552 -1.90249823029362
"F7" 1.0857198302182 2.54411352435091 3.56875727201212 0.00490977298528724 0.0658355923027152 -2.17239597246305
"FGB" 2.75141360558025 4.5228412397939 3.50911080723549 0.00543061040266288 0.0696534812515456 -2.27246913703516
"CFD" 2.20984428067996 1.58119921366968 3.38822265163539 0.00666869059390964 0.0819693218834726 -2.47596771523122
"VASP" 2.64577191926655 1.79324105901057 3.34581021524914 0.00716910282086582 0.0845954132862167 -2.54754330571637
"NOSTRIN" -2.65298383670609 0.815478819063251 -3.2547208010104 0.00837849337609732 0.0865423394454471 -2.701508238269
"TNFAIP8" -2.65298383670609 0.815478819063251 -3.2547208010104 0.00837849337609732 0.0865423394454471 -2.701508238269
"PLG" 3.35911882800965 5.2510944043989 3.25450863947825 0.00838154217624903 0.0865423394454471 -2.70186716526049
"IGFBP6" -1.85271231820688 1.44157619810673 -3.24580827450123 0.00850755201328124 0.0865423394454471 -2.71658718846215
"MYH10" 2.7204026462707 1.73941337943095 3.21824247464087 0.00891975702153665 0.0877109440451104 -2.76323815851432
"KNG1" 1.04102341139478 5.64121807585725 3.16649285887962 0.00974964910518597 0.0927789189041891 -2.85085900486978
"CFB" 0.855017357895846 5.17575984876085 3.13394574796823 0.0103116028268847 0.0950600885603437 -2.90598628622134
"THBS4" -1.17430777966317 2.59491138889951 -3.06089715908276 0.011696180146158 0.0992413684926447 -3.0297321589907
"A2M" 1.1155115915324 6.81672493265751 3.05747683011539 0.0117654643180208 0.0992413684926447 -3.03552600705912
"CAT" 2.42387527528696 3.92509564827897 3.04245957983229 0.0120746333277232 0.0992413684926447 -3.06096330915016
"TUBB5" 2.45935839053224 3.15978881443397 3.03548418761272 0.0122210348667892 0.0992413684926447 -3.07277800066708
"H2AJ" -2.80184997339536 1.57617736906745 -3.02061867374435 0.0125390796550162 0.0992413684926447 -3.09795477971199
"GSTA1" -2.66212660950327 0.896096709254095 -3.00944609811676 0.0127836339075271 0.0992413684926447 -3.11687500167505
"RAP1B" -1.49595040386731 3.30804854291596 -2.97965335897583 0.0134596766138458 0.101810374386782 -3.16731662258361
"KRT74" -2.25741201803304 1.02251601349466 -2.89240107533962 0.0156551913916762 0.112703926413471 -3.31490465203138
"GSN" 1.3028153038944 5.17463596655203 2.89207889107611 0.0156639355354315 0.112703926413471 -3.31544913086999
"LUM" -0.917050192909038 3.55311337599626 -2.7924037392225 0.0186196237035116 0.126198396519363 -3.48364978513582
"HABP2" 1.96326265038579 1.86544166549811 2.76889311886936 0.019394870666786 0.126198396519363 -3.52323799204376
"KNG2" 0.975796575526764 5.28730966303119 2.76683754563177 0.0194641710710171 0.126198396519363 -3.5266974351303
"CFL1" -1.64393529705115 2.34431985102747 -2.76628864675862 0.0194827182669343 0.126198396519363 -3.5276211577153
"KRT40" -3.46263172293723 1.01789079062104 -2.76052936911781 0.0196783940335278 0.126198396519363 -3.53731193261799
"TUBB3" 1.82279322361484 3.06979014321408 2.67014555490217 0.0230198048308079 0.143432978033921 -3.6890458805878
"eXT1" 1.63209817468042 1.17526926241388 2.66222659273372 0.023338247273316 0.143432978033921 -3.70230522204646
"KRT8" 2.16067264002206 2.50224461653863 2.64488956320983 0.0240508102713068 0.14479569449052 -3.73131214761021
"ACTC1" 3.36996445939611 3.56228896540496 2.62527465260618 0.0248831196902905 0.146512109689958 -3.76409262514938
"MYH7" -3.47835302170438 1.02182111531282 -2.61502838465898 0.0253292121836877 0.146512109689958 -3.78119966343377
"APOC2" -2.69601982170593 1.50536108894806 -2.59912839203022 0.0260372203167979 0.147711153720296 -3.80772271979498
"TPI1" 1.25635402195396 1.27946679388455 2.57640072815184 0.0270834616261367 0.150747569428497 -3.84558375576507
"F2" 0.86121735032648 6.16233936367882 2.56431744012348 0.0276565496481264 0.151086706411061 -3.86568714748923
"HSPA8" 1.62423772295204 2.81201248770465 2.54482033437745 0.0286066628185564 0.153435736935894 -3.89808601985019
"CST3" -1.64013175448079 1.64526870437168 -2.53043344157354 0.0293283687814599 0.154497656973762 -3.92196101682702
"SeRPINA3-8" -1.22185913068409 4.03795786355504 -2.4979943290016 0.0310222416277132 0.15864308831811 -3.97568858301568
"PPIA" 1.38939681404717 1.89615773953036 2.49486154614648 0.0311908444828827 0.15864308831811 -3.9808692964868
"CLU" 0.995097551682416 3.79084776663646 2.4716484916238 0.0324685653533939 0.162342826766969 -4.01921128849461
"CATHL4" -1.24196773796427 1.2154817398604 -2.42643779926927 0.0351064812449223 0.169834294715555 -4.093645224609
"COL1A2" -1.74306097493988 2.49163112753144 -2.42624320145863 0.035118277890335 0.169834294715555 -4.09396488179159
"CRYZ" -3.28295897169242 0.972972602809832 -2.41501556136699 0.0358055199885511 0.170364974139074 -4.11239712284095
"CKM" 3.20394473632346 2.09436362453755 2.38351382128123 0.0378047590153713 0.177022284278326 -4.16399544612159
"CSRP1" -1.08668314722502 0.964335538599025 -2.3698211042614 0.0387073892685175 0.177465815945228 -4.18636747910551
"LTF" 1.29313184829949 3.57797574930512 2.35963817334897 0.0393922506920216 0.177465815945228 -4.20298226364119
"APOD" 1.17248686466115 2.74479780579411 2.35505676510763 0.039704216448763 0.177465815945228 -4.21045099743667
"MAeA" -2.49961057451654 0.777135503515863 -2.33172246647851 0.0413308487491605 0.17947968452168 -4.24842783852214
"GC" 0.669098755630829 6.49281553533094 2.32344481466371 0.0419233170245796 0.17947968452168 -4.26187382394722
"H2AC20" -2.30119541461585 1.70134100876233 -2.32265892193936 0.0419799940067657 0.17947968452168 -4.26314968540774
"YWHAe" 1.41920873862699 1.94978720226753 2.27392457731678 0.0456436978704901 0.189897920543028 -4.3420154569838
"APCS" 0.84933469345016 2.27668375580325 2.27315144624311 0.0457042452832373 0.189897920543028 -4.34326248563268
"THBS1" 0.871583359869618 3.57337983648066 2.2528862133043 0.0473192943540914 0.193877664367458 -4.37590189750948
