"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.39837533214477 1.63432839743559 -18.2248498642634 3.18135708088563e-09 1.35843947353817e-06 10.3632382896862
"MYL6" 2.56738715758054 1.28414089301023 6.27813321563407 7.74865866336792e-05 0.0165433862462905 1.965672552462
"GDI2" 3.689940749507 1.76965202492705 5.74691281949108 0.000160642027199676 0.0171930811750235 1.25577276759475
"HSPA1A" 4.34794518657315 2.36590338799201 5.58793721952762 0.000201324135538917 0.0171930811750235 1.03478761478924
"HSPA1B" 4.34794518657315 2.36590338799201 5.58793721952762 0.000201324135538917 0.0171930811750235 1.03478761478924
"F7" 1.71633344745024 2.39568587803144 5.34681374026324 0.000285457428775439 0.0180637109393396 0.692045379289629
"H2A1" -3.69162733266032 1.75258522708785 -5.32180118709867 0.000296126408841633 0.0180637109393396 0.655969633378391
"TGM3" -2.92648438359134 1.12881896814017 -5.17516207036689 0.000367859640641059 0.0196345083192165 0.442504090957329
"NAP1L1" 3.69135065201458 2.10603889824491 5.04424428838421 0.000447625658573327 0.0212373506900901 0.249098187911196
"CFD" 3.19220848221164 1.39338356244753 4.93547221133024 0.000527885501302922 0.0225407109056348 0.0863982429131145
"HSPA1L" 2.70455311222605 1.71309403699572 4.63892195403849 0.000834702038395968 0.0280071143195993 -0.366266673480941
"KRT7" -2.66580967546589 4.15669002752408 -4.62085710750841 0.000858673288601268 0.0280071143195993 -0.394262332230057
"TPI1" 2.199535791648 1.0812397470591 4.61254638557786 0.000869944648141847 0.0280071143195993 -0.40715762919545
"eXT1" 2.28024835830985 0.91355813581641 4.57816248700789 0.000918266043265551 0.0280071143195993 -0.460615349570507
"C7" 4.09898123518226 2.51010884622911 4.48455240056411 0.00106474838288756 0.0294601854718384 -0.607010598114899
"FGG" 3.73887178902089 3.46014535346016 4.43424014219721 0.00115348539874843 0.0294601854718384 -0.68620307881435
"HMGB1" 3.04208024321206 1.79747581974222 4.42378342207088 0.0011728879461856 0.0294601854718384 -0.702706279292513
"VASP" 3.57900086206328 1.57621041762669 4.30404660562411 0.00142125216298192 0.0337152596440711 -0.89274168747497
"AHCY" 3.57528409000607 2.30692394805216 4.14601454700596 0.00183670187985006 0.0412774580366304 -1.14644410831151
"FGA" 3.61820346910336 3.77516754425321 4.11444548477045 0.00193399665370673 0.0412908285566387 -1.19750172766958
"MDH1B" -4.78279027839987 2.02281863736917 -3.97356422282586 0.00243873024812385 0.0485603299242378 -1.42679990730704
"APCS" 1.57596889421704 2.1393585301351 3.93062863136375 0.00261859453585641 0.0485603299242378 -1.49713176075935
"RAP1A" -5.03984790054196 1.29469653953489 -3.91649217240941 0.00268080167177156 0.0485603299242378 -1.52033236751258
"CPB2" 2.82129638445792 3.04629665060279 3.90568744555594 0.0027293862252499 0.0485603299242378 -1.53807941654213
"HBA" -1.79373029353154 6.35501045088591 -3.8057074270074 0.00322498141193829 0.055082682515906 -1.70287350665988
"MYH10" 3.49305266055598 1.50882721049745 3.77519299201807 0.00339424108459731 0.0557438824278096 -1.75336771162426
"IGFBP1" 1.22126566404053 0.648812462249081 3.69068286554869 0.00391293978328372 0.0618824180541537 -1.89366303496962
"IGFBP6" -1.71629903719432 1.33893448199256 -3.56669527274685 0.00482734883800099 0.0719933218284657 -2.10058766434132
"APOA2" -2.67493455531731 2.92984961441833 -3.55917493425762 0.00488947618975528 0.0719933218284657 -2.11317632977814
"FGB" 2.808651915388 4.50853166234196 3.49114409159161 0.00549046447509816 0.0781476110288972 -2.22723293896544
"IGFBP4" 1.45510596133549 0.70727253657282 3.44915244396501 0.00589899939682324 0.0795674133986405 -2.29778083137547
"COLeC11" 1.32226029240388 0.674061119339919 3.44285680074146 0.00596289749123301 0.0795674133986405 -2.30836670844795
"PPIA" 2.31060576239977 1.69247800455589 3.32981012161695 0.00723973791054899 0.0936778208425582 -2.49879526654069
"RAC2" 1.67904675473867 0.763257734923616 3.304025928145 0.00756841150989364 0.094367413370213 -2.54230802347261
"TUBB5" 2.91234835221038 3.04898017321813 3.29138974959803 0.00773503388280435 0.094367413370213 -2.56364137839267
"MTAP" 1.09736745093605 0.617837908972962 3.25441031661643 0.00824457301688139 0.0977897966168987 -2.62610269249881
"YWHAB" 1.37964242118208 1.86596588662691 3.14296909612712 0.009997748417263 0.106787566674793 -2.81453166711787
"OLFML3" 1.61879328789521 0.907161839369262 3.11505015228536 0.0104937427722888 0.106787566674793 -2.86176430732626
"ACTN4" 2.23154167364603 0.901381464650456 3.11319493345777 0.0105275762165358 0.106787566674793 -2.86490306340121
"KRT8" 3.1109116897217 2.32328615316849 3.11131898906069 0.0105619005109714 0.106787566674793 -2.86807689478243
"AOC3" 2.15334987878246 0.881833515934563 3.09214970268548 0.010919236260103 0.106787566674793 -2.90050893117424
"NAP1L4" 1.34086730435463 1.05443237814391 3.07565243782421 0.0112365937632841 0.106787566674793 -2.92842002020456
"CTSC" 1.78991235968389 0.790974136159921 3.06714001055387 0.0114039969420202 0.106787566674793 -2.94282148860435
"NMe2" -1.56391835122112 0.536652456672674 -3.06225089830657 0.0115012879672733 0.106787566674793 -2.95109279099364
"CAPN1" 1.45730688209334 1.25172616153746 3.06110598011891 0.0115241928409189 0.106787566674793 -2.9530297184135
"ARF2" -2.17503626593244 0.578493630882512 -3.04987024324606 0.0117514435484326 0.106787566674793 -2.97203736739084
"PLG" 3.56803979743972 5.19886416204139 3.0217602563523 0.0123401135064603 0.106787566674793 -3.0195857416495
"KNG1" 1.04102341139478 5.64121807585725 3.01448655707349 0.012497248746816 0.106787566674793 -3.03188756886378
"H2AJ" -2.81554689506611 1.5335651176893 -3.01415897768854 0.012504373038176 0.106787566674793 -3.03244157610422
"HMGB2" 1.43601165479043 1.8914820562858 3.01301095691561 0.0125293730237613 0.106787566674793 -3.03438311243183
"OMD" -1.23161363952907 0.475287784920511 -3.00277685082499 0.0127544868862165 0.106787566674793 -3.05169006420614
"TUBB3" 2.28742357709816 2.97026572683777 2.96168922011808 0.0137002608913406 0.109488451679534 -3.12115164214399
"GPI" 1.15507520580785 0.743203152158902 2.95653555442947 0.0138237936000887 0.109488451679534 -3.12986133263202
"HSPA8" 2.15471747432095 2.71351494027571 2.94934392970295 0.0139980596020208 0.109488451679534 -3.14201390483706
"A2M" 1.1155115915324 6.81672493265751 2.94001578047861 0.0142274080543057 0.109488451679534 -3.15777450541885
"YWHAe" 2.31295260375365 1.7629349378047 2.92065397671078 0.0147156347035305 0.109488451679534 -3.19047862541861
"CFB" 0.855017357895846 5.17575984876085 2.91478540758166 0.0148669291399974 0.109488451679534 -3.20038864620319
"HABP2" 2.58757909155705 1.66677707551178 2.91459100544175 0.0148719676754402 0.109488451679534 -3.20071690354309
"CKM" 3.85477892909038 1.94798796451312 2.87520341702916 0.0159291529845703 0.11528386990528 -3.2671931576525
"CATHL1" 1.01738173863304 0.896639538273354 2.86095346837928 0.0163300016728031 0.116215178571449 -3.29122641602641
"RAP1B" -1.45147458009466 3.30247536489936 -2.83198251413928 0.0171765002502443 0.118101230527019 -3.34005549775174
"CAT" 2.64620164896619 3.86951405485917 2.83156192860245 0.0171891085931873 0.118101230527019 -3.3407640374311
"GSN" 1.3028153038944 5.17463596655203 2.82375723898778 0.0174247717171012 0.118101230527019 -3.35391037297574
"CFAP210" -2.95114857863235 1.13893653538318 -2.81107793557191 0.0178145580720998 0.118856504637291 -3.3752599211338
"NMe1-1" -1.32678875031037 0.555702253436536 -2.75782722962031 0.0195493455128444 0.125275694775532 -3.46480998663398
"NMe1-2" -1.32678875031037 0.555702253436536 -2.75782722962031 0.0195493455128444 0.125275694775532 -3.46480998663398
"eSD" 1.59014711400139 0.741032824739296 2.75468501449308 0.0196568420373786 0.125275694775532 -3.47008789164401
"DSC1" -1.01379010298366 0.399120394613309 -2.72719983855223 0.0206226687522819 0.126174271634444 -3.51622138480179
"NOSTRIN" -2.43454062820197 0.643369721449895 -2.72548967351461 0.0206843068253186 0.126174271634444 -3.51908986426071
"TNFAIP8" -2.43454062820197 0.643369721449895 -2.72548967351461 0.0206843068253186 0.126174271634444 -3.51908986426071
"APOD" 1.67542134243423 2.64006340870884 2.7047211571479 0.0214476865236518 0.128988199233793 -3.55390534044483
"LTF" 1.76693950804179 3.46662224499435 2.67388987161248 0.0226330352277785 0.134226472809186 -3.60551844598014
"KNG2" 0.975796575526764 5.28730966303119 2.65241476373648 0.0234969858295353 0.137441273276871 -3.64141493213904
"ACTC1" 4.04240880465398 3.39617056398317 2.63019138140202 0.0244255592622878 0.140942078445904 -3.67851229579263
"SAR1A" -0.871487260162151 0.463588387070331 -2.5972320237025 0.0258701714372856 0.147287509382946 -3.73343126480045
"IGFBP5" 1.07622681928496 0.612552751060188 2.55610783967509 0.0277917894121584 0.156145974723574 -3.80177376385795
"PeBP1" 1.23252952880854 0.989592584313003 2.51987009670657 0.0296015148394175 0.164153855018588 -3.86181394474903
"CL43" 1.61457894737269 1.15014708666961 2.51008502394376 0.0301097906291309 0.164831802546653 -3.87799511332558
"LUM" -0.841527194505726 3.55830037316055 -2.50085767136278 0.0305969642789901 0.165378528444668 -3.89324138266801
"CLU" 1.03982413065195 3.78165880678675 2.48193617661272 0.031620336744868 0.166822049115997 -3.92446584518494
"KRT40" -3.09485828849988 0.808449136524372 -2.48148035630774 0.0316454004177886 0.166822049115997 -3.92521737943392
"GSTA1" -2.42427329931078 0.719135086218648 -2.46957788749702 0.0323068203818024 0.16823185735402 -3.94483026676236
"IGFBP3" 1.88460458897508 1.41855360328732 2.45392522674819 0.033197332185745 0.17078627522064 -3.97058889133008
"F2" 0.86121735032648 6.16233936367882 2.44661264517159 0.0336215681333646 0.17090963801127 -3.98260927938486
"VDAC1" -1.4407330737496 0.394917832836802 -2.39209803139473 0.0369558877900378 0.18520288171135 -4.0719356825067
"CST3" -1.42243698277126 1.57751655785258 -2.38165856527502 0.0376302850871104 0.18520288171135 -4.08898166872265
"HNRNPK" 0.846003331687576 0.554996879160843 2.37741227767931 0.0379080192329729 0.18520288171135 -4.09590943628847
"KRT20" -1.35812862047213 0.616444086072879 -2.36274128433987 0.0388830546234026 0.18520288171135 -4.11981896944012
"CRYBB1" -1.70867314332116 0.461902850229692 -2.35990990869186 0.0390740198514105 0.18520288171135 -4.1244285980094
"ARPC1B" 0.945571649334057 0.579888958572463 2.35886007686273 0.0391450586740897 0.18520288171135 -4.12613738830554
"FTL" 1.12635710040223 1.10501307336717 2.34731976761441 0.0399342859749867 0.18520288171135 -4.14490724410491
"SeRPINA3-8" -1.1955505761927 4.04312880663964 -2.34664464822152 0.0399809326598008 0.18520288171135 -4.1460044939672
"CFL1" -1.46757621927747 2.36364223420273 -2.34151740371656 0.0403369273984907 0.18520288171135 -4.15433470619284
"FN1" 2.81297436561791 2.01454844039328 2.29075883288113 0.0440313510352193 0.200014754170624 -4.23651302107187
"THBS1" 0.932773459310914 3.56414186627016 2.27149982837114 0.0455171656639201 0.202944987600493 -4.26755019673369
"PGK1" 1.94584548088544 2.57489153092758 2.25834752463632 0.0465595699430504 0.202944987600493 -4.28869865190048
"RAB11B" 1.2691012028343 1.33183829362584 2.25697819601911 0.0466694130662316 0.202944987600493 -4.29089823613765
"FABP1" 2.04093992692005 0.853731027968962 2.2559108098376 0.046755208703293 0.202944987600493 -4.29261250660509
"HSP90AB1" 3.51265194553343 3.3072440104728 2.25222281718834 0.0470528191392243 0.202944987600493 -4.298533582798
"COL1A2" -1.63898853013047 2.5047030394118 -2.2115241274209 0.0504606621561604 0.215467027406805 -4.36366369699489
"MAML2" -1.60003791602658 0.489061657053337 -2.19096191599442 0.0522714153374739 0.219132614700384 -4.39641679998662
"CHI3L1" -0.966662370943448 0.544002855586355 -2.19013531408164 0.0523454957832298 0.219132614700384 -4.39773126667905
"H2AC20" -2.16674676691291 1.6957651497276 -2.18407716412012 0.0528915099373598 0.219268686827695 -4.40735968430338
"GC" 0.669098755630829 6.49281553533094 2.17733959094793 0.0535051687125221 0.21967987538699 -4.41805693566389
"RAC1" 1.37222092983725 1.40902248895824 2.1489413228639 0.0561673742402216 0.228413988576901 -4.4630150370363
"SLC2A1" 1.97209339155293 1.57845899084011 2.12444479344572 0.0585649942752092 0.235917476938814 -4.50162263809464
"APOC3" 1.06645897851156 0.956938014931504 2.11330603057409 0.0596871777939292 0.236870127921186 -4.519123017868
"BPIFB1" -0.727942848217721 0.460308391560664 -2.11110876819483 0.0599109457037192 0.236870127921186 -4.52257107274897
"CRYZ" -3.02070653706641 0.789911198666005 -2.09211320271592 0.0618789686745267 0.242406602055256 -4.55232245783776
"CAPNS1" 1.99637018713057 1.85341022823834 2.07783716306057 0.0633982569172 0.246100506396767 -4.57461314019986
"MYH7" -3.04489063720652 0.795957223701033 -2.06545278319949 0.0647448027219874 0.248847627805595 -4.59390131884201
"eHD1" 0.809844359697365 0.54595713616329 2.06067482205664 0.065271508932615 0.248847627805595 -4.60133049754092
"HP" 2.00450310678375 1.8487185539759 2.02503846056055 0.0693295823320126 0.256220675809709 -4.65651969297687
"ARPC4" -0.720515196768128 0.539086752863226 -2.02482406239611 0.0693547018428983 0.256220675809709 -4.65685052451908
"AKR1A1" 1.01806611669099 0.756980046568206 2.01954136741991 0.0699763521144815 0.256220675809709 -4.66499747479928
"CDH5" 1.43185908355319 1.37784707351082 2.01689220235106 0.070290068676059 0.256220675809709 -4.66907965004163
"NACA" 1.13825050407067 1.22662392426242 2.00753679549844 0.0714085652536713 0.256220675809709 -4.6834775968895
"AOCX" 1.70155821873457 0.76888560092259 1.99770042272422 0.0726025953868164 0.256220675809709 -4.6985850903772
"APOC2" -2.43226635419005 1.38785434990623 -1.99064965928878 0.0734699915344684 0.256220675809709 -4.7093946677361
"MAeA" -2.31499898622781 0.613484310956354 -1.98158364013661 0.074599598012836 0.256220675809709 -4.72326959088155
"SULT1e1" 1.52750805789544 1.16506820927664 1.98058555797016 0.0747249469115072 0.256220675809709 -4.72479540790796
"COL10A1" -1.11590215939181 3.47619039587805 -1.97911275622848 0.0749102762612658 0.256220675809709 -4.72704634055414
"C3" 0.71395631887238 7.70740898894547 1.97528224711297 0.0753943049507554 0.256220675809709 -4.73289721502276
"PKP1" -1.46655468026557 0.401373234465796 -1.97078817745607 0.0759659153834528 0.256220675809709 -4.73975531107753
"HPSe" -1.32166499197695 0.36515081239364 -1.96982829573955 0.0760885294051627 0.256220675809709 -4.74121923285152
"RNPC3" -1.32166499197695 0.36515081239364 -1.96982829573955 0.0760885294051627 0.256220675809709 -4.74121923285152
"RAN" 1.81450745109077 1.04895830466732 1.96643545808985 0.0765234117101632 0.256220675809709 -4.74639115477368
"SeRPINA3-4" -0.739857852625028 5.90792193596409 -1.96085321014995 0.0772439878439903 0.256220675809709 -4.75489196390777
"SeRPINA3-1" -0.959688309079643 6.17402969191073 -1.95708777587371 0.0777336203093375 0.256220675809709 -4.76062002238575
"HSPA5" -1.49360340127331 0.40813541471773 -1.95043086096294 0.0786063431641027 0.256220675809709 -4.77073465072216
"eeF2" -1.49360340127331 0.40813541471773 -1.95043086096294 0.0786063431641027 0.256220675809709 -4.77073465072216
"KRT25" 1.9423713793672 1.67421891289424 1.91039109927271 0.0840512550241949 0.270803602005996 -4.83124133996672
"GRB14" -1.55530563195675 0.42356097238859 -1.90701364162044 0.0845262353149515 0.270803602005996 -4.83631879928537
"H3-3A" -1.57604800087408 0.428746564617923 -1.89330703526366 0.0864795080342543 0.270803602005996 -4.85688127950037
"P68432" -1.57604800087408 0.428746564617923 -1.89330703526366 0.0864795080342543 0.270803602005996 -4.85688127950037
"Q5e9F8" -1.57604800087408 0.428746564617923 -1.89330703526366 0.0864795080342543 0.270803602005996 -4.85688127950037
"XPNPeP1" -2.42923336804358 0.642042906410297 -1.88433032176013 0.0877813238953192 0.270803602005996 -4.870310103501
"CHIA" 2.20543720979907 2.38861682342321 1.88399478969362 0.0878303331676209 0.270803602005996 -4.87081145953465
"CAH2" 0.876179329166742 0.750400631438789 1.8749270001343 0.0891644384715512 0.270803602005996 -4.88434451941134
"SNRPD1" -1.46057776544003 0.399879005759411 -1.87127384358071 0.0897071865274943 0.270803602005996 -4.88978776665437
"VIM" -1.47089423763458 0.402458123808049 -1.86470588588332 0.09069066765072 0.270803602005996 -4.89956123683947
"ACAN" -1.47089423763458 0.402458123808049 -1.86470588588332 0.09069066765072 0.270803602005996 -4.89956123683947
"MIA3" -1.47089423763458 0.402458123808049 -1.86470588588332 0.09069066765072 0.270803602005996 -4.89956123683947
"ANXA1" 1.40332721113129 1.54924691845549 1.8547216587368 0.0922047719342742 0.273412761221771 -4.91438638023019
"eIF5A" -1.50580342228443 0.543835230609352 -1.83924606131777 0.094597730240466 0.276689399026798 -4.93728839487258
"SeLeNBP1" -1.66578064001473 0.451179724403086 -1.83867753431692 0.0946867190028374 0.276689399026798 -4.93812794542925
"F12" 1.27548590997328 1.00033167960419 1.83506655369177 0.0952537275338158 0.276689399026798 -4.94345732190203
"F5" 0.95313967969637 6.24315152845296 1.82018742402246 0.097623159226326 0.281452438271552 -4.96536203895085
"APOA4" 2.25897128954718 2.5369042028591 1.81395201012225 0.098632102418107 0.281452438271552 -4.97451506161886
"SeRPINF1" -0.764934748606827 4.8400555296092 -1.81248488753315 0.0988708799548777 0.281452438271552 -4.97666636139194
"PGM1" 0.724145757722228 0.524532485669506 1.80494758506255 0.100105960432754 0.283081093409179 -4.98770469509455
"AFM" 0.838851557229594 5.12455516078697 1.79390039138453 0.101941698798746 0.284237044537443 -5.00384085421166
"LYRM7" -1.59956831240205 0.434626642499916 -1.7905070644757 0.102511720980717 0.284237044537443 -5.00878714217927
"CCT6A" -1.59956831240205 0.434626642499916 -1.7905070644757 0.102511720980717 0.284237044537443 -5.00878714217927
"HPX" 0.595429777096559 5.86609039902919 1.78600194383747 0.103273002390011 0.28450046464861 -5.01534658137517
"ORM1" -0.769320234830522 4.8102881838775 -1.77508725585576 0.105138809537592 0.285932900043751 -5.03120281975358
"SFN" -1.79063627784875 0.482393633861589 -1.77362320519526 0.105391404151468 0.285932900043751 -5.03332586264554
"F13A1" -1.35110011551802 3.27773283732891 -1.7712509301652 0.105801869337032 0.285932900043751 -5.0367639941035
"PLeKHA2" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"TUBA3" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"TUBA1C" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"DNAJC12" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"SMC3" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"PSMD2" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"AMDHD1" -1.40024324889454 0.384795376623037 -1.74271734853914 0.110854087130469 0.286876940634608 -5.07792729232727
"RAB1B" -1.87119949417273 1.97598120810845 -1.73556281959771 0.112154730158408 0.288494396250845 -5.08819275045036
"THBS4" -0.896544261496646 2.53956007255448 -1.72794249723276 0.11355522862641 0.288551370943818 -5.09910153471217
"ACTG2" -1.73802165540646 0.469239978251018 -1.72444026965784 0.114204172574954 0.288551370943818 -5.10410640249289
"ACTA2" -1.73802165540646 0.469239978251018 -1.72444026965784 0.114204172574954 0.288551370943818 -5.10410640249289
"CMPK1" -1.75190214084646 0.472710099611018 -1.71848529443111 0.115315293099258 0.289567303199622 -5.11260371559159
"TTR" -0.916446234423497 4.92942843131743 -1.71504019861025 0.115962549993291 0.289567303199622 -5.11751230239497
"TAGLN2" -1.39241938962771 2.39193528895552 -1.69458058935274 0.119874383087114 0.296741996801613 -5.14655167104285
"SeRPINA3-5" 2.84623760243392 4.65151762801419 1.69277276730909 0.120225680202996 0.296741996801613 -5.14910834181783
"ascc3" -1.84077426680708 0.494928131101173 -1.68286034444984 0.122168358142047 0.299803959348587 -5.16309973280351
"SeRPINA3-2" -0.926213654183618 6.29324212475739 -1.66978012232165 0.124774956666901 0.301576026373914 -5.18149193003816
"PABPC1" -0.949479322679087 0.39819421468868 -1.66085447887577 0.126582108663658 0.301576026373914 -5.1939957800594
"CTSL" 1.42831672823105 1.67243024294141 1.64664240647393 0.129507885501658 0.301576026373914 -5.2138264471058
"CTSV" 1.42831672823105 1.67243024294141 1.64664240647393 0.129507885501658 0.301576026373914 -5.2138264471058
"HP20" 1.00877401312083 1.61578220240543 1.64565155420417 0.129714099658484 0.301576026373914 -5.2152053798258
"COL1A1" 1.83472530687665 2.45948134185914 1.64435525817772 0.129984324005253 0.301576026373914 -5.21700866660498
"VCP" 1.82117320271545 1.88433603030458 1.64128002884922 0.130627390068513 0.301576026373914 -5.221283366326
"ADIPOQ" -1.0759014982224 3.62619020801899 -1.63798837305861 0.131318851369753 0.301576026373914 -5.2258537912845
"AFP" 0.623648651599246 7.01239407037668 1.63718601536513 0.131487891645221 0.301576026373914 -5.22696705155128
"eBD" -1.33295363750485 0.367972973775614 -1.6310915455707 0.132778203649405 0.301576026373914 -5.23541272463532
"SLC15A4" -1.33295363750485 0.367972973775614 -1.6310915455707 0.132778203649405 0.301576026373914 -5.23541272463532
"CDC23" -1.33295363750485 0.367972973775614 -1.6310915455707 0.132778203649405 0.301576026373914 -5.23541272463532
"SNX11" -1.33295363750485 0.367972973775614 -1.6310915455707 0.132778203649405 0.301576026373914 -5.23541272463532
"SCARB1" -1.33295363750485 0.367972973775614 -1.6310915455707 0.132778203649405 0.301576026373914 -5.23541272463532
"ITIH3" 2.22969424406847 4.16871435066649 1.61378603633492 0.136503632690171 0.307136666260803 -5.25929437464852
"CHAD" -1.3349018528468 0.932039286335565 -1.61304582915814 0.136665027141809 0.307136666260803 -5.26031253168883
"TUBB4B" 2.62313681004992 2.50340259588837 1.60207773886571 0.139076383735825 0.310919454739253 -5.2753668510819
"GPATCH1" -1.46057776544003 0.399879005759411 -1.58255542944058 0.143461542740986 0.317399371763736 -5.30201102353757
"HeXA" -1.46057776544003 0.399879005759411 -1.58255542944058 0.143461542740986 0.317399371763736 -5.30201102353757
"KRT27" 1.6446405547461 1.59978620673897 1.57552292916245 0.145070800827896 0.319305319347998 -5.31156099838801
"ACO1" 0.756226569641044 0.53255268864921 1.56306776259411 0.147959912659216 0.323994270284539 -5.32841164825833
"KRT74" -1.50988755220832 0.805729347189191 -1.55028241627006 0.150977992653573 0.328916341138142 -5.34562415833613
"S100A12" 0.642541346303753 0.504131382814887 1.54454233016848 0.152350420806723 0.330221470479546 -5.35332363361013
"SPZ1" -1.99905842027372 0.534499169467833 -1.53359230316403 0.154998777283458 0.334265039899174 -5.36796253322461
"HSP90B1" 1.19615411723523 1.21478216703589 1.52354679956127 0.157463584847289 0.337038627020496 -5.38133525598264
"eIF4A1" -1.01077387045182 0.437532434976122 -1.52192973909842 0.157863525536532 0.337038627020496 -5.38348278517337
"ACTN1" 1.1261727104956 0.625039223862849 1.51621632012086 0.159283683977212 0.337588493414488 -5.39105902120743
"UGDH" -1.19527814416235 0.466203911078831 -1.51300789913307 0.160086043453738 0.337588493414488 -5.39530567891528
