"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.39837533214477 1.63432839743559 -18.2248498642634 3.18135708088563e-09 1.35843947353817e-06 10.3632382896862
"MYL6" 2.56738715758054 1.28414089301023 6.27813321563407 7.74865866336792e-05 0.0165433862462905 1.965672552462
"GDI2" 3.689940749507 1.76965202492705 5.74691281949108 0.000160642027199676 0.0171930811750235 1.25577276759475
"HSPA1A" 4.34794518657315 2.36590338799201 5.58793721952762 0.000201324135538917 0.0171930811750235 1.03478761478924
"HSPA1B" 4.34794518657315 2.36590338799201 5.58793721952762 0.000201324135538917 0.0171930811750235 1.03478761478924
"F7" 1.71633344745024 2.39568587803144 5.34681374026324 0.000285457428775439 0.0180637109393396 0.692045379289629
"H2A1" -3.69162733266032 1.75258522708785 -5.32180118709867 0.000296126408841633 0.0180637109393396 0.655969633378391
"TGM3" -2.92648438359134 1.12881896814017 -5.17516207036689 0.000367859640641059 0.0196345083192165 0.442504090957329
"NAP1L1" 3.69135065201458 2.10603889824491 5.04424428838421 0.000447625658573327 0.0212373506900901 0.249098187911196
"CFD" 3.19220848221164 1.39338356244753 4.93547221133024 0.000527885501302922 0.0225407109056348 0.0863982429131145
"HSPA1L" 2.70455311222605 1.71309403699572 4.63892195403849 0.000834702038395968 0.0280071143195993 -0.366266673480941
"KRT7" -2.66580967546589 4.15669002752408 -4.62085710750841 0.000858673288601268 0.0280071143195993 -0.394262332230057
"TPI1" 2.199535791648 1.0812397470591 4.61254638557786 0.000869944648141847 0.0280071143195993 -0.40715762919545
"eXT1" 2.28024835830985 0.91355813581641 4.57816248700789 0.000918266043265551 0.0280071143195993 -0.460615349570507
"C7" 4.09898123518226 2.51010884622911 4.48455240056411 0.00106474838288756 0.0294601854718384 -0.607010598114899
"FGG" 3.73887178902089 3.46014535346016 4.43424014219721 0.00115348539874843 0.0294601854718384 -0.68620307881435
"HMGB1" 3.04208024321206 1.79747581974222 4.42378342207088 0.0011728879461856 0.0294601854718384 -0.702706279292513
"VASP" 3.57900086206328 1.57621041762669 4.30404660562411 0.00142125216298192 0.0337152596440711 -0.89274168747497
"AHCY" 3.57528409000607 2.30692394805216 4.14601454700596 0.00183670187985006 0.0412774580366304 -1.14644410831151
"FGA" 3.61820346910336 3.77516754425321 4.11444548477045 0.00193399665370673 0.0412908285566387 -1.19750172766958
"MDH1B" -4.78279027839987 2.02281863736917 -3.97356422282586 0.00243873024812385 0.0485603299242378 -1.42679990730704
"APCS" 1.57596889421704 2.1393585301351 3.93062863136375 0.00261859453585641 0.0485603299242378 -1.49713176075935
"RAP1A" -5.03984790054196 1.29469653953489 -3.91649217240941 0.00268080167177156 0.0485603299242378 -1.52033236751258
"CPB2" 2.82129638445792 3.04629665060279 3.90568744555594 0.0027293862252499 0.0485603299242378 -1.53807941654213
