"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.39270766974746 1.75040977732359 -13.4363133469154 7.69781150055507e-08 2.27085439266374e-05 8.26832156095561
"TGM3" -3.1304168196087 1.21697549074761 -6.12139404178878 0.000101171292871254 0.0105236927611223 1.69587545772991
"GDI2" 2.945324166928 2.01690458088736 6.0796490640517 0.000107020604350396 0.0105236927611223 1.64037459730875
"HSPA1A" 3.45174686145793 2.57110647693856 5.67362137491106 0.000187184721510686 0.0110438985691305 1.08668693208819
"HSPA1B" 3.45174686145793 2.57110647693856 5.67362137491106 0.000187184721510686 0.0110438985691305 1.08668693208819
"H2A1" -3.69917294301733 1.80050811147294 -5.45803842783332 0.000254231629127528 0.0124997217654368 0.782396352804126
"NAP1L1" 2.79489099323401 2.28559176631142 4.89512925876698 0.00058334214194994 0.0213820724275955 -0.045859777927534
"C7" 3.37867763083726 2.66104238691755 4.79300240243135 0.000681510323667716 0.0213820724275955 -0.201277691720665
"KRT7" -2.69777644431134 4.15157157333388 -4.73385678318653 0.000746256404458741 0.0213820724275955 -0.291991991469196
"FGG" 3.30312846081828 3.56420348710343 4.72936747131427 0.000751430202412034 0.0213820724275955 -0.298898413324912
"CPB2" 2.56664280417297 3.10802413129862 4.6909448400293 0.00079729761594424 0.0213820724275955 -0.358128637252558
"MDH1B" -4.91901474085213 2.09523810948778 -4.58272225497331 0.000943159451386656 0.023186003179922 -0.526105770236759
"FGA" 3.18156050410876 3.88432828550186 4.29606211354725 0.00148348187264904 0.0336636271101129 -0.978959019954813
"MYL6" 1.55790610888252 1.48582233364358 4.21321745954473 0.00169447342587705 0.0357049757595521 -1.11187635089189
"AHCY" 2.68140827651535 2.50915357508349 3.98522667957743 0.00245464594581284 0.0466995440171692 -1.4820341311367
"HSPA1L" 1.75398560263217 1.8929692356715 3.96611637450908 0.00253285662466002 0.0466995440171692 -1.51333547504239
"HBA" -1.79373029353154 6.35501045088591 -3.89268218314446 0.002858482509528 0.0475724254021347 -1.63398468350641
"CFAP210" -3.22055033031154 1.3109368308122 -3.88296477747717 0.00290474054776726 0.0475724254021347 -1.64999276473793
"APOA2" -2.84112157339229 2.92054742881332 -3.85070576690385 0.00306398672081545 0.0475724254021347 -1.70320461425891
"HMGB1" 2.12897821081699 1.98671738771771 3.79413578090447 0.00336560707663645 0.0496427043803877 -1.79676901218645
