"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SeRPINA3-3" -6.1869471358906 1.84065714294141 -11.9065490235386 3.03612986984119e-07 6.37587272666651e-05 7.29460948807133
"GDI2" 2.41670381079057 2.16737953791039 5.85961065715222 0.000157194502686824 0.00885849494103286 1.19491052252252
"HSPA1A" 2.68473669061426 2.66329086595133 5.57625497647623 0.00023215701599831 0.00885849494103286 0.798568667779492
"HSPA1B" 2.68473669061426 2.66329086595133 5.57625497647623 0.00023215701599831 0.00885849494103286 0.798568667779492
"TGM3" -2.89449632143252 1.2990670776417 -5.56173492888971 0.000236913817598015 0.00885849494103286 0.777935110527216
"H2A1" -3.51196323981469 1.81484749722115 -5.51456974206676 0.000253099855458082 0.00885849494103286 0.710693229464778
"MDH1B" -4.80380744485931 2.13715887360276 -5.11927758494246 0.000445886816949331 0.0119671402988236 0.134021292724637
"FGG" 2.77356323266419 3.58496865621262 5.03550806971745 0.000504182101760047 0.0119671402988236 0.00881753113000361
"CFAP210" -3.28199132984417 1.48543917210232 -5.02390453201395 0.000512877441378156 0.0119671402988236 -0.00860734872926283
"KRT7" -2.69184011388164 4.06946235951879 -4.90140652071536 0.000615068754140589 0.0128838797433936 -0.19377071928997
"C7" 2.68757945976074 2.75835570545551 4.80063590885649 0.000715383322624307 0.0128838797433936 -0.347735617873326
"CPB2" 2.17262440470636 3.1308940527783 4.78159406381949 0.000736221699622493 0.0128838797433936 -0.376994286251059
"FGA" 2.67383427126191 3.90552896286996 4.48068884654054 0.00116691282768238 0.0180123244181277 -0.846161903843322
"THBS4" -1.32950504360386 2.59476000527697 -4.45752537122875 0.0012096700458474 0.0180123244181277 -0.882797257190618
"HBA" -1.83647357516456 6.20511823843738 -4.41795328985223 0.00128659460129483 0.0180123244181277 -0.945551190164974
"NAP1L1" 1.93214856360083 2.39086209650566 4.18919918627054 0.00184525330295891 0.0242189496013357 -1.31231077593347
"APOA2" -2.89266483131527 2.83142347922601 -4.00249905598204 0.00248964298614605 0.0307544133582748 -1.6164066005927
"RAP1A" -4.57678283673703 1.43811606815302 -3.70964874333375 0.00401805713566401 0.0468773332494134 -2.10095968768931
