"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P35443" 3.20493330045096 0.314705057137273 9.66094364988318 6.75108714111577e-13 4.25993598604405e-10 18.9736118743633
"SLC2A1" 2.15300422064133 0.273565477653511 9.13443594705273 3.98640901423085e-12 1.25771204398983e-09 17.303015213379
"P16070" 2.3474945300136 0.292146950984891 8.20558483146077 9.80068556450589e-11 2.06141086373441e-08 14.2762183248001
"P07195" 2.66458740820868 0.331726118496806 7.92576290934324 2.60962337102602e-10 4.11668086779355e-08 13.3474726669931
"H2BC12L" -3.44900472142485 0.477914723900764 -7.55058507692713 9.78222460490306e-10 9.49353499754529e-08 12.0925946131418
"H2BC13" -3.44900472142485 0.477914723900764 -7.55058507692713 9.78222460490306e-10 9.49353499754529e-08 12.0925946131418
"P63104" 3.18508141256389 0.884129142970355 7.52969299494038 1.05316553063101e-09 9.49353499754529e-08 12.0224373514839
"PARVB" 2.33537757646927 0.408945657906606 7.37317128335956 1.83219365833792e-09 1.01193199315445e-07 11.4960311581371
"O60814" -3.44900472142485 0.497880389597874 -7.30591457893664 2.32512395263122e-09 1.01193199315445e-07 11.2694425621961
"H2BC14" -3.44900472142485 0.497880389597874 -7.30591457893664 2.32512395263122e-09 1.01193199315445e-07 11.2694425621961
"H2BC9" -3.44900472142485 0.497880389597874 -7.30591457893664 2.32512395263122e-09 1.01193199315445e-07 11.2694425621961
"H2BC5" -3.44900472142485 0.497880389597874 -7.30591457893664 2.32512395263122e-09 1.01193199315445e-07 11.2694425621961
"H2BC15" -3.44900472142485 0.497880389597874 -7.30591457893664 2.32512395263122e-09 1.01193199315445e-07 11.2694425621961
"H2BC4" -3.44900472142485 0.497880389597874 -7.30591457893664 2.32512395263122e-09 1.01193199315445e-07 11.2694425621961
"FLNA" 5.57636835774746 1.75658537855711 7.29632035623497 2.40554356534339e-09 1.01193199315445e-07 11.2371019502466
"MFGe8" 2.51236179581513 0.28800563179801 7.19436802204992 3.45322383967262e-09 1.36186515177089e-07 10.8931871211914
"P46781" -3.29266932922238 0.294764093673969 -6.80649801069924 1.36976780128865e-08 5.08425578007728e-07 9.5816828326714
"P49747" 3.33730702495744 0.476961206766378 6.76087300761242 1.61102627327367e-08 5.54967584894261e-07 9.4272137913675
"O00299" 2.15300422064133 0.309808546473659 6.75058398885104 1.67105928890506e-08 5.54967584894261e-07 9.39237654136474
"P61981" 2.15300422064133 0.3862453650712 6.72159168817263 1.85252917286792e-08 5.8447295403983e-07 9.2942087677247
"P15311" 3.74464198549989 0.776083929513556 6.58827588991163 2.97604214321003e-08 8.94229805888347e-07 8.84278265019056
"P34931" 4.17124108900888 0.704760182144938 6.37168399528276 6.4258175827386e-08 1.84304131577639e-06 8.10970935542968
"TUBB" 5.09473377211068 1.37916446976825 6.29779363963238 8.35345871562959e-08 2.29175323894012e-06 7.8598515092242
"P00742" 2.35735883171561 0.369009306496356 6.28103919099394 8.8652547825151e-08 2.29205845567028e-06 7.80322038888422
"P50395" 2.15300422064133 0.305060164883725 6.27426193758539 9.08105568807561e-08 2.29205845567028e-06 7.78031555003528
"Q08380" 3.69427145063456 0.393787616540834 5.99457706396006 2.44591372447795e-07 5.93604446209841e-06 6.83684112647425
"POTeI" 3.9614690526552 0.510637212644928 5.97250995561858 2.64433475575136e-07 6.17990826251521e-06 6.76258296535167
"MYH14" 2.82572383739009 0.505922711842503 5.92045959152069 3.17808765103435e-07 7.1620475278667e-06 6.58755743654167
"P51884" 3.18508141256389 0.355631198281322 5.88998962049034 3.53893558838823e-07 7.70023571128612e-06 6.48518773475094
"P61204" 2.33537757646927 0.540338427439164 5.84350710385676 4.16935954516251e-07 8.76955290999182e-06 6.32915626260866
"O43505" 1.66815744653042 0.29264576963563 5.75033495384999 5.78844774062797e-07 1.17822920139879e-05 6.01693266026514
"RPL30" -1.92072506357562 0.316838166991133 -5.677371752857 7.48041982336035e-07 1.47504528391887e-05 5.77297790644316
"P68366" 3.03089021388894 1.76508982753113 5.50234529378154 1.38088504141754e-06 2.64041957919535e-05 5.1900294267383
"eDIL3" 3.42079614539986 0.874239341804051 5.42506291499936 1.80821682511523e-06 3.35583769602268e-05 4.93377628938346
"P84077" 2.33537757646927 0.497523308665411 5.3528130332859 2.3250596271958e-06 4.19175035645872e-05 4.69492002746505
"CLeC11A" 1.57509315062964 0.313556625083039 5.2922358385986 2.86913890217623e-06 5.02896290909222e-05 4.49521965840674
"Q06830" 1.89507265893903 0.336582340418348 5.22660603196866 3.60112450562378e-06 6.14137719742867e-05 4.27948285974984
"P26038" 3.8046043893128 1.1333406550057 5.05056916203525 6.6032048940657e-06 0.000109647954951459 3.70430333334735
"TUBA1B" 3.38104100139196 1.66164867095912 4.82209070727752 1.43910225958704e-05 0.000232839365589595 2.96640274059998
