"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P50395" 1.44973372585986 0.305060164883725 5.17430037172856 4.31414952202064e-06 0.00272222834839502 4.1391621193007
"MFGe8" -1.309417834897 0.28800563179801 -4.59234334827353 3.11710657607618e-05 0.00983447124752033 2.30832665722131
"POTeI" 2.3809180901649 0.510637212644928 4.39633419989131 5.96954992397075e-05 0.0108907070721132 1.70859784348965
"S100A9" 2.41725209578432 0.734901277775447 4.33554619907449 7.28773862853068e-05 0.0108907070721132 1.52469782606255
"eHD3" -1.37937778312597 0.929085257842862 -4.28381143231295 8.62972034240349e-05 0.0108907070721132 1.36901911020184
"ANXA5" -2.13438441353514 0.794981727204845 -3.95542087476457 0.000247721400740098 0.0260520339778337 0.400357222663702
"KRT6C" 3.86122279728461 2.16427141361773 3.83495563468631 0.00036156858622468 0.0325928254153962 0.0543150509266876
"eDIL3" -1.92209454997429 0.874239341804051 -3.73334359573197 0.000495441477632032 0.0390779465482265 -0.233293228427892
"AKR1A1" -1.49364576633456 0.457750447432581 -3.68706858590901 0.00057114693093812 0.0400437459357726 -0.362915190263493
"P02788" 1.61531829428508 1.24423163318215 3.57860680707395 0.000794517076308602 0.0501340275150728 -0.663257962098146
"P49747" -1.32953771194103 0.476961206766378 -3.29877660472806 0.00182123636225436 0.104417073234783 -1.41406222828024
"P26038" -2.00155406409996 1.1333406550057 -3.25419649477564 0.00207207132102895 0.104417073234783 -1.53025425037998
"P00338" 1.38857313145723 0.339952528327364 3.23756234952804 0.00217377421470414 0.104417073234783 -1.57335608192222
"P05109" 1.60854684834099 0.687321161041491 3.20874996532465 0.00236118262772383 0.104417073234783 -1.64768451790549
"FTH1" -1.088094550574 0.282484824372127 -3.1912735078273 0.00248218082174603 0.104417073234783 -1.69256403440678
"SeRPINB3" 2.14776955708098 0.783301319974117 3.14918031386116 0.00279804724542053 0.110347988241272 -1.8000155199717
"P37802" 1.01427718164794 0.354293361291635 3.12751333800203 0.00297503095794917 0.110426149086231 -1.854966275764
"DSP" 2.42951203070213 1.36211428931009 2.99475892168198 0.00431072078687929 0.140740582741168 -2.18618795295023
"S100A7" 1.20394697461906 0.524428888572263 2.98242570508274 0.00445986505011448 0.140740582741168 -2.21647181606886
"KRT2" -1.99702269219128 2.86031237617989 -2.98234357094145 0.00446087425487061 0.140740582741168 -2.21667321109664
"O43707" 1.71272140874038 0.363742985490342 2.90924949227935 0.00544856568835235 0.151492333979841 -2.39440103275631
"HBG1" -0.660416993860026 0.477156268145192 -2.90432726095307 0.00552190757771211 0.151492333979841 -2.40626060076898
