"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"eDIL3" -3.09634899188939 0.874239341804051 -6.0141342574308 2.28248594641395e-07 0.00014402486321872 6.88921968814699
"P00558" -2.11972538351463 0.750630568987068 -4.73208056664647 1.95065829201665e-05 0.00536326362851806 2.73133292936426
"P06733" -2.23714720119388 1.00307738353785 -4.64675516230644 2.59841481447373e-05 0.00536326362851806 2.46425325964401
"P68366" -2.05372583797204 1.76508982753113 -4.56631357386926 3.39985016070876e-05 0.00536326362851806 2.21404538051007
"P00738" 3.28359960728602 0.333793307575117 4.48997149494059 4.38175680452814e-05 0.00552977708731451 1.97809167958941
"P68371" -2.64623602862266 1.45345865388749 -4.41654638225773 5.58516523045774e-05 0.00587373210069806 1.75260604204391
"P15311" -1.98498323719068 0.776083929513556 -4.27724323499633 8.81643458093963e-05 0.00727858047421379 1.3289735467309
"ANXA2" -2.09453021240389 1.02910085649948 -4.26323117432774 9.2279942620777e-05 0.00727858047421379 1.28667776632435
"TUBB" -2.78056916421933 1.37916446976825 -4.20965265577365 0.000109811641250394 0.00769901618099984 1.12550479208036
"VTN" 1.32106428008601 1.30500717022259 4.01745839437091 0.000203499696375407 0.0128327700921945 0.554970014404907
"TUBA1A" -3.0510828467982 1.19948842838369 -3.92400557552328 0.000273525834348966 0.0128327700921945 0.282138730404321
"P02649" 1.76733931813137 0.591694934187602 3.9107349650731 0.000285189790170158 0.0128327700921945 0.243652510607652
"P01009" 3.15292903229532 0.384859138319171 3.89330201037551 0.000301243934813921 0.0128327700921945 0.193194196043819
"P02790" 2.82024420133266 0.311598705911339 3.88076444238515 0.000313325512059184 0.0128327700921945 0.156975328301217
"POTeF" 2.89200096602612 0.49537561069465 3.8738739888922 0.000320163071682205 0.0128327700921945 0.137095144931926
"SLC2A1" -0.741013695531658 0.273565477653511 -3.85042543784642 0.000344526659003768 0.0128327700921945 0.0695765292553405
"IGHG3" 3.08472094492093 0.378716402118438 3.84735537332576 0.000347845923751328 0.0128327700921945 0.0607519679530073
"PYGL" -1.37964902741818 0.289094199092255 -3.83098725348337 0.000366069511346279 0.0128327700921945 0.0137646140691041
"IGHG2" 3.10326436016835 0.404079427542237 3.8058338662464 0.000395879317662076 0.0128627365654775 -0.0582405275406996
"P11142" -1.86606209854376 1.29353643577238 -3.79636666893398 0.000407693710474723 0.0128627365654775 -0.0852778616481773
