"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",4.68928219459229,2.61637983050475,17.0724894216697,1.84911187897363e-22,3.59652260460371e-20,39.5615956301228
"P60709",4.68928219459229,2.61637983050475,17.0724894216697,1.84911187897363e-22,3.59652260460371e-20,39.5615956301228
"P13645",5.28799315599593,3.13597377247352,15.3155792605059,1.76715178505721e-20,2.29140681462418e-18,35.4457202078842
"P02768",5.98353327042519,3.38571285078241,14.6955580382103,9.60278339394183e-20,9.33870685060843e-18,33.8982346520752
"KRT1",5.67904983659304,3.40895010581031,13.9274663532037,8.33227663711935e-19,5.93283835505666e-17,31.9090115182425
"KRT9",5.00981431271677,2.91951637462526,13.8947207348818,9.15090748851927e-19,5.93283835505666e-17,31.8223964242541
"TLN1",5.28049540081616,2.87545084798534,12.7257065658138,2.83575224137155e-17,1.57586803127648e-15,28.6311647376516
"P68366",3.50704169655469,1.95366699123422,7.90867659516618,2.36011975467554e-10,1.14760823071098e-08,13.4872657117461
"KRT2",5.1662960337686,3.01917522849957,7.70431552793427,4.89028962038378e-10,2.11369184703255e-08,12.7866762509581
"FLNA",4.25393224530189,1.94622889739667,6.91344242678064,8.34288220127803e-09,3.24538117629715e-07,10.0566046716917
"KRT14",4.23021937876122,2.59721950884683,6.88306192345188,9.30623098251295e-09,3.29102168381594e-07,9.95140656710265
"TUBA1B",3.31821633785467,1.83936878995559,6.12185197403072,1.43311750418629e-07,4.64568924273721e-06,7.3199541335303
"TUBB1",2.20356002035941,1.42581639624191,6.05961673735532,1.79050943722045e-07,5.35775516214426e-06,7.10584540376307
"P19823",2.52195188387285,1.84784059236717,5.84978318510833,3.78590674173097e-07,1.05194123038096e-05,6.38609260428056
"P01024",3.8199324364367,2.31548225916967,5.80536520961509,4.43423319053859e-07,1.14994447407967e-05,6.2342233561474
"P13647",4.0923744790956,2.60010411438863,5.7331783527303,5.7309027908057e-07,1.39332574101464e-05,5.98782699242003
"LYSM",-2.4680194491584,1.09459348779693,-5.58716478402522,9.61362854731089e-07,2.19982441464937e-05,5.49118306889357
