"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",5.06152685205525,2.61637983050475,18.4277379891665,6.85507815798965e-24,1.33331270172899e-21,42.482109848711
"P60709",5.06152685205525,2.61637983050475,18.4277379891665,6.85507815798965e-24,1.33331270172899e-21,42.482109848711
"P13645",5.58025944090373,3.13597377247352,16.1620681495097,1.88232611022105e-21,2.44074952291996e-19,37.4772093924564
"P02768",5.86821532933492,3.38571285078241,14.4123371686089,2.1124583272734e-19,2.05436572327338e-17,33.1741560054798
"KRT1",5.82167049699285,3.40895010581031,14.2772333927868,3.08743706727618e-19,2.40202603834087e-17,32.8248950309202
"KRT9",4.44423648264177,2.91951637462526,12.3260905397896,9.54402817482589e-17,6.18771160001212e-15,27.4954865025208
"TLN1",4.9707837268995,2.87545084798534,11.9793182853389,2.78185578739121e-16,1.54591700185026e-14,26.491317241638
"P68366",3.99920925807142,1.95366699123422,9.01855620637561,4.76929799292436e-12,2.31907114905947e-10,17.2317781369856
"KRT14",5.23024978437876,2.59721950884683,8.51022841078802,2.81107848399686e-11,1.2150105891942e-09,15.5311115353252
"eeF1A1P5",3.26433315569359,1.9684402153512,7.51842035003173,9.5062017284001e-10,3.69791247234764e-08,12.1472265109381
"TUBA1B",3.88904161929619,1.83936878995559,7.17498037803309,3.25828770311096e-09,1.15224901500924e-07,10.9616948360084
"FLNA",4.29632371218933,1.94622889739667,6.9823365578606,6.51192800540824e-09,2.1109499950865e-07,10.2951318283049
"KRT16",4.80716305285202,2.4557089568436,6.95700503648466,7.1330054709907e-09,2.13441471401183e-07,10.2074344512087
"P11142",3.23767817989594,1.4286386572736,6.82621024220952,1.1417960891622e-08,3.17256199060069e-07,9.75453420080493
"PKM",2.82999722222587,1.51734925952507,6.80580588390229,1.22875607543992e-08,3.1865740889742e-07,9.68387381269619
"POTee",3.7912233679458,1.39968024410531,6.75941917956639,1.45189220364121e-08,3.3322351068523e-07,9.52323780018021
"P06733",3.18017809705388,1.16215827316113,6.75858667783085,1.45624670479406e-08,3.3322351068523e-07,9.52035492018714
"P68371",3.91193465860301,1.62509992330438,6.63034497926919,2.30972743839837e-08,4.99157763076091e-07,9.07632734923413
"TUBB1",2.37404794732944,1.42581639624191,6.52844512697916,3.33179784745787e-08,6.82141769821637e-07,8.72367084668784
"LOX",-2.96553738314362,0.816160085207953,-6.49181423859901,3.80064863205708e-08,7.39226158935102e-07,8.59695329161353
"P13647",4.58972507272379,2.60010411438863,6.42993757446625,4.74692603128464e-08,8.79311536271299e-07,8.38298732986354
"HABP2",-3.40704935479354,1.22761421618688,-6.3892740072186,5.49338763763555e-08,9.59993371244758e-07,8.2424417530106
"P63104",2.13911902216168,1.02876247999891,6.38016443823835,5.67605335183276e-08,9.59993371244758e-07,8.21096437041534
"MYH9",3.9830264139564,2.01663136304521,6.31581593131225,7.15091758899179e-08,1.15904455921575e-06,7.9887056336748
"P01024",4.06017888574732,2.31548225916967,6.17048119053083,1.20409517296612e-07,1.87357208913528e-06,7.48742512021679
"COL10A1",-2.88603475813128,0.950811369126076,-6.05250330277989,1.83663276222099e-07,2.74788517116909e-06,7.08138964721735
"Q04695",4.17950428719484,2.13005613425584,6.00325646979138,2.19005079602039e-07,3.15529540611826e-06,6.91218040129951
"TUBB",3.809500628307,1.55550919138058,5.86319047849834,3.6093970169169e-07,5.01448371278812e-06,6.4319698816722
"P19823",2.48822209606406,1.84784059236717,5.77154539364891,5.00077836243263e-07,6.70794063098721e-06,6.11871940671982
"MST1",-3.54840875196685,1.62360500018283,-5.67551585704087,7.0316762375761e-07,9.11774018805701e-06,5.79140381606338
"CHI3L1",-3.18249414670004,0.89653022475856,-5.44566639243906,1.5835230898455e-06,1.98706607080613e-05,5.01242802242828
"APOH",-2.53812493579018,3.65061751575342,-5.37867794497924,2.00380275019421e-06,2.43587271820483e-05,4.78674947229941
"KRT6C",5.35612214790789,2.32059859033938,5.3034670615981,2.60806607429886e-06,3.07435667546138e-05,4.53418357571386
"P07900",3.26647357821428,1.43066996680378,5.23451637344444,3.31851203516557e-06,3.79676818141001e-05,4.3034436838053
"CKM",-3.07625897757016,1.35290143801116,-5.20417349776524,3.6888087742286e-06,4.09984746621407e-05,4.20215857556301
"P01023",4.53127094969963,2.44612252397125,5.14707189541869,4.49959492790033e-06,4.81573128887319e-05,4.01199456126027
"APOD",-2.70670161732731,2.03025949694095,-5.14194180010525,4.58051562180741e-06,4.81573128887319e-05,3.99493891579219
"KRT79",-4.05223746121055,2.46167221409469,-5.12951413500458,4.78254435523881e-06,4.89581514259973e-05,3.95364178282908
"KRT13",2.77668473443358,1.66250528245446,5.06739127080646,5.93183784499556e-06,5.91662800436737e-05,3.74764516628077
"CATHL4",-3.02821071313007,1.03048592688038,-5.04873672369002,6.32730060070432e-06,6.15329983418495e-05,3.68593336515274
"SeRPINA5",-2.46609030745675,4.45273357818194,-5.00695426188515,7.30971789050433e-06,6.93531770586875e-05,3.54796327999666
