"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P06733" -2.11002232494711 1.16215827316113 -4.48426733978339 4.31432734971958e-05 0.0143579218269104 2.00040440070421
"P26038" -2.52238497359261 1.29594388763761 -4.32222038042111 7.38196494956831e-05 0.0143579218269104 1.52108973523067
"FBLN1" 1.67142023269103 1.37059447289955 3.13808378912398 0.00285529175213731 0.251540037191731 -1.70937481846299
"P63267" -2.41945428348158 0.87805768071294 -3.06908507370105 0.00346987635584174 0.251540037191731 -1.87887493953629
"ANXA2" -1.50710688415151 1.17048389688045 -3.04171920755442 0.00374637901742378 0.251540037191731 -1.94541496281687
"ATIC" -1.43324174243595 0.705165706461896 -3.0291850843774 0.00387979491812439 0.251540037191731 -1.9757596330706
"P15311" -1.44759935526675 0.943878802764833 -2.97254379192848 0.00454000408486448 0.25229451271604 -2.11183875614771
"P00558" -1.31796483734401 0.941550110779888 -2.90492981410268 0.00546504696484287 0.254876202048986 -2.27199345420018
"KRT6C" -2.90551204303071 2.32059859033938 -2.8769484697635 0.00589687871064491 0.254876202048986 -2.33752979076494
"P62736" -2.41945428348158 0.819421742950362 -2.81655091213926 0.00693908165833076 0.269930276509067 -2.47747978156552
"TUBB" -1.76595882981462 1.55550919138058 -2.71798170065947 0.00901200123109812 0.318697134445197 -2.70134508105189
"Q32LP2" -1.51957724859135 0.975408792624857 -2.32912246319432 0.0239493387725185 0.776357731875809 -3.52606030368759
"O95678" -1.97101037705697 1.53894183147187 -2.1972544728862 0.0326809545745858 0.869634718883392 -3.78310669211964
"COL6A1" 0.712448678196041 1.0531367631725 2.17384812742171 0.0344955229416628 0.869634718883392 -3.82746795322405
"MYH9" -1.36358537209885 2.01663136304521 -2.16221368420494 0.03543004213643 0.869634718883392 -3.84937429277785
"KLKB1" 1.36785285962721 2.46678569176775 2.1361785638544 0.0376022674911378 0.869634718883392 -3.8980470376261
"KRT17" -2.90174943971465 3.23306572574161 -2.06089073351242 0.0445533965647004 0.869634718883392 -4.03605970698369
"SeRPINA5" 1.00156168430824 4.45273357818194 2.0334914453963 0.0473472143246614 0.869634718883392 -4.08526470123401
"P19823" 0.866694514873709 1.84784059236717 2.01033771982521 0.0498252193928781 0.869634718883392 -4.12641561375683
"HPX" 1.04490032730224 4.50017515274439 2.00830624323935 0.050047889772513 0.869634718883392 -4.13000727183168
"P02771" 0.990072485160716 1.3284525812195 1.9982708108797 0.0511605262335373 0.869634718883392 -4.14770516191911
"Q8N1N4" -1.3690112814503 1.04438723187023 -1.96441026441993 0.0550734759147652 0.869634718883392 -4.20686768962091
"eDIL3" -0.995682764577952 1.05310899536172 -1.95881642045814 0.055744052816165 0.869634718883392 -4.21655918825275
"ACTG2" -2.41945428348158 1.27257902236426 -1.9512015355664 0.0566681612621744 0.869634718883392 -4.22971454716666
"ACTA2" -2.41945428348158 1.27257902236426 -1.9512015355664 0.0566681612621744 0.869634718883392 -4.22971454716666
"HABP2" 1.03418246514283 1.22761421618688 1.93941280420892 0.0581246855808951 0.869634718883392 -4.24999477343001
"TUBA1A" -1.41819363385436 1.4003424540644 -1.87944243680703 0.0660396935667262 0.951460770276166 -4.35153731328258
"CFD" 1.00341985533824 1.78210932271283 1.8318277030846 0.0729591461289404 0.981629436680124 -4.4302062565069
"AMY2B" 0.850479505380795 0.923538375654455 1.81916743414167 0.0748986665085154 0.981629436680124 -4.45082982347122
"HSP90AB1" -1.43927306931046 1.71077618304505 -1.81399110902061 0.0757040696668476 0.981629436680124 -4.45922633618045
