"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"UBB" -3.13868010150225 0.754972106198902 -7.33456832152861 1.83726329314299e-09 3.57347710516312e-07 11.3890434242612
"P0CG48" -3.13868010150225 0.754972106198902 -7.33456832152861 1.83726329314299e-09 3.57347710516312e-07 11.3890434242612
"P63104" 2.87707533789187 1.02876247999891 7.00652259928133 5.96951480352011e-09 6.41217051114481e-07 10.29010390289
"P62979" -3.13868010150225 0.826696115854738 -6.97887514195324 6.59349152816947e-09 6.41217051114481e-07 10.1973103235116
"FLNA" 5.05643943304441 1.94622889739667 6.70969782874438 1.73624070496955e-08 1.35079526846631e-06 9.29304526910871
"POTee" 3.97722142379349 1.39968024410531 5.78980780945526 4.68646345944484e-07 3.03839047620674e-05 6.21058632616889
"P34931" 3.28777519204411 0.857992294258848 5.50949631873355 1.26468636446051e-06 7.02804279678769e-05 5.28187516800442
"TUBB" 4.27363803837203 1.55550919138058 5.37054129837143 2.06183823830112e-06 0.000100256884337392 4.82482561772742
"Q9BUF5" 3.24015868667202 0.772245621082417 4.93215727215103 9.45720072292981e-06 0.000395892282177444 3.40217493806006
"MYH11" 2.56700472799591 0.813994716585664 4.91079394974624 1.01771794904227e-05 0.000395892282177444 3.33373418981236
"P26038" 3.46392188499704 1.29594388763761 4.84638594400914 1.2689928723933e-05 0.000448762024873629 3.12796465477819
"Q13509" 3.81015204754463 1.07733684802175 4.75780635071997 1.71652475282132e-05 0.000556440107372911 2.84643581849338
"TUBA1B" 3.05849173400671 1.83936878995559 4.60722909806287 2.85720622825369e-05 0.000806041893857883 2.37204260466216
"KRT31" -4.07151125653557 0.79207591293003 -4.60271794909388 2.90092198303608e-05 0.000806041893857883 2.35791608011655
"AZGP1" -3.09142388585513 0.821127098909867 -4.45235253291389 4.79837236762521e-05 0.00110911444328743 1.89010644460213
"eDIL3" 2.75932068711038 1.05310899536172 4.43230148995132 5.12918892092052e-05 0.00110911444328743 1.82818982193702
"Q9NY65" 3.59875022466655 0.950188341295903 4.42208156449476 5.30626593775191e-05 0.00110911444328743 1.79667492220699
"Q9BQe3" 4.73821719092898 1.17739584610662 4.41710909867823 5.39456566641397e-05 0.00110911444328743 1.78135222112727
"LRP1" 2.81840058546648 0.778836242934973 4.41584345812234 5.41726848906455e-05 0.00110911444328743 1.77745326525045
"TLN2" 3.15478012104585 1.10544850568922 4.38477385240455 6.00475203572559e-05 0.00116792427094863 1.68188423807971
"P68366" 2.36975652579839 1.95366699123422 4.36335939205191 6.44537082641617e-05 0.00119392821498852 1.61617761112389
"P62987" -2.04508910921109 0.778036181657141 -4.18949305081697 0.000113983145196512 0.0020154292491565 1.08786513367486
"SeRPIND1" 2.78686886217624 0.867886758831868 4.08452336318068 0.000160109402147414 0.00270793727979757 0.773621526583026
"SeRPINB12" -1.95650760374452 0.756539404534591 -3.87529787547305 0.000311825626538624 0.00505417369681353 0.158859733632012
"P68371" 2.78196184053079 1.62509992330438 3.84990552673312 0.000337753661356274 0.00525544697070363 0.0853642019661596
"KRT4" -2.24724752046768 0.990790724299546 -3.74713727856737 0.000465533967011359 0.00696510435259303 -0.209481613572768
"P07900" 2.81208917955687 1.43066996680378 3.67943277666075 0.000573876604935234 0.00826807404888171 -0.401370407280808
"POSTN" 3.22872225345205 1.03572541643493 3.62206626878395 0.000684238250948607 0.00950602427210743 -0.562439426109044
"MYH9" 2.78026715183714 2.01663136304521 3.59962431724075 0.000732718166839268 0.00982852989311984 -0.625061950299778
"SeRPINB3" -2.87552960314188 0.93675025011604 -3.50823504068731 0.000966244960639094 0.0125289763229536 -0.877762335705399
"Q8N1N4" -2.92900185482732 1.04438723187023 -3.43161995756798 0.00121520525117949 0.015248865893833 -1.0866642989577
"VCL" 3.67738695658219 1.09331505663949 3.37439103461587 0.00143980985816254 0.0170122227808278 -1.24089515110708
"KRT77" -3.36458164402014 1.25641552382787 -3.37359490673255 0.00144319627703681 0.0170122227808278 -1.24302955994668
