"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.27037775754122 7.89886994691184 -32.7583754404234 2.29211028008484e-35 8.91630898953002e-33 61.9248975923505
"AHSG" -6.88278332635306 6.33992813471078 -19.2591466571141 9.92121707275477e-25 1.9296767206508e-22 43.4998282722323
"P02768" 8.61413200243354 3.38571285078241 18.922777733279 2.1518143111613e-24 2.16536361989635e-22 42.8484047739241
"P13645" 7.29892612456214 3.13597377247352 18.9080396477702 2.22659498189856e-24 2.16536361989635e-22 42.819582206883
"TF" -6.75017193775566 6.50277193165561 -18.7577741450462 3.15800754803758e-24 2.33629275517195e-22 42.5243582565526
"A2M" -7.27669368544839 6.92086440788217 -18.6704266108612 3.87311399540715e-24 2.33629275517195e-22 42.351606376076
"P63261" 5.70526423806364 2.61637983050475 18.5785253976264 4.80471517773151e-24 2.33629275517195e-22 42.1689361172151
"P60709" 5.70526423806364 2.61637983050475 18.5785253976264 4.80471517773151e-24 2.33629275517195e-22 42.1689361172151
"KRT9" 6.85539839053595 2.91951637462526 17.0061452854884 2.18323704030876e-22 9.4364356520012e-21 38.8933693137417
"KRT1" 7.72126242651151 3.40895010581031 16.9367370459456 2.59887416728042e-22 1.01096205107209e-20 38.7420106461676
"AFP" -5.81608635259384 5.71185561573929 -15.7468514591016 5.58939342275628e-21 1.97661276495654e-19 36.0532922229773
"SeRPINA1" -6.56880150954906 6.35969402538638 -15.5116502153116 1.04436570657717e-20 3.385485498821e-19 35.5002318326668
"C3" -6.83268977313991 6.67762398894577 -15.4695215879104 1.16888084745318e-20 3.49765115122528e-19 35.4003971112447
"TLN1" 6.85539839053595 2.87545084798534 14.7769542208527 7.66950324911757e-20 2.13102625993338e-18 33.7250169193923
"GC" -5.21230258423349 5.06743320271011 -14.5251886409254 1.54119697067719e-19 3.99683747728952e-18 33.0997629195299
"ACTB" -4.63311229401437 4.64889836020568 -14.1030413841501 5.052597151886e-19 1.15615311299039e-17 32.0315781970387
"ACTG1" -4.63311229401437 4.64889836020568 -14.1030413841501 5.052597151886e-19 1.15615311299039e-17 32.0315781970387
"HBBF" -4.8000442341749 5.11778033064974 -11.7227358654656 6.20068717500448e-16 1.34003739504263e-14 25.5284612992163
"APOA1" -6.09811111831907 5.73016030923517 -11.6929710034725 6.80864331883904e-16 1.3939801321202e-14 25.441878062898
"GSN" -4.90254558321536 4.70798588107988 -11.4287144005165 1.56989651890305e-15 3.05344872926643e-14 24.6674594191852
"SeRPINF1" -4.29098076908607 4.44950328492584 -11.2129204873665 3.12633445838729e-15 5.79116240148884e-14 24.0274589166047
"ITIH4" -5.61167288021957 5.57714384362311 -11.1464388118068 3.87011206672227e-15 6.84306179070437e-14 23.8289161004771
"COL6A1" 4.00800719464088 1.0531367631725 10.9382816130688 7.57732712991599e-15 1.25613392726702e-13 23.2031115480011
"FeTUB" -4.56262988184147 4.59737110107439 -10.9313331155059 7.74992654354973e-15 1.25613392726702e-13 23.182113227259
"P68366" 5.37286126246111 1.95366699123422 10.8371106347123 1.05244261104098e-14 1.63760070277977e-13 22.8966854323271
"TUBB1" 4.38863314028003 1.42581639624191 10.794301491733 1.20987783131177e-14 1.81016337069338e-13 22.766581413965
"A1BG" -4.22843822474885 4.21514638674972 -10.5586541833266 2.61694580639435e-14 3.77034043958297e-13 22.0457149152169
"KNG1" -5.46221485070524 4.61740896634327 -10.1939748550101 8.75383436193817e-14 1.21615770242641e-12 20.9146670515421
"HBA" -4.12771584843923 4.58751823349648 -10.0897251079799 1.23993856819098e-13 1.66322794146998e-12 20.5879451173194
"SeRPINA5" -5.49382486874397 4.45273357818194 -9.97664346956398 1.81154938710646e-13 2.34897570528138e-12 20.2318673395
"KRT2" 7.29892612456214 3.01917522849957 9.73551060808591 4.08629689573794e-13 5.11220593226956e-12 19.4668420225798
"eeF1A1P5" 4.72175137191547 1.9684402153512 9.72702956048956 4.20541362037599e-13 5.11220593226956e-12 19.4397947075238
"AGT" -5.07226737905476 5.18031301631619 -9.4360550671175 1.13262128904894e-12 1.33512024678799e-11 18.5062052918757
"P19823" 4.53326814384433 1.84784059236717 9.40501246076014 1.25959386419391e-12 1.44112356815127e-11 18.4059701764757
"C4" -4.42214394945218 4.65920312784159 -9.29121695672806 1.86114558959221e-12 2.06853038386105e-11 18.0375073432258
"APOH" -4.82517428208193 3.65061751575342 -9.14577563825653 3.07153353066119e-12 3.31896262063112e-11 17.5642795340844
"VTN" 3.75765831872086 1.40921416454494 9.05505585442828 4.20294777906599e-12 4.41877482718019e-11 17.2678255201773
"KRT14" 6.17678296091774 2.59721950884683 8.98930510845633 5.27830273096626e-12 5.40331516406809e-11 17.0523659301223
"P35900" 3.48046976438035 1.05611255282155 8.78244949283585 1.08387405403402e-11 1.08109488979291e-10 16.371326390778
"P68104" 4.72175137191547 1.89863603467514 8.75805793828684 1.18016801920395e-11 1.14771339867584e-10 16.2907099406656
"P63104" 3.27978931003222 1.02876247999891 8.74959320635119 1.2155636532499e-11 1.15330307588832e-10 16.2627181794234
"TUBA1B" 5.26422131509941 1.83936878995559 8.68674873480015 1.51408646114157e-11 1.40233246043826e-10 16.0546602584373
"P11142" 4.55950529489821 1.4286386572736 8.59822290082129 2.06426279889124e-11 1.86743774132254e-10 15.7608750835495
"LIMS1" 2.70965192413812 0.815161218650176 8.39528127802661 4.21207015729436e-11 3.72385293451706e-10 15.0843947437784
"P61224" 2.91854347938987 1.06500774225224 8.35545958180406 4.8467364108033e-11 4.18973436400552e-10 14.9511845581607
"HBA1" 5.27751134366614 1.82643888532008 8.17999929100574 9.00898385722306e-11 7.61846678360820e-10 14.3625071203285
"CFH" -5.42203440302385 4.72189086334204 -8.14589463484851 1.01654173173652e-10 8.41350497118098e-10 14.2477684880899
"P06733" 4.20643901036641 1.16215827316113 7.99583890612068 1.73112487350086e-10 1.40293244956632e-09 13.7417839570472
"FLNA" 5.45915340518476 1.94622889739667 7.93549594430366 2.14532756604177e-10 1.70312739426582e-09 13.5378036041795
"QSOX1" 2.62980035244632 0.978259002730328 7.81863533229224 3.25242176803473e-10 2.53038413553102e-09 13.1420030092284
"KRT16" 6.00377290017479 2.4557089568436 7.77146175946045 3.8482067929282e-10 2.93520086754719e-09 12.9819549301455
"P02788" 3.986422114168 1.35017089856469 7.75696560800675 4.05245302128492e-10 3.0315465870766e-09 12.9327428587772
"eDIL3" 4.40293576347576 1.05310899536172 7.74747332066105 4.19206173132223e-10 3.07681511978179e-09 12.90051052017
"HPX" -4.47499892357957 4.50017515274439 -7.69295163064862 5.09283100242908e-10 3.66872455545354e-09 12.7152611628424
"ORM1" -4.23803282542439 3.90623180911046 -7.63840941956814 6.18859857473855e-10 4.37702699195145e-09 12.5297547179347
"P01024" 5.58887237690711 2.31548225916967 7.5970161634098 7.17573693870192e-10 4.93089211431573e-09 12.388850249669
"P62826" 2.62980035244632 0.922613212676283 7.59509485755685 7.22521466622099e-10 4.93089211431573e-09 12.3823076080365
"P23528" 2.86398874534244 0.892579134525166 7.57375993598367 7.79819728518438e-10 5.23017024816677e-09 12.3096413931103
"SeRPINF2" -4.34147528692543 4.39142943819755 -7.55820186430581 8.24459686525219e-10 5.43584437386967e-09 12.2566347729448
"P13647" 5.9018867255148 2.60010411438863 7.3953025830432 1.47766095606658e-09 9.58016853183165e-09 11.7008693047713
"C4A" 4.69559281149033 1.81106546131638 7.3828791381413 1.54497018379317e-09 9.85235084418922e-09 11.6584309169896
"eHD3" 2.70965192413812 1.05773225180497 7.3556611764546 1.70338027573866e-09 1.06873375364894e-08 11.5654304676087
"PLG" -5.25028691569836 5.15979702787067 -7.26857980837356 2.3281716139818e-09 1.4375535838713e-08 11.2676749230909
"KRT5" -5.41078654048305 4.73730482687423 -7.17452822298986 3.26358438983617e-09 1.97102686265237e-08 10.9457665735152
"SeRPINC1" -5.00780327454952 5.03021048165686 -7.17198905925119 3.29348961625718e-09 1.97102686265237e-08 10.9370717271424
"PKM" 3.27098581797059 1.51734925952507 7.03586022823783 5.37190657434557e-09 3.16616917790973e-08 10.4706607093606
"POTee" 4.37993539593385 1.39968024410531 6.98461874760671 6.45870458062131e-09 3.74990459979356e-08 10.2949810908902
"THBS1" -4.02892776247594 3.8930104496408 -6.98017704501496 6.56269466933126e-09 3.75424739172039e-08 10.2797505131778
"P36955" 4.13422928776934 0.913183336911223 6.96546763768075 6.91918950282351e-09 3.90081842985268e-08 10.2293095836172
"P68371" 4.58848070147515 1.62509992330438 6.95598178898789 7.15930299116564e-09 3.92753638335982e-08 10.1967791728461
"FBLN1" 4.14202053357451 1.37059447289955 6.95562438520997 7.16851113672357e-09 3.92753638335982e-08 10.1955534777053
"MYH9" 4.84283811262264 2.01663136304521 6.86848925229111 9.80706156197541e-09 5.29853742723394e-08 9.89667701917725
"P34931" 3.69048916418446 0.857992294258848 6.77461065118378 1.37467887280833e-08 7.32534358249919e-08 9.57459468409725
"P04406" 3.89165795744707 1.55420244363732 6.7523450820427 1.48931276476912e-08 7.82895493912416e-08 9.49820051304401
"KNG2" -4.98902864237791 4.18853710619748 -6.73825734765835 1.56673058872263e-08 8.12610932017473e-08 9.44986484701747
"P07996" 5.0042650667237 2.00970292703318 6.72918326016645 1.61871367119914e-08 8.28525813284824e-08 9.41873135865111
"SeRPINA3-7" -4.18368336216306 4.07790237558185 -6.65394765011562 2.12175695910345e-08 1.05280088318946e-07 9.16060789248837
"Q04695" 5.17916125558516 2.13005613425584 6.65375107301304 2.12325756868689e-08 1.05280088318946e-07 9.15993350867354
"P0DMV8" 4.51189135607386 1.01534727561345 6.64593204724561 2.18381347475477e-08 1.05280088318946e-07 9.13310957320356
"P0DMV9" 4.51189135607386 1.01534727561345 6.64593204724561 2.18381347475477e-08 1.05280088318946e-07 9.13310957320356
"AMBP" -3.63345708522797 3.38053727812444 -6.6448653368029 2.19220749455903e-08 1.05280088318946e-07 9.12945016024046
"P12259" 4.27692014907455 0.921348733982136 6.5466329844767 3.12092798139702e-08 1.48053778629688e-07 8.7925164168182
"P68032" 5.06001248395302 2.03404680916652 6.51591328206308 3.48531214707521e-08 1.63347762073766e-07 8.68717993562506
"KRT6A" 6.29971028013433 2.57447632704768 6.44207370001605 4.54441770637743e-08 2.10449819973907e-07 8.43407113383168
"TUBB" 4.67635201051238 1.55550919138058 6.43751334634064 4.61948227644651e-08 2.11409247710317e-07 8.41844353367365
"P01023" 6.32291444941001 2.44612252397125 6.42395517742515 4.85003930115749e-08 2.18314148316572e-07 8.37198528323954
"P02771" 3.5574940931862 1.3284525812195 6.42209217238275 4.88260434538349e-08 2.18314148316572e-07 8.36560194235667
"KRT13" 3.92736917557594 1.66250528245446 6.41068720550929 5.08677163397495e-08 2.24832937105776e-07 8.32652654414385
"P05452" 3.06928744454277 0.807739349953079 6.40757266989605 5.1439926484355e-08 2.24832937105776e-07 8.31585627755766
"F12AI" -4.64269451701166 4.17877512795676 -6.40311612179436 5.22698803590348e-08 2.25922038440717e-07 8.30058884581367
"TTR" -3.62552385641432 3.64932677107665 -6.39367552729809 5.40724109759372e-08 2.294580362729e-07 8.26824888420341
"F2" -4.35140446435682 4.54461174228961 -6.39267157536873 5.42677103781666e-08 2.294580362729e-07 8.26480988323372
"P07900" 4.45570425592225 1.43066996680378 6.38643893012616 5.54959929590199e-08 2.32128400656546e-07 8.24346090219235
"HSPA6" 3.72637984863326 0.881838350545178 6.29715603690669 7.64608245676538e-08 3.16417667625716e-07 7.93778497252619
"MYH11" 2.96971870013627 0.813994716585664 6.22344678356076 9.95948267683126e-08 4.07814606451301e-07 7.68567095263854
"F5" -5.60634239205 4.70170584827196 -6.19321483694788 1.10991688549761e-07 4.49510082804191e-07 7.58233952450811
"FHL1" 2.61078780116645 0.837231346343477 6.19047004070687 1.12088632473024e-07 4.49510082804191e-07 7.57296021259847
"TUBA1A" 5.20295411471608 1.4003424540644 6.16720644562576 1.21830189807584e-07 4.83591263623981e-07 7.49348140106033
"P01008" 4.77492468661124 1.71175059502475 6.136048513459 1.36210676815237e-07 5.31744799845117e-07 7.38707795249528
"ADIPOQ" -3.14698515940045 2.9311360628011 -6.13505642972767 1.36695321296945e-07 5.31744799845117e-07 7.38369090930164
"KRT3" 4.24795624372585 1.68289539879105 6.10306335160262 1.53279474818402e-07 5.90353620835233e-07 7.27449506831321
"P06396" 5.32892856003077 2.02434651694114 6.09812950401086 1.56009476968066e-07 5.94977319025272e-07 7.25766074353488
"Q9BUF5" 3.64287265881237 0.772245621082417 6.07442605188965 1.69815151558049e-07 6.41340718020206e-07 7.17680534500135
"AMY2B" 3.16599383257836 0.923538375654455 6.05708793022259 1.80677258462368e-07 6.75802437902513e-07 7.1176854194978
"P00558" 3.05993107730514 0.941550110779888 6.03237676022768 1.9736369344023e-07 7.27220408485937e-07 7.03345883945285
"CFB" -4.46909635900222 4.64449267391141 -6.031246018601 1.98162887659407e-07 7.27220408485937e-07 7.02960575509405
"H4C1" 3.0235354647821 1.01386474095244 6.02574315876865 2.0209844209344e-07 7.34731719386432e-07 7.01085560771138
"APOe" -3.74683253564365 3.52932592597854 -6.02181931923683 2.04952107889695e-07 7.38207129343437e-07 6.99748700027673
