"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P02768" 7.3287633105386 3.38571285078241 17.9994430900312 1.90380406492486e-23 7.40579781255772e-21 41.5818994376177
"P13645" 5.44944823200622 3.13597377247352 15.7832005188357 5.07751075912492e-21 9.52948995693491e-19 36.5793521710312
"P63261" 4.26712336227778 2.61637983050475 15.5355159788547 9.79896139530582e-21 9.52948995693491e-19 35.982440675393
"P60709" 4.26712336227778 2.61637983050475 15.5355159788547 9.79896139530582e-21 9.52948995693491e-19 35.982440675393
"KRT1" 5.67064295064232 3.40895010581031 13.9068490625331 8.83858629979453e-19 6.87642014124015e-17 31.8544943616162
"KRT9" 4.94803985208084 2.91951637462526 13.7233892592011 1.49746592608967e-18 9.70857075414802e-17 31.3667678083069
"TLN1" 4.75963017479332 2.87545084798534 11.4704497151633 1.37502657714618e-15 7.6412191215695e-14 24.9863460210231
"KRT2" 5.48927599409563 3.01917522849957 8.18596418052686 8.82076610954442e-11 4.28909752076598e-09 14.4331205747444
"P01024" 5.33433954149567 2.31548225916967 8.10689448197686 1.16720993996876e-10 5.04494074053164e-09 14.1640122929631
"P19823" 3.26855684645778 1.84784059236717 7.58156767472389 7.58339902457478e-10 2.94994222055959e-08 12.3646514866711
"C4A" 4.15969302683532 1.81106546131638 7.312259887458 1.9903627183661e-09 7.03864634040376e-08 11.4361077981219
"MYH9" 4.49807492122799 2.01663136304521 7.13251941995251 3.79527532582062e-09 1.1514952399458e-07 10.814845699575
"eeF1A1P5" 3.09511064070239 1.9684402153512 7.12866662707784 3.84818460650268e-09 1.1514952399458e-07 10.8015187623483
"KRT14" 4.31912893059997 2.59721950884683 7.02772816794145 5.5312850162619e-09 1.53690705094706e-07 10.4522546040534
"VTN" 2.50264807511363 1.40921416454494 6.74261924088764 1.54233969453787e-08 3.9998009411682e-07 9.46506168723194
"P68104" 3.09511064070239 1.89863603467514 6.41853455409231 4.94539826481584e-08 1.14029069390983e-06 8.34356932878952
"P01023" 5.64874443446408 2.44612252397125 6.41641032853268 4.98327552608408e-08 1.14029069390983e-06 8.33622677854505
"P13647" 4.3684887352717 2.60010411438863 6.11999834793731 1.44265731548566e-07 3.11774275402178e-06 7.31357342513038
"KRT16" 3.78652067416132 2.4557089568436 5.479914683831 1.40365852844134e-06 2.87380614507201e-05 5.12805774107563
"KRT6A" 4.66439665793867 2.57447632704768 5.33280365605284 2.35348883857683e-06 4.57753579103194e-05 4.63259311003949
"HBA1" 3.02266563992103 1.82643888532008 5.23804477267625 3.27790962897988e-06 5.91817827220232e-05 4.31523187660997
"P68032" 3.63407771752658 2.03404680916652 5.23206251846812 3.34704169636121e-06 5.91817827220232e-05 4.29524674470884
"FLNA" 3.03575916000364 1.94622889739667 4.93368134798953 9.40779572048042e-06 0.000159114458055082 3.30687803084573
"COL10A1" -2.30414827222944 0.950811369126076 -4.83218886691207 1.33209069630706e-05 0.00021590970035977 2.97487111100418
"P01008" 3.33854648179708 1.71175059502475 4.79661313439885 1.50405520693793e-05 0.000228634828705887 2.85905054985893
"P68366" 2.12495352224301 1.95366699123422 4.79195049311475 1.52815052605477e-05 0.000228634828705887 2.84389293508879
"Q04695" 3.21394812627518 2.13005613425584 4.61637399003244 2.77055631915401e-05 0.000399165336352188 2.2770295892992
"FBLN1" 2.44312600918951 1.37059447289955 4.58695783039623 3.05884697014862e-05 0.000424961239781362 2.18283696295298
"KRT79" -3.56407125564707 2.46167221409469 -4.51157022731429 3.93835871641611e-05 0.000528283289891678 1.9425238152275
"KRT6C" 4.53429991145697 2.32059859033938 4.48972401370874 4.23648633363827e-05 0.000549331061261762 1.87318346455269
"APOB" 3.66722273252463 1.74147644688934 4.47106439150371 4.50849655185507e-05 0.000565743599571491 1.81406625513123
"CFD" -2.4286559710982 1.78210932271283 -4.4337166196695 5.1051286109621e-05 0.00062059219677008 1.69604733154631
"APOD" -2.29984848719672 2.03025949694095 -4.3690397916497 6.32551282864156e-05 0.00074564378495199 1.49265661320067
"KRT3" 2.65534377630353 1.68289539879105 4.26524129532787 8.90103055554301e-05 0.00101838261356066 1.16896308809087
