"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",3.88151597341351,2.12980106281586,5.73919013146521,5.53419076021381e-07,0.000123965873028789,6.05597642125959
"TUBB",3.44723568136548,1.6982673327166,4.99973072592635,7.42589156520014e-06,0.000831699855302416,3.62523618798177
"P26038",2.65457173909361,1.46456907161834,4.00578960347412,0.000205153570623821,0.0153181332732453,0.538269302195178
"TUBA1B",2.16384251165924,1.94726573425111,3.75125755052007,0.000457875899298484,0.0256410503607151,-0.201547927487876
"P68371",1.95261745090138,1.75239805099663,3.07126841197096,0.00344177087445908,0.154191335175767,-2.0377754385789
"P07900",1.82159572282136,1.58250706049443,2.6615367280009,0.010428855220496,0.389343928231849,-3.02520294524346
"P68366",1.19411236659786,2.08258765709156,2.49979798719067,0.0157495385081101,0.426289546852051,-3.38632650111689
"C4A",-1.83279554874174,1.92122048006565,-2.4939141467986,0.0159829336261771,0.426289546852051,-3.3991381700071
"MYH9",1.8451716330118,2.17147436226733,2.43027105902795,0.0187150523006475,0.426289546852051,-3.53622114342406
"P08727",-1.96343960974543,1.50896968556269,-2.38520828393882,0.0208968649362312,0.426289546852051,-3.63160854012837
"P68032",1.73099371615574,2.10659978605528,2.37228705546949,0.0215632778383472,0.426289546852051,-3.65870051815099
"FBLN1",-1.40794207211036,1.54404194159371,-2.34855740480998,0.0228369400099313,0.426289546852051,-3.70815120056756
"TUBA1A",-1.60918662332858,1.56754237636975,-1.97309796777462,0.0540197595313262,0.930802010385929,-4.43625067509403
"KRT8",1.5671347068236,1.57238229373487,1.81085156397283,0.0761680602568195,0.968118719449544,-4.71767682750258
"APOB",-1.68419613269584,1.88182983813944,-1.69374603135513,0.0965292325275978,0.968118719449544,-4.90768685619183
"P68133",1.73099371615574,1.43737644173672,1.61444022228903,0.112719774653718,0.968118719449544,-5.02995506744688
"P02788",-0.8053640896789,1.45774634577412,-1.49076995657748,0.142297992173633,0.968118719449544,-5.21006574404775
"P09429",-0.821182430157019,1.37638461910149,-1.19053107502622,0.239453991586906,0.968118719449544,-5.59212393373902
"VTN",-0.576593755726611,1.52379352816746,-1.15964509234494,0.251695856124813,0.968118719449544,-5.62687678665981
"P11142",0.596996589643121,1.58731738439312,1.14385035979012,0.2581272448244,0.968118719449544,-5.64431511242302
"TLN1",0.560838543809729,3.01286371076434,1.08651396461819,0.282457007102348,0.968118719449544,-5.70570981467722
"eeF1A1P5",-0.586445191750229,2.0344425061276,-1.04720585501627,0.30003578468319,0.968118719449544,-5.7460625582011
"P68104",-0.586445191750229,1.96523511745077,-1.03958911820722,0.303527172525261,0.968118719449544,-5.75371747485161
"P02771",-0.557042174887433,1.46420732564624,-0.968811892609894,0.337297748535491,0.968118719449544,-5.82228700626824
"P63261",0.307793796844632,2.73660694264868,0.888731579637537,0.378399004881242,0.968118719449544,-5.89425415894489
"P60709",0.307793796844632,2.73660694264868,0.888731579637537,0.378399004881242,0.968118719449544,-5.89425415894489
"P26583",-0.581269573815592,1.35952732575011,-0.846903298815547,0.401080618621233,0.968118719449544,-5.92945684726402
"P07996",0.563043764230082,2.092374929761,0.77469038951625,0.442167292978256,0.968118719449544,-5.98634794955014
"DSP",-0.739711055829916,1.57262262338927,-0.718691071786601,0.475673381189586,0.968118719449544,-6.02706077441975
"HBA1",-0.444123348937874,1.88969620876951,-0.716449192655747,0.477044013653209,0.968118719449544,-6.02862849963297
"KRT16",-0.555336218403485,2.5364333186317,-0.608138063326264,0.545845915821888,0.968118719449544,-6.09864004119815
"KRT77",-0.511866483043911,1.39040619227983,-0.55868256646987,0.578869574758573,0.968118719449544,-6.12685831692936
"Q7RTS7",-0.42882925789591,1.40459970723818,-0.551987490273268,0.583413485601682,0.968118719449544,-6.13049698861798
"P04406",-0.247288751117239,1.63629529099176,-0.417982088950448,0.677748177405723,0.968118719449544,-6.19419068010738
"P01023",0.419633475884478,2.56133651287742,0.398536347287067,0.691930085329807,0.968118719449544,-6.20198284808329
"PKM",-0.193001409412412,1.62531181936248,-0.398484724356582,0.691967885596467,0.968118719449544,-6.20200304343739
"KRT13",-0.264765487951306,1.73143413968201,-0.380384877038065,0.70526939872166,0.968118719449544,-6.20892361471146
"Q5XKe5",-0.302077896349754,1.57462061995481,-0.375573730231788,0.708820972497439,0.968118719449544,-6.21070939599902
"KRT76",-0.362101742606209,1.71902759500493,-0.35767448560694,0.722090936772727,0.968118719449544,-6.21715468487665
"ALB",-0.096973284645145,8.0225757952076,-0.353712713954431,0.725039927798732,0.968118719449544,-6.21853896353608
"P13645",0.14815301747894,3.28286207275526,0.344516720877499,0.731901221271511,0.968118719449544,-6.22169299624085
"P01008",-0.267113907129665,1.82429362274305,-0.331906737156225,0.741345668753405,0.968118719449544,-6.22588353184173
"P13647",-0.26648576305148,2.68452794778343,-0.288875875217389,0.773869537799073,0.968118719449544,-6.23901199201958
"PZP",0.316062287004576,1.86308205916944,0.282968186170241,0.778368329367571,0.968118719449544,-6.24067281845376
"KRT14",-0.225131687113373,2.68973372823354,-0.277934670698256,0.782207478359763,0.968118719449544,-6.24206090279271
"ACTB",-0.096973284645145,4.69839418045775,-0.26084772176063,0.795280273359824,0.968118719449544,-6.24658767478479
"ACTG1",-0.096973284645145,4.69839418045775,-0.26084772176063,0.795280273359824,0.968118719449544,-6.24658767478479
"TF",-0.096973284645145,6.62833730330571,-0.255141413214892,0.799659455062774,0.968118719449544,-6.24803564946651
"AHSG",-0.096973284645145,6.45909865672305,-0.252132116993319,0.801971499806991,0.968118719449544,-6.2487863942814
"AFP",-0.096973284645145,5.82309093743856,-0.246126740818823,0.806590758982667,0.968118719449544,-6.25025803128823
"A2M",-0.096973284645145,7.04890177435079,-0.237658707133973,0.813116053961249,0.968118719449544,-6.25227301997056
"GC",-0.096973284645145,5.15266420639357,-0.237448774907196,0.813277995460139,0.968118719449544,-6.25232207991227
"SeRPINF1",-0.096973284645145,4.47146455055078,-0.222574441092765,0.824772570527356,0.968118719449544,-6.25568800498047
"HBA",-0.096973284645145,4.62559023340705,-0.2183831550813,0.828018629703131,0.968118719449544,-6.25659722766109
"FeTUB",-0.096973284645145,4.65955917386766,-0.217834023720532,0.828444145519111,0.968118719449544,-6.25671507356902
"TPI1",-0.0969732846451445,1.33011943252042,-0.213365975488593,0.831908303725665,0.968118719449544,-6.25766292836528
"SeRPINA1",-0.096973284645145,6.48107743762678,-0.211971395673972,0.832990239180231,0.968118719449544,-6.25795476070968
"HBBF",-0.096973284645145,5.20161125704235,-0.21129506085954,0.833515067146389,0.968118719449544,-6.25809560396221
"A1BG",-0.096973284645145,4.1781310077701,-0.209367382810186,0.835011341550172,0.968118719449544,-6.25849456787289
"C3",-0.096973284645145,6.80831847634258,-0.206529185969808,0.837215484464194,0.968118719449544,-6.25907533516379
"ADIPOQ",-0.096973284645145,2.79383412952405,-0.205782762711997,0.837795376013629,0.968118719449544,-6.259226758237
"KRT3",-0.162605741973277,1.74723983828543,-0.205696585403736,0.837862332475711,0.968118719449544,-6.25924420534619
"AMBP",-0.096973284645145,3.20142321680015,-0.199537165443899,0.842651068826983,0.968118719449544,-6.26047232106176
"KRT6B",0.272608205132387,2.49674812989069,0.199092814046123,0.842996770938234,0.968118719449544,-6.26055947807893
"TUBB1",0.0762832198512644,1.59234073883428,0.19641761304989,0.845078713975891,0.968118719449544,-6.2610801039497
"GAPDH",-0.096973284645145,2.9599419780984,-0.193942269386105,0.84700611417015,0.968118719449544,-6.26155557179234
