"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",3.95095185930726,2.12980106281586,5.84185768553959,3.83908669622801e-07,8.59955419955074e-05,6.39978129424703
"POTee",3.05047689076486,1.55755606480302,4.92505713783722,9.60626632927025e-06,0.00107590182887827,3.38357236369128
"TUBB",3.29393199872008,1.6982673327166,4.77738528645925,1.59309138349155e-05,0.00118950823300703,2.91100162113434
"P26038",2.7161047352058,1.46456907161834,4.09864384149182,0.000152221075468944,0.00852438022626084,0.811367398596349
"TUBA1B",2.25072120844267,1.94726573425111,3.90187126918589,0.000285519983457979,0.0127912952589175,0.230022876153266
"P68371",1.88992688618638,1.75239805099663,2.97266253755919,0.0045303580210185,0.133489304447805,-2.2890568715042
"KRT77",-2.71633560450018,1.39040619227983,-2.96477577100015,0.004630055928629,0.133489304447805,-2.30855693891683
"P02768",1.50128348883482,3.53014814150613,2.95416071382766,0.00476747515885018,0.133489304447805,-2.33474629530256
"Q7RTS7",-2.18638772579772,1.40459970723818,-2.81431047743553,0.00697033094121143,0.173483792314596,-2.67362162963564
"P68032",2.00280708059682,2.10659978605528,2.74480101664042,0.00838607802711355,0.184667338599026,-2.83767904645412
"P07900",1.85418368767827,1.58250706049443,2.7091510610117,0.00921086418026349,0.184667338599026,-2.92066207496559
"TUBA1A",2.18719749435579,1.56754237636975,2.68182376653646,0.00989289313923352,0.184667338599026,-2.9837324874328
"MYH9",1.99958373888536,2.17147436226733,2.63364686719359,0.0112091507528058,0.193142289894501,-3.09376802859768
"P68366",1.24025261907958,2.08258765709156,2.5963896593889,0.0123348647314433,0.197357835703093,-3.1778399759404
"P09429",-1.57975312762303,1.37638461910149,-2.29028912484824,0.0262543326409633,0.392064700771718,-3.83336629091206
"TLN1",1.1003068191834,3.01286371076434,2.1316272528034,0.0379704255114739,0.531585957160635,-4.14719735061214
"KRT76",-2.1127936306441,1.71902759500493,-2.08696144237029,0.0420050779089442,0.553478673623735,-4.23219599952308
"P26583",-1.33701402474366,1.35952732575011,-1.94801455146745,0.0570324394073337,0.709737023735709,-4.48691886530793
"P68133",2.00280708059682,1.43737644173672,1.86795149989433,0.0676290550057826,0.7973109642787,-4.62688669925347
"KRT1",-0.896005311075925,3.56366728071721,-1.79187581298726,0.079199294832922,0.887032102128726,-4.7551645868459
"eeF1A1P5",-0.892505203557671,2.0344425061276,-1.59373235205269,0.117292558936873,0.938604087132907,-5.06711365101163
"P68104",-0.892505203557671,1.96523511745077,-1.58214051477303,0.11991710367015,0.938604087132907,-5.08435192805104
"P08238",1.16423257143741,1.39869698286489,1.53998928826062,0.129862251581025,0.938604087132907,-5.14607689019498
"KRT13",-1.06707742738126,1.73143413968201,-1.53305522991413,0.131559759550475,0.938604087132907,-5.15608636611252
"KRT8",1.16030956030561,1.57238229373487,1.34075799152635,0.186053016409013,0.938604087132907,-5.41715799013919
"P63261",0.41755062451952,2.73660694264868,1.20564621481047,0.233623110759062,0.938604087132907,-5.58115265422745
"P60709",0.41755062451952,2.73660694264868,1.20564621481047,0.233623110759062,0.938604087132907,-5.58115265422745
"P08727",-0.95824586071293,1.50896968556269,-1.16408773342354,0.249907796183297,0.938604087132907,-5.62830416421794
"TUBB1",0.438133900492807,1.59234073883428,1.12812772060262,0.264645018295244,0.938604087132907,-5.66784104104204
"P04406",-0.657398245255632,1.63629529099176,-1.11117343826948,0.27180337819674,0.938604087132907,-5.68607352866704
"PKM",-0.493388655890195,1.62531181936248,-1.01868604556638,0.313251246423784,0.938604087132907,-5.78089751633834
"Q5XKe5",-0.81599967033787,1.57462061995481,-1.01453315108453,0.315208055695081,0.938604087132907,-5.78497058641986
"VTN",-0.495982274826689,1.52379352816746,-0.99751931959104,0.323311062750626,0.938604087132907,-5.80149081156545
"P11142",0.508132501592426,1.58731738439312,0.973586038598651,0.33494433032048,0.938604087132907,-5.82427559713607
"P02771",-0.523960667215586,1.46420732564624,-0.911276288480049,0.366518219300507,0.938604087132907,-5.88109466549114
"P13647",-0.839874338879961,2.68452794778343,-0.910440512612696,0.366954341740387,0.938604087132907,-5.88183215172212
"P02788",-0.450199321012615,1.45774634577412,-0.833341877094088,0.408611418613708,0.938604087132907,-5.94704349725837
"P01023",0.862856069486751,2.56133651287742,0.819475866273341,0.416400387178413,0.938604087132907,-5.95817763573714
"DSP",-0.801845262539511,1.57262262338927,-0.779059643085875,0.439612809753516,0.938604087132907,-5.98959327207439
"Q04695",-0.64764344717194,2.19354047619982,-0.764769304280588,0.448000039724889,0.938604087132907,-6.0003305377692
"KRT3",-0.598108664413497,1.74723983828543,-0.756608644179765,0.452831390188184,0.938604087132907,-6.00637513437333
"APOB",0.713926072557767,1.88182983813944,0.717974248129955,0.476111388289995,0.938604087132907,-6.03413109070271
"ALB",-0.173534367571311,8.0225757952076,-0.63297136260391,0.52963403553592,0.938604087132907,-6.09017750903322
"P06396",0.528421653769637,2.12955510936767,0.588945681313644,0.558546692927591,0.938604087132907,-6.11647863959781
"PZP",0.63905481127857,1.86308205916944,0.572140961595474,0.569787602806721,0.938604087132907,-6.12602524744336
"P07996",0.368901413489843,2.092374929761,0.507570455203122,0.613984161766567,0.938604087132907,-6.16016756430233
"KRT2",-0.419006799865882,3.15887506003387,-0.501881837338818,0.617951480340316,0.938604087132907,-6.16298192863367
"FBLN1",0.284344282205376,1.54404194159371,0.474308483791421,0.637342875043361,0.938604087132907,-6.17617839538004
"ACTB",-0.173534367571311,4.69839418045775,-0.46678881295803,0.642676672259331,0.938604087132907,-6.17964910872318
"ACTG1",-0.173534367571311,4.69839418045775,-0.46678881295803,0.642676672259331,0.938604087132907,-6.17964910872318
"O95678",-0.491491745658646,1.65030993373948,-0.466069421924142,0.643187947383233,0.938604087132907,-6.17997826388372
"P01024",0.386014046611471,2.35144295118694,0.463790274001684,0.644808898910318,0.938604087132907,-6.1810177588729
"TF",-0.173534367571311,6.62833730330571,-0.456577334113365,0.64995025261041,0.938604087132907,-6.1842742149708
"AHSG",-0.173534367571311,6.45909865672305,-0.451192177587458,0.653800013789198,0.938604087132907,-6.18667247911305
"AFP",-0.173534367571311,5.82309093743856,-0.440445515140349,0.661510977145168,0.938604087132907,-6.19137412352572
"KRT16",-0.396457563585809,2.5364333186317,-0.43415308946219,0.66604323033752,0.938604087132907,-6.19407485897632
"A2M",-0.173534367571311,7.04890177435079,-0.425291909944336,0.672447012887271,0.938604087132907,-6.1978127224359
"GC",-0.173534367571311,5.15266420639357,-0.4249162347639,0.67271905111797,0.938604087132907,-6.19796950113048
"SeRPINF1",-0.173534367571311,4.47146455055078,-0.398298510913694,0.692104244707518,0.938604087132907,-6.20872753073852
"HBA1",-0.242663083516265,1.88969620876951,-0.391458297989423,0.697120242823083,0.938604087132907,-6.21138050977142
"HBA",-0.173534367571311,4.62559023340705,-0.390798175434994,0.697605044243663,0.938604087132907,-6.2116341224879
"FeTUB",-0.173534367571311,4.65955917386766,-0.389815501044277,0.69832696690545,0.938604087132907,-6.2120108686382
"TPI1",-0.173534367571311,1.33011943252042,-0.381819897646446,0.704211346423778,0.938604087132907,-6.21504125110054
"SeRPINA1",-0.173534367571311,6.48107743762678,-0.379324287365289,0.706051757762055,0.938604087132907,-6.21597432029734
"HBBF",-0.173534367571311,5.20161125704235,-0.378113981509213,0.706944948198511,0.938604087132907,-6.21642464433454
"A1BG",-0.173534367571311,4.1781310077701,-0.374664388227932,0.70949298224948,0.938604087132907,-6.21770030009342
"C3",-0.173534367571311,6.80831847634258,-0.369585415235109,0.713250646743747,0.938604087132907,-6.21955734168254
"ADIPOQ",-0.173534367571311,2.79383412952405,-0.36824968562196,0.714240078883308,0.938604087132907,-6.22004154324395
"AMBP",-0.173534367571311,3.20142321680015,-0.357073145856493,0.722538278568401,0.938604087132907,-6.22402470292958
"GAPDH",-0.173534367571311,2.9599419780984,-0.347061040434166,0.730000620415336,0.938604087132907,-6.22748917982326
"GSN",-0.173534367571311,4.75887842710271,-0.343381256901322,0.732749958235699,0.938604087132907,-6.2287378547947
"APOD",-0.173534367571311,1.954804178567,-0.339227685109366,0.735857533458699,0.938604087132907,-6.23013138857936
"CFD",-0.173534367571311,1.76934998426834,-0.328691699537207,0.743760125650439,0.938604087132907,-6.23359052120356
"F13A1",-0.173534367571311,1.67684231089571,-0.326937697292059,0.745078458367695,0.938604087132907,-6.23415583971926
"HABP2",-0.173534367571311,1.33364828925658,-0.324193131216851,0.747142855820504,0.938604087132907,-6.23503437608701
"ITIH4",-0.173534367571311,5.68496499135984,-0.322429918176292,0.748470090521147,0.938604087132907,-6.23559489061099
"C4",-0.173534367571311,4.71262774733524,-0.319421763212356,0.75073620973926,0.938604087132907,-6.23654413827404
"APOH",-0.173534367571311,3.55010419307759,-0.313743921737268,0.75501949910456,0.938604087132907,-6.23831168140906
"THBS1",-0.173534367571311,3.81444994666643,-0.308237875479305,0.759180614735576,0.938604087132907,-6.23999558936581
"LUM",-0.173534367571311,3.07535703145988,-0.306209793995673,0.760715127789843,0.938604087132907,-6.24060835166065
"F10",-0.173534367571311,1.7889148002428,-0.302865029525901,0.763248003812026,0.938604087132907,-6.24161013227737
"APOA1",-0.173534367571311,5.83793754773609,-0.302182285339295,0.763765344746692,0.938604087132907,-6.24181327195377
"YWHAZ",-0.173534367571311,1.70627317267171,-0.302039786247116,0.763873335381529,0.938604087132907,-6.24185561268226
"CKM",-0.173534367571311,1.43905061876519,-0.298446399396814,0.766598084451247,0.938604087132907,-6.24291673802336
"DDBX",-0.173534367571311,1.28981023007758,-0.289369509439134,0.773493979719135,0.938604087132907,-6.24554078529856
"BLVRB",-0.173534367571311,1.46374010893065,-0.287324964512372,0.775049828768985,0.938604087132907,-6.24612070100723
"P13645",-0.122700764908001,3.28286207275526,-0.285329761719328,0.776569027255406,0.938604087132907,-6.24668267046973
"AGT",-0.173534367571311,5.26136865827236,-0.283777415626804,0.777751632959529,0.938604087132907,-6.24711720521977
"ORM1",-0.173534367571311,3.84967463978969,-0.283230878021512,0.778168121759131,0.938604087132907,-6.2472696303951
"MST1",-0.173534367571311,1.6572762956501,-0.282114694035735,0.779018913243904,0.938604087132907,-6.24758001576251
"FGA",-0.173534367571311,3.07297260030194,-0.276620633156146,0.783210622121308,0.938604087132907,-6.24908998337398
"SeRPINA5",-0.173534367571311,4.45905450628944,-0.274751330699286,0.784638297897029,0.938604087132907,-6.24959698652186
"APOe",-0.173534367571311,3.40336802544691,-0.272763963849913,0.786156964214333,0.938604087132907,-6.25013225317431
"RAP1B",-0.173534367571311,1.50258209146489,-0.271202207837468,0.787350984516482,0.938604087132907,-6.25055016980069
"KNG1",-0.173534367571311,4.64400516719177,-0.26977060041265,0.788445954048238,0.938604087132907,-6.25093115773619
"KLKB1",-0.173534367571311,2.41074025784797,-0.26747194119298,0.790204991198391,0.938604087132907,-6.25153868508442
"H2A1",-0.173534367571311,1.27489937046138,-0.267353457969302,0.790295689812902,0.938604087132907,-6.25156985930102
"H2AJ",-0.173534367571311,1.27489937046138,-0.267353457969302,0.790295689812902,0.938604087132907,-6.25156985930102
"H2AC20",-0.173534367571311,1.27489937046138,-0.267353457969302,0.790295689812902,0.938604087132907,-6.25156985930102
"GPI",-0.173534367571311,1.26430635318619,-0.266065865946068,0.791281526763162,0.938604087132907,-6.25190775062884
"TTR",-0.173534367571311,3.5072245420389,-0.265241321869591,0.791913014691863,0.938604087132907,-6.25212327412833
"C4A",0.193296698991961,1.92122048006565,0.263021902511971,0.793613484061632,0.938604087132907,-6.25270008312445
"APOA2",-0.173534367571311,2.05314683389666,-0.26192946766471,0.794450855081266,0.938604087132907,-6.25298222316085
"CSN1S1",-0.173534367571311,1.26152104314573,-0.261906998021035,0.794468081033716,0.938604087132907,-6.25298801404176
"PPIA",-0.173534367571311,1.46674230262402,-0.260587705508474,0.79547967389988,0.938604087132907,-6.25332715391398
"SeRPINF2",-0.173534367571311,4.40365952530721,-0.260487389014459,0.795556608013533,0.938604087132907,-6.2533528715974
"C4BPA",-0.173534367571311,1.32366387946617,-0.257660607928291,0.797725344856725,0.938604087132907,-6.25407350100526
"UBA52",-0.173534367571311,1.42367798513513,-0.257225666717759,0.798059179726272,0.938604087132907,-6.25418368421506
"COL1A2",-0.173534367571311,1.47526700442031,-0.255239775937888,0.799583913301625,0.938604087132907,-6.25468440895894
"FMOD",-0.173534367571311,1.25866081839479,-0.255135672406343,0.799663864016111,0.938604087132907,-6.25471055097899
"F12",-0.173534367571311,1.5732420082278,-0.254547395033775,0.800115697156169,0.938604087132907,-6.25485807673122
"GSTA1",-0.173534367571311,1.36738597748422,-0.253863994527354,0.800640677239791,0.938604087132907,-6.25502903060861
"PROC",-0.173534367571311,1.70688739576248,-0.251324918174523,0.802591976220832,0.938604087132907,-6.25566016996576
"SeRPINC1",-0.173534367571311,5.1272802214854,-0.250422841148094,0.803285535197728,0.938604087132907,-6.25588287628033
"CPB2",-0.173534367571311,2.43628368427722,-0.250258794301874,0.803411679249316,0.938604087132907,-6.25592329061286
"HPX",-0.173534367571311,4.51211037932,-0.249682686421536,0.803854719984093,0.938604087132907,-6.25606501040582
"CLU",-0.173534367571311,3.04215266023609,-0.246370713864812,0.806402961285025,0.938604087132907,-6.25687341976618
"KRT20",-0.173534367571311,1.38374151654103,-0.240706672402979,0.810765787572384,0.938604087132907,-6.2582309836846
"SeRPINA3-7",-0.173534367571311,4.03724715903641,-0.240678626959167,0.810787405260706,0.938604087132907,-6.25823762728433
"HRG",-0.173534367571311,1.89807251096587,-0.240457390822514,0.81095794133821,0.938604087132907,-6.25829000816443
"AHCY",-0.173534367571311,2.09427844707235,-0.239902504870734,0.811385706293023,0.938604087132907,-6.25842117408113
"F2",-0.173534367571311,4.58599019856791,-0.239579928801069,0.811634408822891,0.938604087132907,-6.2584972868045
"APOC3",-0.173534367571311,1.35842095604172,-0.23886567334301,0.812185161415584,0.938604087132907,-6.25866545380333
"HSPA1B",-0.173534367571311,2.38372430703903,-0.237277887070084,0.813409824230678,0.938604087132907,-6.25903749370085
"HSPA1A",-0.173534367571311,2.38372430703903,-0.237277887070084,0.813409824230678,0.938604087132907,-6.25903749370085
"SeRPINA7",-0.173534367571311,3.56514370403678,-0.236797033185398,0.813780800710573,0.938604087132907,-6.25914967593292
"eZR",-0.173534367571311,1.43813744469939,-0.234418281637825,0.815616627688781,0.938604087132907,-6.25970129401303
"CFH",-0.173534367571311,4.73751401127154,-0.233564481651518,0.816275811929609,0.938604087132907,-6.2598979299202
"F12AI",-0.173534367571311,4.20663262039804,-0.233428329747819,0.816380941671445,0.938604087132907,-6.25992922044261
"PGK1",-0.173534367571311,1.58291474149192,-0.232752969787068,0.816902471398429,0.938604087132907,-6.26008416301222
"CLeC3B",-0.173534367571311,2.59057900230815,-0.231554510018835,0.817828157281529,0.938604087132907,-6.2603580135767
"H4",-0.173534367571311,1.67480620436773,-0.23029581788829,0.818800648235324,0.938604087132907,-6.26064410864591
"GFAP",-0.173534367571311,1.30769000984201,-0.227631739683493,0.820859914479247,0.938604087132907,-6.26124450966547
"LDHB",-0.173534367571311,1.70047910519436,-0.224585230477063,0.823216349569207,0.938604087132907,-6.26192255489359
"F9",-0.173534367571311,1.40713168865363,-0.224248461701419,0.82347693707768,0.938604087132907,-6.2619969481266
"PLG",-0.173534367571311,5.25419591521744,-0.223962231189178,0.823698434469971,0.938604087132907,-6.26206008972301
"RPS27A",-0.173534367571311,1.5498931349851,-0.222804144525269,0.824594758895946,0.938604087132907,-6.2623147386504
"VNN1",-0.173534367571311,2.69500811622411,-0.222691428131843,0.824682010616834,0.938604087132907,-6.2623394532359
"KRT78",-0.173534367571311,1.39208057576647,-0.221773871955222,0.825392357183656,0.938604087132907,-6.2625401754464
"HSP90AB1",-0.173534367571311,1.74196872511885,-0.219446233674553,0.82719500973648,0.938604087132907,-6.26304565328878
"HSPA1L",-0.173534367571311,1.53063619309499,-0.219270554700951,0.827331103514006,0.938604087132907,-6.26308358830946
"THBS4",-0.173534367571311,2.59908547029237,-0.218987923200375,0.827550061747607,0.938604087132907,-6.26314455436212
"CFB",-0.173534367571311,4.69910009658115,-0.218987126401755,0.827550679057204,0.938604087132907,-6.26314472612752
"FGB",-0.173534367571311,2.88157124287961,-0.218790086516697,0.82770333657106,0.938604087132907,-6.26318718274871
"COMP",-0.173534367571311,2.05421860325544,-0.21856070685601,0.827881057915044,0.938604087132907,-6.2632365596455
"KNG2",-0.173534367571311,4.18911636434987,-0.218164223403492,0.82818827121244,0.938604087132907,-6.26332178586884
"UBC",-0.173534367571311,1.31940319373629,-0.216524361641491,0.829459197321461,0.938604087132907,-6.26367264245954
"KRT71",-0.173534367571311,2.0614298276594,-0.216429325482065,0.829532866403379,0.938604087132907,-6.26369289492327
"C7",-0.173534367571311,3.17167040737004,-0.213437267716656,0.831853002966142,0.938604087132907,-6.2643259728358
"APOA4",-0.173534367571311,2.23639630347994,-0.212910987641594,0.832261254011833,0.938604087132907,-6.26443641672223
"C9",-0.173534367571311,2.53409171363602,-0.211336063329953,0.833483247526379,0.938604087132907,-6.26476530074977
"eeF1A1",-0.173534367571311,2.98419675711455,-0.209301401751534,0.835062567339988,0.938604087132907,-6.26518658112581
"KRT80",-0.173534367571311,1.51598194213391,-0.209015330549115,0.835284673102019,0.938604087132907,-6.26524548648979
"HSPA8",-0.173534367571311,2.17635520350126,-0.208936458081402,0.835345912089076,0.938604087132907,-6.26526171309864
"GPLD1",-0.173534367571311,1.45084976958501,-0.208927500242777,0.83535286729296,0.938604087132907,-6.26526355562819
"KRT73",-0.173534367571311,2.30143899068349,-0.207899904225092,0.836150819519324,0.938604087132907,-6.26547439753152
"COL1A1",-0.173534367571311,1.41794131755679,-0.206687293202659,0.837092663627265,0.938604087132907,-6.26572186597291
"CPN1",-0.173534367571311,2.26860933054171,-0.206578648515772,0.837177060537185,0.938604087132907,-6.26574396753589
"LDHA",-0.173534367571311,1.7039208865796,-0.20654510055385,0.837203121514354,0.938604087132907,-6.26575078984583
"IGFBP3",-0.173534367571311,1.59150732086787,-0.206363801859928,0.837343962497382,0.938604087132907,-6.26578763958874
"eNO1",-0.173534367571311,2.92915499641106,-0.206241150674529,0.837439246502589,0.938604087132907,-6.2658125506534
"PFN1",-0.173534367571311,1.82158817742358,-0.204005178024484,0.839176735357391,0.938604087132907,-6.26626409627072
"AFM",-0.173534367571311,3.64994722284964,-0.2027320931198,0.840166362453203,0.938604087132907,-6.2665189953184
"KRT6C",-0.25250622198721,2.43459542956762,-0.202194311934948,0.840584482658633,0.938604087132907,-6.26662619213103
"HBB",-0.173534367571311,3.60913296436354,-0.201930931780185,0.840789275355554,0.938604087132907,-6.2666785884349
"FeRMT3",-0.173534367571311,1.87093697072839,-0.201573961766104,0.841066857081242,0.938604087132907,-6.26674949448435
"KRT7",-0.173534367571311,3.03408196945055,-0.201501226696686,0.841123418744325,0.938604087132907,-6.26676392671454
"LBP",-0.173534367571311,1.88723308630652,-0.200612054584258,0.841814942308643,0.938604087132907,-6.26693993759229
"SeRPINA6",-0.173534367571311,1.95604734449887,-0.199231242026886,0.84288907164395,0.938604087132907,-6.26721172784839
"RBP4",-0.173534367571311,1.84808540045016,-0.198831438714085,0.843200133583988,0.938604087132907,-6.26729007268434
"TAGLN2",-0.173534367571311,1.82556932981405,-0.198784713705601,0.843236489035038,0.938604087132907,-6.26729921859022
"TBA1B",-0.173534367571311,2.82043278934966,-0.19665201273226,0.844896250449345,0.938604087132907,-6.26771438685925
"TUBA4A",-0.173534367571311,2.95719026205517,-0.196174688760317,0.845267822339214,0.938604087132907,-6.26780669415989
"KRT5",-0.173534367571311,4.75060084572523,-0.195397648659183,0.845872783468182,0.938604087132907,-6.2679564829956
"SeRPINA3-8",-0.173534367571311,2.68654625935087,-0.194079048401754,0.846899587906641,0.938604087132907,-6.26820930933102
"CHIA",-0.173534367571311,2.39387368752129,-0.193342512468258,0.847473250964089,0.938604087132907,-6.26834978754687
"SeRPINA3-2",-0.173534367571311,4.82604857429141,-0.19331322631211,0.847496062689052,0.938604087132907,-6.26835536222016
"FGG",-0.173534367571311,1.96575190415694,-0.19233181574594,0.848260584102749,0.938604087132907,-6.26854168794338
"KRT75",-0.173534367571311,3.70013749810656,-0.18869665951264,0.851093656197837,0.938604087132907,-6.26922359118239
