"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-7.32364477576308,8.0225757952076,-29.2628390499174,3.83303450886342e-33,8.58599729985406e-31,58.9979441884723
"P02768",8.37769054360466,3.53014814150613,18.0586943475495,1.44151338359307e-23,1.26674953192492e-21,41.4458821619304
"P13645",7.06267843266285,3.28286207275526,17.9911887425514,1.69653955168517e-23,1.26674953192492e-21,41.3049930234322
"P63261",5.41858293168985,2.73660694264868,17.1390638650368,1.37952358243021e-22,6.18026564928732e-21,39.4807379740877
"P60709",5.41858293168985,2.73660694264868,17.1390638650368,1.37952358243021e-22,6.18026564928732e-21,39.4807379740877
"A2M",-6.32887078636787,7.04890177435079,-16.990981855019,2.00082801791715e-22,7.46975793355735e-21,39.1548800799854
"AHSG",-5.9297290835855,6.45909865672305,-16.8889067993605,2.58883634110794e-22,8.28427629154541e-21,38.9287052697893
"TF",-5.79821077522523,6.62833730330571,-16.7114245423158,4.06261120588209e-22,1.13753113764699e-20,38.5323970643341
"KRT1",7.48168523252873,3.56366728071721,16.3903179783578,9.25997386000826e-22,2.30470460515761e-20,37.8054367606137
"KRT9",6.60767843490621,3.05443713763583,15.491335730651,9.8771712917667e-21,2.21248636935574e-19,35.7003212932028
"TLN1",6.60767843490621,3.01286371076434,14.0228724017272,5.77274641875763e-19,1.17554108891065e-17,32.0299367383487
"C3",-5.88297159253859,6.80831847634258,-13.7251374212121,1.35960567690397e-18,2.5379305968874e-17,31.249289091481
"AFP",-4.84636662711169,5.82309093743856,-13.4745286803588,2.8201381437917e-18,4.85931495545647e-17,30.5824305651369
"SeRPINA1",-5.6123878907418,6.48107743762678,-13.4388917323569,3.13044093732062e-18,5.00870549971298e-17,30.4868722593587
"TUBB1",4.34653678191729,1.59234073883428,12.2598567353842,1.08394962052915e-16,1.6186980999902e-15,27.2216329747599
"P68366",5.10517080157072,2.08258765709156,11.7074043342571,6.06726839296705e-16,8.49417575015386e-15,25.6217745505459
