"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02768",6.99314875899606,3.53014814150613,16.853488394754,2.83166781856219e-22,6.3429359135793e-20,39.3243613563248
"P13645",5.14559331038441,3.28286207275526,14.654833590161,9.71302654742273e-20,1.08785897331135e-17,33.989370045335
"P63261",3.83802800963083,2.73660694264868,13.5726458990145,2.11743137876858e-18,1.1857615721104e-16,31.1283832587947
"P60709",3.83802800963083,2.73660694264868,13.5726458990145,2.11743137876858e-18,1.1857615721104e-16,31.1283832587947
"KRT1",5.40628121945432,3.56366728071721,13.2416341786109,5.59500974261834e-18,2.50656436469302e-16,30.2207734105346
"KRT9",4.68211282386701,3.05443713763583,12.2726075729917,1.04219070215748e-16,3.89084528805459e-15,27.474333750689
"TLN1",4.4977146569094,3.01286371076434,10.6717339257237,1.70247415395372e-14,5.44791729265191e-13,22.6432603241397
"KRT2",5.20499579394517,3.15887506003387,7.63565716494637,6.07402630469221e-10,1.70072736531382e-08,12.580503714661
"P01024",4.84689188875327,2.35144295118694,7.1322653243479,3.70816561317172e-09,9.22921219278295e-08,10.8348018289964
"MYH9",4.09161287467867,2.17147436226733,6.60021544136211,2.52357894600346e-08,5.65281683904774e-07,8.98405873841552
"P19823",2.8489969039379,1.95199204990044,6.28887775135877,7.7404612411164e-08,1.57623938000916e-06,7.90291061981041
"P01023",5.2706565492783,2.56133651287742,6.13067306082956,1.36615264262266e-07,2.55015159956231e-06,7.35516330116709
"C4A",3.62793490823978,1.92122048006565,6.04606195711378,1.85018495907069e-07,3.18801100639872e-06,7.06285689815415
"KRT14",3.90915000644325,2.68973372823354,5.91063396940504,3.00338273101234e-07,4.80541236961975e-06,6.59612041024774
"eeF1A1P5",2.52250255138823,2.0344425061276,5.51673185897221,1.21792742232466e-06,1.81877161733816e-05,5.24889136213332
"P68104",2.52250255138823,1.96523511745077,5.47660651550263,1.40330086013191e-06,1.96462120418467e-05,5.11271353055849
"CFD",-2.2918412685016,1.76934998426834,-5.31659286952972,2.46385835398896e-06,3.24649571349134e-05,4.5720099105069
"P13647",3.88316619255571,2.68452794778343,5.15547719239167,4.32652179674675e-06,5.38411601372929e-05,4.03180486034114
"P68032",3.03019106885395,2.10659978605528,5.08612923562282,5.50590629403166e-06,6.49117373612154e-05,3.80073787497849
"APOD",-2.06450854692001,1.954804178567,-4.94274386867913,9.03888348389985e-06,0.000101235495019678,3.32602267590643
"HBA1",2.41339598438404,1.88969620876951,4.76821694695981,1.64367013746321e-05,0.000175324814662743,2.75428442318556
"VTN",1.92839806115406,1.52379352816746,4.75004227935453,1.74863535257425e-05,0.000178042872262106,2.69515974103187
"KRT6A",4.25539218671517,2.67428440972459,4.69249103308411,2.12628315522774e-05,0.000207081489900441,2.50848223103686
"FLNA",2.5784372363225,2.12980106281586,4.66929624481253,2.30014317416116e-05,0.000214680029588375,2.43348493935229
"KRT16",3.34404925116251,2.5364333186317,4.48502101968967,4.27512200906519e-05,0.000383050932012241,1.84281468548819
"P01008",2.91925447152015,1.82429362274305,4.44259938028732,4.92485011900882e-05,0.000424294779483837,1.70820301529075
"KRT79",-3.29761734433733,2.44652612012048,-4.35950162134516,6.48855229759181e-05,0.000538309523948357,1.44609204940489
