"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",-3.29365516617596,2.12980106281586,-5.96448557385373,2.47752052532919e-07,5.54964597673738e-05,6.8180061133175
"P68366",-1.99958641543218,2.08258765709156,-5.1267899598733,4.78067137476027e-06,0.000365814687165082,4.00637557035375
"P07900",-2.8610255688469,1.58250706049443,-5.11973915085861,4.89930384596092e-06,0.000365814687165082,3.98314266640451
"C4A",2.84090745284265,1.92122048006565,4.73445717984137,1.84386088498839e-05,0.000932749650124263,2.72894560634455
"TUBB1",-1.48997816957249,1.59234073883428,-4.69869167619908,2.08203046902737e-05,0.000932749650124263,2.61421241112259
"P63261",-1.1948538811803,2.73660694264868,-4.22543258924347,0.000100828362452982,0.00322650759849544,1.12898717756957
"P60709",-1.1948538811803,2.73660694264868,-4.22543258924347,0.000100828362452982,0.00322650759849544,1.12898717756957
"P26038",-2.22252553645453,1.46456907161834,-4.10758025643075,0.000147889533427388,0.00380271065840507,0.769926466282255
"TUBB",-2.30673131469562,1.6982673327166,-4.09749355737014,0.000152787481810918,0.00380271065840507,0.739418523825965
"ACTB",-1.1948538811803,4.69839418045775,-3.93636507539077,0.000255955433317169,0.00458500366559084,0.257093669089349
"ACTG1",-1.1948538811803,4.69839418045775,-3.93636507539077,0.000255955433317169,0.00458500366559084,0.257093669089349
"P11142",-1.67439650591031,1.58731738439312,-3.92917436099639,0.000261863791472138,0.00458500366559084,0.235795895601181
"P68371",-2.03702438030291,1.75239805099663,-3.92412165765645,0.000266093962735183,0.00458500366559084,0.220842522361406
"P19823",1.75678677914918,1.95199204990044,3.87793236068513,0.000307946794103191,0.00492714870565105,0.0846076919030061
"HSP90AB1",-2.47169006108058,1.74196872511885,-3.82809119185679,0.000360215018642744,0.00537921094506498,-0.0614495315682495
"TUBA1B",-1.78739523509548,1.94726573425111,-3.79504962401494,0.000399468420204639,0.00559255788286494,-0.157722000503502
"TUBA1A",-2.47462952657535,1.56754237636975,-3.71619124245825,0.000510478997746145,0.00672631149971391,-0.385657200573766
"TLN1",-1.55741724453457,3.01286371076434,-3.69528609812417,0.000544549518423838,0.00673592861068849,-0.445639959268722
"P02768",1.52684855692381,3.53014814150613,3.67970499720309,0.000571351087513756,0.00673592861068849,-0.490223818535616
"FBLN1",1.63888342075524,1.54404194159371,3.34818992010759,0.00155121176601038,0.0173735717793162,-1.41256600099222
"PKM",-1.30616133115441,1.62531181936248,-3.30288649343732,0.00177155019472659,0.018896535410417,-1.53448691840905
"VTN",1.2907556136082,1.52379352816746,3.1793973767449,0.00253225984810969,0.0257830093625714,-1.86143067216402
"eZR",-1.79142938432677,1.43813744469939,-2.96381644748189,0.00464232152171961,0.0452121748202258,-2.41231123548098
"SeRPINA5",1.49050711292797,4.45905450628944,2.89024054776289,0.00567860388264866,0.0530003029047208,-2.59422946684257
"KLKB1",1.51535506160565,2.41074025784797,2.86057122524474,0.00615432968663546,0.0551427939922537,-2.66667624645377
"TUBA4A",-1.99958641543218,2.95719026205517,-2.76849205823872,0.00787619498993544,0.0678564491440591,-2.88810401857692
"GPI",-1.46393747403258,1.26430635318619,-2.74898153012747,0.00829394987388697,0.0688090656203956,-2.93434869415874
"TUBB5",-2.30673131469562,2.17356382256763,-2.72675327673107,0.00879472574584581,0.0703578059667665,-2.98674376388676
"P08238",-1.63491923022422,1.39869698286489,-2.648621416488,0.0107837932969157,0.0812573131447165,-3.16841689547108
"APOB",2.14753197502074,1.88182983813944,2.64509267732415,0.010882675867596,0.0812573131447165,-3.17652925208622
"HRG",1.48896402968492,1.89807251096587,2.52686749429329,0.0147150609654603,0.104464376614636,-3.4435909357356
"FeRMT3",-1.76326817335515,1.87093697072839,-2.50849322479298,0.0154102742821587,0.104464376614636,-3.48425996899668
"TUBB4B",-2.0370243803029,2.13742188267733,-2.50813053807514,0.0154242918477684,0.104464376614636,-3.48506043008816
"CLeC3B",1.5279967969156,2.59057900230815,2.49709934196707,0.0158562000218643,0.104464376614636,-3.50936399271416
"TBA1B",-1.78739523509548,2.82043278934966,-2.48072785827076,0.0165174100124996,0.105711424079997,-3.5452804857104
"HSPA8",-1.67439650591031,2.17635520350126,-2.46906583116324,0.0170035218685566,0.105799691626574,-3.57075351056695
"HSP90AA1",-1.87053759221991,2.08255886911779,-2.43045880750661,0.0187064082357575,0.113249606616478,-3.6544144878418
"CFH",1.44702397631381,4.73751401127154,2.38529808354881,0.0208922989300134,0.123154604219026,-3.75096438335972
"KRT14",1.51713334766546,2.68973372823354,2.293905295537,0.0260296817964939,0.14844970269481,-3.94194946054766
"P09429",1.28757411835331,1.37638461910149,2.28622492313206,0.026508875481216,0.14844970269481,-3.95772698584226
"P68133",1.96446616803855,1.43737644173672,2.24396800885678,0.029288366783136,0.158926739049624,-4.04376884868072
"IGFBP2",2.42857589668429,2.56489382133601,2.23659791356213,0.0297987635718046,0.158926739049624,-4.05864224233223
"SeRPINF1",-0.767360499283098,4.47146455055078,-2.15708994561446,0.0358257378794225,0.186627099650945,-4.21654816976104
"P01024",1.45634224821194,2.35144295118694,2.14302682125155,0.0369967223792097,0.188346950294159,-4.2439885117383
"KRT3",1.36181906948866,1.74723983828543,2.10987266606307,0.0398910569660557,0.198568816897699,-4.30809089415522
"C7",-1.37149047683346,3.17167040737004,-2.06596605347436,0.0440274149353016,0.214394368380599,-4.39170001186543
"LDHA",-1.39348663230478,1.7039208865796,-2.03131762423699,0.0475501558258415,0.226622019255074,-4.45663757146117
"KRT16",1.49233019042274,2.5364333186317,2.00150529183645,0.0507740507320149,0.232736908931151,-4.51176928434855
"DSP",1.6809842865674,1.57262262338927,2.0002736927774,0.0509111988286893,0.232736908931151,-4.51403202671806
"KRT6C",2.01833957490689,2.43459542956762,1.97941435407703,0.0532830419075099,0.238417834252351,-4.5521759678479
"JUP",1.62737578403888,2.00926215738103,1.97075333306523,0.0542954483899086,0.238417834252351,-4.56791381061012
"AHCY",-1.15873108387255,2.09427844707235,-1.96190318441002,0.0553469972371528,0.238417834252351,-4.58393455681679
"HSPA1B",-1.15122840255207,2.38372430703903,-1.92787510064391,0.0595544632716219,0.247040736534135,-4.64495862435617
"HSPA1A",-1.15122840255207,2.38372430703903,-1.92787510064391,0.0595544632716219,0.247040736534135,-4.64495862435617
"Q04695",1.31884957270774,2.19354047619982,1.907371833438,0.062219350324639,0.25340244495853,-4.68128571059528
"KRT6B",2.07113986230086,2.49674812989069,1.85255759437253,0.0698472698237298,0.279389079294919,-4.77675678820329
"P08727",1.22211430966939,1.50896968556269,1.81830285123256,0.0750047207044767,0.294755393645663,-4.83519149645557
"HBA1",0.915334130649123,1.88969620876951,1.80845238084947,0.0765458470404738,0.295625340294244,-4.85181919776662
"FN1",1.58744450580425,3.70447587721651,1.78307966353811,0.0806383340141342,0.2993307495752,-4.89428454916247
"PGK1",-1.08139190612891,1.58291474149192,-1.77639064694358,0.081747234968803,0.2993307495752,-4.90539206928182
"ALB",-0.397437115344601,8.0225757952076,-1.77546704608956,0.0819013456314291,0.2993307495752,-4.90692288499826
"MSN",-1.50357299190453,1.53889918459733,-1.76981060521091,0.0828504753288501,0.2993307495752,-4.91628285361154
"KRT77",1.31201812565743,1.39040619227983,1.75385583120957,0.0855772121576889,0.304274532116227,-4.94254234861884
"KRT13",0.985101677162894,1.73143413968201,1.73335914449741,0.089189430961394,0.312163008364879,-4.97596951599587
"ACTA1",1.96446616803855,2.36297496839623,1.7179122593822,0.0919945468018584,0.317027361286404,-5.00093165688406
"P04272",1.29311942095511,1.39724294874033,1.69810648074755,0.0956976521785978,0.324792031636453,-5.03264800265051
"DDBX",-0.816219258636343,1.28981023007758,-1.66693911648422,0.101773294219441,0.340256983659027,-5.08189608004187
"F12AI",1.00035899794627,4.20663262039804,1.64804694122172,0.105607652064886,0.347884030331389,-5.1113517512286
"FGG",-1.1957293592489,1.96575190415694,-1.62309580988227,0.110851809137495,0.356987962250818,-5.14979364791753
"TF",-0.502676515603594,6.62833730330571,-1.61980627164429,0.111558738203381,0.356987962250818,-5.15482256308093
"KRT7",1.11445604023942,3.03408196945055,1.58489599848026,0.119288971386086,0.376348304091315,-5.20762643378124
"KRT72",1.45624339918505,1.8955809951859,1.56080197525886,0.124872167552949,0.388491187942508,-5.24346471945704
"ADIPOQ",0.591855212397508,2.79383412952405,1.5382183702602,0.130294111045776,0.399806587318546,-5.2766051357814
"HSPA1L",-0.972296414312472,1.53063619309499,-1.50466261833155,0.138695978124547,0.411134262743751,-5.32503626087482
"KRT73",1.02419620275132,2.30143899068349,1.50278753023816,0.139177875825185,0.411134262743751,-5.32771389759799
"FGB",-0.972427563832056,2.88157124287961,-1.50156809787116,0.139491982002344,0.411134262743751,-5.32945362120779
"KRT19",1.41443912106429,2.90798190215825,1.48325447303623,0.144277186717266,0.419130725522957,-5.35542606394086
"KRT9",0.563479833583762,3.05443713763583,1.47697570157156,0.145947306208887,0.419130725522957,-5.36426362926572
"HMGB1",1.28757411835331,1.57185030634935,1.46183636885612,0.150036975716214,0.425421298233315,-5.38543165590747
"LDHB",-0.912107512460353,1.70047910519436,-1.4457305457849,0.154486007793281,0.431479708501899,-5.40773164539929
"eNO1",-0.989462525479096,2.92915499641106,-1.44023979198594,0.156026144592204,0.431479708501899,-5.41528228618406
"RBP4",1.0185266041229,1.84808540045016,1.42928081569269,0.159135949674433,0.434712838135038,-5.43027366719321
