"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -7.24708369283692 8.0225757952076 -28.95692652743 6.30187587741165e-33 1.41162019654021e-30 58.6414403956639
"P13645" 7.08622011120695 3.28286207275526 18.0511578868415 1.46793601000578e-23 1.64408833120648e-21 41.4301789650551
"KRT1" 8.13037843976181 3.56366728071721 17.8114266733246 2.62368773355903e-23 1.95902017439074e-21 40.9272523061041
"A2M" -6.10415668596276 7.04890177435079 -16.3876967933656 9.32288891535768e-22 5.2208177926003e-20 37.7994493949528
"TF" -5.61384358872421 6.62833730330571 -16.1800471149108 1.59792232700634e-21 7.1586920249884e-20 37.322367409593
"P63261" 5.06151400017211 2.73660694264868 16.0096491640617 2.49531936037139e-21 7.98502195318844e-20 36.9267664012169
"P60709" 5.06151400017211 2.73660694264868 16.0096491640617 2.49531936037139e-21 7.98502195318844e-20 36.9267664012169
"KRT9" 6.36036633106336 3.05443713763583 14.9115262153084 4.77443128957961e-20 1.33684076108229e-18 34.286249945841
"AHSG" -5.12714607804911 6.45909865672305 -14.603009857327 1.12211808305296e-19 2.79282722893181e-18 33.5152868610136
"P02768" 6.692665563912 3.53014814150613 14.4265058681738 1.83900711316468e-19 4.11937593348888e-18 33.0683319808578
"SeRPINA1" -5.59822984452909 6.48107743762678 -13.4049902177257 3.45777952320148e-18 7.04129648361029e-17 30.3957981778765
"C3" -5.67259881240137 6.80831847634258 -13.2343318356934 5.71712783887034e-18 1.06719719658913e-16 29.9348245992539
"AFP" -4.62274070502562 5.82309093743856 -12.8527734289167 1.78333710831854e-17 3.07282701741041e-16 28.888945509034
"TLN1" 5.82089805568969 3.01286371076434 12.3531602668793 8.13523146008429e-17 1.30163703361349e-15 27.4874169796831
"APOA1" -5.8833719194324 5.83793754773609 -11.2227795034925 2.83925063821024e-15 4.2399476197273e-14 24.1815970875702
"P68366" 4.81171844524615 2.08258765709156 11.0344463624542 5.21414161009014e-15 7.2997982541262e-14 23.612722750968
"GC" -4.10380183263657 5.15266420639357 -11.007655549484 5.68713691796289e-15 7.49363923308051e-14 23.5313837849354
"ACTB" -3.7017040895876 4.69839418045775 -10.9075512843698 7.8731858801357e-15 9.28207177447577e-14 23.226547952872
"ACTG1" -3.7017040895876 4.69839418045775 -10.9075512843698 7.8731858801357e-15 9.28207177447577e-14 23.226547952872
"TUBB1" 3.7373739974329 1.59234073883428 10.5416500708562 2.61294855478212e-14 2.92650238135597e-13 22.1001713068765
"HBBF" -4.01960911397506 5.20161125704235 -9.59426444004996 6.29453199083926e-13 6.71416745689521e-12 19.0980666122056
"FeTUB" -3.78253015890913 4.65955917386766 -9.30779115006764 1.6813672995502e-12 1.69417845370581e-11 18.1672392952212
"KRT2" 7.08622011120695 3.15887506003387 9.29791709501863 1.73955823371579e-12 1.69417845370581e-11 18.1349762327756
"ITIH4" -4.44949946797895 5.68496499135984 -9.05631704313558 4.01213442204365e-12 3.74465879390741e-11 17.3419535245969
"eeF1A1P5" 4.6184570360474 2.0344425061276 9.03425121432239 4.33164975070135e-12 3.88115817662841e-11 17.2691865985399
"P11142" 4.28420889897534 1.58731738439312 8.99204817351656 5.01602540426662e-12 4.3214988098297e-11 17.1298585896819
"P68104" 4.6184570360474 1.96523511745077 8.96854158002585 5.44348385701356e-12 4.51607549618902e-11 17.0521673518111
"HBA" -3.59902325396157 4.62559023340705 -8.87855533535585 7.44834873967198e-12 5.95867899173759e-11 16.7541863621727
"TUBA1B" 4.65632388191272 1.94726573425111 8.84270298464899 8.44137953979226e-12 6.52023798935678e-11 16.6352165686525
"PKM" 3.57777561793979 1.62531181936248 8.09198222779941 1.19097897576007e-10 8.60714604289592e-10 14.1144484230242
"P19823" 4.09851342438376 1.95199204990044 8.09193770536112 1.1911675327222e-10 8.60714604289592e-10 14.1142974106082
"HBA1" 4.55168470168691 1.88969620876951 8.0434910927112 1.4152100222256e-10 9.90647015557918e-10 13.9498812815772
"FLNA" 4.86178400498355 2.12980106281586 7.87472721180949 2.5827852671306e-10 1.75316333284017e-09 13.3757385093442
"GSN" -3.62801011018203 4.75887842710271 -7.86412123847447 2.68246479665205e-10 1.76727092485312e-09 13.3395873328608
"SeRPINF1" -3.11601149288337 4.47146455055078 -7.83452840012858 2.98151282251692e-10 1.90816820641083e-09 13.2386769426331
"VTN" 3.46789315033524 1.52379352816746 7.64031897842545 5.97340328808821e-10 3.71678426814378e-09 12.5750128764756
"P04406" 4.03827569295793 1.63629529099176 7.47721552068589 1.07229463524232e-09 6.37759758324436e-09 12.0159483567688
"C4" -3.70702734398751 4.71262774733524 -7.47472841631618 1.08191387572895e-09 6.37759758324436e-09 12.0074127898477
"KRT14" 5.4879711991659 2.68973372823354 7.42178802872146 1.308511330896e-09 7.4537814842022e-09 11.8256559365506
"A1BG" -3.13605017852252 4.1781310077701 -7.41703868403228 1.33103240789325e-09 7.4537814842022e-09 11.8093440228282
"P68371" 4.28495159199915 1.75239805099663 7.38307278174028 1.50384047890528e-09 8.21610407987274e-09 11.6926570998021
"KRT13" 4.54477678464281 1.73143413968201 7.15261828895377 3.44607050905741e-09 1.83790427149728e-08 10.899782776528
"P07996" 4.72486060540485 2.092374929761 7.12140423819374 3.85610660886195e-09 2.00876251252343e-08 10.7922614174704
"P13647" 5.9516994589803 2.68452794778343 7.06754981223638 4.68175048118766e-09 2.38343660860463e-08 10.6066955496831
"TUBB" 4.42750371293553 1.6982673327166 7.03436979909442 5.27633199753595e-09 2.62644081655123e-08 10.4923358562991
"P02788" 3.43578606688803 1.45774634577412 6.96682831185501 6.73054544482418e-09 3.27748299921873e-08 10.2594828382912
"AGT" -3.77449966363094 5.26136865827236 -6.76148900086772 1.41106585939443e-08 6.72507984051814e-08 9.55127245584022
"Q04695" 5.17041310397123 2.19354047619982 6.68821674984294 1.83766548736008e-08 8.57577227434706e-08 9.29854421548551
"P07900" 4.0813077314227 1.58250706049443 6.53236481127027 3.22247519000834e-08 1.47313151543239e-07 8.76117368723966
"CFH" -4.41735035795143 4.73751401127154 -6.51289042983871 3.45665227233193e-08 1.5485802180047e-07 8.69405716288341
"P26583" 4.07295608842023 1.35952732575011 6.50064701836811 3.61249798220895e-08 1.58666578042119e-07 8.65186597835017
"P68032" 4.30711726699857 2.10659978605528 6.46619901361345 4.08963732024644e-08 1.7616899225677e-07 8.53317738377357
"P02771" 3.38484052390311 1.46420732564624 6.44881945516229 4.35373042941655e-08 1.84006720035718e-07 8.47330938659548
"KRT16" 5.32732231178121 2.5364333186317 6.3906610554007 5.36756004584185e-08 2.22654342642328e-07 8.27303626570682
"SeRPINC1" -4.02719156885669 5.1272802214854 -6.36621575590784 5.86106598793484e-08 2.36469270772825e-07 8.18889096690074
"P01024" 4.83513897085133 2.35144295118694 6.36382330258069 5.91173176932063e-08 2.36469270772825e-07 8.18065686331577
"P09429" 3.94159466138228 1.37638461910149 6.25984631638534 8.59176410599078e-08 3.37641256095076e-07 7.8230239447896
"KNG1" -3.62340717550802 4.64400516719177 -6.17045066317115 1.1844437730597e-07 4.574403537334e-07 7.51595049720731
"MYH9" 4.26107049212955 2.17147436226733 6.1479069786018 1.28424684477729e-07 4.87578463101886e-07 7.43858153700007
"KRT3" 4.41654203278032 1.74723983828543 6.12018000961427 1.41854794038661e-07 5.29591231077666e-07 7.34346489903946
"P26038" 3.63483977066365 1.46456907161834 6.00854838554947 2.11617060957402e-07 7.77085600892753e-07 6.96101872375511
"KRT6A" 5.91462053689587 2.67428440972459 5.83358781675519 3.95399786162515e-07 1.42854116290973e-06 6.36351606045236
"SeRPINA5" -3.31054956545957 4.45905450628944 -5.74175985731179 5.48382915325438e-07 1.94980592115711e-06 6.05102205543698
"KRT5" -4.62527328954671 4.75060084572523 -5.70508156063358 6.24777366188494e-07 2.18672078165973e-06 5.9264447776675
"PLG" -4.01937053323676 5.25419591521744 -5.68248051685223 6.77015639011733e-07 2.33310004828659e-06 5.84975303485128
"Q5XKe5" 4.16592639297361 1.57462061995481 5.67385815863607 6.98066934232856e-07 2.36919686769939e-06 5.82050984128861
"HPX" -3.56746024093629 4.51211037932 -5.62280077054101 8.36708787573539e-07 2.79735475248467e-06 5.64751983002891
"P01023" 5.37831088315182 2.56133651287742 5.59544118196712 9.21900601599103e-07 3.03684904056175e-06 5.55494776030797
"Q7RTS7" 3.93622176203229 1.40459970723818 5.55028147111841 1.0817092265445e-06 3.51163574994155e-06 5.40234958701396
"P01008" 4.05279445314927 1.82429362274305 5.51651456458399 1.21886286256513e-06 3.90036116020841e-06 5.28841829912269
"P06396" 4.35193461530638 2.12955510936767 5.3133401605321 2.49212148061115e-06 7.86246776981545e-06 4.60625708162485
"KRT8" 4.17760217387019 1.57238229373487 5.28803385746432 2.72323219944625e-06 8.47227795383279e-06 4.52172795880948
"SeRPINF2" -3.19680349674918 4.40365952530721 -5.25663436435338 3.03960007888898e-06 9.28393465538747e-06 4.41699125661089
"THBS1" -2.70025332751421 3.81444994666643 -5.25406738226184 3.06701412722622e-06 9.28393465538747e-06 4.40843601294821
"KRT77" 4.33359198726711 1.39040619227983 5.18139938477878 3.95290628522329e-06 1.18060134385336e-05 4.16671475039032
