"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"TUBB1" -2.56314817638057 1.59234073883428 -6.59971416622768 2.52814175220169e-08 5.66303752493178e-06 8.97056763003281
"P68366" -2.51966347744723 2.08258765709156 -5.27475459220467 2.85284983516286e-06 0.00031951918153824 4.51466614200951
"P11142" -2.58926970813116 1.58731738439312 -4.96106198698721 8.48600832570708e-06 0.000633621954986128 3.48938579924517
"FBLN1" -2.51966347744723 1.54404194159371 -4.20299558824756 0.000108491659770532 0.00607553294714979 1.10394989974568
"TUBA1B" -1.39453876905242 1.94726573425111 -2.41758541054334 0.0193075110087812 0.864976493193399 -3.60898203064071
"P68032" 1.66167824323103 2.10659978605528 2.27729179486956 0.0270760933853591 0.885227418886548 -3.90127410880705
"KRT8" 1.9419005920985 1.57238229373487 2.24390009931492 0.0292930340957282 0.885227418886548 -3.96877732971568
"P26038" 1.46535530033577 1.46456907161834 2.21124369744288 0.0316152649602338 0.885227418886548 -4.03401089949575
"P68371" -1.23439153989671 1.75239805099663 -1.94157219210494 0.0578290618401057 0.999938122001223 -4.54220120903512
"MYH9" -1.31795625791669 2.17147436226733 -1.73587697392225 0.0887389954528571 0.999938122001223 -4.89167818617027
"TUBA1A" -1.39453876905242 1.56754237636975 -1.70990832965581 0.0934765229721196 0.999938122001223 -4.93335948197554
"P07900" -1.16176940740027 1.58250706049443 -1.6974633331234 0.0958199340158541 0.999938122001223 -4.95313719087757
"P68133" 1.66167824323103 1.43737644173672 1.54979198788344 0.12749241428522 0.999938122001223 -5.17793523012941
"P08238" -1.16176940740027 1.39869698286489 -1.536731136646 0.130657676932589 0.999938122001223 -5.19693002459753
"APOB" -1.47519857830444 1.88182983813944 -1.48356339796626 0.144195405452605 0.999938122001223 -5.27274429337598
"P02768" -0.485286153541768 3.53014814150613 -0.954925102700147 0.344205342037021 0.999938122001223 -5.89020053486916
"P63261" -0.265762505007624 2.73660694264868 -0.767369366456332 0.446467086304062 0.999938122001223 -6.04745191067837
"P60709" -0.265762505007624 2.73660694264868 -0.767369366456332 0.446467086304062 0.999938122001223 -6.04745191067837
"P01023" -0.560719420838375 2.56133651287742 -0.532529177665904 0.596716043561936 0.999938122001223 -6.19701215377919
"P19823" -0.274288973285699 1.95199204990044 -0.49436065007433 0.623214513537941 0.999938122001223 -6.21628262019307
"DSP" 0.450491803654199 1.57262262338927 0.437690412557196 0.663493838378962 0.999938122001223 -6.24227627173025
"KRT9" 0.202937776347587 3.05443713763583 0.434322412256778 0.665921106392673 0.999938122001223 -6.24372243012402
"ALB" 0.11767456963102 8.0225757952076 0.429221218399676 0.669604329818298 0.999938122001223 -6.24589168057266
"P02788" -0.228895351813444 1.45774634577412 -0.423696956515361 0.673602272829932 0.999938122001223 -6.24821214991554
"PKM" 0.189656754332093 1.62531181936248 0.391579106611061 0.697031533397097 0.999938122001223 -6.26111195283981
"P08727" 0.321960120546347 1.50896968556269 0.391120736697705 0.697368135726081 0.999938122001223 -6.26128874442698
"VTN" 0.161744222621159 1.52379352816746 0.325299905028295 0.746310140984806 0.999938122001223 -6.28453717458037
"ACTB" 0.11767456963102 4.69839418045775 0.316531955267239 0.752915263755441 0.999938122001223 -6.28731315871234
"ACTG1" 0.11767456963102 4.69839418045775 0.316531955267239 0.752915263755441 0.999938122001223 -6.28731315871234
"TF" 0.11767456963102 6.62833730330571 0.309607497621416 0.758144865567259 0.999938122001223 -6.28945210045304
"P01008" 0.248414512234429 1.82429362274305 0.308671499376335 0.758852647141665 0.999938122001223 -6.28973761194045
"AHSG" 0.11767456963102 6.45909865672305 0.30595579458731 0.760907380586661 0.999938122001223 -6.29056112121092
"KRT6A" 0.33757631756727 2.67428440972459 0.303941639250048 0.762432437499388 0.999938122001223 -6.29116721075788
"P09429" 0.208750589927612 1.37638461910149 0.302641721391136 0.76341720080626 0.999938122001223 -6.29155625808242
"AFP" 0.11767456963102 5.82309093743856 0.298668426118849 0.766429642150261 0.999938122001223 -6.29273511090756
"A2M" 0.11767456963102 7.04890177435079 0.288392686536219 0.774237201706132 0.999938122001223 -6.29571187360772
"GC" 0.11767456963102 5.15266420639357 0.288137939215573 0.774431062925557 0.999938122001223 -6.29578435180912
"P01024" -0.227611788697097 2.35144295118694 -0.273472260329666 0.785615615873878 0.999938122001223 -6.29984925296875
"SeRPINF1" 0.11767456963102 4.47146455055078 0.270088320327584 0.788202907683643 0.999938122001223 -6.30075713293021
"HBA" 0.11767456963102 4.62559023340705 0.265002303293053 0.792096096533064 0.999938122001223 -6.3021004648698
"FeTUB" 0.11767456963102 4.65955917386766 0.264335946607439 0.792606570281537 0.999938122001223 -6.30227457817296
"P06396" -0.232383852239211 2.12955510936767 -0.259000487975793 0.796697172813865 0.999938122001223 -6.30365292557421
"TPI1" 0.11767456963102 1.33011943252042 0.258914085785585 0.796763463565314 0.999938122001223 -6.30367501586928
"SeRPINA1" 0.11767456963102 6.48107743762678 0.257221799295525 0.798062148299104 0.999938122001223 -6.30410619792307
"HBBF" 0.11767456963102 5.20161125704235 0.256401084513036 0.798692184118991 0.999938122001223 -6.30431429459702
"A1BG" 0.11767456963102 4.1781310077701 0.254061897120602 0.800488641283335 0.999938122001223 -6.30490376906774
"C3" 0.11767456963102 6.80831847634258 0.25061781875467 0.803135613760805 0.999938122001223 -6.30576186867808
"ADIPOQ" 0.11767456963102 2.79383412952405 0.249712053461198 0.803832134456793 0.999938122001223 -6.30598560202861
"KRT16" -0.225547904227342 2.5364333186317 -0.246993192805688 0.805923861658971 0.999938122001223 -6.30665233567316
"AMBP" 0.11767456963102 3.20142321680015 0.24213318291658 0.809666416497798 0.999938122001223 -6.30782599366199
"GAPDH" 0.11767456963102 2.9599419780984 0.235343921439664 0.81490213071088 0.999938122001223 -6.30942659622985
"GSN" 0.11767456963102 4.75887842710271 0.23284864082394 0.816828586764943 0.999938122001223 -6.31000345835485
"KRT77" -0.212422317216667 1.39040619227983 -0.231850783923869 0.817599292007967 0.999938122001223 -6.31023242689355
"APOD" 0.11767456963102 1.954804178567 0.230032081891604 0.81900445244275 0.999938122001223 -6.31064722297101
"CFD" 0.11767456963102 1.76934998426834 0.222887574522867 0.824530178682093 0.999938122001223 -6.31224513513755
"F13A1" 0.11767456963102 1.67684231089571 0.221698176352245 0.825450965207336 0.999938122001223 -6.3125062665213
"HABP2" 0.11767456963102 1.33364828925658 0.219837071625589 0.826892257267367 0.999938122001223 -6.31291207254537
"ITIH4" 0.11767456963102 5.68496499135984 0.218641427566033 0.827818515182934 0.999938122001223 -6.31317097640513
"KRT3" 0.172372819045388 1.74723983828543 0.21805195722965 0.828275265039122 0.999938122001223 -6.31329810123147
"C4" 0.11767456963102 4.71262774733524 0.216601581824127 0.829399339769433 0.999938122001223 -6.31360943011757
"APOH" 0.11767456963102 3.55010419307759 0.212751407582764 0.832385054207385 0.999938122001223 -6.31442582608085
"THBS1" 0.11767456963102 3.81444994666643 0.209017728583947 0.835282811210825 0.999938122001223 -6.31520356202074
"P04406" 0.123601313139781 1.63629529099176 0.208918257825204 0.835360043468579 0.999938122001223 -6.3152240940945
"LUM" 0.11767456963102 3.07535703145988 0.207642475836591 0.836350745902198 0.999938122001223 -6.31548656729911
"F10" 0.11767456963102 1.7889148002428 0.205374373413964 0.838112689541494 0.999938122001223 -6.31594923285597
"APOA1" 0.11767456963102 5.83793754773609 0.204911400981175 0.838472446303942 0.999938122001223 -6.31604305024963
"YWHAZ" 0.11767456963102 1.70627317267171 0.204814771595425 0.838547537400101 0.999938122001223 -6.31606260470496
"CKM" 0.11767456963102 1.43905061876519 0.202378077025669 0.840441601677284 0.999938122001223 -6.31655266401687
"DDBX" 0.11767456963102 1.28981023007758 0.196222990086368 0.84523022065459 0.999938122001223 -6.3177644765884
"BLVRB" 0.11767456963102 1.46374010893065 0.19483657339142 0.846309664361243 0.999938122001223 -6.31803227801206
"KRT13" -0.135160108833333 1.73143413968201 -0.19418263980264 0.846818910746573 0.999938122001223 -6.31815793436387
"AGT" 0.11767456963102 5.26136865827236 0.192430961787236 0.848183342384104 0.999938122001223 -6.31849244915214
"ORM1" 0.11767456963102 3.84967463978969 0.192060351755403 0.848472081267695 0.999938122001223 -6.31856283596166
"MST1" 0.11767456963102 1.6572762956501 0.191303461509434 0.849061832566376 0.999938122001223 -6.31870616478477
"POTee" 0.117674569631019 1.55755606480302 0.189987991994871 0.850087022763256 0.999938122001223 -6.31895392462194
"FGA" 0.11767456963102 3.07297260030194 0.187577909858882 0.851965958210353 0.999938122001223 -6.31940341869106
"SeRPINA5" 0.11767456963102 4.45905450628944 0.186310326006763 0.852954533396687 0.999938122001223 -6.31963753088729
"APOe" 0.11767456963102 3.40336802544691 0.184962682067572 0.854005807575068 0.999938122001223 -6.31988469102795
