"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",6.43768230809781,2.97643993189695,19.3118331026975,1.87739437754295e-24,1.1846358522296e-21,44.1062882524776
"KRT1",7.17668392521288,3.24960602826261,17.9337252829668,4.45070588532063e-23,1.40419770681866e-20,41.2537795745074
"P63261",4.65721842769948,2.45979019689723,17.1842949487524,2.68879034160173e-22,4.24156676387674e-20,39.6154452478814
"P60709",4.65721842769948,2.45979019689723,17.1842949487524,2.68879034160173e-22,4.24156676387674e-20,39.6154452478814
"KRT9",5.94521160372345,2.75795260815414,16.4449603968356,1.67762037456733e-21,2.11715691270397e-19,37.9355860112452
"P02768",6.13683300791614,3.23301415862248,15.7689200492453,9.41989911795936e-21,9.90659390572059e-19,36.3419585398754
"TLN1",5.20336827479619,2.71389669310979,12.1388671884439,2.49184448358227e-16,2.24621981305773e-14,26.7634269089573
"eeF1A1P5",4.21265441361442,1.86671378928113,11.3390186755984,2.93480647838443e-15,2.31482860982572e-13,24.4076410343954
"KRT2",6.31727635674127,2.86031237617989,9.43418850574743,1.44500431639053e-12,1.01310858182491e-10,18.4424219867726
"P68104",4.21265441361442,1.79940580014137,9.27841097629871,2.44551189317950e-12,1.54311800459627e-10,17.9338664655267
"KRT14",5.39794307329314,2.44276934440136,8.89602993153349,8.99642417538429e-12,5.16067604969772e-10,16.6736673542908
"PKM",3.18750783636445,1.39826985526521,8.36921714574684,5.54339498601081e-11,2.91490186347735e-09,14.9121042917034
"P19823",3.29699309500712,1.72378064659439,8.31908699650488,6.59919296477017e-11,3.20314673905383e-09,14.7430908146414
"P13647",5.61793254387642,2.44539382196407,7.91763728386263,2.68513096903857e-10,1.21022688675953e-08,13.382014139605
"KRT16",5.28229381912175,2.30697925096178,7.82170879844022,3.76145644963987e-10,1.58231934648184e-08,13.0549668534843
"VTN",2.41647198659649,1.30500717022259,7.34867773934676,1.9982303004507e-09,7.88052074740245e-08,11.4341806335227
"Q04695",4.58556872414338,2.00730714342483,6.90469240239545,9.66133891389731e-09,3.58606167921718e-07,9.90465271707509
"KRT13",3.60931142894812,1.5651524960697,6.77583291175911,1.52756784281178e-08,5.35497393785686e-07,9.46008130492071
"GPX3",-2.96223435170181,0.481329126730382,-6.6206016769909,2.652913614181e-08,8.81046573972744e-07,8.92453849845924
"eHD3",2.07136230985543,0.929085257842862,6.43284649931941,5.17092942245563e-08,1.63142823278475e-06,8.2772251198099
"KRT3",3.83944679341317,1.58048859238809,6.37510986351918,6.34810522279125e-08,1.90745447408632e-06,8.07834806284058
"H2BC18",2.12974343960652,0.730843712997558,6.11896522256702,1.57494775845266e-07,4.51723652538014e-06,7.19768094718538
"KRT6A",5.2854750580305,2.4219735959836,6.08188805639872,1.79592691147697e-07,4.92708643974768e-06,7.07048734567316
"P02788",2.70885972822573,1.24423163318215,6.00125925468298,2.38880519845532e-07,6.28056700093877e-06,6.79419751663383
"P62826",1.6655111407949,0.748294253470853,5.84908139926372,4.08822622873688e-07,1.03186830013319e-05,6.27405248841053
"HBA1",3.4912073333062,1.70191375070829,5.81804110764234,4.56084742537455e-07,1.10688258669667e-05,6.1681962102508
"H2BC12L",2.12974343960652,0.477914723900764,5.7103106494398,6.66310732032718e-07,1.50157882825945e-05,5.80151721911314
"H2BC13",2.12974343960652,0.477914723900764,5.7103106494398,6.66310732032718e-07,1.50157882825945e-05,5.80151721911314
"O60814",2.12974343960652,0.497880389597874,5.52527273038526,1.27456585808565e-06,2.34352130114205e-05,5.17463951986212
"H2BC14",2.12974343960652,0.497880389597874,5.52527273038526,1.27456585808565e-06,2.34352130114205e-05,5.17463951986212
"H2BC9",2.12974343960652,0.497880389597874,5.52527273038526,1.27456585808565e-06,2.34352130114205e-05,5.17463951986212
"H2BC5",2.12974343960652,0.497880389597874,5.52527273038526,1.27456585808565e-06,2.34352130114205e-05,5.17463951986212
"H2BC15",2.12974343960652,0.497880389597874,5.52527273038526,1.27456585808565e-06,2.34352130114205e-05,5.17463951986212
"H2BC4",2.12974343960652,0.497880389597874,5.52527273038526,1.27456585808565e-06,2.34352130114205e-05,5.17463951986212
"P07996",3.69515130391278,1.8511055360765,5.51964356279797,1.29989295625946e-06,2.34352130114205e-05,5.1556334285408
"P62979",1.84264346329552,0.649622135978336,5.31383934621706,2.66201033657912e-06,4.66268996195466e-05,4.46375050929844
"QSOX1",1.30275587574158,0.805070645396471,5.30614112044892,2.73406542935535e-06,4.66268996195466e-05,4.43799094295276
"KRT79",-4.40294252917932,2.41563447401021,-5.28214257711286,2.97129493551569e-06,4.93391343239579e-05,4.35774767890571
