"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63261",5.27479706554208,2.45979019689723,20.8068741540555,7.33506276333081e-26,2.31421230183087e-23,47.2945366349504
"P60709",5.27479706554208,2.45979019689723,20.8068741540555,7.33506276333081e-26,2.31421230183087e-23,47.2945366349504
"P13645",5.48710449527415,2.97643993189695,17.5967783189926,9.922097849239e-23,2.08694791428994e-20,40.738605196047
"P02768",6.29883215017395,3.23301415862248,17.3026911029916,2.0161257085868e-22,3.18043830529568e-20,40.0836014842845
"KRT1",6.18190141286617,3.24960602826261,16.514473844973,1.40885165349843e-21,1.77797078671502e-19,38.2790984759539
"KRT9",5.38947620811533,2.75795260815414,15.9370541305005,6.10436504436712e-21,6.41975723832609e-19,36.9105017824483
"TLN1",5.68325783763226,2.71389669310979,14.1738204889911,6.78442985432949e-19,6.11567891154558e-17,32.4731200907602
"P68366",4.17064317222435,1.76508982753113,9.91339184129575,2.9138902077016e-13,2.29833090132464e-11,20.0165977226425
"P19823",3.55841426406862,1.72378064659439,9.59864894384975,8.31599166561915e-13,5.83043415667298e-11,18.9988109985786
"KRT2",5.39821513460366,2.86031237617989,8.61828467926703,2.33890189168209e-11,1.4758470936514e-09,15.7542686165884
"eeF1A1P5",2.95705829757028,1.86671378928113,8.50894071104024,3.41381934035102e-11,1.95829091251045e-09,15.3860920194518
"TUBB1",2.97456743010178,1.29215683445709,8.1440662370917,1.21490518139612e-10,6.04352830801349e-09,14.1496707000422
"FLNA",4.7497683134286,1.75658537855711,8.13704033607541,1.24510091924208e-10,6.04352830801349e-09,14.1257521728108
"KRT14",4.26164776311214,2.44276934440136,7.5082972880837,1.13589558090909e-09,5.11964365395456e-08,11.9713270012072
"TUBA1B",3.9394776943404,1.66164867095912,7.35639747982973,1.94433204149588e-09,8.17915678789265e-08,11.4474739746638
"VTN",2.21806305490446,1.30500717022259,7.21102995147324,3.25502181028762e-09,1.28369922643218e-07,10.9453004129419
"P68104",2.95705829757028,1.79940580014137,6.96263505235158,7.86322570016563e-09,2.91864436282618e-07,10.0858708520635
"P07996",4.28843799923305,1.8511055360765,6.84816028458121,1.1811802672109e-08,4.14069304783375e-07,9.68946773683868
"PKM",2.40999336367053,1.39826985526521,6.76465099405323,1.58952863669555e-08,5.27890826186786e-07,9.40025213195656
"P11142",3.03905700165551,1.29353643577238,6.60962589564624,2.75849234923633e-08,8.70304336184063e-07,8.86344018112611
"P68032",4.4952555170526,1.87318986533482,6.54336837240829,3.491211467699e-08,1.04902592196099e-06,8.63410146433108
"POTee",3.34989970743459,1.22222899345803,6.46204548687268,4.66131564144105e-08,1.31545108867221e-06,8.35274542233086
"FBLN1",3.33747228404219,1.2055395696611,6.45409844346386,4.7948296417529e-08,1.31545108867221e-06,8.32525995405159
"MYH9",3.76688656053522,1.83979858127324,6.37797207061066,6.28389855676484e-08,1.65214166221609e-06,8.06207023982715
"P01024",3.89552955190385,2.16965196404416,6.28387367183099,8.77652331494242e-08,2.16485087653847e-06,7.73703888612628
"P13647",4.16126056019731,2.44539382196407,6.2696019079191,9.23247170325586e-08,2.16485087653847e-06,7.6877746111642
"COL6A1",2.08664969372745,0.906037327762269,6.26866463559495,9.26322879025969e-08,2.16485087653847e-06,7.68453959567569
"P07900",3.46547778070343,1.26570801424459,6.22143654622873,1.09528281585645e-07,2.46829806001936e-06,7.52158529914981
"C4A",3.25335865510658,1.69571761681544,6.20786216579941,1.14929975763557e-07,2.5007177485105e-06,7.47476928661717
"P68371",3.43893849696118,1.45345865388749,6.13584810502775,1.48351354159653e-07,3.12032348249136e-06,7.2265709614657
"AMY2A",2.17548998135847,0.570364073266519,6.05658799183964,1.96417839489396e-07,3.99805344250996e-06,6.9537581409567
"LOX",-2.72977377572023,0.69202037673911,-6.02213734871231,2.21878557984401e-07,4.37516781525491e-06,6.83530917581021
"P06396",4.39396646551323,1.8637240805787,5.99758173140192,2.42006849973412e-07,4.62746431312797e-06,6.75093309814716
"KRT71",-3.91131115462547,2.06923573706999,-5.93017159177696,3.07095002143322e-07,5.69932195154225e-06,6.51953849937621
"P63104",1.88443218868652,0.884129142970355,5.83282368315212,4.32935461157214e-07,7.80520788543435e-06,6.18604154941111
"P02771",2.73553410151805,1.20445681963199,5.80151154875597,4.83428915811515e-07,8.47343460769628e-06,6.07895299013905
"KRT16",3.61174610549749,2.30697925096178,5.71731703623699,6.50104074078573e-07,1.10869100200967e-05,5.79148239083791
"ACTBL2",3.17474186242635,0.466625960054164,5.31971122476335,2.60831509698603e-06,4.33117585841627e-05,4.44530693671489
"CHI3L1",-2.98582138817686,0.759499594345939,-5.24642943402113,3.36246657656705e-06,5.44029848670208e-05,4.1996565647072
"P02788",2.18602484365105,1.24423163318215,5.17734300887792,4.26909869681776e-06,6.73450319423001e-05,3.96888970091707
"CKM",-3.19225366301081,1.31106230670835,-5.0651135723469,6.28175087911152e-06,9.55492213802565e-05,3.5958325368503
"KRT6A",4.11462276456875,2.4219735959836,5.06151341816147,6.35985308711691e-06,9.55492213802565e-05,3.58390453882437
"P04406",2.44515571339462,1.46040235764334,5.0286399144439,7.11876185315341e-06,0.000104463691379995,3.47510519357612
"KRT79",-3.80729623299989,2.41563447401021,-4.88292153476838,1.17063967172104e-05,0.000167880371103631,2.99548481634713
"eDIL3",2.33348337967884,0.874239341804051,4.84533601472035,1.33003679865243e-05,0.000186500715544375,2.87251560128353
"APOB",3.74306300688973,1.56865439369341,4.7976176906181,1.56342452001402e-05,0.000214461059158444,2.71685652751481
"Q04695",2.97099462061179,2.00730714342483,4.78243381273812,1.64579962045375e-05,0.000220957353299216,2.66743699472713
"AMY2B",2.21050381702314,0.74822742113586,4.56580338357989,3.40563559181869e-05,0.000447699178841165,1.9685688741923
"KRT13",2.25208851885338,1.5651524960697,4.51980565643956,3.96880735036986e-05,0.000511085191445589,1.82176152035821
"QSOX1",1.02814584388327,0.805070645396471,4.47678722309868,4.57736146097212e-05,0.000577663016374681,1.68499821577102
"NACA",-2.53140452700704,0.816083855863542,-4.32375395195173,7.57447097186223e-05,0.000933346266558626,1.20288095525615
"COL10A1",-2.09838981858137,0.836743477537966,-4.31906150641884,7.69160156276522e-05,0.000933346266558626,1.18821079199634
"MYH11",1.7366964235785,0.652544957969425,4.30985283218171,7.92661631848848e-05,0.000943716018295515,1.15944154723992
