"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02768",7.54882192013912,3.23301415862248,19.3971009429642,1.552330007512e-24,9.7952023474007e-22,44.2762613775388
"P13645",5.58084663986648,2.97643993189695,16.7414876539158,7.994415992042e-22,2.52223824548925e-19,38.6170925806308
"P63261",4.41611624664428,2.45979019689723,16.2946714414249,2.45136152102814e-21,3.86702279942189e-19,37.5861429859412
"P60709",4.41611624664428,2.45979019689723,16.2946714414249,2.45136152102814e-21,3.86702279942189e-19,37.5861429859412
"KRT1",5.82141873393033,3.24960602826261,14.5470701258905,2.42790453142749e-19,3.0640155186615e-17,33.3154951147679
"KRT9",5.08846896615925,2.75795260815414,14.0751374730898,8.92744226706582e-19,9.38869345086422e-17,32.0941858743578
"TLN1",4.90398864307282,2.71389669310979,11.4404485110618,2.13683970413808e-15,1.92620836187304e-13,24.7113804607924
"eeF1A1P5",3.29703444046262,1.86671378928113,8.87448421443635,9.68591722836935e-12,7.63976721387633e-10,16.6021779663473
"P19823",3.4513454623675,1.72378064659439,8.70855422776237,1.71315524234863e-11,1.20111217546887e-09,16.0499749346049
"KRT2",5.63351737724362,2.86031237617989,8.41306630991463,4.76018659281098e-11,3.00367774006373e-09,15.0597553551807
"VTN",2.74813748510439,1.30500717022259,8.35729810793099,5.77789394300046e-11,3.08372177084419e-09,14.871939742073
"P01024",5.53577756149107,2.16965196404416,8.35302151047661,5.8644471077861e-11,3.08372177084419e-09,14.8575254256071
"C4A",4.40673929213392,1.69571761681544,7.86559366093259,3.22368827392557e-10,1.56472869295926e-08,13.2046615283935
"MYH9",4.63325388830374,1.83979858127324,7.33821102906132,2.07370963382822e-09,9.09145607105113e-08,11.3981923691146
"KRT14",4.4456101649536,2.44276934440136,7.32654652973756,2.16120191863339e-09,9.09145607105113e-08,11.3580805419447
"P68104",3.29703444046262,1.79940580014137,7.26174937178771,2.71916928748433e-09,1.07237238775163e-07,11.1351622372096
"P01023",5.86527466188066,2.29391897658004,6.56512222186557,3.23139053340027e-08,1.19941613327975e-06,8.73319327671002
"P13647",4.51040644695351,2.44539382196407,6.3567445801213,6.77595165667882e-08,2.37534749742463e-06,8.01511099833235
"KRT16",3.94835825397957,2.30697925096178,5.84649577476188,4.12566272957536e-07,1.37015430650634e-05,6.26523145451981
"KRT6A",4.78798547584324,2.4219735959836,5.50943696830014,1.34709349672276e-06,4.25007998216032e-05,5.12118270713943
"HBA1",3.24243856864769,1.70191375070829,5.40347194548663,1.94943327122771e-06,5.85758282926041e-05,4.76433962619864
"P68366",2.360887226584,1.76508982753113,5.24926511114571,3.32963025683265e-06,9.54998496391546e-05,4.24796628476479
"FLNA",3.25680851215997,1.75658537855711,5.21903601629499,3.69661173156739e-06,0.000101415739244305,4.1471850303569
"Q04695",3.43923131729453,2.00730714342483,5.17860177769773,4.25059683800195e-06,0.000111755275199135,4.012622655896
"P68032",3.77912999466978,1.87318986533482,5.14568083607048,4.76154309217001e-06,0.000120181347646371,3.90327443080864
"P01008",3.49875858437614,1.58182119686144,4.98600038712803,8.23732504050855e-06,0.000199913542329265,3.37574154394562
"FBLN1",2.69756218268709,1.2055395696611,4.87970321229575,1.18351846847246e-05,0.000276592649483748,3.02740034425635
"KRT3",2.90334538836584,1.58048859238809,4.82078456050692,1.44548482516304e-05,0.000325750330242099,2.83537560882194
"QSOX1",1.14797405069727,0.805070645396471,4.67571279396125,2.3578927533726e-05,0.00051304494047521,2.36601160885931
"APOB",3.89137670752065,1.56865439369341,4.66558172449648,2.43944938760304e-05,0.000513097521192506,2.3334257705741
"KRT6C",4.65789829965338,2.16427141361773,4.62621150548823,2.78346868540355e-05,0.000566570561448271,2.2070428303502
"KRT79",-3.78633127381226,2.41563447401021,-4.54240351762791,3.68159494249555e-05,0.000725964502723341,1.93936380891297
"P02647",3.1352331248935,0.803771327597334,4.44981467817483,5.00448250518351e-05,0.000956917715385089,1.6458807546159
"FTH1",-1.50274174770358,0.282484824372127,-4.40739265353615,5.75615587221156e-05,0.00106827481040162,1.51223560933574
"KRT13",2.31588127022527,1.5651524960697,4.34765047002111,7.00442972283159e-05,0.00126279861574478,1.32493587653989
"P02787",3.94758678463536,0.814725741700157,4.3044738324748,8.06711520352793e-05,0.0014139860259517,1.19025314003381
"P00738",3.1337092658773,0.333793307575117,4.28501247411517,8.59599722658295e-05,0.00144488443446377,1.12973795707875
"COL10A1",-2.22364715061179,0.836743477537966,-4.28127494419073,8.70136426459959e-05,0.00144488443446377,1.1181298814862
"APOD",-2.38736305203394,2.04941190125326,-4.26122731598381,9.28835891787772e-05,0.00150280884030278,1.05594212346268
"P02771",2.06265110093632,1.20445681963199,4.09193595222157,0.000160446126160432,0.00253103764018081,0.536128176230778
"PZP",3.92306453544523,1.58382233784497,4.01979116881577,0.000201995592579122,0.00310876143701039,0.31764127385514
"CFD",-2.49677997352834,1.75420206290034,-4.01192534384473,0.000207110729144081,0.00311159214499798,0.293934598576054
"TUBA1B",2.27679492204201,1.66164867095912,3.97698984249585,0.00023138447668865,0.0033954326695474,0.188920779627261
"A1BG",-1.41599009424147,4.15117798268516,-3.95748911226707,0.000246107749225401,0.00349368657241235,0.130502115535092
"P35900",1.34459538756832,0.909107359925009,3.95359613924558,0.000249153559046839,0.00349368657241235,0.118857134544102
"P35580",1.86797990811533,0.441271939685429,3.94251982737336,0.000258020159556352,0.00353936349304474,0.0857563729801223
