"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P06733" -3.15011825207944 1.00307738353785 -6.54307782783101 3.49481928214787e-08 1.96385327615961e-05 8.68983107671
"eDIL3" -3.28504414381853 0.874239341804051 -6.3806426776382 6.22457456785929e-08 1.96385327615961e-05 8.14004342164708
"FLNA" -3.86255101098258 1.75658537855711 -6.18973844050937 1.2255812311234e-07 2.57780585612955e-05 7.49477334286157
"MYH9" -3.48401445065591 1.83979858127324 -5.518029851926 1.30724500288321e-06 0.000204671723692208 5.24191493348515
"P68366" -2.45399058183788 1.76508982753113 -5.45627381065565 1.62180446665775e-06 0.000204671723692208 5.03694611525997
"P26038" -3.05126140885351 1.1333406550057 -4.96084735327907 8.97655993497521e-06 0.000944034886494893 3.41294006345821
"H2BC18" 1.70717832905348 0.730843712997558 4.90489353315173 1.08632337631586e-05 0.00097924292922187 3.23223832057513
"TUBA1A" -3.72535323679965 1.19948842838369 -4.7911864757576 1.59780843899982e-05 0.00126027140626111 2.86703908196747
"H2BC12L" 1.70717832905348 0.477914723900764 4.57732063477469 3.27734956831539e-05 0.00187916653744199 2.18818191027673
"H2BC13" 1.70717832905348 0.477914723900764 4.57732063477469 3.27734956831539e-05 0.00187916653744199 2.18818191027673
"P11142" -2.23857975309981 1.29353643577238 -4.55422655390226 3.5395344375435e-05 0.00187916653744199 2.11555529592894
"TUBA1B" -2.55906086154008 1.66164867095912 -4.47003766309603 4.68077613955403e-05 0.00187916653744199 1.85199845165585
"O60814" 1.70717832905348 0.497880389597874 4.42899632510036 5.36053845863009e-05 0.00187916653744199 1.72422235079725
"H2BC14" 1.70717832905348 0.497880389597874 4.42899632510036 5.36053845863009e-05 0.00187916653744199 1.72422235079725
"H2BC9" 1.70717832905348 0.497880389597874 4.42899632510036 5.36053845863009e-05 0.00187916653744199 1.72422235079725
"H2BC5" 1.70717832905348 0.497880389597874 4.42899632510036 5.36053845863009e-05 0.00187916653744199 1.72422235079725
"H2BC15" 1.70717832905348 0.497880389597874 4.42899632510036 5.36053845863009e-05 0.00187916653744199 1.72422235079725
"H2BC4" 1.70717832905348 0.497880389597874 4.42899632510036 5.36053845863009e-05 0.00187916653744199 1.72422235079725
"P68371" -2.59381079026033 1.45345865388749 -4.32904908635377 7.44438327627643e-05 0.00247231886701601 1.41507766092213
"P15311" -1.91628054943115 0.776083929513556 -4.12920263649666 0.000142361014280159 0.004491490000539 0.806157024782123
"P07900" -2.35483133655196 1.26570801424459 -3.95449827425863 0.000248444513673035 0.00746516610131833 0.284859667681117
"TUBB" -2.58935374633649 1.37916446976825 -3.92016138827578 0.000276856347434138 0.00794074341958824 0.183702696785076
"eeF1A1P5" 1.44043956481703 1.86671378928113 3.87716853149542 0.000316876049587978 0.00869342553434844 0.0576741464607977
"Q13509" -2.66688591556374 0.919595553811429 -3.79294309340921 0.000412049087626921 0.00980639711275116 -0.187139435786666
"P63104" -1.30907298700152 0.884129142970355 -3.79023573880885 0.000415524988914877 0.00980639711275116 -0.194961996350968
"PYGL" -1.3641101793719 0.289094199092255 -3.78783922988019 0.000418625338206737 0.00980639711275116 -0.20188394135719
"RPL12" 0.935788295246963 0.361472331618091 3.78708312596114 0.000419608117344344 0.00980639711275116 -0.204067349405934
"SLC2A1" -0.725474847485372 0.273565477653511 -3.76968310318643 0.000442847846188235 0.009979892533742 -0.25424958092695
"KRT3" 2.25322084961342 1.58048859238809 3.74130212917677 0.000483433297303707 0.0102336627444015 -0.335836139172004
"ATIC" -2.09224957287418 0.543629985578278 -3.73922174697826 0.000486544979924 0.0102336627444015 -0.341803567382519
"P00558" -1.63867350638415 0.750630568987068 -3.65817908062305 0.000623913065581773 0.0124137734509928 -0.57285860974562
"SYNCRIP" 1.8071343714622 0.978798074633221 3.65523706782784 0.000629541601318178 0.0124137734509928 -0.581193946117486
"H4C1" 1.50115592925919 0.852768548672937 3.5224765678014 0.000940809486259749 0.0176666557424207 -0.953377953249176
"RPL30" 0.970436734412776 0.316838166991133 3.51313619345137 0.000967524533456759 0.0176666557424207 -0.979265145963939
"P62851" 1.29686100133806 0.538293948984258 3.50888384498836 0.000979925437376745 0.0176666557424207 -0.991037428391322
"P62826" 0.995517908815215 0.748294253470853 3.49614310013316 0.00101799519275596 0.0178431935174725 -1.02625929171059
"P62979" 1.19620218092007 0.649622135978336 3.4496235118841 0.00116932847254387 0.0199417909777076 -1.15422212758586
"FN1" -3.112463896461 3.63302739964173 -3.41600678699598 0.00129177798711964 0.0214503134176973 -1.24605784158132
"P46781" 1.33199128840634 0.294764093673969 3.37227216307726 0.00146941478175325 0.0228693622840835 -1.36472245221557
"P0DMV8" 2.09149464058676 0.839672292936283 3.3684571879475 0.00148596490276929 0.0228693622840835 -1.37502954508582
"P0DMV9" 2.09149464058676 0.839672292936283 3.3684571879475 0.00148596490276929 0.0228693622840835 -1.37502954508582
"RDX" -1.50357035061038 0.501332519865363 -3.30712825183862 0.00177756347212781 0.0267057750217297 -1.53973987501986
"CSTA" 1.01136347594665 0.381212035195322 3.27237842581528 0.00196605821707134 0.0288507612784189 -1.6322323877584
"DCD" 1.04549321542402 0.409362076418307 3.23578255760203 0.00218493115815937 0.0313338991090582 -1.72897364472152
"MFGe8" -0.916707622845558 0.28800563179801 -3.21504415312747 0.00231898473694781 0.0325173193114237 -1.78348907644799
"P35580" -1.50466779329211 0.441271939685429 -3.17572077884363 0.00259475546298619 0.0351487553457728 -1.88624216250474
"P68104" 1.44043956481703 1.79940580014137 3.17258169236488 0.00261805309231588 0.0351487553457728 -1.89440956639918
"P11171" 0.838289629335163 0.343269224856955 3.15617015224961 0.00274309907627583 0.0358702489949047 -1.93702458641624
"KRT13" 1.67833211747119 1.5651524960697 3.15076662745556 0.00278548684746487 0.0358702489949047 -1.95102424301426
"P08727" 2.43082976632193 1.29650660735389 3.10853311981135 0.00313866788356185 0.0394588482206023 -2.05990388095463
"LIMS1" 0.926455568286429 0.626390033840329 3.10285683548405 0.00318922545047657 0.0394588482206023 -2.07446398794771
"DYNC1H1" -1.82528706214504 0.327439591398445 -3.08107149549688 0.0033904526725394 0.0411418391610069 -2.13018173159902
"TUBA1D" -3.72535323679965 1.70209257780935 -3.06902485857371 0.00350678173929542 0.0417505524055738 -2.16088012682245
"FHL1" 1.11844369657122 0.658231571395055 3.05639022337359 0.00363280457256384 0.042449994171996 -2.19299083138664
"Q86Y46" 2.47614646372775 1.05126095261204 3.04395680432197 0.0037609550302378 0.04314841134691 -2.22450369841725
"P07195" -0.820082422785175 0.331726118496806 -2.98754350715216 0.00439740021563463 0.0494858515230195 -2.3663963974955
"POTee" -1.65236152119018 1.22222899345803 -2.9815857579893 0.00447019577941697 0.0494858515230195 -2.38127641221392
