"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.82451978552629 7.83356785233269 -39.7419554576927 9.66405222284477e-39 6.09801695261505e-36 68.3765688694729
"AHSG" -7.21362875163743 6.27250171719331 -20.9590573621854 5.32867278992079e-26 9.78333552613364e-24 46.6294381110302
"A2M" -7.93165020960426 6.85398639709391 -20.947625667928 5.45778078619469e-26 9.78333552613364e-24 46.6091175850975
"P13645" 7.78449746043904 2.97643993189695 20.8866857836287 6.2017974809088e-26 9.78333552613364e-24 46.500587143203
"TF" -7.30690325883365 6.43319179890424 -20.5711228844852 1.20785587785874e-25 1.52431411785773e-23 45.9329897711954
"KRT1" 8.82858878061725 3.24960602826261 19.7325392531182 7.39379920575906e-25 7.77581216472328e-23 44.3778694862565
"P63261" 5.8138353386163 2.45979019689723 19.1872543159281 2.48143936549842e-24 1.95723529953688e-22 43.3288798241038
"P60709" 5.8138353386163 2.45979019689723 19.1872543159281 2.48143936549842e-24 1.95723529953688e-22 43.3288798241038
"KRT9" 7.06985516871967 2.75795260815414 17.4912571919178 1.27835065004059e-22 8.96265844639571e-21 39.8634100016115
"AFP" -6.47649155119245 5.63990601640145 -17.3965085933944 1.60648543722714e-22 1.01369231089032e-20 39.6603187450118
"SeRPINA1" -7.20287207982546 6.29018619540095 -17.2069096358527 2.54463330050559e-22 1.45969419329002e-20 39.2507828853924
"C3" -7.42679607227064 6.60985039740058 -17.0534474986361 3.70231491457278e-22 1.94680059257952e-20 38.9162150981156
"P02768" 7.39349008930887 3.23301415862248 16.9922987153347 4.30186181107244e-22 2.08805754060516e-20 38.7821269052307
"eRC1" 3.42157368967848 0.453126800778874 16.4461285251587 1.67269818337142e-21 7.53908966933832e-20 37.5645795256455
"GC" -5.82711445600693 4.99867536177431 -16.2066244211587 3.06477313029705e-21 1.28924789681162e-19 37.0191981722672
"ACTB" -5.10624971206632 4.58489953713887 -15.268009810862 3.49568949077688e-20 1.29751768745895e-18 34.8123087220358
"ACTG1" -5.10624971206632 4.58489953713887 -15.268009810862 3.49568949077688e-20 1.29751768745895e-18 34.8123087220358
"TLN1" 6.55080404914638 2.71389669310979 13.6688883902631 2.79863677252065e-18 9.81077668589184e-17 30.7850630936579
"GSN" -5.81717053860298 4.6420356331314 -13.420225387567 5.68922097857158e-18 1.8881796064156e-16 30.1272934798938
"HBBF" -5.52240156083934 5.04709494072043 -13.4025797418484 5.98472141494642e-18 1.8881796064156e-16 30.0802867579367
"eeF1A1P5" 5.37399434573241 1.86671378928113 12.9378417914228 2.30331388685672e-17 6.92090982193613e-16 28.8264002657353
"SeRPINF1" -5.01890924717828 4.38231994384435 -12.6885469298923 4.79979685074354e-17 1.3766690058269e-15 28.1411191713532
"APOA1" -6.59908530029618 5.65700133956763 -12.5981446233977 6.27633825309052e-17 1.69310068310806e-15 27.8904153459829
