"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.82451978552629 7.83356785233269 -39.7419554576927 9.66405222284477e-39 6.09801695261505e-36 68.3765688694729
"P13645" 7.7492297987961 2.97643993189695 20.792058664691 7.56760492486207e-26 2.38757935379398e-23 46.3313712653388
"A2M" -7.67961396917727 6.85398639709391 -20.2819935888906 2.2407431164412e-25 3.64733571317071e-23 45.4045852968177
"TF" -7.19902495197058 6.43319179890424 -20.2674131146361 2.31209870882454e-25 3.64733571317071e-23 45.3777241359021
"KRT1" 8.79332111897432 3.24960602826261 19.653713459435 8.79380206716477e-25 1.10977782087619e-22 44.2281046508885
"AHSG" -6.72111818199908 6.27250171719331 -19.5280775272182 1.160637236863e-24 1.22060349410092e-22 43.9881016621226
"P63261" 5.77856767697337 2.45979019689723 19.07086134061 3.22434314241198e-24 2.54320065357745e-22 43.100992447234
"P60709" 5.77856767697337 2.45979019689723 19.07086134061 3.22434314241198e-24 2.54320065357745e-22 43.100992447234
"KRT9" 7.03458750707673 2.75795260815414 17.4040028245181 1.57766213212622e-22 1.10611645041294e-20 39.6764203235158
"SeRPINA1" -7.18473215851352 6.29018619540095 -17.1635752570998 2.82815578819442e-22 1.78456630235068e-20 39.1565893721616
"P02768" 7.35822242766594 3.23301415862248 16.9112438096826 5.25193210347032e-22 3.01269923389979e-20 38.6037029633487
"AFP" -6.23897483762938 5.63990601640145 -16.7585147790099 7.66346656631269e-22 4.02970616945276e-20 38.2653700527198
"C3" -7.25618231587602 6.60985039740058 -16.6616833100267 9.75039690508026e-22 4.73269265161973e-20 38.0494103423512
"eRC1" 3.38630602803555 0.453126800778874 16.2766110607501 2.56609386955165e-21 1.15657516549078e-19 37.1792993493445
"ACTB" -5.35096397086814 4.58489953713887 -15.9997209325126 5.19716277172938e-21 2.04963106810077e-19 36.5423195568679
"ACTG1" -5.35096397086814 4.58489953713887 -15.9997209325126 5.19716277172938e-21 2.04963106810077e-19 36.5423195568679
"GC" -5.73840088471003 4.99867536177431 -15.9598903743293 5.75646688665486e-21 2.1366650620466e-19 36.4499012591728
"APOA1" -7.46931248379029 5.65700133956763 -14.2594730369551 5.35127307340529e-19 1.87591850517708e-17 32.3128228786015
"HBBF" -5.67069346101598 5.04709494072043 -13.7624764272473 2.14708760399219e-18 7.13059093746881e-17 31.0303838595646
"TLN1" 6.51553638750345 2.71389669310979 13.595298991593 3.44968531203003e-18 1.08837571594547e-16 30.5913054982364
"eeF1A1P5" 5.33872668408948 1.86671378928113 12.8529352214983 2.95508482346271e-17 8.87932630288081e-16 28.5940002683258
"HBA" -5.26039208245577 4.52126570357216 -12.6138930654618 5.98937891084602e-17 1.71786276942902e-15 27.9341733018767
"FeTUB" -5.43527445368814 4.53036562922424 -12.5079652512938 8.21023065914938e-17 2.25245893301011e-15 27.6391607372666
"SeRPINF1" -4.84072038762574 4.38231994384435 -12.2380590658036 1.84584352985405e-16 4.8530302805746e-15 26.8801660683773
"A1BG" -4.88021893373055 4.15117798268516 -12.199550034256 2.07360323584144e-16 5.18254598147633e-15 26.771020393509
"GSN" -5.28384171897558 4.6420356331314 -12.1898346129476 2.13543891471291e-16 5.18254598147633e-15 26.7434503095033
"HBG1" 3.05700223761967 0.477156268145192 12.0245286484087 3.52721190080005e-16 7.9488239621601e-15 26.2722637004415
"HBG2" 3.05700223761967 0.477156268145192 12.0245286484087 3.52721190080005e-16 7.9488239621601e-15 26.2722637004415
"ITIH4" -6.06886835443717 5.50207756163405 -11.6919332911135 9.7853810804255e-16 2.12916395232707e-14 25.3122872603486
"P23526" 3.86060531923032 0.434848844648397 11.3093356212409 3.2211958093961e-15 6.77524851909647e-14 24.1882715439349
"P68366" 5.52116965306291 1.76508982753113 10.9799244127868 9.12170908972546e-15 1.83602985323869e-13 23.203699518182
"C4" -5.36928603016788 4.59241938916497 -10.9734654119443 9.31108641896005e-15 1.83602985323869e-13 23.1842397742745
"P35625" 1.96035940362609 0.334972889619899 10.9324293555353 1.06108991766979e-14 2.02893253954435e-13 23.0604676734127
"QSOX1" 2.90477662522612 0.805070645396471 10.5821396906664 3.26566044395653e-14 6.06068158863697e-13 21.9942627651816
"P35443" 3.20177714265795 0.314705057137273 10.5726115560843 3.3677888738884e-14 6.07164222692452e-13 21.9650209488717
"P68104" 5.33872668408948 1.79940580014137 10.5172077627355 4.0291026348933e-14 7.06212156282686e-13 21.7947366594097
"P19823" 4.61480724772507 1.72378064659439 10.4149259839032 5.61552914279148e-14 9.57675375432818e-13 21.4792543786944
"KRT2" 7.7492297987961 2.86031237617989 10.3509022425181 6.91719083371035e-14 1.14861774107138e-12 21.2810424169305
"AGT" -5.42774239421695 5.10974841269168 -10.0736100670755 1.7162923972033e-13 2.77687308368020e-12 20.4161133404175
"SLC2A1" 2.14984806284832 0.273565477653511 9.99160472038971 2.24949818607024e-13 3.5485833885258e-12 20.1583361959301
"P35900" 3.72509662098239 0.909107359925009 9.79677699362614 4.29170015953869e-13 6.60503122114369e-12 19.5423395983188
"eHD3" 3.51867975254202 0.929085257842862 9.77398918636912 4.62988682432715e-13 6.95585377654864e-12 19.4699654402963
"VTN" 3.56949458636671 1.30500717022259 9.70910413178707 5.74790990149235e-13 8.4347235996318e-12 19.2635218034073
"TUBB1" 4.22614470935346 1.29215683445709 9.680791413137 6.31782352876234e-13 9.06033328783872e-12 19.1732696406718
"P62826" 3.04955153026441 0.748294253470853 9.57902028691646 8.88142955512142e-13 1.24537378872925e-11 18.8480088010707
"KNG1" -5.28028163599418 4.54464354662345 -9.50814352399757 1.12668012958146e-12 1.54551122123021e-11 18.6207116778862
"PIP" 3.58414545497273 0.463104733121213 9.42514293466444 1.48972302350918e-12 2.00003239964743e-11 18.3537357020074
"SeRPINA5" -4.99215549890389 4.39741935957571 -9.29040949150183 2.34816483916764e-12 3.08685836148912e-11 17.9185519464804
"KRT14" 6.18509401656384 2.44276934440136 9.11715281736933 4.2278656657501e-12 5.44445558181288e-11 17.3557285301495
"ORM1" -4.66651244989249 3.86425014046426 -9.09906939782393 4.49632608072734e-12 5.6743635138779e-11 17.2967807006659
"PKM" 3.86252099059113 1.39826985526521 9.07087998765982 4.94955492730593e-12 6.12386109633342e-11 17.2048139108884
"P16070" 2.34433837222058 0.292146950984891 8.97668260719705 6.82652328813004e-12 8.28372345155779e-11 16.8968363090871
"P23528" 2.90477662522612 0.716620014092231 8.86566014174219 9.9834635912182e-12 1.18859726906768e-10 16.5325630685951
"P11142" 4.84366935988445 1.29353643577238 8.81376654114988 1.19296439849583e-11 1.39400099157569e-10 16.3618288276906
"HPX" -5.23682072347271 4.43467162277725 -8.75501238210889 1.45995176549531e-11 1.67496284368643e-10 16.1681702754241
"CFH" -6.0577008703603 4.64711187182647 -8.70022611704599 1.76302052556319e-11 1.98654634219709e-10 15.9872580366587
"P07195" 2.66143125041566 0.331726118496806 8.67195430040851 1.94347768454029e-11 2.15146389288583e-10 15.8937766692538
"KRT13" 5.1530326837763 1.5651524960697 8.65259192272261 2.07770347656665e-11 2.26039809260958e-10 15.8297064569116
"P61224" 3.16640891764619 0.922756113454085 8.59344404421301 2.54846864561281e-11 2.72556561929099e-10 15.6337462949872
"P07737" 2.14984806284832 0.41744026887899 8.50460557498761 3.46546423874785e-11 3.64451322441649e-10 15.3387535422184
"SeRPINF2" -4.9299257447817 4.3277909011828 -8.47796189959282 3.80062280383439e-11 3.93146391675328e-10 15.2501289780246
"TUBA1B" 5.37662984317657 1.66164867095912 8.40012404619555 4.97899238610884e-11 5.06732934779787e-10 14.9908229148358
"KRT5" -6.23539585513468 4.67624021226336 -8.38355630922598 5.27394394821642e-11 5.28231528781676e-10 14.9355549778507
"P13647" 6.63137916433895 2.44539382196407 8.35926197559458 5.73857977322914e-11 5.65788099516811e-10 14.8544653017355
"P63104" 3.18192525477088 0.884129142970355 8.24019194656111 8.6863278647574e-11 8.43241981947987e-10 14.4562462344902
"P06733" 4.38842453544253 1.00307738353785 8.1528388310456 1.17823482648869e-10 1.12646390229449e-09 14.1632974373631
"PARVB" 2.33222141867625 0.408945657906606 8.06598889125497 1.59632410234405e-10 1.5034037441479e-09 13.8713915127009
"KRT16" 6.03815243727479 2.30697925096178 7.99701950127318 2.03250628344323e-10 1.88604627184217e-09 13.639143503866
"FLNA" 5.57321219995445 1.75658537855711 7.98819470872049 2.09636221238764e-10 1.91710805219797e-09 13.6093996025249
"eDIL3" 4.5890714630222 0.874239341804051 7.97247247916627 2.21516996889945e-10 1.99681750053651e-09 13.5563928998207
"Q04695" 5.88244645166237 2.00730714342483 7.92235146209445 2.64106078196504e-10 2.34719627242245e-09 13.3872857122042
"LIMS1" 2.63307902037485 0.626390033840329 7.88762088434913 2.98361599755984e-10 2.61480790897258e-09 13.2699946679549
"MFGe8" 2.50920563802212 0.28800563179801 7.87113474442773 3.16152691350618e-10 2.73277189372932e-09 13.2142870911896
"HBA1" 5.25896512723485 1.70191375070829 7.83874305069992 3.54276057913405e-10 3.0209215208562e-09 13.1047765331234
"P04406" 4.51487972376496 1.46040235764334 7.76853670770072 4.53535033194045e-10 3.8157414126059e-09 12.8671679494146
