"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P07195" 3.20605697675095 0.331726118496806 9.5363535057221 1.02482309101522e-12 2.95132284655634e-10 18.5785356849485
"P35443" 3.13806460929257 0.314705057137273 9.45937481937685 1.32750146010371e-12 2.95132284655634e-10 18.3353400313108
"RPL12" -2.85775055658884 0.361472331618091 -9.44291146055499 1.40316458631839e-12 2.95132284655634e-10 18.2832285495361
"H2AC6" -2.67152320424642 0.321811550347599 -9.24776696802732 2.71303912827266e-12 4.27981922485013e-10 17.6629074446684
"H2AC4" -2.67152320424642 0.328575956505916 -9.08662379365282 4.69102263744507e-12 4.93339214037974e-10 17.1470887868083
"H2AC25" -2.67152320424642 0.328575956505916 -9.08662379365282 4.69102263744507e-12 4.93339214037974e-10 17.1470887868083
"P62851" -4.09261448024261 0.538293948984258 -9.04129768018945 5.47487632758407e-12 4.93520994672221e-10 17.0014308641104
"P37802" 3.45725865196331 0.354293361291635 8.70419792555428 1.73905904222205e-11 1.37168281955264e-09 15.9106014593295
"SLC2A1" 1.98450812513563 0.273565477653511 8.41956656734159 4.65397128004426e-11 3.26295097523103e-09 14.9797755587292
"BLMH" -2.73987663809248 0.34131178630279 -8.31811205764399 6.6216200730103e-11 4.1782422660695e-09 14.6459784263577
"UBB" -3.4302542251614 0.577739721944097 -8.10293272114459 1.40277528562799e-10 7.37626004359384e-09 13.9347651235464
"P0CG48" -3.4302542251614 0.577739721944097 -8.10293272114459 1.40277528562799e-10 7.37626004359384e-09 13.9347651235464
"P62979" -3.4302542251614 0.649622135978336 -8.07695731562868 1.53621088176427e-10 7.45653127994813e-09 13.8486265538663
"P63104" 3.39260770324294 0.884129142970355 8.02029560592173 1.8733081139298e-10 8.44326728492646e-09 13.6605245550864
"Q7Z3Y7" -5.10133503660535 0.378250244393938 -7.9445177692711 2.44339303824993e-10 1.02785400475714e-08 13.4085391132347
"RPL30" -2.67576074531953 0.316838166991133 -7.9091426258585 2.76641808154332e-10 1.09100613090865e-08 13.2907447685649
