"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",-3.74020359106128,1.94622889739667,-6.07853644584913,1.67336856862936e-07,2.51079295845091e-05,7.18731595517293
"eDIL3",-3.08707153269594,1.05310899536172,-6.07322595559528,1.70545595779482e-07,2.51079295845091e-05,7.16942286966829
"P06733",-2.84097948466188,1.16215827316113,-6.03771408740108,1.9363441838953e-07,2.51079295845091e-05,7.0498121761973
"MYH9",-3.38478346215211,2.01663136304521,-5.36719245430957,2.0862042818271e-06,0.000202883366407685,4.81158951457253
"P68366",-2.32578760331905,1.95366699123422,-5.24484838653818,3.20099831075779e-06,0.000249037668576956,4.40897473358606
"P26038",-2.96800581831309,1.29594388763761,-5.08581178980381,5.56526455230195e-06,0.000360814651807577,3.88921146069724
"TUBA1A",-3.60315402577732,1.4003424540644,-4.77503242204894,1.61880295963406e-05,0.000899591930425212,2.88736618796979
"TUBA1B",-2.43831777374013,1.83936878995559,-4.49850731737883,4.11406294954661e-05,0.00200046310921704,2.01446635548674
"H2BC18",1.6858283530128,0.923136078527918,4.28944285232406,8.22188613139716e-05,0.00323401043660235,1.36831352368511
"P11142",-2.03288312484038,1.4286386572736,-4.28606144185904,8.31365150797519e-05,0.00323401043660235,1.35797037457892
"P68371",-2.48052558893229,1.62509992330438,-4.20424721265648,0.000108637471307041,0.00384181603076719,1.10882108298501
"SYNCRIP",1.98736547815313,1.12831937205131,4.08923520476538,0.000157697473663172,0.00511202643791449,0.762304889072115
"KRT3",2.3855311838507,1.68289539879105,3.83184512960377,0.000357446531069295,0.0106959000450735,0.00396933942130762
"TUBB",-2.4536024265489,1.55550919138058,-3.77633180539867,0.000425144341854968,0.0118129392129702,-0.156243315699677
"ATIC",-1.69405481415498,0.705165706461896,-3.58041872715365,0.000776800555212753,0.0200911570143455,-0.711355058478841
"Q13509",-2.32778820859672,1.07733684802175,-3.56002910214949,0.000826371496734003,0.0200911570143455,-0.768166426084601
"eeF1A1P5",1.52404476925036,1.9684402153512,3.51018375299891,0.00096059615796286,0.0219807003204443,-0.906255199265669
"P08727",2.5883096386075,1.416951926209,3.47872838276973,0.00105574583339846,0.0228158405106666,-0.992808068124454
"LIMS1",0.998041659500049,0.815161218650176,3.45720730241372,0.00112594952747343,0.0230523350624823,-1.05175894434873
"P62979",1.24860789822916,0.826696115854738,3.40024399056709,0.00133385394564673,0.0230856411835385,-1.20673110551058
"Q86Y46",2.53546331560367,1.1857206287167,3.39545652215619,0.00135289871074248,0.0230856411835385,-1.21968459704716
"P0DMV8",2.05507551639457,1.01534727561345,3.38438728398139,0.00139792670763994,0.0230856411835385,-1.24959206713756
"P0DMV9",2.05507551639457,1.01534727561345,3.38438728398139,0.00139792670763994,0.0230856411835385,-1.24959206713756
"FN1",-2.97570386283243,3.71655401057699,-3.35508006874546,0.00152411706096304,0.0230856411835385,-1.32848648526569
"H4C1",1.50401877171913,1.01386474095244,3.35122673900552,0.00154149114170556,0.0230856411835385,-1.33882812369587
"P07900",-2.08852836152663,1.43066996680378,-3.34686188118222,0.00156139853505631,0.0230856411835385,-1.35053373673553
"P62826",1.03377751462995,0.922613212676283,3.3380474917361,0.00160234527494998,0.0230856411835385,-1.37414323360609
"P15311",-1.61302586716773,0.943878802764833,-3.31223553687336,0.00172818859959001,0.0240094773300183,-1.44305817596884
"P09429",2.01461486578013,1.26815882585194,3.25048142418073,0.00206830903440938,0.0276439438599027,-1.60656834952707
"KRT13",1.77536782866382,1.66250528245446,3.24000896676405,0.00213192369099506,0.0276439438599027,-1.63410325928559
"FHL1",1.19707359312631,0.837231346343477,3.17342258619483,0.00258167652140309,0.0315755329648398,-1.80783834619527
"TUBA1D",-3.60315402577732,1.84952967490154,-3.16753079902034,0.00262551027426157,0.0315755329648398,-1.82309839140526
"P68104",1.52404476925036,1.89863603467514,3.1605119005365,0.00267864418467793,0.0315755329648398,-1.84125356570049
"P35900",1.11237347077692,1.05611255282155,3.13822028157765,0.0028541843214465,0.0326552265012555,-1.89873843218688
"LYZ",1.26619148109128,0.816234948298071,3.07589397142454,0.00340411499303968,0.0376098176902882,-2.05803457874938
"KRT8",2.26214770328581,1.48481870418941,3.05951662062571,0.00356430477316039,0.0376098176902882,-2.09953873466895
"P63104",-1.02534924672179,1.02876247999891,-3.05822010506826,0.00357728343069579,0.0376098176902882,-2.10281806484648
"UBB",1.04839896709961,0.754972106198902,3.00054205572705,0.00420154346362484,0.0419077027525657,-2.24775351093513
"P0CG48",1.04839896709961,0.754972106198902,3.00054205572705,0.00420154346362484,0.0419077027525657,-2.24775351093513
"SeRPINA3-4",-3.00452076040454,4.36803406739786,-2.98674638202313,0.00436525505944692,0.0424521054531213,-2.28214128877312
"H2B1",1.6858283530128,0.994790927341528,2.97557316035126,0.00450219178550952,0.0427159171844684,-2.30991261377451
"CCN2",1.8532927521788,0.848101510689783,2.94330404159536,0.00492051277539897,0.0455733207054809,-2.38971553949617
"Q14CN4",1.82197386670625,1.17514041604347,2.91030165704046,0.00538558421370026,0.0487207502123117,-2.47070716348413
