"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.2627588339195,7.89886994691184,-32.7281974282734,2.39500929136323e-35,9.31658614340296e-33,61.8963277147108
"P13645",7.56933949529725,3.13597377247352,19.6085518392747,4.48784935509434e-25,8.72886699565849e-23,44.1637054842508
"A2M",-7.36988925799747,6.92086440788217,-18.909546350258,2.21883018498846e-24,2.23845789209679e-22,42.8225298803043
"KRT1",8.61343081547547,3.40895010581031,18.8937254980807,2.30175618724606e-24,2.23845789209679e-22,42.791566015717
"TF",-6.74514230722686,6.50277193165561,-18.7437975123971,3.26269687160424e-24,2.5383781661081e-22,42.4967725260825
"AHSG",-6.65186780003064,6.33992813471078,-18.6130074753356,4.43102865080279e-24,2.87278357527047e-22,42.2375854518588
"P63261",5.59187725741899,2.61637983050475,18.2092939629783,1.15158752579056e-23,5.59959434415661e-22,41.4254862673368
"P60709",5.59187725741899,2.61637983050475,18.2092939629783,1.15158752579056e-23,5.59959434415661e-22,41.4254862673368
"KRT9",6.85469720357788,2.91951637462526,17.0044058552465,2.19277927023802e-22,9.47767929025098e-21,38.8895833418192
"AFP",-5.91387126064832,5.71185561573929,-16.0116006957406,2.78622965705312e-21,1.08384333659366e-19,36.6671673979254
"P02768",7.17833212416708,3.38571285078241,15.7687371452976,5.27522658399609e-21,1.86551194652225e-19,36.1043850911497
"SeRPINA1",-6.64111112821867,6.35969402538638,-15.6824030551371,6.62955781392023e-21,2.14908165801247e-19,35.9024705373866
"C3",-6.86503512066385,6.67762398894577,-15.5427529314082,9.61156989983585e-21,2.87607745464319e-19,35.5737867757713
"GC",-5.25542931016589,5.06743320271011,-14.6453704261365,1.10348195567535e-19,3.06610343398365e-18,33.3993233751879
"ACTB",-4.53078261626488,4.64889836020568,-13.7915532119354,1.23046901843451e-18,2.99157780106891e-17,31.2272921356907
"ACTG1",-4.53078261626488,4.64889836020568,-13.7915532119354,1.23046901843451e-18,2.99157780106891e-17,31.2272921356907
"TLN1",6.33389738943175,2.87545084798534,13.6528479354931,1.83603956470133e-18,4.20129053334599e-17,30.8646952535408
"GSN",-5.24481068679913,4.70798588107988,-12.226595838175,1.29522422179407e-16,2.79912345709942e-15,26.974301325751
"HBBF",-4.9512755466649,5.11778033064974,-12.0920751141096,1.9612125630479e-16,4.01532466855597e-15,26.5919586440416
"FeTUB",-4.89628839101421,4.59737110107439,-11.7307256599475,6.04706199514488e-16,1.17615355805568e-14,25.5516806356743
"SeRPINF1",-4.44277094834552,4.44950328492584,-11.6095690165469,8.85411859179737e-16,1.64012006295675e-14,25.1985738868604
"APOA1",-6.03643304775579,5.73016030923517,-11.5747048917776,9.8844156192816e-16,1.74774439813661e-14,25.0965629859618
"ITIH4",-5.74718653541839,5.57714384362311,-11.4156089323892,1.63668725877562e-15,2.76813627679877e-14,24.6287859150261
"A1BG",-4.31638634109338,4.21514638674972,-10.7782657035143,1.27481168339834e-14,2.0662572701748e-13,22.7177782308556
"P68366",5.33062781589426,1.95366699123422,10.7519253841405,1.38921946143158e-14,2.16162548198753e-13,22.637534252814
"eeF1A1P5",5.14599087252463,1.9684402153512,10.6009828541122,2.27713134540948e-14,3.40693882063188e-13,22.1757851779287
"HBA",-4.30619082999395,4.58751823349648,-10.5259866067505,2.91393778063161e-14,4.19822887653961e-13,21.9451582673788
"KRT2",7.56933949529725,3.01917522849957,10.0961954806866,1.2133865065325e-13,1.68574053943266e-12,20.6082667909342
"C4",-4.74869266132656,4.65920312784159,-9.97731740113825,1.80745278475661e-13,2.42447976989765e-12,20.2339945829074
"TUBB1",4.04167178644358,1.42581639624191,9.94091381051713,2.04272793458263e-13,2.64873722184215e-12,20.1190001986156
"AGT",-5.17979406027004,5.18031301631619,-9.63608941257049,5.72585459001622e-13,7.18502398553648e-12,19.149183487598
"KNG1",-5.1486735852951,4.61740896634327,-9.60882178744328,6.28214749094662e-13,7.63673554368199e-12,19.0618372177577
"P68104",5.14599087252463,1.89863603467514,9.54495115510135,7.80858549751189e-13,9.20466593494583e-12,18.8568665515468
"P61224",3.28859780482968,1.06500774225224,9.41488322278079,1.21773381395584e-12,1.39323074596712e-11,18.4378554609258
"eHD3",3.45481622012143,1.05773225180497,9.37849519185606,1.37938508010269e-12,1.53308798902842e-11,18.3202519878452
"P35900",3.66357890060389,1.05611255282155,9.24449825332736,2.18556626644396e-12,2.36162577124084e-11,17.8857751711883
"LIMS1",2.97834410303428,0.815161218650176,9.22776695596351,2.31515451143702e-12,2.43404082418648e-11,17.8313711793994
"SeRPINA5",-5.06200423300385,4.45273357818194,-9.19246839509266,2.61456326138889e-12,2.63882282397092e-11,17.7164826490601
"P19823",4.42917048832826,1.84784059236717,9.18904470500452,2.64560643020221e-12,2.63882282397092e-11,17.7053313827731
"P62826",3.1439079136029,0.922613212676283,9.0798827390168,3.85695520983887e-12,3.75088894156830e-11,17.3490507444965
"QSOX1",3.02123460285598,0.978259002730328,8.98240491566589,5.40615532273667e-12,5.12925468425504e-11,17.0297257455225
"P11142",4.66515829212607,1.4286386572736,8.7974611868962,1.02858692500722e-11,9.52667413875736e-11,16.4209094391674
"KRT14",6.00409309883202,2.59721950884683,8.73798304173519,1.26585887530403e-11,1.14516070347271e-10,16.224312365569
"P63104",3.26005625780241,1.02876247999891,8.69695074568996,1.46102366113557e-11,1.29167773677668e-10,16.0884643735298
"TUBA1B",5.1833142816483,1.83936878995559,8.55324008681608,2.41704112208373e-11,2.08939776997905e-10,15.6112842465131
"COL6A1",3.09372815289767,1.0531367631725,8.44311602432292,3.55919663522361e-11,2.95670436967786e-10,15.2442102638429
"VTN",3.503280520017,1.40921416454494,8.44206633275882,3.57236774742569e-11,2.95670436967786e-10,15.2407056175787
"HPX",-4.82527971922593,4.50017515274439,-8.29511785774059,5.99679442486038e-11,4.8599021484806e-10,14.7490494455481
"KRT13",4.95911463542442,1.66250528245446,8.09481648470366,1.21828112529066e-10,9.67166036200139e-10,14.0757414322467
"P13647",6.45094593007524,2.60010411438863,8.08329595576848,1.26908835468933e-10,9.87350739948299e-10,14.0369111839891
"CFH",-5.33940806066129,4.72189086334204,-8.02175940646026,1.57885265900293e-10,1.20426212618067e-09,13.8293174766129
"PKM",3.71742655876141,1.51734925952507,7.99615013079202,1.7292116854495e-10,1.2750345445895e-09,13.7428352760082
"P06733",4.20487981794513,1.16215827316113,7.99287510434119,1.74945118848542e-10,1.2750345445895e-09,13.73177183593
"P23528",3.02123460285598,0.892579134525166,7.98959340518715,1.76997083310624e-10,1.2750345445895e-09,13.7206850145178
"PLG",-5.76510332310437,5.15979702787067,-7.9812997423456,1.82291407074852e-10,1.28929740640213e-09,13.6926621462116
"HBA1",5.06719247230903,1.82643888532008,7.85401075084825,2.86723581664707e-10,1.99170487977805e-09,13.2619216069369
"FLNA",5.38578988292469,1.94622889739667,7.82885378019051,3.13610384692825e-10,2.14025332711419e-09,13.1766514148762
"APOH",-4.11196477446143,3.65061751575342,-7.79393759916417,3.55177893212897e-10,2.38214138723822e-09,13.0582287804628
"SeRPINF2",-4.45833409475132,4.39142943819755,-7.76164479575128,3.98536154647168e-10,2.6276366806398e-09,12.9486294713233
"eDIL3",4.40121155676169,1.05310899536172,7.74443938007364,4.23769473801975e-10,2.74743875514947e-09,12.8902071122721
"ORM1",-4.25276588574794,3.90623180911046,-7.66496351940412,5.62833426463678e-10,3.58921644089132e-09,12.6200921487622
"KRT16",5.85694022472445,2.4557089568436,7.58139718818588,7.58802524575369e-10,4.76087390419062e-09,12.3356566630999
"P04406",4.3260315471557,1.55420244363732,7.50601881295875,9.93781148208285e-10,6.13620423258767e-09,12.0787493781155
"FHL1",3.13450107701599,0.837231346343477,7.43225282466906,1.29435290831355e-09,7.86723877084327e-09,11.8270488197799
"SeRPINC1",-5.16315872860768,5.03021048165686,-7.39448334581049,1.48200750785248e-09,8.86924493160947e-09,11.6980710132518
"P34931",3.99695351526931,0.857992294258848,7.33718557410092,1.82009352665313e-09,1.07275209373949e-08,11.5022832387195
"Q04695",5.69309208470427,2.13005613425584,7.3140062064129,1.97792974478587e-09,1.14838010555478e-08,11.4230388561441
"P01024",5.35962119748809,2.31548225916967,7.2853924944344,2.19182774735087e-09,1.25385440252866e-08,11.3251857951174
"P68371",4.7607631845954,1.62509992330438,7.2171562153641,2.80027169686634e-09,1.57870389866812e-08,11.0917062905226
"UBB",2.78881367378881,0.754972106198902,7.13900401954916,3.70786446135037e-09,2.03149193727506e-08,10.8241033165301
"P0CG48",2.78881367378881,0.754972106198902,7.13900401954916,3.70786446135037e-09,2.03149193727506e-08,10.8241033165301
"SYNCRIP",3.87091867116285,1.12831937205131,7.12399145318492,3.91338070772858e-09,2.11431263237002e-08,10.772677125608
"P07996",5.25338378247377,2.00970292703318,7.06417060985076,4.85207814811858e-09,2.58555945153168e-08,10.5676980999425
"THBS1",-4.05157355511167,3.8930104496408,-7.01941121629852,5.69918552444366e-09,2.99592320136295e-08,10.41427157599
"KRT3",4.83110605371013,1.68289539879105,6.94087806286893,7.55894993296645e-09,3.92057536523193e-08,10.1449801233308
"KRT5",-5.22713420521602,4.73730482687423,-6.93101115708216,7.83201094441802e-09,4.00875297023501e-08,10.1111392147265
"P0DMV8",4.66166477283785,1.01534727561345,6.86654550438424,9.87587117368745e-09,4.92527421354412e-08,9.89000892165437
"P0DMV9",4.66166477283785,1.01534727561345,6.86654550438424,9.87587117368745e-09,4.92527421354412e-08,9.89000892165437
"H4C1",3.44275703387981,1.01386474095244,6.86122914245326,1.00665500255693e-08,4.95682020246386e-08,9.87177077889624
"P05452",3.27692494978177,0.807739349953079,6.84104539861698,1.08246101906281e-08,5.26346670519294e-08,9.80252697317103
"F2",-4.63037051643362,4.54461174228961,-6.80250209473596,1.24344651958502e-08,5.97161353232806e-08,9.67029022911519
"SeRPINA3-7",-4.27293269557241,4.07790237558185,-6.79589443262893,1.2733568081175e-08,6.03481669225361e-08,9.64761954834161
"P62979",2.78881367378881,0.826696115854738,6.79279481848938,1.2876344099153e-08,6.03481669225361e-08,9.63698481784452
"TUBB",4.89809612784001,1.55550919138058,6.74276853490647,1.54151162280899e-08,7.13866691991307e-08,9.46534292091819
"P15311",3.66031745740696,0.943878802764833,6.72269838614826,1.65691688692486e-08,7.49887268857236e-08,9.39648164617891
"P02788",3.45481622012143,1.35017089856469,6.72254212774429,1.65784846071266e-08,7.49887268857236e-08,9.39594552220908
"AMBP",-3.67406449795767,3.38053727812444,-6.71912816224314,1.67833286099474e-08,7.50426991870064e-08,9.3842321927575
