"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.2627588339195,7.89886994691184,-32.7281974282734,2.39500929136323e-35,9.31658614340296e-33,61.8963277147108
"P13645",7.37626018722179,3.13597377247352,19.1083753544122,1.40190432786442e-24,2.7267039176963e-22,43.2093489046886
"KRT1",8.42035150740001,3.40895010581031,18.4702023370677,6.20084062594331e-24,6.41492224360548e-22,41.9524162214447
"TF",-6.6372640003638,6.50277193165561,-18.4440189387627,6.59632107311617e-24,6.41492224360548e-22,41.8998828347081
"A2M",-7.11785301757049,6.92086440788217,-18.262875714722,1.01356429494402e-23,7.88553021466444e-22,41.5343285412438
"P63261",5.39879794934353,2.61637983050475,17.5805537891396,5.26143247824305e-23,2.92385319148078e-21,40.1235893745723
"P60709",5.39879794934353,2.61637983050475,17.5805537891396,5.26143247824305e-23,2.92385319148078e-21,40.1235893745723
"AHSG",-6.15849789145495,6.33992813471078,-17.2324782657228,1.24115045760594e-22,6.0350941001089e-21,39.3828536360691
"KRT9",6.66161789550242,2.91951637462526,16.525435184587,7.37631093814867e-22,3.1882055054887e-20,37.8328681283524
"SeRPINA1",-6.62241469246737,6.35969402538638,-15.6382530574205,7.45380451395109e-21,2.89952995592698e-19,35.7988360440655
"AFP",-5.67399861324315,5.71185561573929,-15.3621538480152,1.55898034266391e-20,5.2980389206366e-19,35.1448939286837
"P02768",6.98525281609162,3.38571285078241,15.3445972748411,1.63435647937376e-20,5.2980389206366e-19,35.1029682628484
"C3",-6.69442136426923,6.67762398894577,-15.1564755976828,2.71673345859377e-20,8.12930242609981e-19,34.6511340813808
"ACTB",-4.77776480929171,4.64889836020568,-14.543358881292,1.46512031541194e-19,3.79954535130164e-18,33.1451817558213
"ACTG1",-4.77776480929171,4.64889836020568,-14.543358881292,1.46512031541194e-19,3.79954535130164e-18,33.1451817558213
"GC",-5.16670999087594,5.06743320271011,-14.3981351921961,2.198202168152e-19,5.34437902131954e-18,32.7808939753284
"APOA1",-6.90738413893639,5.73016030923517,-13.2447311764782,6.04441129955005e-18,1.33768819745212e-16,29.7817635228566
"TLN1",6.14081808135629,2.87545084798534,13.2366614596839,6.18981685196356e-18,1.33768819745212e-16,29.7601077431501
"HBBF",-5.10256169489818,5.11778033064974,-12.4615482833808,6.31065740604857e-17,1.29202406892258e-15,27.6356909777943
"FeTUB",-4.85899078815391,4.59737110107439,-11.6413665552569,8.00947170883304e-16,1.55784224736803e-14,25.2914560287702
"HBA",-4.68454496402296,4.58751823349648,-11.4508296303477,1.46338412158503e-15,2.71074487284084e-14,24.732663053175
"SeRPINF1",-4.26190470626261,4.44950328492584,-11.1369407526462,3.99011720168658e-15,7.05525268843673e-14,23.8004982140891
"GSN",-4.71033454038715,4.70798588107988,-10.9806359327446,6.6061803065171e-15,1.11730614749354e-13,23.3309550437863
"ITIH4",-5.50401316914374,5.57714384362311,-10.9325948462696,7.71829232829844e-15,1.2510065482117e-13,23.1859266891351
"A1BG",-4.30040809375859,4.21514638674972,-10.7383670981436,1.45210497109194e-14,2.25947533501906e-13,22.5961910950178
"P68366",5.1375485078188,1.95366699123422,10.3624826420569,5.00041833444285e-14,7.48139512345487e-13,21.4396028441923
"eeF1A1P5",4.95291156444917,1.9684402153512,10.2032304124356,8.48792893909583e-14,1.22289050270677e-12,20.9436020725906
"C4",-4.79003082232546,4.65920312784159,-10.0641716118612,1.35066890975881e-13,1.87646502105778e-12,20.507632759013
"KRT2",7.37626018722179,3.01917522849957,9.83866093109792,2.88300708717554e-13,3.86720605831478e-12,19.7950459903865
"TUBB1",3.84859247836812,1.42581639624191,9.46601508999006,1.02233163188367e-12,1.3256233493425e-11,18.6028302669032
"P68104",4.95291156444917,1.89863603467514,9.18682137790318,2.66596458526537e-12,3.34535556022009e-11,17.6980890549757
"AGT",-4.85696457563909,5.18031301631619,-9.03552233543929,4.49705069894191e-12,5.46672725590127e-11,17.203867999171
"P61224",3.09551849675422,1.06500774225224,8.86211902169907,8.21131098182174e-12,9.65194037242476e-11,16.6341898903554
"eHD3",3.26173691204598,1.05773225180497,8.85435924740662,8.43614325610391e-12,9.65194037242476e-11,16.6086178059722
"P19823",4.2360911802528,1.84784059236717,8.78846983479075,1.06135054851206e-11,1.17745363480458e-10,16.3912142907218
"KNG1",-4.70506056991145,4.61740896634327,-8.7809195448956,1.08967431498624e-11,1.17745363480458e-10,16.3662716571028
"P35900",3.47049959252843,1.05611255282155,8.75729124218233,1.18333075750209e-11,1.24409639099544e-10,16.2881748945336
"LIMS1",2.78526479495883,0.815161218650176,8.62955170705259,1.84965379817858e-11,1.89346138813544e-10,15.8649370647699
"P62826",2.95082860552744,0.922613212676283,8.52225270504847,2.69482113994548e-11,2.68791134215075e-10,15.5081164010877
"KRT14",5.81101379075656,2.59721950884683,8.45698744558071,3.38966644596981e-11,3.29645061870564e-10,15.290513272487
"P11142",4.47207898405061,1.4286386572736,8.43335613141426,3.68357035787035e-11,3.49489968100382e-10,15.2116204133706
"QSOX1",2.82815529478052,0.978259002730328,8.40836259391738,4.02239619487462e-11,3.72550504715768e-10,15.1281211187342
"CFH",-5.49027016015844,4.72189086334204,-8.248409898794,7.07265314265945e-11,6.39828388952216e-10,14.5923567956854
"TUBA1B",4.99023497357284,1.83936878995559,8.2346304891668,7.42571001554085e-11,6.56500271828498e-10,14.5460931739394
"P63104",3.06697694972695,1.02876247999891,8.18186723192381,8.94961183268266e-11,7.73644222869679e-10,14.3687885635869
"SeRPINA5",-4.41675037331669,4.45273357818194,-8.02070412170209,1.58478068763836e-10,1.32752828361766e-09,13.8257548170536
"HPX",-4.66368313388344,4.50017515274439,-8.01731785466856,1.60395448149178e-10,1.32752828361766e-09,13.8143221244094
"VTN",3.31020121194154,1.40921416454494,7.97679148053308,1.85235788296992e-10,1.50118170099021e-09,13.6774272611019
"COL6A1",2.90064884482221,1.0531367631725,7.9161818790425,2.29792093158585e-10,1.82426784160591e-09,13.4724568179126
"P13647",6.25786662199978,2.60010411438863,7.84135977973689,2.99941800488569e-10,2.33354720780107e-09,13.2190464144921
"KRT13",4.76603532734896,1.66250528245446,7.77965104071496,3.73742662887326e-10,2.85070384045431e-09,13.0097499768217
"P06733",4.01180050986967,1.16215827316113,7.62585895608087,6.47256376200717e-10,4.84197558350151e-09,12.4870430689689
"PKM",3.52434725068595,1.51734925952507,7.58083832567186,7.60321007900602e-10,5.58046928440253e-09,12.3337530853665
"SeRPINF2",-4.35111611208143,4.39142943819755,-7.57498586003347,7.76407113485314e-10,5.59300679899606e-09,12.3138175603547
"HBA1",4.87411316423357,1.82643888532008,7.55474306569951,8.34727307689307e-10,5.90379859438437e-09,12.2448487534306
"FLNA",5.19271057484923,1.94622889739667,7.54819120259988,8.54529988593501e-10,5.93593152790843e-09,12.2225211592807
"KRT5",-5.6681514866371,4.73730482687423,-7.51578583054384,9.59628887396595e-10,6.54904626661886e-09,12.1120550169136
"P23528",2.82815529478052,0.892579134525166,7.47899910541991,1.09475053726556e-09,7.34237860338451e-09,11.9865859727042
"eDIL3",4.20813224868623,1.05310899536172,7.40469406729955,1.42873751895027e-09,9.41998126901108e-09,11.7329458569541
"ORM1",-4.0878931316551,3.90623180911046,-7.36780546287898,1.63078094675894e-09,1.05728964714872e-08,11.606930048841
"KRT16",5.66386091664899,2.4557089568436,7.33146960361521,1.85780168065509e-09,1.18472926848333e-08,11.4827438565399
"SeRPINC1",-5.09559288528476,5.03021048165686,-7.29771806520256,2.09698399708446e-09,1.31568834655783e-08,11.3673407176058
"P04406",4.13295223908024,1.55420244363732,7.17101041022061,3.30508891150135e-09,2.0407612485302e-08,10.9337204900625
"Q04695",5.50001277662881,2.13005613425584,7.06595413970069,4.82106948922047e-09,2.93030629891682e-08,10.5738107537034
"PLG",-5.08565573644695,5.15979702787067,-7.04066181369072,5.27996894023052e-09,3.15985833499949e-08,10.4871200142893
"P01024",5.16654188941263,2.31548225916967,7.0229376510692,5.62738045530484e-09,3.31674393502058e-08,10.42636108339
"P34931",3.80387420719385,0.857992294258848,6.98275095071671,6.5022313463235e-09,3.77517611002961e-08,10.2885764666274
"FHL1",2.94142176894053,0.837231346343477,6.97444017839136,6.69949162984497e-09,3.83250330001426e-08,10.2600783117784
"P68371",4.56768387651994,1.62509992330438,6.92445450467117,8.01890023023654e-09,4.52080027472756e-08,10.0886508579547
"THBS1",-3.99360458893821,3.8930104496408,-6.91897912347822,8.17838430795422e-09,4.5448449939917e-08,10.0698706609813
"P07996",5.06030447439831,2.00970292703318,6.8045388696327,1.23436927961636e-08,6.76295281367273e-08,9.67727830655912
"SeRPINA3-7",-4.26632002406995,4.07790237558185,-6.78537729588701,1.32245469583081e-08,7.14492884275258e-08,9.61153529021136
"SYNCRIP",3.67783936308739,1.12831937205131,6.76865065236586,1.40446973011497e-08,7.48409212348938e-08,9.55414570240837
"AMBP",-3.64439666728935,3.38053727812444,-6.66487164152419,2.04001108509703e-08,1.06339538140397e-07,9.19808458259727
"KRT3",4.63802674563467,1.68289539879105,6.66347990209254,2.05024816466062e-08,1.06339538140397e-07,9.19330992202964
"UBB",2.59573436571335,0.754972106198902,6.64474584468521,2.19314979200753e-08,1.10796788193627e-07,9.12904023614218
"P0CG48",2.59573436571335,0.754972106198902,6.64474584468521,2.19314979200753e-08,1.10796788193627e-07,9.12904023614218
