"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P63104",2.85804347262013,1.02876247999891,6.96017442327888,7.05216396460516e-09,2.74329178223141e-06,10.1200035306634
"FLNA",4.98377709774241,1.94622889739667,6.61327774503465,2.4559316714798e-08,4.7767871010282e-06,8.95769468734293
"P34931",3.59494073008703,0.857992294258848,6.02422962689419,2.03194465176929e-07,2.63475489846085e-05,6.98650367618778
"TUBB",4.49608334265773,1.55550919138058,5.65008104473475,7.69481637519707e-07,7.48320892487915e-05,5.7436840020061
"P15311",3.25830467222467,0.943878802764833,5.46293385413756,1.49015620885646e-06,0.000115934153049032,5.12696125754447
"P26038",3.31662524134159,1.29594388763761,4.64030266409936,2.55581881859789e-05,0.00165702253405763,2.48022283180437
"TUBA1B",2.97828588751367,1.83936878995559,4.48640918356423,4.28360816141535e-05,0.00238046224970082,2.00099435131959
"eDIL3",2.75829766735438,1.05310899536172,4.43065821158576,5.15726714818463e-05,0.00250772115080478,1.82894441464269
"P68366",2.32822426618961,1.95366699123422,4.28688732706791,8.29114689893147e-05,0.00358361793742705,1.38938177946209
"P63000",-2.45965594375883,0.746602443699595,-4.25466322400985,9.21473382680244e-05,0.00358453145862615,1.29171366774749
"P68371",2.95494551060911,1.62509992330438,4.08929442767578,0.000157667383491525,0.00557569201620029,0.795748383525113
"KRT84",-3.56060157408615,0.773961847807489,-3.8864174466735,0.000301085680756906,0.00976019415120304,0.20022037724396
"P07900",2.84347369499643,1.43066996680378,3.72049734019857,0.000505587000403139,0.0151287187043709,-0.2751986319782
"MYH9",2.5698219677885,2.01663136304521,3.32715999616026,0.00165432858808907,0.0459667014833321,-1.35495083341372
