"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL6A1",-2.62396077799888,1.0531367631725,-6.53713304616492,3.22935217566342e-08,1.25621799633307e-05,8.68926031638743
"TUBB1",-2.69321323186553,1.42581639624191,-6.04707537777862,1.87262089830189e-07,3.64224764719718e-05,7.05451822128656
"TLN2",4.01467919318725,1.10544850568922,5.57993257109921,9.8625615691965e-07,0.000127884548347248,5.50831286516919
"P68366",-2.56465798920125,1.95366699123422,-4.7222254281216,1.93705240955131e-05,0.00162951402285128,2.74132324593873
"P11142",-2.72974120778068,1.4286386572736,-4.69917726507455,2.09449103194252e-05,0.00162951402285128,2.66888850559381
"KRT15",-4.86144218374117,1.05196784790562,-4.24348366174301,9.55795915179463e-05,0.00619674351674685,1.26506354301847
"AMY2B",-2.31058483140717,0.923538375654455,-4.03538623948066,0.000187489387363215,0.0104190530977558,0.64466572704147
"FBLN1",-2.58059649698845,1.37059447289955,-3.95597332251822,0.000241572857588501,0.0117464802002409,0.411842891125606
"AMY1A",-2.31058483140717,0.931305959676543,-3.79714291487858,0.000398433332010699,0.0140900514683783,-0.0467705104821086
"AMY1B",-2.31058483140717,0.931305959676543,-3.79714291487858,0.000398433332010699,0.0140900514683783,-0.0467705104821086
"AMY1C",-2.31058483140717,0.931305959676543,-3.79714291487858,0.000398433332010699,0.0140900514683783,-0.0467705104821086
"IGKC",3.31662524134159,0.881565498792972,3.45240286734643,0.00114221806498653,0.0370269022733135,-1.00656653502588
