"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P13645" 6.18050421593061 3.13597377247352 17.9005530825329 2.41634743058737e-23 9.39959150498485e-21 41.3711085286015
"KRT1" 6.91585477999352 3.40895010581031 16.9606426292231 2.44733360095282e-22 4.76006385385324e-20 39.3109753325299
"P63261" 4.38987514829062 2.61637983050475 15.982424158237 3.00725210249075e-21 2.92455266967225e-19 37.0537554858724
"P60709" 4.38987514829062 2.61637983050475 15.982424158237 3.00725210249075e-21 2.92455266967225e-19 37.0537554858724
"KRT9" 5.69528060190768 2.91951637462526 15.7958615890063 4.91062010075458e-21 3.82046243838706e-19 36.6096525287962
"P02768" 5.87717331873826 3.38571285078241 14.4343379910716 1.98628131135133e-19 1.28777238352611e-17 33.2307943260276
"TLN1" 4.94712498896873 2.87545084798534 11.9223020143698 3.32177081440837e-16 1.84595549543551e-14 26.3245496144781
"KRT2" 6.06480684579876 3.01917522849957 9.04423309283833 4.36341767613243e-12 2.12171184501939e-10 17.3169516916555
"eeF1A1P5" 3.84451263652742 1.9684402153512 8.85469119229051 8.4263995985901e-12 3.64207715983506e-10 16.68650677898
"KRT14" 5.14084899479375 2.59721950884683 8.36476286500366 4.69033760199203e-11 1.8245413271749e-09 15.0397135672214
"P68104" 3.84451263652742 1.89863603467514 7.97261877384645 1.88003606382265e-10 6.64849117115464e-09 13.7058922856909
"P13647" 5.36050940975711 2.60010411438863 7.50976154909909 9.80552123830489e-10 3.1786231347505e-08 12.1173975076465
"KRT16" 5.02049855186576 2.4557089568436 7.26574766176737 2.35196188599556e-09 7.03779364347902e-08 11.275438156519
"P19823" 2.96621116409769 1.84784059236717 6.88026298288176 9.40039759559265e-09 2.61196761763253e-07 9.94171441144953
"PKM" 2.82869544079405 1.51734925952507 6.80267525477707 1.2426722123643e-08 3.22266327073143e-07 9.67303241917446
"Q04695" 4.22379026395526 2.13005613425584 6.06686690256987 1.74468566016094e-07 4.24176701126628e-06 7.13077486029491
"KRT13" 3.26776435693408 1.66250528245446 5.96360125873569 2.52318159158366e-07 5.77363317132968e-06 6.77606024109916
"KRT6A" 5.02458397862834 2.57447632704768 5.74460573925873 5.50302204727073e-07 1.18926420910462e-05 6.02679638650914
"KRT3" 3.48314304064891 1.68289539879105 5.59492359034243 9.35349147547645e-07 1.91500430734755e-05 5.51751013717865
"HBA1" 3.1231149318475 1.82643888532008 5.41211559332722 1.78179616767524e-06 3.44130513693237e-05 4.89931556132274
"KRT79" -4.26609868146076 2.46167221409469 -5.40022979831496 1.85777398137737e-06 3.44130513693237e-05 4.85928353933722
"VTN" 1.97395140132127 1.40921416454494 5.31820787408218 2.47691882583006e-06 4.37964283294498e-05 4.5836143889234
"P02788" 2.3581084420033 1.35017089856469 5.13011808863097 4.77252619778374e-06 8.07179430842555e-05 3.95564805685996
"P07996" 3.37754331584568 2.00970292703318 5.07782798067947 5.7213190129918e-06 9.27330456689088e-05 3.78220100408408
"eHD3" 1.6573722320204 1.05773225180497 5.03017709117731 6.74649954017865e-06 0.00010497553284518 3.62460408998154
"KRT6C" 5.0029485721326 2.32059859033938 4.95376547257017 8.77998279993884e-06 0.000128019498150985 3.37284680725151
"KRT71" -3.43522142217602 2.1048396744389 -4.95028742019867 8.88567210816605e-06 0.000128019498150985 3.36141653732635
"LYSM" -2.13454072466813 1.09459348779693 -4.8322272221154 1.33191614596263e-05 0.000183921226976624 2.97499613992799
"P08727" 3.58904410947162 1.416951926209 4.82373106540239 1.37113511113678e-05 0.000183921226976624 2.94730901057539
"SYNCRIP" 2.28963328184554 1.12831937205131 4.71118630420521 2.01095479728493e-05 0.000260753805381279 2.58217473196121
"KRT8" 3.39902097019566 1.48481870418941 4.59711854228781 2.95609505050367e-05 0.000370942249885784 2.215345926298
"H2BC18" 1.79921517221673 0.923136078527918 4.57794570038261 3.15290269465681e-05 0.000383274733819219 2.15402632259559
"APOA4" -3.61209233002321 2.32307816207925 -4.53187826855118 3.67967062448835e-05 0.000433755113007869 2.0071037518852
"KRT6B" 5.02194098851811 2.38420675803211 4.49584483513277 4.15080336523668e-05 0.000474900737963844 1.89259729193469
"C4A" 2.54060259539793 1.81106546131638 4.46608591750669 4.58390677112144e-05 0.000509468495418926 1.79831060738783
"P61224" 1.383625762679 1.06500774225224 4.42871590021178 5.19064833954699e-05 0.000560878390023271 1.68027640346448
"P09429" 2.7150262876713 1.26815882585194 4.38056060448086 6.08905561136007e-05 0.000640173684545694 1.52879307024264
"P62826" 1.34592686074237 0.922613212676283 4.34597166022669 6.82617869194634e-05 0.000698533284303478 1.4204241908895
