"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"eDIL3" -3.22181875584205 1.05310899536172 -6.3383154828019 6.59619787128459e-08 2.5659209719297e-05 8.06793143485444
"P06733" -2.87646127405409 1.16215827316113 -6.11312079160861 1.47860889693125e-07 2.87589430453127e-05 7.30624481003739
"P00558" -2.12893852556993 0.941550110779888 -4.69239908386541 2.14313304618797e-05 0.00277892918322374 2.61969845709617
"Q9BUF5" -2.31650715156437 0.772245621082417 -4.31866891859533 7.46877079974117e-05 0.00726337960274829 1.45143869505958
"ANXA5" -2.0005347789682 0.90890180110496 -4.15054049971613 0.000129353287149707 0.0100636857402472 0.939356910572645
"P15311" -1.93184518239147 0.943878802764833 -3.9669086498222 0.00023331667095602 0.0151266975003153 0.391015196656191
"Q9NY65" -2.57173486057577 0.950188341295903 -3.87031992002828 0.000316752471575318 0.0158844884915682 0.107563350615194
"Q9BQe3" -3.35954209588358 1.17739584610662 -3.83573750332223 0.000353110999056702 0.0158844884915682 0.00695553074742428
"P26038" -2.23103845125064 1.29594388763761 -3.82298497828592 0.000367507445820343 0.0158844884915682 -0.0300246246257148
"ANXA2" -1.83235035404826 1.17048389688045 -3.69814200007159 0.000541732465148307 0.0210733928942692 -0.38854427336539
