"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P63261" 4.95104963478409 2.61637983050475 19.2700897426845 9.67613381925505e-25 1.88200802784511e-22 44.5316400737122
"P60709" 4.95104963478409 2.61637983050475 19.2700897426845 9.67613381925505e-25 1.88200802784511e-22 44.5316400737122
"P13645" 5.16482954236802 3.13597377247352 15.9916954040865 2.93515183351338e-21 3.80591354412235e-19 37.2988178794582
"P02768" 5.98537307024053 3.38571285078241 15.7150428990309 6.08024499560759e-21 5.91303825822838e-19 36.6299242160484
"KRT1" 5.86752505876493 3.40895010581031 15.3832240220005 1.47316360754456e-20 1.14612128666967e-18 35.8147727766362
"KRT9" 5.06124100016769 2.91951637462526 15.006561220413 4.0851307779582e-20 2.64852645437623e-18 34.872162562692
"TLN1" 5.35810560618905 2.87545084798534 13.8043028558103 1.18616806686435e-18 6.59170540014616e-17 31.7368673107314
"P68366" 3.84143857551291 1.95366699123422 9.26089060010931 2.06570008627125e-12 1.0044466669494e-10 18.0698400334898
"KRT2" 5.07386092449196 3.01917522849957 8.08889699845666 1.24412613164755e-10 5.3773896134544e-09 14.1161057467644
"P19823" 3.1765052902061 1.84784059236717 7.87677662810762 2.64393539038271e-10 1.02849086685887e-08 13.3875102902416
"FLNA" 4.41740043853312 1.94622889739667 7.67479043415277 5.4341596698209e-10 1.92171646505485e-08 12.6909515532035
"TUBA1B" 3.59812379337392 1.83936878995559 7.09659795091287 4.31824510317135e-09 1.3592204394526e-07 10.6861477288342
"TUBB1" 2.40919258829615 1.42581639624191 7.08251925875662 4.5423819313326e-09 1.3592204394526e-07 10.637198225648
"KRT14" 3.92045737782992 2.59721950884683 6.8194837122657 1.16976110860151e-08 3.2502647946142e-07 9.7222100967011
"P68032" 4.16104234501059 2.03404680916652 6.40437602276637 5.2033900670267e-08 1.34941249071559e-06 8.2790330025341
"P07996" 3.9523180218391 2.00970292703318 6.35221096507761 6.27526376200788e-08 1.52567350213816e-06 8.09799572064843
"KRT71" -3.85426711192591 2.1048396744389 -5.93763453123385 2.7681499774717e-07 6.14817820806182e-06 6.66447361448433
"eeF1A1P5" 2.40837501927179 1.9684402153512 5.92996615124819 2.84491536619827e-07 6.14817820806182e-06 6.63807222991358
"FBLN1" 2.9072093237833 1.37059447289955 5.83513833788918 3.98851978389856e-07 7.80406752946233e-06 6.31202483896971
"LOX" -2.49268725890416 0.816160085207953 -5.83346301062494 4.01237405113744e-07 7.80406752946233e-06 6.30627208851695
"P01024" 3.54284063542216 2.31548225916967 5.75600887852464 5.28459313938379e-07 9.7890796724776e-06 6.04061607207403
"P13647" 3.8254874955406 2.60010411438863 5.72931690444994 5.81000408852079e-07 1.02731435928845e-05 5.94921141751265
"MYH9" 3.32117712876454 2.01663136304521 5.62994678540963 8.26343124009555e-07 1.39759771843355e-05 5.60962933630116
"P11142" 2.48490726575701 1.4286386572736 5.60082677930936 9.16025421687569e-07 1.48472453765194e-05 5.51033812342235
