"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"eDIL3" -3.08730680374314 1.05310899536172 -6.07368880662265 1.70263509617528e-07 3.7940660981842e-05 7.17019066830974
"P06733" -2.84000863954363 1.16215827316113 -6.03565082531882 1.95067665716411e-07 3.7940660981842e-05 7.04214272626629
"FLNA" -3.38242879121128 1.94622889739667 -5.49708489987125 1.32125240225566e-06 0.000171322394825817 5.24158839663096
"P07900" -3.34865683014726 1.43066996680378 -5.36621484507307 2.09337086756221e-06 0.000203580316870425 4.80879604803304
"TUBB1" -1.85560106577005 1.42581639624191 -5.10275698057028 5.24781788167072e-06 0.000408280231193982 3.94523537777361
"P15311" -2.35641896727144 0.943878802764833 -4.83874115228139 1.30259558463776e-05 0.000838577063931093 3.09234128169701
"C4A" 2.72807960897141 1.81106546131638 4.79564885336033 1.50900757005595e-05 0.000838577063931093 2.95450843828382
"P00558" -2.13856036706742 0.941550110779888 -4.71360661037953 1.99451883010548e-05 0.000969834781138789 2.69326324919395
"P26038" -2.58845055215176 1.29594388763761 -4.43542672801758 5.0761999772325e-05 0.00219404643460382 1.81999057517164
"AZGP1" 2.48379158182731 0.821127098909867 4.38118675650496 6.07645421594433e-05 0.00236374069000235 1.65218196326529
"P68366" -1.92154203119829 1.95366699123422 -4.33324032152095 7.11882130698295e-05 0.00251747408037852 1.5045674398693
"P11142" -2.01000338808687 1.4286386572736 -4.23782258528099 9.73647042105788e-05 0.00315623916149293 1.212899791001
"P19823" 1.8058753393318 1.84784059236717 4.18881076279787 0.000114236433328453 0.00341830558190525 1.06420989451338
"Q9BUF5" -2.18379190474137 0.772245621082417 -4.07124761834545 0.000167098914341147 0.00412823105570837 0.710825130511521
"P63261" -1.11687613052557 2.61637983050475 -4.06626326428007 0.000169798706661527 0.00412823105570837 0.695947909844831
"P60709" -1.11687613052557 2.61637983050475 -4.06626326428007 0.000169798706661527 0.00412823105570837 0.695947909844831
"IGKC" 3.11189489171701 0.881565498792972 3.96730524317985 0.000233022425851647 0.00533210139154652 0.402424276267049
"P68371" -2.31317790200725 1.62509992330438 -3.92060932178434 0.000270250277065649 0.00553634443098197 0.265169653580601
"P02649" 1.94473432757667 0.800040951030369 3.92041953108418 0.000270412709996549 0.00553634443098197 0.264613475984604
"eHD3" -1.26908760892376 1.05773225180497 -3.85172099168289 0.000335832945624707 0.00653195079240056 0.0642046451503031
"TUBB" -2.46975442134338 1.55550919138058 -3.8011912899684 0.000393428316833593 0.00665766466886565 -0.0820189978324635
"ACTB" -1.11687613052557 4.64889836020568 -3.80101838140671 0.000393640841603882 0.00665766466886565 -0.0825176083424077
"ACTG1" -1.11687613052557 4.64889836020568 -3.80101838140671 0.000393640841603882 0.00665766466886565 -0.0825176083424077
"TLN1" -1.54728031115641 2.87545084798534 -3.72886135111378 0.000492668220594612 0.00798533074213766 -0.289528619910288
"P02768" 1.48495194065281 3.38571285078241 3.64704204715916 0.000633897201440069 0.00986344045440748 -0.521623138456854
"HSP90AB1" -2.86469306079632 1.71077618304505 -3.61052245967968 0.000708778837560877 0.0106044218388916 -0.624285487832674
"P02647" 2.56885661041339 1.00542398438452 3.56398301137023 0.000816528444306793 0.0117640579568645 -0.754260567907445
"TUBA1A" -2.6447564987266 1.4003424540644 -3.5049287206421 0.000975901666465834 0.0135580624376861 -0.917778449271486
"PKM" -1.45169237475645 1.51734925952507 -3.4911470683221 0.00101715392422958 0.013643892293976 -0.955708245753045
"VTN" 1.22010294450081 1.40921416454494 3.28719394119418 0.00185918002554542 0.0241073676645722 -1.50639798773513
"TUBB6" -2.57407832026665 0.943824000293477 -3.27317000147942 0.00193658747459633 0.0243010492779991 -1.54350776816623
"TUBA1B" -1.75513677324333 1.83936878995559 -3.23809131954319 0.00214377078030313 0.02606021354806 -1.63589105273708
"Q3SWY2" -1.85587549542218 1.08367909387548 -3.1853552786172 0.00249500281177343 0.029410790720602 -1.77357476049799
"QSOX1" 0.92760985103289 0.978259002730328 3.08339055053813 0.00333306453631579 0.0381341795478483 -2.0355867030684
"Q0VCM4" -2.09835110830791 1.13011134261554 -3.06300718711128 0.00352958173017034 0.0384892910351915 -2.08728547356946
"LYZ" 1.2595450869705 0.816234948298071 3.05974822734623 0.00356199094413084 0.0384892910351915 -2.09552992853679
"Q9BQe3" -2.67062435709746 1.17739584610662 -3.0491697116569 0.00366912246534595 0.0385753686221506 -2.12225058641638
"P08238" -1.95002055279799 1.23310560991947 -2.97196011615177 0.0045473234356056 0.0465502320118573 -2.31537223031804
