"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.17568525497207 7.89886994691184 -32.3833052028246 3.96658573810224e-35 1.54300185212177e-32 61.5667962800084
"P13645" 7.32663722958101 3.13597377247352 18.9798259165224 1.88563973672439e-24 3.50491797485088e-22 42.9597480690272
"KRT1" 8.58189670073392 3.40895010581031 18.8245548133076 2.70302157443513e-24 3.50491797485088e-22 42.65586676912
"TF" -6.52482994993755 6.50277193165561 -18.1315805974055 1.386531825713e-23 1.3484022005059e-21 41.267043296668
"A2M" -6.91874030903288 6.92086440788217 -17.7519954478399 3.4633206646503e-23 2.69446347709793e-21 40.4831473183395
"KRT9" 7.08296766306765 2.91951637462526 17.5706750021756 5.39024002615998e-23 3.49467228362705e-21 40.1027653919857
"AHSG" -6.24306786933859 6.33992813471078 -17.4691188120863 6.9158025604476e-23 3.84321028002016e-21 39.8880192778117
"P63261" 4.92968824683318 2.61637983050475 16.0529529351396 2.50091772862421e-21 1.08095221826091e-19 36.76223007917
"P60709" 4.92968824683318 2.61637983050475 16.0529529351396 2.50091772862421e-21 1.08095221826091e-19 36.76223007917
"C3" -7.00125814441713 6.67762398894577 -15.8511680763494 4.24448996132297e-21 1.65110659495464e-19 36.2962608421525
"SeRPINA1" -6.68727632761313 6.35969402538638 -15.7914181356028 4.96854663525421e-21 1.75705876464899e-19 36.1572684887067
"AFP" -5.64651458854459 5.71185561573929 -15.2877418073079 1.90484830014676e-20 6.17488323964241e-19 34.9669125863475
"P02768" 6.60838578625376 3.38571285078241 14.5167284845081 1.57797562957849e-19 4.72178861466179e-18 33.0786000428014
"ACTB" -4.31020188159754 4.64889836020568 -13.1201127131634 8.73334528095665e-18 2.26484754286143e-16 29.4462835833539
"ACTG1" -4.31020188159754 4.64889836020568 -13.1201127131634 8.73334528095665e-18 2.26484754286143e-16 29.4462835833539
"GC" -4.67261186334795 5.06743320271011 -13.0212257757741 1.17115512475428e-17 2.84737089705884e-16 29.1784652316976
"TLN1" 5.68713713289039 2.87545084798534 12.2587427123783 1.17337503507022e-16 2.68495816848421e-15 27.0652755256795
"HBBF" -4.9924659706841 5.11778033064974 -12.1926709497741 1.4377687374615e-16 3.10717799373624e-15 26.8781299767615
"eHD3" 4.43029035041927 1.05773225180497 12.0265316887024 2.40260406464243e-16 4.91901569024161e-15 26.4046990426053
"eeF1A1P5" 5.70680193342563 1.9684402153512 11.7562799753625 5.58111424256689e-16 1.08552672017926e-14 25.6258814472721
"SeRPINF1" -4.39439973176254 4.44950328492584 -11.4831684021863 1.32065458923776e-15 2.44635540577852e-14 24.8278800410005
"FeTUB" -4.72996972674432 4.59737110107439 -11.3322526806476 2.13441854622356e-15 3.77404006582256e-14 24.3822165769603
"APOA1" -5.89079303746155 5.73016030923517 -11.2954439232131 2.40062057620397e-15 4.06018001801455e-14 24.2730115347329
"ITIH4" -5.56664580090111 5.57714384362311 -11.0570017410419 5.16181190614066e-15 8.36643679786966e-14 23.5608029996124
"P62826" 3.81489589318163 0.922613212676283 11.0177550753865 5.85906958449673e-15 9.11671227347692e-14 23.4427829304005
"A1BG" -4.39890112118573 4.21514638674972 -10.9843098696344 6.52812085062059e-15 9.76707311881312e-14 23.3420323215791
"HBA" -4.38707106751 4.58751823349648 -10.7236890148544 1.52343685855009e-14 2.1948775480592e-13 22.5514036753099
"VTN" 4.43029035041927 1.40921416454494 10.6759378239683 1.78097916186517e-14 2.47428890701982e-13 22.4054867204341
"P68104" 5.70680193342563 1.89863603467514 10.5851617415835 2.39858347461067e-14 3.21741024697776e-13 22.1271988022343
"QSOX1" 3.53579545596676 0.978259002730328 10.5122410733818 3.04888700948416e-14 3.95339015563113e-13 21.9028019311781
"KRT2" 7.68902712481188 3.01917522849957 10.2558381687905 7.12430200582551e-14 8.93984993634233e-13 21.1078413989701
"P35900" 4.03354304907582 1.05611255282155 10.1780479371567 9.23127386973838e-14 1.12217672979007e-12 20.8648481769482
"GSN" -4.25697301903344 4.70798588107988 -9.92376878897458 2.16402910684826e-13 2.55093128049689e-12 20.0647794972092
"C4" -4.68995772388675 4.65920312784159 -9.85391141233937 2.73838619731066e-13 3.13303597280544e-12 19.8434505637423
"AGT" -5.29180184397091 5.18031301631619 -9.84446005551246 2.82712597750236e-13 3.14214858642405e-12 19.8134558805779
"LIMS1" 3.14626008820834 0.815161218650176 9.74801899057179 3.91680502665783e-13 4.23232543158304e-12 19.5067158962574
"P05452" 4.63623767711846 0.807739349953079 9.67880342516176 4.95262551491743e-13 5.20694952784562e-12 19.2858157343172
"P23528" 3.53579545596676 0.892579134525166 9.35033910652892 1.51920107461596e-12 1.49382003084381e-11 18.2291407424699
"P61224" 3.26494341836017 1.06500774225224 9.34716339216182 1.53584306083941e-12 1.49382003084381e-11 18.2188581864238
"H2BC18" 4.10719554690771 0.923136078527918 9.3471218963755 1.53606172837409e-12 1.49382003084381e-11 18.2187238201472
"UBB" 3.60439845675318 0.754972106198902 9.22679607915833 2.3229079155478e-12 2.15145518844785e-11 17.8282132091121
"P0CG48" 3.60439845675318 0.754972106198902 9.22679607915833 2.3229079155478e-12 2.15145518844785e-11 17.8282132091121
"KRT14" 6.31452690965312 2.59721950884683 9.18976907001375 2.63900762608944e-12 2.38738131755533e-11 17.7076908217827
"SYNCRIP" 4.95946617237163 1.12831937205131 9.12734098175238 3.2734190843548e-12 2.89400005412276e-11 17.5041172177261
"SeRPINA5" -4.94635663944212 4.45273357818194 -8.98245536470966 5.40520931883364e-12 4.67250316672508e-11 17.029891293369
"P62979" 3.60439845675318 0.826696115854738 8.77933846600116 1.09570129132462e-11 9.26582178967994e-11 16.3610477272431
"KNG1" -4.56732929145419 4.61740896634327 -8.52387561167126 2.67950532498439e-11 2.21771823706155e-10 15.5135220131835
"LYZ" 3.88739724780124 0.816234948298071 8.4464825658813 3.51728355298598e-11 2.80354160543574e-10 15.2554495469809
