"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",-3.59857638281154,2.12980106281586,-6.51666790807676,3.40993749227662e-08,7.63825998269963e-06,8.70697372402385
"MYH9",-3.24720805895095,2.17147436226733,-5.23809886918656,3.2431171890903e-06,0.00032908487539351,4.36556162823694
"P68366",-2.0087006306158,2.08258765709156,-5.15015812567743,4.40738672402022e-06,0.00032908487539351,4.07403869664332
"P26038",-2.41361154062732,1.46456907161834,-4.46073754760523,4.63603133670283e-05,0.00232124714443865,1.84525447982782
"TUBA1A",-2.94818745069726,1.56754237636975,-4.42734084748781,5.18135523312198e-05,0.00232124714443865,1.74035614783465
"TUBA1B",-2.01688861440928,1.94726573425111,-4.28231665135054,8.36825170673929e-05,0.00312414730384934,1.28875592859661
"P09429",2.28478385229726,1.37638461910149,4.0568769693601,0.000174150121864232,0.00557280389965543,0.600395755357881
"P08727",2.67710425556755,1.50896968556269,3.98308592120333,0.000220586968700517,0.00617643512361448,0.378990119588562
"P68371",-1.95963331685075,1.75239805099663,-3.77503559313104,0.00042521320869,0.00980612371056835,-0.233935292048256
"P11142",-1.60472881815945,1.58731738439312,-3.76569068700739,0.000437773379936087,0.00980612371056835,-0.261054657582742
"TUBB",-2.0071669710334,1.6982673327166,-3.56537134601684,0.000810475715639966,0.0159143203258389,-0.833315765723209
"KRT3",2.29049522165767,1.74723983828543,3.54867498054507,0.000852552874598512,0.0159143203258389,-0.880202779105392
"eeF1A1P5",1.59189295907011,2.0344425061276,3.48148175253283,0.00104394002811414,0.0179878897151975,-1.06758166221923
"P68104",1.59189295907011,1.96523511745077,3.45615957725323,0.00112617886206681,0.018018861793069,-1.13764164596679
"KRT13",1.77744940452457,1.73143413968201,3.12755348065932,0.00293572505726695,0.0429802869462803,-2.01758730296829
"KRT8",2.19012819754451,1.57238229373487,3.09950035087688,0.00317850672684078,0.0429802869462803,-2.09006235837128
"VTN",1.25459551124428,1.52379352816746,3.09032758430193,0.00326189677717306,0.0429802869462803,-2.11366549397442
"P07900",-1.7086499182947,1.58250706049443,-3.05758955007538,0.00357655470717539,0.0445082363559604,-2.19752256107856
"TUBA1D",-2.94818745069726,1.92357841852992,-3.03141636981145,0.00384833952055261,0.0453698975054623,-2.26412926069791
"CLeC3B",1.82854961427012,2.59057900230815,2.98827199622742,0.00433891461516337,0.0485958436898297,-2.37307106949704
