"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P68366",-1.93623623593511,2.08258765709156,-4.96436483951081,8.38992505585685e-06,0.00187934321251193,3.48967783636901
"TUBB",-2.52882424513905,1.6982673327166,-4.49200172823161,4.17655265382902e-05,0.00313837330639961,1.97962705614627
"P68371",-2.33082576456549,1.75239805099663,-4.49010034018102,4.20317853535662e-05,0.00313837330639961,1.97366367862692
"TUBA1A",-2.59224816519298,1.56754237636975,-3.89282105717867,0.000293806815272016,0.0164531816552329,0.157076374751052
"P11142",-1.59227411203978,1.58731738439312,-3.73646420941594,0.000479399303204115,0.0214770887835444,-0.29707653383936
"VTN",1.4826174241774,1.52379352816746,3.65199259987626,0.000622175455241585,0.0217534183060929,-0.538194345165383
"P26038",-1.96037578962119,1.46456907161834,-3.62308587980428,0.000679794322065402,0.0217534183060929,-0.619994487275922
"HSP90AB1",-2.25607107559951,1.74196872511885,-3.49414594843241,0.00100498891602807,0.0281396896487859,-0.98028249714547
"FLNA",-1.88892091138696,2.12980106281586,-3.42064999451623,0.00125195015485833,0.030359523006135,-1.18217879523913
"C4A",2.03651674116979,1.92122048006565,3.39391601702855,0.00135533584848817,0.030359523006135,-1.25497257934216
"P01023",2.84328775906937,2.56133651287742,3.30722890132157,0.00174921000468638,0.0327476149634612,-1.48858091275899
"P01024",2.24682173195157,2.35144295118694,3.30622780466256,0.00175433651589971,0.0327476149634612,-1.49125665890975
"P07900",-1.81926968580592,1.58250706049443,-3.2555410681439,0.00203330652291595,0.0343636136141153,-1.62606223926619
"TUBB1",-1.02279765677816,1.59234073883428,-3.22542365685691,0.0022184030635273,0.0343636136141153,-1.70553210997624
"TUBA1B",-1.51313045428035,1.94726573425111,-3.2127226529702,0.00230113484023093,0.0343636136141153,-1.73890333196618
"P02768",1.26896690403675,3.53014814150613,3.0582102179649,0.00357033338097665,0.0499846673336731,-2.13792877979907
