"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -7.24708369283692 8.0225757952076 -28.95692652743 6.30187587741156e-33 1.41162019654019e-30 58.6414403956639
"P13645" 7.30910560846686 3.28286207275526 18.6189276200118 3.79454472305876e-24 4.24989008982581e-22 42.5951652059385
"KRT1" 8.35326393702173 3.56366728071721 18.2997075965812 8.08773336625922e-24 6.03884091347355e-22 41.944646357267
"A2M" -6.35107838176099 7.04890177435079 -17.050602103734 1.72216512955291e-22 9.64412472549628e-21 39.2863962820822
"P63261" 5.28439949743202 2.73660694264868 16.7146395315224 4.02946385133524e-22 1.50433317116516e-20 38.5396105604047
"P60709" 5.28439949743202 2.73660694264868 16.7146395315224 4.02946385133524e-22 1.50433317116516e-20 38.5396105604047
"TF" -5.72460999967375 6.62833730330571 -16.4992946535336 6.99253947691219e-22 2.2376126326119e-20 38.0535980506475
"AHSG" -5.62873825005735 6.45909865672305 -16.031632198234 2.35545510112135e-21 6.59527428313977e-20 36.9780121500139
"KRT9" 6.58325182832328 3.05443713763583 15.4340689058404 1.15203122011694e-20 2.86727770340216e-19 35.5626537363168
"P02768" 6.91555106117192 3.53014814150613 14.9069510515533 4.83491956873937e-20 1.08302198339762e-18 34.274911787478
"C3" -5.84731076458175 6.80831847634258 -13.6419397112516 1.73071688010596e-18 3.5243689194885e-17 31.0288984374603
"AFP" -4.87942077805002 5.82309093743856 -13.5664303335131 2.15614618869724e-18 4.02480621890151e-17 30.8280191407292
"SeRPINA1" -5.6176273177543 6.48107743762678 -13.451437567344 3.01743254267402e-18 5.19926838122292e-17 30.5205339391563
"TLN1" 6.0437835529496 3.01286371076434 12.8261697995103 1.93188458301248e-17 3.09101533281997e-16 28.8152346112994
"P68366" 5.03460394250606 2.08258765709156 11.5455772801232 1.01235665522016e-15 1.51178593846211e-14 25.1446740059104
"GC" -4.19528454902534 5.15266420639357 -11.2530402614674 2.57615318019063e-15 3.60661445226688e-14 24.2725239244627
"TUBB1" 3.96025949469281 1.59234073883428 11.1703216781389 3.36151061019489e-15 4.42928456872738e-14 24.023658942087
"ACTB" -3.43501613217943 4.69839418045775 -10.121720623152 1.05656837051094e-13 1.24563849997079e-12 20.7844021530383
"ACTG1" -3.43501613217943 4.69839418045775 -10.121720623152 1.05656837051094e-13 1.24563849997079e-12 20.7844021530383
"KRT2" 7.30910560846686 3.15887506003387 9.59036791402822 6.37882746611911e-13 7.00265241475002e-12 19.0854745093544
"ITIH4" -4.70774750409101 5.68496499135984 -9.58194382601961 6.56498663882815e-13 7.00265241475002e-12 19.0582444577391
"APOA1" -5.00353685823906 5.83793754773609 -9.5444571015718 7.4622324964282e-13 7.59790945090871e-12 18.9369634799051
"eeF1A1P5" 4.84134253330731 2.0344425061276 9.47024175370792 9.62085467761046e-13 9.30485354237885e-12 18.6963336433759
"P11142" 4.50709439623526 1.58731738439312 9.45985849178061 9.96948593826305e-13 9.30485354237885e-12 18.6626129991009
"FeTUB" -3.82577531725117 4.65955917386766 -9.41420587386073 1.16601337569524e-12 1.04474798462293e-11 18.5141932967438
"P68104" 4.84134253330731 1.96523511745077 9.40136099009251 1.21860395151435e-12 1.04987417361236e-11 18.4723873755076
"TUBA1B" 4.87920937917264 1.94726573425111 9.26597900707328 1.94206934532316e-12 1.61119827167551e-11 18.0305395066281
"HBBF" -3.83705280413446 5.20161125704235 -9.15852716755724 2.81521642759406e-12 2.25217314207525e-11 17.6782823483265
"GSN" -4.18254741056463 4.75887842710271 -9.06614340187089 3.87760048495116e-12 2.9951120987209e-11 17.3743401840871
"PKM" 3.8006611151997 1.62531181936248 8.59609027572109 2.00312135081685e-11 1.49566394194325e-10 15.8131770225311
"P19823" 4.32139892164367 1.95199204990044 8.53199373848899 2.50980803953824e-11 1.81353871244054e-10 15.5985028055161
"HBA1" 4.77457019894682 1.88969620876951 8.43736229192677 3.50356145956115e-11 2.4524930216928e-10 15.2808259664365
"SeRPINF1" -3.33757032851582 4.47146455055078 -8.39158956438494 4.11812558633147e-11 2.79533373132803e-10 15.1268613104444
"FLNA" 5.08466950224346 2.12980106281586 8.23573923714652 7.14887531299939e-11 4.70984726503489e-10 14.601194386538
"VTN" 3.69077864759515 1.52379352816746 8.13137110169115 1.03538773150689e-10 6.6264814816441e-10 14.2479857734677
"P04406" 4.26116119021784 1.63629529099176 7.88990723025733 2.44655646087788e-10 1.52230179787957e-09 13.4274668892023
"P68371" 4.50783708925906 1.75239805099663 7.76710975693901 3.79399201163495e-10 2.24268204919326e-09 13.008561514703
"HBA" -3.14817119664018 4.62559023340705 -7.76633275258125 3.80454990488142e-10 2.24268204919326e-09 13.0059076766016
"KRT14" 5.71085669642581 2.68973372823354 7.72321251790075 4.43917478095774e-10 2.54967987419111e-09 12.858571235586
"A1BG" -3.19446511360324 4.1781310077701 -7.55519522125424 8.1052465203975e-10 4.5389380514226e-09 12.283412915921
"KRT13" 4.76766228190273 1.73143413968201 7.50339786726678 9.76091467888161e-10 5.33279240992556e-09 12.1057860145963
"P07996" 4.94774610266477 2.092374929761 7.45734170966178 1.15162159192446e-09 6.14198182359714e-09 11.9477345681999
"P02788" 3.65867156414794 1.45774634577412 7.41877874252275 1.32273638979401e-09 6.89053375148508e-09 11.8153204769941
