"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",6.22115347035929,2.97643993189695,19.2962046929494,1.20924118007756e-23,7.63031184628937e-21,42.4327921092728
"KRT1",6.96015508747436,3.24960602826261,18.0915661479852,1.66056008705202e-22,5.23906707464911e-20,40.0682673775803
"P63261",4.44068958996096,2.45979019689723,16.6553850480766,4.51082247899934e-21,7.11582246062146e-19,37.047701540538
"P60709",4.44068958996096,2.45979019689723,16.6553850480766,4.51082247899934e-21,7.11582246062146e-19,37.047701540538
"KRT9",5.72868276598493,2.75795260815414,15.6548306315862,5.09667541253532e-20,6.43200437061958e-18,34.8038653674476
"P02768",5.92030417017762,3.23301415862248,15.3306835980195,1.14422445192637e-19,1.2033427152759e-17,34.0510259159456
"TLN1",4.98683943705767,2.71389669310979,11.6342403261841,2.79298290700034e-15,2.51767459188173e-13,24.4918986943596
"eeF1A1P5",3.9961255758759,1.86671378928113,11.2530465046187,8.72862513529125e-15,6.88470307546097e-13,23.3989834045688
"KRT14",5.18141423555462,2.44276934440136,9.24492123792621,4.79171247244685e-12,3.35952285568218e-10,17.3113131994826
"KRT2",6.10074751900275,2.86031237617989,9.02805978650202,9.75018792496206e-12,6.15236858065106e-10,16.6225734443793
"P68104",3.9961255758759,1.79940580014137,8.72868150657642,2.62181637445667e-11,1.5039692111656e-09,15.6627854338988
"KRT16",5.06576498138323,2.30697925096178,8.41042304634062,7.58041258322372e-11,3.98603361667847e-09,14.6317435738979
"P13647",5.40140370613791,2.44539382196407,8.12094759391603,2.00782096445383e-10,9.74565406592589e-09,13.6851511635815
"APOA2",-4.01062650555032,2.08661494538222,-7.93651824178051,3.74886581068272e-10,1.68966737610057e-08,13.0780981679553
"PKM",2.97097899862593,1.39826985526521,7.85176790367884,4.99932964232141e-10,2.10305133620321e-08,12.7981902976387
"P19823",3.0804642572686,1.72378064659439,7.67986055309312,8.97850267125981e-10,3.54089699097809e-08,12.2287296390351
"Q04695",4.36903988640486,2.00730714342483,7.21587099795062,4.4023975869441e-09,1.63406639844808e-07,10.682115567604
"KRT13",3.3927825912096,1.5651524960697,6.93399094494182,1.16257991728857e-08,4.07548848782826e-07,9.73747716835164
"VTN",2.19994314885797,1.30500717022259,6.62166459338878,3.41886098690379e-08,1.0888437617794e-06,8.6884634391866
"KRT3",3.62291795567465,1.58048859238809,6.61894325002363,3.4511688170504e-08,1.0888437617794e-06,8.67931861935589
"KRT6A",5.06894622029198,2.4219735959836,6.3332617572704,9.26424803276207e-08,2.78368595651089e-06,7.7195310765624
"P02788",2.49233089048721,1.24423163318215,5.96618625670799,3.28875643284327e-07,9.43275140510957e-06,6.48925358092572
"HBA1",3.27467849556768,1.70191375070829,5.71229168545135,7.8735589023994e-07,2.16009376844088e-05,5.64258883659802
"eHD3",1.85483347211691,0.929085257842862,5.69254884919774,8.42519564454385e-07,2.21512435487799e-05,5.57696060075273
"P07996",3.47862246617426,1.8511055360765,5.49618555685755,1.64953155991888e-06,4.16341765723526e-05,4.92624073959721
"H2BC18",1.913214601868,0.730843712997558,5.40255284341117,2.26967437380801e-06,5.50832511489561e-05,4.61742014396041
"KRT6C",5.04836619076376,2.16427141361773,5.36208056406436,2.60467722922439e-06,6.08722715422441e-05,4.48426438228892
"KRT6B",5.06419575027025,2.22641661277503,5.21438811850942,4.29795146392971e-06,9.68574062049873e-05,4.00021218071827
