"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.80711826352332,7.83356785233269,-38.607388237134,1.28177878885763e-36,8.08802415769164e-34,64.6285053770132
"P13645",7.67027311349682,2.97643993189695,21.1736688696859,2.60806071758302e-25,8.22843156397441e-23,45.2041201116246
"KRT1",8.68809505802858,3.24960602826261,20.0986144041695,2.2654651315425e-24,4.30082715188916e-22,43.3588218115639
"A2M",-7.69247212863698,6.85398639709391,-20.0086077492348,2.72635635618964e-24,4.30082715188916e-22,43.1994685183
"TF",-7.18259830115921,6.43319179890424,-19.591708467246,6.48497027661516e-24,6.79414804070065e-22,42.4512354286617
"P63261",5.84029043947872,2.45979019689723,19.4949898212824,7.94548789030141e-24,6.79414804070065e-22,42.2752370299032
"P60709",5.84029043947872,2.45979019689723,19.4949898212824,7.94548789030141e-24,6.79414804070065e-22,42.2752370299032
"SeRPINA1",-7.0290503817547,6.29018619540095,-19.4566375606784,8.61381685033362e-24,6.79414804070065e-22,42.2051931433324
"AHSG",-6.70335235352392,6.27250171719331,-19.2523548934268,1.32722802396224e-23,9.30534314577971e-22,41.8296529229391
"AFP",-6.15076992047489,5.63990601640145,-17.061103966101,1.73849147094794e-21,1.09698811816815e-19,37.5277842397202
"KRT9",6.98408761947775,2.75795260815414,16.9858617879899,2.07213904486961e-21,1.18865430664793e-19,37.3707090618448
"P02768",7.27930738118713,3.23301415862248,16.7761331926045,3.39045386715949e-21,1.78281365848136e-19,36.9294312506531
"C3",-7.18939600486351,6.60985039740058,-16.3662728155435,8.99097746494468e-21,4.36408213875392e-19,36.0522055907766
"APOA1",-7.63580539586993,5.65700133956763,-16.0082669066175,2.1380660888218e-20,8.19655486970479e-19,35.2695621476719
"GC",-5.66389242800499,4.99867536177431,-16.0073768726347,2.14271203466015e-20,8.19655486970479e-19,35.2675970821803
"ACTB",-5.29217384940965,4.58489953713887,-15.995024289247,2.20826359405676e-20,8.19655486970479e-19,35.2403143983075
"ACTG1",-5.29217384940965,4.58489953713887,-15.995024289247,2.20826359405676e-20,8.19655486970479e-19,35.2403143983075
"eRC1",3.38846496069759,0.453126800778874,15.8061184469869,3.50815484381869e-20,1.22980317024977e-18,34.8207572936585
"HBBF",-5.77051772658641,5.04709494072043,-15.5526746423804,6.56798669807826e-20,2.18126295078283e-18,34.2509385704065
