"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACTBL2",3.24453489989936,0.466625960054164,5.57229459352041,1.27184482561072e-06,0.000802534084960367,5.21246073545629
"P06733",-2.19293549634865,1.00307738353785,-4.45445536705663,5.36440225373039e-05,0.0169246891105194,1.82755020721841
"P26038",-2.32635272157423,1.1333406550057,-3.9760696927982,0.000246385609759723,0.0518231065861284,0.45421494438871
"RDX",-1.69183142581982,0.501332519865363,-3.72213149056702,0.000538467508760685,0.084943249506998,-0.246573666177225
"AMY2A",1.35174749435998,0.570364073266519,3.46318647482393,0.00116757838202855,0.129821252956909,-0.936765940741822
"P15311",-1.53114234471416,0.776083929513556,-3.4442210110238,0.00123443346710215,0.129821252956909,-0.986252544354048
"ANXA2",-1.61010229923646,1.02910085649948,-3.27641765853349,0.00200746157788078,0.16100399356767,-1.41728954586654
"P00558",-1.50214074028213,0.750630568987068,-3.27058348643988,0.00204125506900374,0.16100399356767,-1.43204871724792
"P35580",-1.5202066413384,0.441271939685429,-3.19461982222429,0.00253343821324439,0.174965229209227,-1.62277209127183
"ATIC",-1.71874376384392,0.543629985578278,-3.1302215787688,0.00303648455485015,0.174965229209227,-1.78230427244048
"DYNC1H1",-1.84082591019133,0.327439591398445,-3.11912122085562,0.00313218661799329,0.174965229209227,-1.80959867864931
"KRT6C",-2.91621758863838,2.16427141361773,-3.09743648969625,0.00332738946198213,0.174965229209227,-1.86274300380137
"P63267",-2.46400961177437,0.706404285464378,-3.04208541419149,0.00387877329513238,0.178296910748759,-1.99732820766799
"FBLN1",1.54681363086852,1.2055395696611,3.00756581305216,0.00426488434996732,0.178296910748759,-2.08047274472184
"PYGL",-1.04444606736448,0.289094199092255,-2.9908076475429,0.0044650464381087,0.178296910748759,-2.12061481623744
"P07195",-0.835621270831461,0.331726118496806,-2.98624885197179,0.00452099932168011,0.178296910748759,-2.13150953900908
"Q86UX7",1.2387816499071,0.290262389270065,2.95589478732947,0.00491060377498376,0.182270057765574,-2.20377258293644
"O43505",0.648166511000231,0.29264576963563,2.85953209390247,0.00636510883112535,0.213848837723674,-2.42992064571829
"TUBB",-1.77454400961172,1.37916446976825,-2.85519377684185,0.00643918845760665,0.213848837723674,-2.43998327957341
"P62736",-2.46400961177437,0.638998481544567,-2.65547430867028,0.010854655682444,0.340656216110383,-2.89170777507144
"P49747",1.02450834105404,0.476961206766378,2.63846625279594,0.0113372116296641,0.340656216110383,-2.92910481185006
"POTeI",-1.33288670871735,0.510637212644928,-2.46689236967239,0.0174261276043309,0.499813023560581,-3.2964947803547
"Q8N1N4",-1.59047245950772,0.896992418578169,-2.35904212303379,0.0226385014363003,0.621082365491542,-3.51792372791963
"O95678",-2.03751275801011,1.40815289159792,-2.26077185648019,0.0285638959887556,0.730958692476106,-3.71301747938187
"SeRPINA5",0.874424572859164,4.39741935957571,2.24438087332035,0.0296766142725758,0.730958692476106,-3.7449247413261
"HPX",1.0242490337833,4.43467162277725,2.21637026868328,0.0316674578191529,0.730958692476106,-3.79902576566979
"Q32LP2",-1.69183142581982,0.846657908552228,-2.21498090495971,0.0317692166242648,0.730958692476106,-3.80169521244103
"COL6A1",0.788468188539335,0.906037327762269,2.20597904621425,0.0324355679704136,0.730958692476106,-3.81895861677454
"HABP2",1.22903210363448,1.13805930585204,2.17939355477613,0.0344762534258145,0.741757573388393,-3.86961559299618
"ACTG2",-2.46400961177437,1.10752783647369,-2.14635656266443,0.0371694192140682,0.741757573388393,-3.93187871714196
"ACTA2",-2.46400961177437,1.10752783647369,-2.14635656266443,0.0371694192140682,0.741757573388393,-3.93187871714196
"VTN",0.710892545950371,1.30500717022259,2.13973347614334,0.0377310715050872,0.741757573388393,-3.94426872094424
