"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02768",7.13940989376921,3.23301415862248,18.4875693903177,6.91763116755489e-23,4.36502526672714e-20,40.8619399447961
"P13645",5.45148461361332,2.97643993189695,16.9089162461494,2.48111861268045e-21,7.8279292230068e-19,37.5976536560639
"KRT1",6.00060770321425,3.24960602826261,15.5974098028617,5.87674973588007e-20,1.23607636111344e-17,34.6714465272099
"P63261",4.06538274635418,2.45979019689723,15.247747818584,1.40990548936658e-19,1.77930072758062e-17,33.8563148112507
"P60709",4.06538274635418,2.45979019689723,15.247747818584,1.40990548936658e-19,1.77930072758062e-17,33.8563148112507
"KRT9",5.33134221506209,2.75795260815414,14.5690139994116,8.01747412725745e-19,8.43171029049908e-17,32.2301962921181
"TLN1",4.27489439837509,2.71389669310979,9.97328055725385,4.58869827288395e-13,4.13638372884253e-11,19.5817114241136
"P19823",3.92603982727597,1.72378064659439,9.7879526854514,8.28507791153939e-13,6.5348552027267e-11,19.0104887271684
"KRT14",4.87250436191685,2.44276934440136,8.69374981607728,2.94438641435595e-11,2.06434203050956e-09,15.5501442038564
"eeF1A1P5",3.03609790912015,1.86671378928113,8.5496189534574,4.75870677567098e-11,3.00274397544839e-09,15.083991581221
"KRT2",5.37441893229602,2.86031237617989,7.95321807489063,3.54238320251065e-10,2.03203981889474e-08,13.1331846997936
"C4A",4.45273342515369,1.69571761681544,7.85004759815333,5.02865480368501e-10,2.64423431760437e-08,12.7925026749728
"VTN",2.55392447474344,1.30500717022259,7.68712195011795,8.75878745088602e-10,4.25138067808391e-08,12.2528274257389
"KRT16",4.53314568959003,2.30697925096178,7.52614326173047,1.51824359295023e-09,6.84294076536854e-08,11.7177626455154
"P01024",5.01182403534264,2.16965196404416,7.36720160678082,2.61759036335279e-09,1.10113301285041e-07,11.1878831070981
"P13647",4.62901211631652,2.44539382196407,6.95966583010468,1.06403971299223e-08,4.19630661811311e-07,9.82362804138997
"P68366",2.97704820211095,1.76508982753113,6.82241683855207,1.7087235275124e-08,6.34237968153133e-07,9.36291041365688
"MYH9",4.29747992533559,1.83979858127324,6.64865462970896,3.11437444734781e-08,1.09176126459804e-06,8.77915956983878
"P68104",3.03609790912015,1.79940580014137,6.63170642871593,3.30224135979937e-08,1.09669173580706e-06,8.72220789885604
"FBLN1",3.29520432905335,1.2055395696611,6.40707043777322,7.17837390420919e-08,2.264776966778e-06,7.96741288425144
"Q04695",3.66755849546717,2.00730714342483,6.05730999688946,2.40222584619043e-07,7.21811670926743e-06,6.79412755897637
"KRT6A",4.72810347036086,2.4219735959836,5.90740473303523,4.02667898625484e-07,1.12924265979719e-05,6.29283760986223
"P01023",5.40878037355088,2.29391897658004,5.90102402606258,4.11609844300086e-07,1.12924265979719e-05,6.27152969806609
"APOA2",-2.97276545032972,2.08661494538222,-5.88272360750263,4.38367788017666e-07,1.15254197599645e-05,6.21043151064253
"P06396",4.32415923077046,1.8637240805787,5.73636147062483,7.24937784630789e-07,1.82974296840811e-05,5.72264577364082
"POTee",2.93423644363364,1.22222899345803,5.61006978507608,1.11764712333303e-06,2.71244359547362e-05,5.30317004703218
"HBA1",3.2029106271761,1.70191375070829,5.58710107560961,1.20903700435011e-06,2.82556425831451e-05,5.22704095800201
"KRT13",2.62075321258237,1.5651524960697,5.3561578310547,2.65764680516207e-06,5.98919690734737e-05,4.46479586318095
"KRT71",-3.81427203581491,2.06923573706999,-5.34491694687927,2.761130109756e-06,6.00783827329669e-05,4.42785870860507
"KRT3",2.90139681427513,1.58048859238809,5.30074958760978,3.20782611661471e-06,6.74712759861294e-05,4.2828890889841
"QSOX1",1.32712812625123,0.805070645396471,5.27299082426796,3.52444435812441e-06,7.1739496450855e-05,4.19191357228837
"MYH11",2.25254245247138,0.652544957969425,5.13569602553677,5.60627077578719e-06,0.000110548651860054,3.7436055825448
"APOB",4.1712064576371,1.56865439369341,4.99589299709969,8.97003996086333e-06,0.000171518036827417,3.29021528540707
"TUBA1B",2.79915613779622,1.66164867095912,4.93147716885288,1.11279327843667e-05,0.000206521340792216,3.08247391642507
"P63104",1.73137475395247,0.884129142970355,4.88361512936418,1.30553042414516e-05,0.000235368485038741,2.92862741330214
"KRT6B",4.70031927292217,2.22641661277503,4.83971990391924,1.51099233276782e-05,0.000264843378326804,2.78792904504961
"ReG1",-2.25918506507156,0.282004772270175,-4.6923719495374,2.4617094244679e-05,0.000419821255902498,2.31858584522058
"COL10A1",-2.34450180888438,0.836743477537966,-4.50616741134447,4.53362989943674e-05,0.00075282117540647,1.73261342359184
"P68032",3.27487550805567,1.87318986533482,4.46874102950596,5.12106618038031e-05,0.000828562246107687,1.615882950787
"B2M",-2.03200243363004,0.513877245340613,-4.45716326087324,5.31742444095571e-05,0.000833495646227701,1.57984743112047
"AZGP1",2.23578761406416,0.618569799322471,4.45152253670526,5.41574033206588e-05,0.000833495646227701,1.56230377252166
"P02647",2.9806423775042,0.803771327597334,4.18028729923727,0.000129496085236212,0.00194552451866786,0.729367541181038
"COL2A1",-2.25918506507156,0.598477585239702,-4.15278288459942,0.000141313333158021,0.00207369100517934,0.646144711182392
"TUBB1",1.59555134732445,1.29215683445709,4.12363094107181,0.000154982167910829,0.00222258518072121,0.558202665316182
"APOD",-2.29636981483425,2.04941190125326,-4.06887539906502,0.00018421064560155,0.00253106349476377,0.393778344174768
"SeRPIND1",2.10944351416199,0.688028441939677,4.06015404605099,0.000189335072837977,0.00253106349476377,0.36768181845839
"P04406",2.14551998515384,1.46040235764334,4.05813786349802,0.000190539266427231,0.00253106349476377,0.361652550866882
"IGLC3",1.99636745623163,0.303549571080174,4.05481964311088,0.000192537318143678,0.00253106349476377,0.351732627553211
"PKM",1.52730460057752,1.39826985526521,4.03639381076135,0.000204007629689796,0.00262711865988288,0.296716388323484
"H4",-2.33074337819679,1.60037448391229,-4.02213893114537,0.000213333473309162,0.00269226843316163,0.254233888021137
"H2A1",-2.84143126597665,1.08487554912278,-3.98828950552483,0.000237164471083625,0.0028235996462975,0.153638721236955
"H2AJ",-2.84143126597665,1.08487554912278,-3.98828950552483,0.000237164471083625,0.0028235996462975,0.153638721236955
"H2AC20",-2.84143126597665,1.08487554912278,-3.98828950552483,0.000237164471083625,0.0028235996462975,0.153638721236955
"P07996",2.5055573693541,1.8511055360765,3.95875331664467,0.000260049511005003,0.00303872669341031,0.0661920301637213
"IGKC",2.87590628977435,0.647521334386395,3.91841179366069,0.000294786820883147,0.00338200879958665,-0.0527389659304136
"CDH1",-2.24662053729909,0.600999147693407,-3.85535630536006,0.000358235540066649,0.00403654688896528,-0.237433132431324
"P02771",1.6811433795821,1.20445681963199,3.7684650589487,0.000467629559163295,0.00517674126021121,-0.48946452111993
"LPA",1.67093058683406,0.288490087895019,3.72017571684568,0.000541674134878923,0.00586021362423029,-0.628244358837643
"P01008",2.54585542174755,1.58182119686144,3.7163836496918,0.000547943904642769,0.00586021362423029,-0.639102661942115
"GAPDHS",-1.78705645197608,0.322370115713481,-3.69326028721316,0.000587713167704489,0.00618078348035888,-0.705187677782264
"KRT79",-3.07296885114084,2.41563447401021,-3.6529166712006,0.000663831347412818,0.00684476848054236,-0.819958621419087
"KRT6C",3.43512094875234,2.16427141361773,3.64858541922226,0.000672544605061214,0.00684476848054236,-0.832239942270458
"P02649",1.64702930702468,0.591694934187602,3.63961821448192,0.000690934328361709,0.00692031049517838,-0.857641464563044
"TIMP3",-1.54630687512083,0.303581002833819,-3.57943164020714,0.000827443737457711,0.00815807809899712,-1.02724617071812
"LBP",-2.674503337993,1.85962211188047,-3.55414006567342,0.000892210289178606,0.00866130296110308,-1.09804983697476
"TTR",-1.47211414814119,3.61322770476154,-3.52566152338697,0.000970943185255744,0.00928280530146022,-1.1774382088921
"SeRPINA5",-1.36895170782707,4.39741935957571,-3.51368102511131,0.00100601340238285,0.00947454413288921,-1.21072787028397
"H1-2",-2.02936095754465,1.01099196772226,-3.46938959727718,0.00114647187104761,0.0106385845681036,-1.33323655695661
"A1BG",-1.2248087111114,4.15117798268516,-3.45705164678196,0.00118881686635004,0.0108716440966214,-1.3672037509085
"KRT4",1.78874114463748,0.841445248595557,3.41788746383344,0.00133333851155927,0.0119473607919312,-1.474559010171
"ANG1",-1.52154522039862,0.327357710119103,-3.41508070353562,0.00134431476422681,0.0119473607919312,-1.48222532669134
"IGHG1",2.87178374276906,0.493334150531808,3.39859051026375,0.00141056073037463,0.012098332607827,-1.52719140600194
"KRT7",-2.11455251479299,3.18158863035919,-3.39734196140842,0.00141570112121602,0.012098332607827,-1.53059077157108
"P09429",1.96629748143581,1.13960692870907,3.39658606193296,0.0014188218906168,0.012098332607827,-1.53264846531544
"RPS25",-1.78308077811154,0.528543909319453,-3.38991915379595,0.00144663158970374,0.0121709937747075,-1.55078526219425
"C5",2.33750940417669,0.771532167322534,3.38531167361187,0.00146615311583855,0.0121729291591332,-1.5633072224009
