"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.80711826352332 7.83356785233269 -38.607388237134 1.28177878885763e-36 8.08802415769164e-34 64.6285053770132
"AHSG" -7.41915952586298 6.27250171719331 -21.3081880035403 2.00258113369957e-25 6.31814347682216e-23 45.4276843331328
"P13645" 7.43849521253754 2.97643993189695 20.5338496020268 9.33866546946684e-25 1.92396104353327e-22 44.118650136599
"A2M" -7.84369387289317 6.85398639709391 -20.4019450942885 1.21962665200207e-24 1.92396104353327e-22 43.8902366024966
"P02768" 8.75374272922942 3.23301415862248 20.1741657920477 1.94030921519832e-24 2.44867022958028e-22 43.4919905210855
"P63261" 5.99059322844063 2.45979019689723 19.9967031129906 2.79409798567693e-24 2.5186797556602e-22 43.1783341735501
"P60709" 5.99059322844063 2.45979019689723 19.9967031129906 2.79409798567693e-24 2.5186797556602e-22 43.1783341735501
"TF" -7.28788731492936 6.43319179890424 -19.8789014266874 3.56444021797465e-24 2.81145222192751e-22 42.9684709538422
"SeRPINA1" -6.96726176077531 6.29018619540095 -19.2856046702483 1.23674533084313e-23 8.67095893068906e-22 41.8910598435197
"KRT1" 7.83456213884045 3.24960602826261 18.1240930724565 1.54447026569646e-22 9.74560737654468e-21 39.6789249494187
"AFP" -6.28289361563258 5.63990601640145 -17.4275907845994 7.45241557404458e-22 4.27497657020193e-20 38.2836389243717
"KRT9" 7.02342427621165 2.75795260815414 17.0815316951973 1.65773388166573e-21 8.71691732775897e-20 37.570316957619
"C3" -7.32004549011247 6.60985039740058 -16.663689332501 4.42290022478606e-21 2.14680772449231e-19 36.6907370380074
"GC" -5.70195130348483 4.99867536177431 -16.1149394315813 1.64932025988692e-20 7.43372202849032e-19 35.504381301342
"ACTB" -5.14097917635906 4.58489953713887 -15.5380547080004 6.81139985694953e-20 2.61293818413753e-18 34.217824406455
"ACTG1" -5.14097917635906 4.58489953713887 -15.5380547080004 6.81139985694953e-20 2.61293818413753e-18 34.217824406455
