"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"H2AC6" -2.57464871060702 0.321811550347599 -8.77050952734302 2.28209292206484e-11 6.602680343056e-09 15.6727792451436
"H2AC4" -2.57464871060702 0.328575956505916 -8.67448321601656 3.13915071777623e-11 6.602680343056e-09 15.3714147647324
"H2AC25" -2.57464871060702 0.328575956505916 -8.67448321601656 3.13915071777623e-11 6.602680343056e-09 15.3714147647324
"Q06830" 2.77175802232065 0.336582340418348 7.68604277277106 8.79109575924644e-10 1.38679535602113e-07 12.2121072782226
"Q7Z3Y7" -5.00446054296595 0.378250244393938 -7.56900549291151 1.31117549671452e-09 1.65470347685372e-07 11.8320901677181
"H2BC12L" -3.35213022778545 0.477914723900764 -7.17716033519076 5.02948496118644e-09 4.01703682879922e-07 10.5529395635081
"H2BC13" -3.35213022778545 0.477914723900764 -7.17716033519076 5.02948496118644e-09 4.01703682879922e-07 10.5529395635081
"H2AC7" -2.57464871060702 0.298618059715194 -7.02164405052632 8.59296188755662e-09 4.01703682879922e-07 10.0428844258746
"O60814" -3.35213022778545 0.497880389597874 -7.01104961535756 8.91260152190001e-09 4.01703682879922e-07 10.0080981094025
"H2BC14" -3.35213022778545 0.497880389597874 -7.01104961535756 8.91260152190001e-09 4.01703682879922e-07 10.0080981094025
"H2BC9" -3.35213022778545 0.497880389597874 -7.01104961535756 8.91260152190001e-09 4.01703682879922e-07 10.0080981094025
"H2BC5" -3.35213022778545 0.497880389597874 -7.01104961535756 8.91260152190001e-09 4.01703682879922e-07 10.0080981094025
"H2BC15" -3.35213022778545 0.497880389597874 -7.01104961535756 8.91260152190001e-09 4.01703682879922e-07 10.0080981094025
"H2BC4" -3.35213022778545 0.497880389597874 -7.01104961535756 8.91260152190001e-09 4.01703682879922e-07 10.0080981094025
"COL6A1" -2.57888625168013 0.906037327762269 -5.89119996545098 4.25765349705396e-07 1.79105290442736e-05 6.32331253017138
"TUBB1" -2.74314538617327 1.29215683445709 -5.78858214670925 6.05927235697422e-07 2.38962553578171e-05 5.98713355161683
"BCL2L14" 2.77175802232065 0.278345186011782 5.76602877888351 6.54734565029672e-07 2.43022065019837e-05 5.91333947939187
"TLN2" 4.61821409584917 0.966455129892931 5.67845381511942 8.84236622552196e-07 3.09974060461353e-05 5.62714722288661
"P68366" -2.42460361208654 1.76508982753113 -4.53677772958068 4.10267876416805e-05 0.00129953075176491 1.98465135169863
"P11142" -2.71223360654603 1.29353643577238 -4.5355654256552 4.11895642397751e-05 0.00129953075176491 1.9809111999165
"P02763" 2.63161671874265 0.32012740065791 4.35779630517738 7.33477241282464e-05 0.00220392447261541 1.43650479412708
"KRT15" -5.42700064718359 0.898171136215576 -4.33278786273455 7.95021900703221e-05 0.00228026736065333 1.36059185903517
"IGLC3" 2.49520860704466 0.303549571080174 4.13801718944698 0.000148083384700252 0.00406263546721127 0.775559354405254
"AMY2A" -1.96025868248912 0.570364073266519 -4.10060616305334 0.000166678170566076 0.00428558810336835 0.66451243339239
"IGKC" 3.68075073183536 0.647521334386395 4.09473802853721 0.000169793506472597 0.00428558810336835 0.647134681543945
"FBLN1" -2.46212295353755 1.2055395696611 -3.90878026076808 0.000303721513621823 0.00737108750366808 0.102404488125092
"PLeK" 1.6928128158425 0.356570434842956 3.84303538476395 0.000372088070363631 0.0086958360147945 -0.0872813558333752
"P02656" 1.5998165328322 0.312947293834637 3.72405569216125 0.000535330473540039 0.0120640546001345 -0.426438320691097
"P23526" -1.41113631325316 0.434848844648397 -3.68678985343383 0.000599329277999482 0.0130405784281956 -0.531531443852226
"KRT18" 2.30154687453458 0.340387878901831 3.6201497993725 0.000732535043573067 0.0154076537498202 -0.718060949125544
"P02749" -2.46212295353755 0.451919943200276 -3.38340768804585 0.00147429313067559 0.030008998885687 -1.36533699129337
"P46781" -1.61267349848041 0.294764093673969 -3.31809735330019 0.00178102081559258 0.0351195042074662 -1.53942423372496
"P23528" 1.2122596816529 0.716620014092231 3.28496888877205 0.00195888665696177 0.0374562872891781 -1.62695067461587
"P63000" -1.90900965526457 0.56948871392229 -3.16421465539078 0.00276026165094422 0.0512272088748766 -1.94140416135639
"KRT8" 2.81539482940698 1.37402142304736 3.12652045505926 0.003068083618537 0.0553131646656241 -2.03804864389114
"Q14533" -2.50940945810465 0.451527797045678 -3.11183624843992 0.00319652989784573 0.0560280657094626 -2.07549781072804
"P05089" -1.77749050768602 0.390389495787338 -3.07530323056785 0.00353838953868709 0.060343886457069 -2.16817597149717
"AMY2B" -1.96025868248912 0.74822742113586 -3.05823676380318 0.00370960333880331 0.061598939652234 -2.2112279105098
"P16403" 1.68200573225774 0.413501804493008 3.02806400219578 0.00403147610297282 0.0635965355243962 -2.28695912740174
"H1-4" 1.68200573225774 0.413501804493008 3.02806400219578 0.00403147610297282 0.0635965355243962 -2.28695912740174
"P00338" -1.57171391075791 0.339952528327364 -2.97511586276906 0.00466041014867978 0.071724848873584 -2.41865694006671
"KRT86" -2.50940945810465 0.501964950096177 -2.90347372600655 0.00565815931468619 0.0799347453185277 -2.59437269669684
"AMY1A" -1.96025868248912 0.755503261094872 -2.89161271688864 0.0058414128157784 0.0799347453185277 -2.62318396731113
