"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -8.71024376988392 7.83356785233269 -38.1827236562458 2.09688540641367e-36 1.32313469144702e-33 64.3194836491927
"P13645" 7.49640712171056 2.97643993189695 20.6937145208239 6.76971405743418e-25 2.13584478512049e-22 44.3933363161301
"KRT1" 8.725397217217 3.24960602826261 20.184907395782 1.89810761861225e-24 3.99235302448111e-22 43.5108802200042
"SeRPINA1" -7.08355458776913 6.29018619540095 -19.6075069561671 6.27381441290618e-24 8.89861506885229e-22 42.4798968082767
"A2M" -7.4835585054074 6.85398639709391 -19.4652101690069 8.45961934462624e-24 8.89861506885229e-22 42.2208621307486
"AHSG" -6.77742947102536 6.27250171719331 -19.4651079877603 8.46144063599267e-24 8.89861506885229e-22 42.2206754068379
"TF" -7.060363336041 6.43319179890424 -19.2582926613372 1.31058825307742e-23 1.18140169670265e-21 41.8406271074021
"KRT9" 7.28119435289749 2.75795260815414 17.7084492160277 3.92867568486075e-22 3.09874294643391e-20 38.8526860373325
"P63261" 5.25295431819007 2.45979019689723 17.5344517581761 5.83596197450648e-22 3.68249200591359e-20 38.5011833858714
"P60709" 5.25295431819007 2.45979019689723 17.5344517581761 5.83596197450648e-22 3.68249200591359e-20 38.5011833858714
"C3" -7.48643187031944 6.60985039740058 -17.042458966197 1.81569698207204e-21 1.04154981426132e-19 37.4889216141169
"AFP" -6.11085870554458 5.63990601640145 -16.9503975998828 2.25134574122633e-21 1.18383263559485e-19 37.2964484031051
"P02768" 6.77865155395074 3.23301415862248 15.6223051700266 5.52461633116882e-20 2.68156377305194e-18 34.4082851313415
"HBBF" -5.65499843345217 5.04709494072043 -15.2413275386783 1.43292562856894e-19 6.07299652361568e-18 33.5399227386119
"P35625" 2.81905912541247 0.334972889619899 15.2383695298984 1.44366002938566e-19 6.07299652361568e-18 33.533108774303
"eeF1A1P5" 5.85595337822992 1.86671378928113 14.6761757373027 6.07197114090329e-19 2.39463361869374e-17 32.2176393190062
"GC" -5.15986378122525 4.99867536177431 -14.5828836277216 7.73360535746197e-19 2.69360356144792e-17 31.995371564439
"ACTB" -4.81888776452979 4.58489953713887 -14.5645681782369 8.11069218185587e-19 2.69360356144792e-17 31.9516007667234
"ACTG1" -4.81888776452979 4.58489953713887 -14.5645681782369 8.11069218185587e-19 2.69360356144792e-17 31.9516007667234
"eRC1" 3.10602077951226 0.453126800778874 14.4886055807601 9.88534975434709e-19 3.11882784749651e-17 31.7695908997744
"APOA1" -6.61091036204679 5.65700133956763 -13.8596011926403 5.22338590273543e-18 1.56950309744098e-16 30.2328929488812
"HBG1" 3.47065284734895 0.477156268145192 13.3636858388602 2.00704069168884e-17 5.50627250632895e-16 28.9834658504309
"HBG2" 3.47065284734895 0.477156268145192 13.3636858388602 2.00704069168884e-17 5.50627250632895e-16 28.9834658504309
"eHD3" 4.7400212614302 0.929085257842862 12.9469192074696 6.36874415557245e-17 1.67444898423592e-15 27.9070905190817
"QSOX1" 3.60978238113806 0.805070645396471 12.7646670028106 1.06249821736877e-16 2.68174550063877e-15 27.4287307391604
"P29279" 3.95496139449612 0.375357173522509 12.514959204171 2.15691895241014e-16 5.18358559299927e-15 26.7656881199519
"SeRPINF1" -4.8847670246853 4.38231994384435 -12.5051653711249 2.21801602236102e-16 5.18358559299927e-15 26.7395023265328
"TLN1" 6.00461055815457 2.71389669310979 12.467569490707 2.46934085716717e-16 5.42588691755965e-15 26.6388553234567
"VTN" 4.65288407126928 1.30500717022259 12.4641383062395 2.49367227589905e-16 5.42588691755965e-15 26.6296597608761
"A1BG" -4.92733978691201 4.15117798268516 -12.3775423199311 3.19541278292647e-16 6.72101822008867e-15 26.3970272204407
"ITIH4" -5.96892114044783 5.50207756163405 -12.3265073458004 3.69987520863322e-16 7.45237832170864e-15 26.2594251789943
"AGT" -5.63627715002279 5.10974841269168 -12.3191187147933 3.77933607440058e-16 7.45237832170864e-15 26.2394729071083
"P62826" 3.91931640626642 0.748294253470853 12.1845997744089 5.5713624438597e-16 1.06531203093196e-14 25.8748531951762
"SeRPINA5" -5.2813546187018 4.39741935957571 -12.0643475919449 7.89742803931289e-16 1.46566973317836e-14 25.5467111523497
"GSN" -4.68874406400635 4.6420356331314 -11.9280559418892 1.17543213091219e-15 2.11913621315883e-14 25.1722936180598
