"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P26038",-2.52238497359261,1.29594388763761,-4.53770090547854,3.93095401481552e-05,0.0127815843848129,2.09461719312366
"P06733",-2.11002232494711,1.16215827316113,-4.38076131828183,6.57150868113772e-05,0.0127815843848129,1.63477416280628
"FBLN1",1.67142023269103,1.37059447289955,3.32534035364331,0.00171798502446754,0.188607683136801,-1.26394168618919
"P63267",-2.41945428348158,0.87805768071294,-3.21479101124463,0.00236045522020828,0.188607683136801,-1.54252716576281
"ATIC",-1.43324174243595,0.705165706461896,-3.12218410052891,0.0030672487065711,0.188607683136801,-1.77143279529236
"KRT6C",-2.90551204303071,2.32059859033938,-3.09203247888749,0.00333744898717306,0.188607683136801,-1.84505252625409
"P15311",-1.44759935526675,0.943878802764833,-3.08130376311944,0.00343887589568537,0.188607683136801,-1.87113850669754
"ANXA2",-1.50710688415151,1.17048389688045,-3.03796213862816,0.00387882124702933,0.188607683136801,-1.97592635036719
"TUBB",-1.76595882981462,1.55550919138058,-2.87402637298348,0.00606543734754212,0.236458826298432,-2.36340302696019
"P62736",-2.41945428348158,0.819421742950362,-2.84973098237976,0.00647351192902801,0.236458826298432,-2.41959508522177
"P00558",-1.31796483734401,0.941550110779888,-2.83761005396266,0.00668649637347752,0.236458826298432,-2.44750709418005
"SeRPINA5",1.00156168430824,4.45273357818194,2.48246802287206,0.0166715136928153,0.540434902208762,-3.22741003176022
"HPX",1.04490032730224,4.50017515274439,2.33149765571413,0.0240600527605874,0.611458826100369,-3.53531961796833
"Q32LP2",-1.51957724859135,0.975408792624857,-2.30313652336619,0.0257378699244643,0.611458826100369,-3.59149430460923
"ACTG2",-2.41945428348158,1.27257902236426,-2.27446105593753,0.0275396871368528,0.611458826100369,-3.64774303705895
"ACTA2",-2.41945428348158,1.27257902236426,-2.27446105593753,0.0275396871368528,0.611458826100369,-3.64774303705895
"KLKB1",1.36785285962721,2.46678569176775,2.25136498772546,0.0290716781791987,0.611458826100369,-3.6926430670061
"P02771",0.990072485160715,1.3284525812195,2.2289198732038,0.0306325410524301,0.611458826100369,-3.7359293134355
"KRT17",-2.90174943971465,3.23306572574161,-2.22103036298707,0.0311985780513477,0.611458826100369,-3.75106254280968
"O95678",-1.97101037705697,1.53894183147187,-2.20568016909912,0.0323264835569761,0.611458826100369,-3.78038368106128
"HABP2",1.03418246514283,1.22761421618688,2.17931343555375,0.0343481867015427,0.611458826100369,-3.83036762875254
"COL6A1",0.712448678196041,1.0531367631725,2.17636291296491,0.0345812189568332,0.611458826100369,-3.83593094573466
"MYH9",-1.36358537209885,2.01663136304521,-2.11447017093962,0.0398010341388131,0.649617180985316,-3.95122537818939
"Q8N1N4",-1.3690112814503,1.04438723187023,-2.11137605257952,0.0400792091096339,0.649617180985316,-3.95691819835886
"COL1A1",1.4834635639857,1.32880881656069,2.03225020708543,0.0477942727195615,0.743678883516378,-4.10017401099179
"P19823",0.866694514873708,1.84784059236717,1.98471013408371,0.0530243268721518,0.778918509288163,-4.18406486639038
"eDIL3",-0.995682764577952,1.05310899536172,-1.96180315323812,0.0557159349668929,0.778918509288163,-4.22389526285127
"CFD",1.00341985533824,1.78210932271283,1.95889333503961,0.0560661137790966,0.778918509288163,-4.22892707984268
"TUBB5",-1.76595882981462,2.13253707445975,-1.92123235680831,0.0607717122628558,0.815179174836238,-4.29348510571744
"HSP90AB1",-1.43927306931046,1.71077618304505,-1.88383543578665,0.0657744618842102,0.852875522431925,-4.356541059902
"TUBA1A",-1.41819363385436,1.4003424540644,-1.84913301238689,0.0707259788586806,0.887496960516992,-4.41410951305383
"AMY2B",0.850479505380794,0.923538375654455,1.80024797457926,0.0782335610359493,0.951026726343258,-4.49364799563452
"F12",1.04691450641643,1.484624969185,1.75917777733276,0.0850482912003804,1,-4.55904846694994
"VTN",0.632025448936279,1.40921416454494,1.68991533976799,0.0976597564115012,1,-4.66636177062977
"P02649",0.826661360416244,0.800040951030369,1.66736223076309,0.10208526909896,1,-4.70048889312487
"POSTN",0.987145262586508,1.03572541643493,1.64031390553587,0.107608721922852,1,-4.7408846321941
"LDHA",1.3059361276239,1.66580828478678,1.60993231419022,0.114101595703697,1,-4.78556054650093
"F12AI",0.96522953738413,4.17877512795676,1.59656166419313,0.117058226803358,1,-4.80498677499603
"ANXA5",-0.694991923353862,0.90890180110496,-1.59208812262791,0.11806120697423,1,-4.81145417830482
"VNN1",0.970499767518384,2.81274626416241,1.58395921578357,0.119901530305825,1,-4.82316473502625
"APOe",0.874347721057327,3.52932592597854,1.56532796703635,0.124207014865405,1,-4.84980304431129
"HSP90AA1",1.37735756447917,2.06333001962018,1.53901227444059,0.130499424418892,1,-4.88694730989574
"SeRPINA3-7",0.608318917919201,4.07790237558185,1.51795895899366,0.135715209767277,1,-4.9162563846271
"SeRPINA7",0.841519104464735,3.67551016269991,1.50647569751087,0.138629367942416,1,-4.93208938988527
"PKM",-0.624251186285371,1.51734925952507,-1.49151008859548,0.142501670525106,1,-4.95256093663864
"KRT77",-1.16621198509552,1.25641552382787,-1.47136744469015,0.147848231924242,1,-4.97982226203958
"IQGAP1",-0.963675440219171,0.948345697714533,-1.43237017159032,0.158647853411586,1,-5.03164498063732
"eHD3",-0.473485575601765,1.05773225180497,-1.4291560573521,0.159564762923418,1,-5.03585964426032
"P08729",-0.834402437447706,0.884330985275087,-1.42295515079593,0.161345415991429,1,-5.04396649128021
"HSPA1L",-1.08501602297876,1.4491341242286,-1.41774552416309,0.162853352948432,1,-5.05075251312962
"C1S",0.660103974196371,0.797910518051992,1.40668867068718,0.1660901087712,1,-5.06507976383887
"KRT10",2.27138458910211,2.01517132558285,1.38861810892307,0.171487242505721,1,-5.08827431619243
"Q9BUF5",-0.748931890675766,0.772245621082417,-1.38506149938045,0.172565283605122,1,-5.09280706728597
"IGFBP2",1.38128196360749,2.49221021613105,1.38222314955038,0.173429360695298,1,-5.0964167804037
"FMOD",0.800608227900345,1.14447821963996,1.36896165401967,0.177510825501745,1,-5.1131922364483
"ADIPOQ",0.613404470672542,2.9311360628011,1.36697335668294,0.17812907355295,1,-5.11569458017342
"THBS4",0.961910363304537,2.68668185264539,1.36691198696928,0.178148182346244,1,-5.11577176300623
"SeRPINA3-8",1.04268925448553,2.79758284602325,1.35097670931385,0.183163450615532,1,-5.13570523214146
"Q14CN4",-0.784178218302388,1.17514041604347,-1.3476558489717,0.184222087263419,1,-5.13983221613391
"C4",0.568341121518159,4.65920312784159,1.34449050361463,0.185235494190525,1,-5.14375722622794
"POTee",0.705673311160679,1.39968024410531,1.33332661092447,0.18884367892667,1,-5.15753246471794
"C4BPA",0.885219120706956,1.20731446658283,1.32662392478889,0.191035551113527,1,-5.16575206324144
"LUM",0.69908666181405,3.21823144904628,1.31285000523522,0.195600391881266,1,-5.18252307941805
"TUBB6",-1.03312857488515,0.943824000293477,-1.28074998792752,0.206558259868499,1,-5.22097862866659
"Q02413",-0.80227534247457,1.12524440089699,-1.27432095990722,0.208807195814522,1,-5.22857438976542
"P02751",-1.21839302646306,0.834444741245757,-1.26482958683044,0.212160769764976,1,-5.23972330702293
"P00734",1.03113852739899,1.13249756310267,1.24939916956781,0.21769823736082,1,-5.25768288271935
"GSN",0.433370511366883,4.70798588107988,1.24776988094379,0.218289139666184,1,-5.25956723902628
"TUBA8",0.944253539223493,0.761675413084207,1.24627137420919,0.218833660048323,1,-5.26129831628597
"TUBA1D",-1.41819363385436,1.84952967490154,-1.22954609520483,0.224979672186179,1,-5.28048767887745
"KRT31",-0.903991457787205,0.79207591293003,-1.2213448277121,0.228039482827076,1,-5.28980874877978
"C4A",0.700512599323876,1.81106546131638,1.21340608318342,0.231030388493472,1,-5.29877590248819
"DSP",-0.986395796195285,1.47603450015398,-1.20804248447575,0.23306733419195,1,-5.30480335032109
"P05452",-0.520722063399104,0.807739349953079,-1.20579932186924,0.233923112840746,1,-5.30731673538428
"F11",0.624615894462785,0.873681843585717,1.18548197284152,0.241779130645462,1,-5.3298821942947
"ITIH4",0.494683107613722,5.57714384362311,1.1847120183431,0.242080570607435,1,-5.33073027146558
"P61224",-0.371810130045374,1.06500774225224,-1.18072057997866,0.243647607562697,1,-5.33511840747873
"HBA",0.417436854660515,4.58751823349648,1.1453528088424,0.257854949706245,1,-5.37339279618425
"TLN1",-0.459804462275833,2.87545084798534,-1.10536574694867,0.274620872215634,1,-5.41534354705478
"TTR",0.488083096899786,3.64932677107665,1.09236128052982,0.280235571852658,1,-5.42868280760734
"AGT",0.443756602318707,5.18031301631619,1.08292883032475,0.284358094175183,1,-5.43826449370596
"P06396",0.794742841385999,2.02434651694114,1.05009176942853,0.299039216925048,1,-5.47100557026492
"HSPA1B",-0.807594451909775,2.44510387229831,-1.04780414954965,0.300081109572312,1,-5.47325079461123
"HSPA1A",-0.807594451909775,2.44510387229831,-1.04780414954965,0.300081109572312,1,-5.47325079461123
"P01008",-0.708014376020386,1.71175059502475,-1.02901833875015,0.308731523205497,1,-5.4915120750654
"HSPA5",-0.514096061761859,0.931138588922949,-1.0271161204031,0.309616846066911,1,-5.49334362821788
"P02774",-0.806346656275364,0.984024814349377,-1.02227559794915,0.311877503251671,1,-5.49798975638905
"P68032",0.70715212538389,2.03404680916652,1.02209891755372,0.311960229761986,1,-5.49815894537751
