"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"eDIL3" -3.22181875584205 1.05310899536172 -6.34797991813367 7.95144529288557e-08 3.09311221893249e-05 7.90020859673461
"P06733" -2.87646127405409 1.16215827316113 -5.9720175156098 2.95548912965737e-07 5.74842635718359e-05 6.66394744364385
"P00558" -2.12893852556993 0.941550110779888 -4.58365594684589 3.37813955451683e-05 0.00329424943332857 2.21048134428037
"ANXA5" -2.0005347789682 0.90890180110496 -4.58282686959749 3.38740301627617e-05 0.00329424943332857 2.20791926123307
"Q9BUF5" -2.31650715156437 0.772245621082417 -4.2841076853814 8.99047604254998e-05 0.00699459036110389 1.29626060269932
"P15311" -1.93184518239147 0.943878802764833 -4.11205062271536 0.000156089129011152 0.0101197785308897 0.782660486164961
"P26038" -2.23103845125064 1.29594388763761 -4.01357655805341 0.000213215193017522 0.0118486728691166 0.492950858370651
"Q9BQe3" -3.35954209588358 1.17739584610662 -3.78166156981799 0.000439049655124506 0.0192297333456823 -0.175926162078563
"Q9NY65" -2.57173486057577 0.950188341295903 -3.77735372219066 0.000444903856326841 0.0192297333456823 -0.188161446212368
"ANXA2" -1.83235035404826 1.17048389688045 -3.6935741312299 0.000574875046390063 0.0223626393045734 -0.424664959634891
"TUBB6" -2.56799470649712 0.943824000293477 -3.18349455169191 0.00258005322283451 0.0912400639711478 -1.79889819243325
"P02788" 1.28415496267711 1.35017089856469 2.98300425594972 0.00451265181854289 0.146285129784432 -2.3042115073137
"MYH9" -1.8870499249511 2.01663136304521 -2.92619065811868 0.00526875452461048 0.157657346928729 -2.44342999151183
"Q32LP2" -1.8703545965771 0.975408792624857 -2.83478973314176 0.00673697756769068 0.18719173384512 -2.6635501025175
"TUBA1A" -2.05729027085251 1.4003424540644 -2.68242873545885 0.0100516696137163 0.260673298649044 -3.01951478034464
"Q0VCM4" -1.62767180073628 1.13011134261554 -2.60923219855052 0.0121281848750044 0.289547020215834 -3.18546253153757
"HSPA5" -1.29762653820378 0.931138588922949 -2.5925371439032 0.012653725819201 0.289547020215834 -3.2228394636587
"PKM" -1.036896418622 1.51734925952507 -2.47743456989803 0.0168802903001332 0.364801829263989 -3.47563550201765
"KRT6C" 2.26477435334988 2.32059859033938 2.41016239278937 0.0199069539041143 0.407568687826341 -3.61933656708143
"P68366" -1.02822147320411 1.95366699123422 -2.3790191748412 0.0214671407445438 0.417535887481378 -3.68482788161281
"P36955" 1.18581253477677 0.913183336911223 2.18633655090589 0.0337990639480056 0.613715290664697 -4.07502897816334
"TUBB1" -0.784158443570124 1.42581639624191 -2.1544262302571 0.0363579005209813 0.613715290664697 -4.13709532711318
"C4A" 1.24147414942831 1.81106546131638 2.15044281357001 0.0366889995765938 0.613715290664697 -4.14479106855247
"SeRPINA3-7" 0.856219921713072 4.07790237558185 2.13655479510476 0.0378641824574621 0.613715290664697 -4.17153109174138
"TUBB" -1.29851519246683 1.55550919138058 -2.11328081145648 0.0399077621682142 0.620964779337412 -4.21602503259512
"P06396" -1.54298490516554 2.02434651694114 -2.03874217531938 0.0471159751990003 0.695382254056262 -4.35581718502727
"SeRPINA3-8" 1.5650533762906 2.79758284602325 2.02778598811287 0.0482656063226712 0.695382254056262 -4.37601359541681
"MYH11" -0.868488899152795 0.813994716585664 -2.00197947695614 0.0510699783571712 0.709507913604986 -4.42322558848999
"APOB" 1.6278047915426 1.74147644688934 1.98149435456987 0.0533952897207027 0.715618844494812 -4.46034147791058
"eZR" -1.38086416950378 1.35680174757089 -1.96621054557114 0.0551891139713223 0.715618844494812 -4.48782426040304
"KLKB1" 1.150037788131 2.46678569176775 1.89286061913487 0.0645360918795223 0.78901674145701 -4.61720924683657
