"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P02768" 6.8136304361173 3.38571285078241 16.9088007834439 1.26281359089875e-21 4.91234486859614e-19 37.9191106184728
"P13645" 5.22602832638574 3.13597377247352 15.9282155055203 1.39400550995089e-20 2.71134071685448e-18 35.7433921561952
"KRT1" 5.77279089114065 3.40895010581031 14.9338111007495 1.77178478229266e-19 2.29741426770615e-17 33.415657489108
"P63261" 3.84846301739209 2.61637983050475 14.2376064049973 1.12407784765693e-18 8.44673187140051e-17 31.7097346315459
"P60709" 3.84846301739209 2.61637983050475 14.2376064049973 1.12407784765693e-18 8.44673187140051e-17 31.7097346315459
"KRT9" 5.11114380828268 2.91951637462526 14.1829105782701 1.30283782078157e-18 8.44673187140051e-17 31.5729769065954
"TLN1" 4.0320902251711 2.87545084798534 9.69310824312312 8.56522788672188e-13 4.75981949704973e-11 18.9189308067537
"P19823" 3.64282906390385 1.84784059236717 8.34199321189678 7.83016213541022e-11 3.78581076759768e-09 14.5775216695879
"KRT14" 4.65942722210497 2.59721950884683 8.30914062685956 8.75894522066302e-11 3.78581076759768e-09 14.4694665168317
"KRT2" 5.14602279449579 3.01917522849957 7.6341403909618 8.93438705846124e-10 3.47547656574142e-08 12.2285937434717
"C4A" 4.14000549975572 1.81106546131638 7.17118844495446 4.46934314370814e-09 1.58052225718406e-07 10.6735802169355
"KRT16" 4.26014386308068 2.4557089568436 6.98875215119194 8.4504189808165e-09 2.73934415294801e-07 10.0581670409587
"P01024" 4.65016879777068 2.31548225916967 6.90778506609734 1.12146976775908e-08 3.35578261275603e-07 9.7847310342705
"P13647" 4.41192025786651 2.60010411438863 6.65749806748224 2.69189460146948e-08 7.47962142836876e-07 8.93878804106376
"eeF1A1P5" 2.66838286504979 1.9684402153512 6.52319751005366 4.30716806029999e-08 1.11699225030446e-06 8.48474466381631
"MYH9" 4.08804248281212 2.01663136304521 6.33920256429203 8.19933711315346e-08 1.99346383563544e-06 7.86301536584966
"P68366" 2.60013397038777 1.95366699123422 6.01598851406262 2.53552725434007e-07 5.80188295257817e-06 6.77334646174275
"FBLN1" 3.00326415473817 1.37059447289955 5.97508351943437 2.92408228723976e-07 6.31926672075704e-06 6.63579974217541
"VTN" 2.15395260978525 1.40921416454494 5.75925789465541 6.19452275725619e-07 1.26824702766982e-05 5.91196129557417
"P01023" 5.06981472803909 2.44612252397125 5.6250168536183 9.86426798086768e-07 1.88303870340655e-05 5.46369204807951
"KRT6A" 4.4855893024007 2.57447632704768 5.61632252459257 1.01655045685186e-06 1.88303870340655e-05 5.43471939519939
"P68104" 2.66838286504979 1.89863603467514 5.55655493471986 1.24984215068755e-06 2.20994816644298e-05 5.23576703345692
"P06396" 4.10130561901634 2.02434651694114 5.41904506736955 2.00777122862118e-06 3.39575220840713e-05 4.77956922846616
"HBA1" 2.90944872005596 1.82643888532008 5.39778976676362 2.16001383589375e-06 3.50102242567778e-05 4.70926062018225
"KRT71" -3.74451135056661 2.1048396744389 -5.36279331315496 2.43596473785785e-06 3.79036113210681e-05 4.59362793528707
"Q04695" 3.32438076399792 2.13005613425584 5.32890719864423 2.7363356639932e-06 4.09397912805136e-05 4.48182167807895
"APOA2" -2.80071449928131 2.08057150987048 -5.20853549901356 4.13093446925225e-06 5.95160558718194e-05 4.08599218977809
"COL10A1" -2.36214586537686 0.950811369126076 -4.96164392743184 9.55339488722544e-06 0.000132723950397525 3.28147184274241
"POTee" 2.61496255145947 1.39968024410531 4.94081198947026 1.02491726583612e-05 0.000137480281520777 3.21409337029441
"COL2A1" -2.22479571587814 0.758061130802922 -4.79810080164732 1.65558705099211e-05 0.000214674454278644 2.75486119605961
"APOB" 3.83067076059699 1.74147644688934 4.66299922802516 2.59754065849955e-05 0.000325949456824621 2.32418782602093
"KRT6B" 4.44506409410202 2.38420675803211 4.61143858450478 3.08167201420845e-05 0.000374615754227215 2.16095281106039
"TUBA1B" 2.47071291118091 1.83936878995559 4.58787336056592 3.3314003683213e-05 0.000389451453378873 2.08656584055923
"KRT3" 2.59414849151379 1.68289539879105 4.58135179947774 3.40394586500814e-05 0.000389451453378873 2.06600419146405
"CDH1" -2.19089290786916 0.741230459058091 -4.48626915050118 4.65494337052528e-05 0.000512743447333299 1.76746506983269
"KRT13" 2.25224854757888 1.66250528245446 4.48041564859564 4.74518357429274e-05 0.000512743447333299 1.74916422659176
