"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KRT6C",3.67286644543887,2.43459542956762,3.93455808164415,0.000271794849743261,0.0608820463424905,0.365767786911532
"P02788",1.41015943807707,1.45774634577412,3.33964400563132,0.00164291430167578,0.169353274549346,-1.2311507760419
"P26038",-1.68547897095963,1.46456907161834,-3.22777859008691,0.00226812421271445,0.169353274549346,-1.5148179971843
"KRT14",1.74585521111959,2.68973372823354,2.9710110079406,0.00465308327987381,0.254540327054865,-2.14286720115423
"Q04695",1.7859462246314,2.19354047619982,2.89755246891959,0.00568170372890323,0.254540327054865,-2.31625449572805
"KRT2",-1.88052742113145,3.15887506003387,-2.78238528400606,0.00772795839940898,0.272210017703646,-2.58210865933939
"KRT13",1.42772023683125,1.73143413968201,2.74590376131393,0.00850656305323893,0.272210017703646,-2.66475578595013
"DSP",2.11722501920595,1.57262262338927,2.56630947644075,0.0135030315813103,0.300729465265514,-3.06016258151777
"P68366",-0.982073351955436,2.08258765709156,-2.56130056245058,0.013674680679098,0.300729465265514,-3.07091028447764
"Q5XKe5",1.52823032188437,1.57462061995481,2.55844981067173,0.0137732579439567,0.300729465265514,-3.07702024527007
"KRT16",1.6306099830078,2.5364333186317,2.5126478578242,0.015448358946796,0.300729465265514,-3.17449214806306
"POTee",1.20245821055215,1.55755606480302,2.47679293466686,0.0168865119167796,0.300729465265514,-3.24987432150146
"PZP",-2.26337493527831,1.86308205916944,-2.46342427379115,0.017453049323445,0.300729465265514,-3.27777160486133
"eZR",-1.3307800628173,1.43813744469939,-2.38964963704561,0.0208999657513765,0.334399452022024,-3.42964962009667
"HBA",-0.830952960351385,4.62559023340705,-2.33138828066413,0.0240422318996254,0.354609951621603,-3.54707175282998
"HSP90AB1",-1.4415641302577,1.74196872511885,-2.30947777706498,0.025329282258686,0.354609951621603,-3.5906463308097
"HBBF",-0.708995883332927,5.20161125704235,-2.20163506035565,0.032602441787585,0.402354666798572,-3.80037024512692
"FeTUB",-0.795776218949225,4.65955917386766,-2.16726015200036,0.035280955475105,0.402354666798572,-3.86553323154674
"HSPA1B",-1.28853117990991,2.38372430703903,-2.11992185523894,0.0392859459143778,0.402354666798572,-3.95391084737633
"HSPA1A",-1.28853117990991,2.38372430703903,-2.11992185523894,0.0392859459143778,0.402354666798572,-3.95391084737633
"C4A",1.28484782264307,1.92122048006565,2.10811308157767,0.0403450777480978,0.402354666798572,-3.97570940097195
"SeRPINF1",-0.73072271628225,4.47146455055078,-2.10634565345513,0.0405057297822822,0.402354666798572,-3.97896344892177
"PGK1",-1.26201995762606,1.58291474149192,-2.09311805819971,0.0417259289941936,0.402354666798572,-4.00324612260029
"TLN1",-0.877151141779973,3.01286371076434,-2.07779134490969,0.04317981024139,0.402354666798572,-4.0312253423978
"eeF1A1P5",0.893699370873611,2.0344425061276,2.05719535028274,0.0452029739661509,0.402354666798572,-4.06855723052478
"O95678",1.73537922247872,1.65030993373948,2.04244744336002,0.0467018809676914,0.402354666798572,-4.09510035280467
"F2",-1.18877415816969,4.58599019856791,-2.01313429093071,0.0498096578459326,0.413235679906996,-4.14738766527211
"TF",-0.628850601826604,6.62833730330571,-1.99450396851621,0.0518765392560454,0.415012314048363,-4.18029248399993
"PPIA",-0.93206426044439,1.46674230262402,-1.92016736702469,0.060876563822104,0.470218975729355,-4.30902786737207
"KRT3",1.10934062174904,1.74723983828543,1.88329690244445,0.0658154197437624,0.484769552864925,-4.37134504296204
"MYH9",-1.19115712915448,2.17147436226733,-1.87417490319843,0.0670886434768423,0.484769552864925,-4.38660407456259
"KRT7",1.27375877924766,3.03408196945055,1.83519085503027,0.0727681044848515,0.509376731393961,-4.45110128538147
"GPI",-0.758015267684262,1.26430635318619,-1.77669414411261,0.0820485144577209,0.549219943229143,-4.54569041910409
"TUBB1",-0.563943685749659,1.59234073883428,-1.76436232909498,0.0841264981787537,0.549219943229143,-4.5652923923507
"GSN",-0.655800825295892,4.75887842710271,-1.75452433623923,0.0858156161295536,0.549219943229143,-4.5808452395148
"HSPA8",-1.13210928314248,2.17635520350126,-1.72105084160622,0.0917758612105014,0.568326038902538,-4.63319533714333
"KRT71",1.11135629326429,2.0614298276594,1.69698259295081,0.0962703243861606,0.568326038902538,-4.67029087116205
"P68032",-1.00605399996189,2.10659978605528,-1.68932719233733,0.0977374254188876,0.568326038902538,-4.68199374233069
"F12",0.935650609341539,1.5732420082278,1.67451629980758,0.100628157297251,0.568326038902538,-4.7045031034395
"FeRMT3",-0.974501756797512,1.87093697072839,-1.67018449110985,0.101486792661167,0.568326038902538,-4.7110535150058
"TPI1",-0.594143077677495,1.33011943252042,-1.64772599638769,0.106035433559246,0.579315539445638,-4.74477426980915
"UBC",1.00502770279443,1.31940319373629,1.61635377457842,0.112667326161876,0.600892406196673,-4.79120160889763
"K2C4",1.483945760029,1.3424470958909,1.55342802770993,0.126985453721292,0.656389403192101,-4.8819253370472
"F10",-0.707284977452966,1.7889148002428,-1.53484890071497,0.131481894243016,0.656389403192101,-4.90809475948953
"P68104",-0.698070568693579,1.96523511745077,-1.53269522583929,0.132011256365113,0.656389403192101,-4.91110998931258
"F5",-1.15737653560354,4.7740174212896,-1.49839352517751,0.140674154264668,0.656389403192101,-4.95861916429251
"P68133",1.27585205413937,1.43737644173672,1.47885372731288,0.145807080191797,0.656389403192101,-4.98524799331377
"PLG",-0.870469484489988,5.25419591521744,-1.47493183644927,0.146854940945832,0.656389403192101,-4.99055459239986
"KRT80",1.00482584076353,1.51598194213391,1.47410588667512,0.1470763761217,0.656389403192101,-4.99167053298216
"H4",0.771786689441276,1.67480620436773,1.46864055295273,0.148548264777417,0.656389403192101,-4.99904045511454
"FGB",-0.968085514175103,2.88157124287961,-1.46532878539461,0.14944580161963,0.656389403192101,-5.00349423744871
"C3",-0.554804279212985,6.80831847634258,-1.44778087317714,0.154272976320656,0.664560513381286,-5.0269408144867
"GAPDH",-0.557637368350453,2.9599419780984,-1.42248932043712,0.161444347589915,0.675485174231313,-5.06028135292384
"DDBX",-0.668331448197433,1.28981023007758,-1.41766896621481,0.162840175930763,0.675485174231313,-5.066574946314
"C7",-0.885301994498465,3.17167040737004,-1.39438242927084,0.16971588213406,0.67979284575357,-5.09670330170847
"TUBA4A",-0.982073351955436,2.95719026205517,-1.3849537866226,0.172562907536299,0.67979284575357,-5.10877216381821
"KRT75",0.953750366412851,3.70013749810656,1.36946460551053,0.177319759894076,0.67979284575357,-5.12843548257654
"TUBA1B",-0.642301779004088,1.94726573425111,-1.36632425947282,0.178296361797819,0.67979284575357,-5.13239733749069
"P05786",1.33907394211677,1.70745143626579,1.3639016384674,0.179052579908306,0.67979284575357,-5.1354479973238
"FLNA",-0.707222940897639,2.12980106281586,-1.32376611095526,0.191941586716443,0.703296170899388,-5.18526196985577
"AHSG",-0.411656704188164,6.45909865672305,-1.31770186309167,0.193948821630439,0.703296170899388,-5.1926691038399
"KRT9",-0.492617878411863,3.05443713763583,-1.31555766434238,0.194662333016795,0.703296170899388,-5.19528059379352
"APOB",1.05554496942824,1.88182983813944,1.28546752335646,0.204885802146421,0.728482852076163,-5.2315126386379
"KRT6B",1.2066651500067,2.49674812989069,1.26740490715512,0.211213382931634,0.739246840260719,-5.2528882634233
"GC",-0.411411239692529,5.15266420639357,-1.25329102840575,0.216258296749945,0.742787937261422,-5.26939497307395
"THBS1",-0.576289775670332,3.81444994666643,-1.24611566060619,0.218857160085955,0.742787937261422,-5.27772079028408
"KRT8",0.823247207057962,1.57238229373487,1.20573535408094,0.233915165246688,0.752516393169508,-5.32374232027337
"KRT76",0.920405736688622,1.71902759500493,1.20235960264713,0.235207526302505,0.752516393169508,-5.3275254133237
"SeRPINA1",-0.381802648551052,6.48107743762678,-1.18983595924928,0.240047591215364,0.752516393169508,-5.34147335966255
"eeF1A1",-0.698070568693579,2.98419675711455,-1.1871622734652,0.24109022115946,0.752516393169508,-5.34443337332659
"ACTG2",-1.0688146763763,1.43099442202656,-1.17639965177476,0.245320489131823,0.752516393169508,-5.35628532453857
"ACTA2",-1.0688146763763,1.43099442202656,-1.17639965177476,0.245320489131823,0.752516393169508,-5.35628532453857
"CFB",-0.757592726108414,4.69910009658115,-1.17597219360869,0.245489605003275,0.752516393169508,-5.35675395381425
"KRT72",1.0349991157482,1.8955809951859,1.16815013813749,0.248599165600641,0.752516393169508,-5.36530112636058
"SeRPINF2",-0.512892478254119,4.40365952530721,-1.14825884441978,0.256634492790118,0.766481685133152,-5.38679448950139
"ACTA1",1.27585205413937,2.36297496839623,1.12847895101696,0.264807675652021,0.780485780869114,-5.40782232084351
"CLU",-0.639513569396923,3.04215266023609,-1.11325900102464,0.271221481369682,0.789007945802712,-5.42376754707801
"TUBA1A",-0.723522573761648,1.56754237636975,-1.07669928393807,0.287074386874617,0.812091089361643,-5.46123144837754
"FBLN1",0.498035744609493,1.54404194159371,1.07156129292161,0.289353039080956,0.812091089361643,-5.46640140744671
"P11142",0.459660656424705,1.58731738439312,1.06905433948333,0.290469401913489,0.812091089361643,-5.46891543305233
"P08727",0.688636593712327,1.50896968556269,1.06193064352217,0.293657938563808,0.812091089361643,-5.47602868408036
"ITIH4",-0.419611178398401,5.68496499135984,-1.03478917506859,0.306027839758333,0.830212047403671,-5.50271562862387
"GFAP",0.628608426773379,1.30769000984201,1.02533676563347,0.310418379125624,0.830212047403671,-5.5118551767238
"SeRPINC1",-0.549368647380044,5.1272802214854,-1.0233866122632,0.311329517776377,0.830212047403671,-5.51373082849455
"KNG1",-0.450699191552355,4.64400516719177,-1.00459166694633,0.320204033276332,0.835576190758157,-5.53163297073012
"P07996",-0.564304946109518,2.092374929761,-0.996919927944747,0.323875036477854,0.835576190758157,-5.53884914885528
"ACTC1",-1.00605399996189,3.22253436347275,-0.995553539193671,0.324531824089106,0.835576190758157,-5.54012884916538
"P01024",0.668898656545681,2.35144295118694,0.96572748692671,0.339091265265774,0.863141402494697,-5.5676438120852
"TUBB3",0.78578100170851,1.72331751717416,0.934247793048795,0.354920031576874,0.885606917846638,-5.59581312365529
"LDHA",-0.597895198065811,1.7039208865796,-0.923496722832143,0.360434516234381,0.885606917846638,-5.60522803932638
"TBA1B",-0.642301779004089,2.82043278934966,-0.913935738736777,0.365384945129857,0.885606917846638,-5.61351265012806
"FN1",0.795820050575926,3.70447587721651,0.899568621242351,0.372905821979469,0.885606917846638,-5.62580556611215
"KLKB1",0.44091094030832,2.41074025784797,0.890225948220248,0.377849228521663,0.885606917846638,-5.63369862905786
"ADIPOQ",-0.331368387211727,2.79383412952405,-0.88125013087293,0.382637579290957,0.885606917846638,-5.64120684225908
"MSN",-0.706544942325536,1.53889918459733,-0.870104378767296,0.388636694637489,0.885606917846638,-5.65042788972978
"P02768",0.35341843671665,3.53014814150613,0.869186684582937,0.38913325673769,0.885606917846638,-5.65118205779227
"KRT19",0.751864288181658,2.90798190215825,0.865244272927114,0.391271015503318,0.885606917846638,-5.65441320882993
"KRT73",0.53380320798651,2.30143899068349,0.865244070326233,0.391271125551677,0.885606917846638,-5.6544133745141
"SeRPINA3-5",-0.680014365298891,4.18957050927843,-0.864994633516636,0.39140662886972,0.885606917846638,-5.65461733199894
"TUBB",-0.451406364775904,1.6982673327166,-0.842116170975922,0.403959792294126,0.892277454615529,-5.67308239399489
"KRT6A",0.683598403585045,2.67428440972459,0.840420233083962,0.404900136999737,0.892277454615529,-5.67443209448648
"RPS27A",0.468452560887959,1.5498931349851,0.829238174385263,0.41113398736749,0.892277454615529,-5.68326524336881
"SeRPINA6",-0.561344074259501,1.95604734449887,-0.825648137897599,0.413147791561635,0.892277454615529,-5.68607682796789
