"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",3.95095185930726,2.12980106281586,6.03824912860732,2.30286599572882e-07,5.15841983043256e-05,6.89941065038984
"POTee",3.05047689076486,1.55755606480302,5.13028884938175,5.33005656305346e-06,0.000584365242711782,3.93881351985937
"TUBB",3.29393199872009,1.6982673327166,5.01733764866406,7.82632021488994e-06,0.000584365242711782,3.57754769757179
"P26038",2.7161047352058,1.46456907161834,4.24699042012665,0.00010065499273319,0.00563667959305862,1.18442124102053
"TUBA1B",2.25072120844267,1.94726573425111,3.9092255474425,0.00029420129601166,0.0131802180613224,0.186826788286581
"Q7RTS7",-2.18638772579772,1.40459970723818,-3.15495537599063,0.0027895644060961,0.100839904180872,-1.87922664150393
"P68371",1.88992688618638,1.75239805099663,3.08346751168981,0.00340976895560031,0.100839904180872,-2.06112020136892
"KRT77",-2.71633560450018,1.39040619227983,-3.06384495326662,0.00360142514931685,0.100839904180872,-2.11057299190548
"P02768",1.50128348883482,3.53014814150613,3.01467807025287,0.00412695671941887,0.10271536723887,-2.23356821438887
"P07900",1.85418368767827,1.58250706049443,2.81043512379134,0.00717469965572144,0.16071327228816,-2.72998692852304
"P68032",2.00280708059682,2.10659978605528,2.74590791693211,0.00850647037971106,0.17322266955048,-2.88176097014273
"TUBA1A",2.18719749435579,1.56754237636975,2.6575699769153,0.0107007937324633,0.192364181143235,-3.08542571270199
"P68366",1.24025261907958,2.08258765709156,2.641077475352,0.0111639926556342,0.192364181143235,-3.12291218847878
"MYH9",1.99958373888536,2.17147436226733,2.56882802402812,0.0134174683484825,0.21467949357572,-3.28509770612857
"P09429",-1.57975312762303,1.37638461910149,-2.47464687635949,0.0169763207967376,0.253513057231281,-3.49144244755387
"KRT76",-2.1127936306441,1.71902759500493,-2.25354642209857,0.028897829741709,0.404569616383926,-3.95234085416393
"P26583",-1.33701402474366,1.35952732575011,-2.16803896232419,0.0352181860571717,0.464051392753321,-4.12137387199212
"TLN1",1.1003068191834,3.01286371076434,2.12811785182233,0.0385652398386022,0.479922984658161,-4.19847137679578
"KRT1",-0.896005311075926,3.56366728071721,-1.93049882246516,0.0595508035946871,0.702072631853153,-4.56255464177721
"P68133",2.00280708059682,1.43737644173672,1.89547644426803,0.0641475176682707,0.718452197884632,-4.62395548303519
"eeF1A1P5",-0.892505203557671,2.0344425061276,-1.67744855237607,0.100050334359218,0.929856368367312,-4.98425761781399
"KRT13",-1.06707742738126,1.73143413968201,-1.67568545570621,0.100397437985101,0.929856368367312,-4.98701404752195
"P68104",-0.89250520355767,1.96523511745077,-1.60000597260273,0.116254660921806,0.929856368367312,-5.10290212024978
"P08238",1.16423257143741,1.39869698286489,1.57217396495426,0.122574645769999,0.929856368367312,-5.14431822056128
"KRT8",1.16030956030561,1.57238229373487,1.38755424486298,0.171774029494063,0.929856368367312,-5.40234551338268
"P63261",0.417550624519521,2.73660694264868,1.22327828956905,0.227282662296117,0.929856368367312,-5.60695394811483
"P60709",0.417550624519521,2.73660694264868,1.22327828956905,0.227282662296117,0.929856368367312,-5.60695394811483
"P08727",-0.95824586071293,1.50896968556269,-1.20652792605539,0.233612493865331,0.929856368367312,-5.62646653824939
"TUBB1",0.438133900492808,1.59234073883428,1.11921434156986,0.268698890884185,0.929856368367312,-5.72407417973654
"Q5XKe5",-0.81599967033787,1.57462061995481,-1.11540463084287,0.270310702823892,0.929856368367312,-5.72817537286498
"P04406",-0.657398245255632,1.63629529099176,-1.10810973572129,0.273416089746694,0.929856368367312,-5.73599143207861
"PKM",-0.493388655890196,1.62531181936248,-1.01303714880448,0.316195370249238,0.929856368367312,-5.83339210565092
"P13647",-0.839874338879961,2.68452794778343,-1.00418690777332,0.320397010343989,0.929856368367312,-5.84203502934617
"VTN",-0.49598227482669,1.52379352816746,-0.997555827770045,0.323569680836578,0.929856368367312,-5.848463212466
"P02771",-0.523960667215585,1.46420732564624,-0.996220946514529,0.324210906996998,0.929856368367312,-5.84975231883134
"P11142",0.508132501592426,1.58731738439312,0.964925520375772,0.339488624581069,0.929856368367312,-5.87950030313112
"P02788",-0.450199321012615,1.45774634577412,-0.87054487415936,0.388398485135074,0.929856368367312,-5.96367608047085
"Q04695",-0.64764344717194,2.19354047619982,-0.857932810356998,0.395255061303464,0.929856368367312,-5.97429093732655
"KRT3",-0.598108664413496,1.74723983828543,-0.829064539691514,0.411231247856443,0.929856368367312,-5.99802259225404
"P01023",0.862856069486751,2.56133651287742,0.803765886219334,0.42555231822864,0.929856368367312,-6.01817148710759
"DSP",-0.801845262539511,1.57262262338927,-0.793573118986986,0.431406171222427,0.929856368367312,-6.02611789360859
"APOB",0.713926072557766,1.88182983813944,0.709891509199261,0.481255806343122,0.929856368367312,-6.08761704250084
"ALB",-0.173534367571311,8.0225757952076,-0.631846005638155,0.530528949785532,0.929856368367312,-6.13893159997278
"P06396",0.528421653769637,2.12955510936767,0.60523251396357,0.547916809324711,0.929856368367312,-6.15508893550505
"PZP",0.63905481127857,1.86308205916944,0.567904347915391,0.572785357182247,0.929856368367312,-6.17659773712714
"P07996",0.368901413489844,2.092374929761,0.532121872070552,0.597131752433906,0.929856368367312,-6.19594836656497
"KRT2",-0.419006799865883,3.15887506003387,-0.50618939087651,0.615074422300358,0.929856368367312,-6.20919498632029
"FBLN1",0.284344282205375,1.54404194159371,0.499522866897845,0.619726255713744,0.929856368367312,-6.21249461347099
"KRT16",-0.396457563585809,2.5364333186317,-0.498807079509002,0.620226664738898,0.929856368367312,-6.21284632349007
"ACTB",-0.173534367571311,4.69839418045775,-0.479433363748412,0.633839192089375,0.929856368367312,-6.22217623923047
"ACTG1",-0.173534367571311,4.69839418045775,-0.479433363748412,0.633839192089375,0.929856368367312,-6.22217623923047
"O95678",-0.491491745658646,1.65030993373948,-0.472309950829547,0.638876974147958,0.929856368367312,-6.22551471548091
"AFP",-0.173534367571311,5.82309093743856,-0.459483249675261,0.647991580831104,0.929856368367312,-6.23140129572415
"P01024",0.386014046611471,2.35144295118694,0.455042276967876,0.651160145089388,0.929856368367312,-6.23340197704721
"AHSG",-0.173534367571311,6.45909865672305,-0.453546515995918,0.65222881657934,0.929856368367312,-6.23407149016296
"TF",-0.173534367571311,6.62833730330571,-0.449394022796587,0.65519949398505,0.929856368367312,-6.23591872310572
"SeRPINA1",-0.173534367571311,6.48107743762678,-0.441558267986513,0.660820497531318,0.929856368367312,-6.23935857250475
"HBBF",-0.173534367571311,5.20161125704235,-0.439988663603235,0.661948849015769,0.929856368367312,-6.24004040735942
"GC",-0.173534367571311,5.15266420639357,-0.431633999373923,0.667968104926045,0.929856368367312,-6.24362914664582
"HBA1",-0.242663083516265,1.88969620876951,-0.426366626747505,0.67177446096673,0.929856368367312,-6.24585666689605
"A2M",-0.173534367571311,7.04890177435079,-0.425563225150202,0.67235578956131,0.929856368367312,-6.24619403270643
"SeRPINF1",-0.173534367571311,4.47146455055078,-0.408429309422533,0.684801260444744,0.929856368367312,-6.25323859344551
"HBA",-0.173534367571311,4.62559023340705,-0.397537440763586,0.692759160883063,0.929856368367312,-6.25756735243783
"TPI1",-0.173534367571311,1.33011943252042,-0.392946857527963,0.696123742173475,0.929856368367312,-6.25935698348679
"FeTUB",-0.173534367571311,4.65955917386766,-0.385886830548631,0.701310301131117,0.929856368367312,-6.26206902620928
"SeRPINA3-7",-0.173534367571311,4.03724715903641,-0.383075450666608,0.70337966776492,0.929856368367312,-6.26313539183634
"A1BG",-0.173534367571311,4.1781310077701,-0.381006392437165,0.70490408605243,0.929856368367312,-6.26391524316075
"GSN",-0.173534367571311,4.75887842710271,-0.379076886975484,0.706326789115388,0.929856368367312,-6.26463871359421
"ADIPOQ",-0.173534367571311,2.79383412952405,-0.376814831451787,0.707996044065839,0.929856368367312,-6.26548222590961
"C3",-0.173534367571311,6.80831847634258,-0.36974550292136,0.713222072246267,0.929856368367312,-6.2680860079029
"GAPDH",-0.173534367571311,2.9599419780984,-0.361440665679603,0.719379228796636,0.929856368367312,-6.27108223124388
"AMBP",-0.173534367571311,3.20142321680015,-0.355009787162983,0.724160012159792,0.929856368367312,-6.27335587253135
