"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P68366",-1.93623623593511,2.08258765709156,-5.04980911075859,7.00949546745523e-06,0.00157012698470997,3.65627508036405
"TUBB",-2.52882424513905,1.6982673327166,-4.71762021221118,2.14606551520331e-05,0.00195789066436421,2.59718895218992
"P68371",-2.33082576456549,1.75239805099663,-4.65746728673196,2.62217499691635e-05,0.00195789066436421,2.40789287271958
"TUBA1A",-2.59224816519298,1.56754237636975,-3.85761529006908,0.000345500860982425,0.0193480482150158,-0.0138184440758575
"P26038",-1.96037578962119,1.46456907161834,-3.75422008300783,0.000475450902968065,0.0203779377070829,-0.311198800861106
"P11142",-1.59227411203978,1.58731738439312,-3.70322655491819,0.000555758057382163,0.0203779377070829,-0.456303316226462
"VTN",1.4826174241774,1.52379352816746,3.65212625904149,0.000649223472021581,0.0203779377070829,-0.600641673311477
"HSP90AB1",-2.25607107559951,1.74196872511885,-3.61436990780613,0.000727783489538676,0.0203779377070829,-0.706584725005539
"SeRPINA5",1.50089701929294,4.45905450628944,3.57438330802108,0.000820887436707513,0.0204309762024981,-0.818119970700578
"FLNA",-1.88892091138696,2.12980106281586,-3.53564533072846,0.000921883383006925,0.0206501877793551,-0.925507129284924
"P07900",-1.81926968580592,1.58250706049443,-3.37725241553716,0.00147231874996144,0.0282635435097856,-1.35752816537426
"C4A",2.03651674116979,1.92122048006565,3.34141328432216,0.00163448460571044,0.0282635435097856,-1.45364866830724
"TUBB5",-2.52882424513905,2.17356382256763,-3.33248287001485,0.00167745681986637,0.0282635435097856,-1.47750347187001
"IGFBP2",2.93306343975645,2.56489382133601,3.31465466017059,0.0017664714693616,0.0282635435097856,-1.52500968714763
"P01024",2.24682173195157,2.35144295118694,3.24386584355731,0.00216607556935906,0.0303284514591057,-1.71208785400559
"P01023",2.84328775906937,2.56133651287742,3.24382679003051,0.00216631796136469,0.0303284514591057,-1.71219037099854
"TUBA1B",-1.51313045428035,1.94726573425111,-3.2187780183888,0.00232718428930253,0.0305577626504863,-1.77778493840576
"TUBB1",-1.02279765677816,1.59234073883428,-3.19993946471293,0.00245553449869979,0.0305577626504863,-1.82690595339211
"KLKB1",1.55350887463163,2.41074025784797,3.13662870333957,0.00293756037136059,0.0342066441903333,-1.9906397874892
"P02768",1.26896690403675,3.53014814150613,3.12085907688362,0.00307079328523102,0.0342066441903333,-2.03109569033481
"TUBB4B",-2.33082576456549,2.13742188267733,-3.10540351506419,0.00320687289284374,0.0342066441903333,-2.07061755617247
"P68133",2.60402784604353,1.43737644173672,3.01835645728195,0.00408527952403127,0.0415955733355912,-2.29079782095393
"F12AI",1.54613467189683,4.20663262039804,2.75525427158164,0.00830038038159723,0.0808384871946861,-2.93020322296959
"TUBA4A",-1.93623623593511,2.95719026205517,-2.73054726657108,0.00885545671846692,0.082650929372358,-2.98813737644543
"TUBA1D",-2.59224816519298,1.92357841852992,-2.63706349430792,0.011279473220844,0.101064080058763,-3.2039121793166
"PKM",-1.04125786304131,1.62531181936248,-2.61842497803971,0.0118301669663822,0.101921438479601,-3.24627363094097
"FBLN1",1.20508970298533,1.54404194159371,2.59284096411594,0.0126261578228349,0.104750346382038,-3.30405834065606
"FeRMT3",-1.49902170765242,1.87093697072839,-2.56915166185615,0.0134065092393319,0.107252073914655,-3.35718687716239
"KRT3",1.49319602743764,1.74723983828543,2.53495761183064,0.0146105825140702,0.112854154591439,-3.43322994333775
"HSPA8",-1.59227411203978,2.17635520350126,-2.420600856648,0.0193854136082501,0.144744421608267,-3.6819067318383
"P19823",1.11087119857634,1.95199204990044,2.40425381551083,0.0201725438233364,0.145762897304108,-3.71673296699188
"P09429",1.24208987710459,1.37638461910149,2.38299243346547,0.0212393156760285,0.148675209732199,-3.76175454074674
"P08238",-1.41227584911875,1.39869698286489,-2.33574816770122,0.0237932178771873,0.152079494374783,-3.86067560237447
"TLN1",-0.979957357019145,3.01286371076434,-2.32131820596285,0.0246263149957682,0.152079494374783,-3.89057881096891
"ACTA1",2.60402784604353,2.36297496839623,2.30323774812935,0.0257069172459991,0.152079494374783,-3.92784018811335
"ACTG2",-2.09208008482023,1.43099442202656,-2.30266512770166,0.025741821622978,0.152079494374783,-3.92901651204392
"ACTA2",-2.09208008482023,1.43099442202656,-2.30266512770166,0.025741821622978,0.152079494374783,-3.92901651204392
"eZR",-1.28110060493873,1.43813744469939,-2.3004414336729,0.0258777693920131,0.152079494374783,-3.93358240817145
"IGFBP3",1.36243895467102,1.59150732086787,2.29074435283102,0.0264781262527524,0.152079494374783,-3.9534524323452
"TUBB3",-1.88669960264623,1.72331751717416,-2.2431758162717,0.0296065590202664,0.165796730513492,-4.0499537541296
"P02788",-0.934722608213015,1.45774634577412,-2.21367929835184,0.0317073729844159,0.173230525573394,-4.10897642359518
"TBA1B",-1.51313045428036,2.82043278934966,-2.15304401255446,0.0364441621085013,0.194368864578674,-4.22831945269048
"PZP",1.9582998953511,1.86308205916944,2.13138504910473,0.0382811902252002,0.199418293266159,-4.27029354511852
"HMGB1",1.24208987710459,1.57185030634935,2.08225040052477,0.0427523375292883,0.217648263785468,-4.3642199207198
"SeRPINF1",-0.694852141129081,4.47146455055078,-2.00294688347406,0.0509308647383885,0.253522526697756,-4.51197604406095
"TGFBI",1.313122361165,2.39847822889881,1.9230506299361,0.0605040610285674,0.293785496623086,-4.65595173954167
"C7",-1.21446781278835,3.17167040737004,-1.91283041221025,0.0618333129171687,0.293785496623086,-4.67401010296401
"CLeC3B",1.08338533690344,2.59057900230815,1.90435829938633,0.0629540349906614,0.293785496623086,-4.68891749508367
"GPI",-0.804476510779017,1.26430635318619,-1.88559355821917,0.0654981162358775,0.29941995993544,-4.72173427378381
"P63261",-0.514394992501636,2.73660694264868,-1.84568886523764,0.0712000786812728,0.312721914207943,-4.79059435303553
"P60709",-0.514394992501636,2.73660694264868,-1.84568886523764,0.0712000786812728,0.312721914207943,-4.79059435303553
"AHCY",-1.0184908053971,2.09427844707235,-1.79422746586097,0.0791681427113158,0.341031999371822,-4.87751800447575
"HBA1",0.813989465691144,1.88969620876951,1.75163617486384,0.0863168314293453,0.350642569257575,-4.94784161874937
"KRT76",1.33675529161335,1.71902759500493,1.74625222029056,0.0872576833565648,0.350642569257575,-4.95662611786247
"ACTB",-0.514394992501636,4.69839418045775,-1.74054444539326,0.0882644329005692,0.350642569257575,-4.96591310209763
"ACTG1",-0.514394992501636,4.69839418045775,-1.74054444539326,0.0882644329005692,0.350642569257575,-4.96591310209763
"TAGLN2",1.11649338007081,1.82556932981405,1.73514311880342,0.0892260109271509,0.350642569257575,-4.97467692916197
"FGG",-1.25910055282471,1.96575190415694,-1.71967395371529,0.0920282034053251,0.355419268324014,-4.99964383867688
"eeF1A1P5",0.723130197782517,2.0344425061276,1.66456431436564,0.102609766662773,0.389569283601037,-5.08698667654975
"Q5XKe5",0.969551551415185,1.57462061995481,1.6231512669478,0.111202438963285,0.415155772129598,-5.15096113987009
"MSN",-1.30816209412125,1.53889918459733,-1.61099103262402,0.113834062923046,0.418013608110856,-5.1694733931173
"ORM1",-0.753106371384081,3.84967463978969,-1.58911775039884,0.118694937458973,0.423153641806165,-5.20245908518285
"P68104",0.723130197782517,1.96523511745077,1.58771655976804,0.119011961757984,0.423153641806165,-5.20455837147648
"eNO1",-1.03341148270376,2.92915499641106,-1.57285069648288,0.122417753965837,0.42846213888043,-5.22672835295828
"P07996",-0.865932457006267,2.092374929761,-1.52978514293612,0.132729244930868,0.45393061964031,-5.28989394749688
"KRT75",1.05794239749117,3.70013749810656,1.51907115221591,0.135399572123585,0.45393061964031,-5.30536266005584
"MYH10",1.15447760440411,1.73562566525439,1.50995057994973,0.137706352634629,0.45393061964031,-5.31845331505541
"P01008",0.98989024517338,1.82429362274305,1.50639151873792,0.138614950037295,0.45393061964031,-5.32354223273973
"HSPA1L",-0.917994068280284,1.53063619309499,-1.50167316985089,0.13982684265706,0.45393061964031,-5.33027197939896
"APOe",0.764458951915636,3.40336802544691,1.46347346151203,0.149950484264347,0.479841549645911,-5.38404960321972
"P26583",0.703349121228888,1.35952732575011,1.39684333074273,0.168978813292377,0.517328441623577,-5.47482143333889
"HRG",0.828111826010416,1.89807251096587,1.39314535758908,0.170087337865481,0.517328441623577,-5.4797456864869
"HSPA1B",-0.840929161211341,2.38372430703903,-1.38351646848337,0.173000132258854,0.517328441623577,-5.49251128275965
