"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P26038" -1.99252643458284 1.46456907161834 -3.81579021544656 0.000393307276831201 0.0781358234222487 -0.0415024182783705
"P68366" -1.39121799393889 2.08258765709156 -3.6283719777876 0.000697641280555792 0.0781358234222487 -0.566989855218352
"MYH9" -2.18444041792803 2.17147436226733 -3.43701373110955 0.00123541012166622 0.092243955751078 -1.08846154686831
"TUBA1A" -2.06679713998277 1.56754237636975 -3.07567321513566 0.00348472098074 0.19514437492144 -2.02654979185448
"PKM" -1.11022409781824 1.62531181936248 -2.79185263529054 0.00753695777857775 0.337655708480283 -2.71524008882785
"TUBB" -1.44340462901765 1.6982673327166 -2.69272760467322 0.00977167674447264 0.364809265126979 -2.94477385565209
"TUBA1B" -1.19901060790006 1.94726573425111 -2.55057254158512 0.0140490246742521 0.43323483364664 -3.26336786155904
"eZR" -1.39892561203205 1.43813744469939 -2.5120169549047 0.0154726726302371 0.43323483364664 -3.34755861549878
"SeRPINA3-8" 1.5119530440825 2.68654625935087 2.3673332608173 0.0220571391792252 0.489763490499045 -3.65474272060606
"GPI" -1.00481275926811 1.26430635318619 -2.35515697563086 0.0227124786120211 0.489763490499045 -3.67995115260844
"TUBB1" -0.745134172407889 1.59234073883428 -2.33123749257022 0.0240508856941495 0.489763490499045 -3.72917500505252
"P68371" -1.09010137093156 1.75239805099663 -2.17824581807892 0.0344045945822468 0.607688743819176 -4.03454691654419
"PGK1" -1.30682250078792 1.58291474149192 -2.16742513359792 0.0352676503109343 0.607688743819176 -4.05551341116519
"KRT6C" 1.9718245256948 2.43459542956762 2.11231697052072 0.0399651995944465 0.639443193511144 -4.1609708816216
"P06396" -1.47717788319633 2.12955510936767 -2.07214466077279 0.0437264808865884 0.647531547234476 -4.23644016262013
"SeRPINA3-7" 0.757071372288788 4.03724715903641 2.04682766134944 0.0462522533738911 0.647531547234476 -4.28338582178384
"APOA4" 1.09578960288181 2.23639630347994 1.96693805378831 0.0550703947939991 0.6927424694264 -4.42836369560277
"TUBA4A" -1.39121799393889 2.95719026205517 -1.96194370296954 0.0556668055789072 0.6927424694264 -4.43726602765923
"TUBB5" -1.44340462901765 2.17356382256763 -1.90211763824534 0.0632533192876329 0.726475196939881 -4.54241329953384
"C4A" 1.1520425131215 1.92122048006565 1.89021287162949 0.0648638568696322 0.726475196939881 -4.56300596657348
"P02788" 0.785768932120101 1.45774634577412 1.86091617239014 0.068976523678093 0.735749585899659 -4.61321176097017
"SeRPINA7" 0.894208295553924 3.56514370403678 1.81918244258421 0.0752152687306535 0.765828190712108 -4.68356605022734
"FN1" 1.57830943279909 3.70447587721651 1.78406869659716 0.0808265072321728 0.787179896522031 -4.74169108350891
"P04406" -0.82737424102229 1.63629529099176 -1.70805501670527 0.0941805887918326 0.819420803761947 -4.86413164364586
"TBA1B" -1.19901060790006 2.82043278934966 -1.70608066411318 0.0945504418801574 0.819420803761947 -4.86724958955253
"APOB" 1.39847731360006 1.88182983813944 1.70309860863382 0.0951113432937974 0.819420803761947 -4.87195290971455
"P02768" 0.670903413192331 3.53014814150613 1.64999969669252 0.105567465016253 0.844707293836561 -4.95448390968996
"F10" -0.760301480238159 1.7889148002428 -1.64989774752158 0.10558841172957 0.844707293836561 -4.95464014235845
"TPI1" -0.578890946735915 1.33011943252042 -1.60542754405026 0.115054831076147 0.866295683608129 -5.02196969438137
"MYH10" -1.20593485331124 1.73562566525439 -1.57725193125662 0.12140132975923 0.866295683608129 -5.06377844642275
"TTR" 0.737645400541933 3.5072245420389 1.57339738160393 0.122291130082616 0.866295683608129 -5.06944651584567
"KLKB1" 0.774957734831071 2.41074025784797 1.56468670030774 0.124321314644419 0.866295683608129 -5.08220963696837
"FBLN1" 0.717863354592768 1.54404194159371 1.5445368986349 0.129121602224712 0.866295683608129 -5.1114896057209
"P26583" 0.765656396483696 1.35952732575011 1.52058486857869 0.13501971937767 0.866295683608129 -5.14584975372233
"P68133" 1.31068922443179 1.43737644173672 1.51923386305733 0.13535870056377 0.866295683608129 -5.14777338410464
"TUBB4B" -1.09010137093156 2.13742188267733 -1.45236279799671 0.153000911026936 0.90904826605213 -5.24104887325089
"Q5XKe5" 0.866322200715197 1.57462061995481 1.45033234759244 0.15356359908318 0.90904826605213 -5.24382132899945
"AMBP" 0.57791822197161 3.20142321680015 1.4479942805647 0.154213545133843 0.90904826605213 -5.24700943585287
"HPX" 0.687831777198996 4.51211037932 1.40784709962224 0.165713337625006 0.95178942635901 -5.30101916338793
"KRT14" 0.815423205740367 2.68973372823354 1.38764732891638 0.171745843123019 0.961776721488909 -5.32766747386401
"ADIPOQ" 0.505023205160693 2.79383412952405 1.34307249217881 0.185656237683325 0.962629901758807 -5.38521773450286
"C9" 0.722311490780829 2.53409171363602 1.33886228375687 0.187013343903745 0.962629901758807 -5.3905638916464
"ORM1" 0.625276733426201 3.84967463978969 1.31938646883685 0.193389637160378 0.962629901758807 -5.41509236840056
"KNG1" 0.589233115141782 4.64400516719177 1.31337860918151 0.195389477493779 0.962629901758807 -5.42259168184388
"P08238" -0.79163015071176 1.39869698286489 -1.30926877718388 0.196766506752499 0.962629901758807 -5.4277035042958
"PPIA" -0.622709029690955 1.46674230262402 -1.28285742593981 0.205791263669377 0.962629901758807 -5.46019897359819
"GAPDH" -0.500403371432123 2.9599419780984 -1.27648986989261 0.208012796283768 0.962629901758807 -5.46794123529067
"P01008" 0.834035679981517 1.82429362274305 1.26921573454733 0.210572522216403 0.962629901758807 -5.47674190329481
"HSP90AB1" -0.790074065364005 1.74196872511885 -1.26574909703627 0.211800655056808 0.962629901758807 -5.48091955432854
"HMGB2" 0.765656396483696 1.61564898745718 1.25714268616827 0.214872745928305 0.962629901758807 -5.49124509864525
"KRT71" 0.803358069500605 2.0614298276594 1.22668550860934 0.226010686044613 0.973839146245749 -5.52725751041928
"LUM" 0.548174317193169 3.07535703145988 1.21645301855919 0.229846484143318 0.973839146245749 -5.53917087959163
"ACTG2" -1.08259116244668 1.43099442202656 -1.19156285431501 0.239375917000725 0.973839146245749 -5.56775892501908
"ACTA2" -1.08259116244668 1.43099442202656 -1.19156285431501 0.239375917000725 0.973839146245749 -5.56775892501908
"FLNA" -0.634679334178467 2.12980106281586 -1.18798040239295 0.240770834939832 0.973839146245749 -5.57182792404528
"KNG2" 0.730484843398617 4.18911636434987 1.16989392747905 0.247903492936415 0.973839146245749 -5.59219481731966
"P11142" -0.501291139761701 1.58731738439312 -1.16587630639338 0.249508409992504 0.973839146245749 -5.59667906850167
"ACTA1" 1.31068922443179 2.36297496839623 1.15929209526863 0.252154778938631 0.973839146245749 -5.60399657745428
"VNN1" 0.580287659902483 2.69500811622411 1.1382935704109 0.260729347329103 0.977364046988821 -5.62707254115908
"LDHA" -0.720709124491771 1.7039208865796 -1.11319260756149 0.271249698681096 0.977364046988821 -5.65413357553648
"P63261" -0.309375850675786 2.73660694264868 -1.11006438843571 0.272581549071179 0.977364046988821 -5.65746604222659
"P60709" -0.309375850675786 2.73660694264868 -1.11006438843571 0.272581549071179 0.977364046988821 -5.65746604222659
"DDBX" -0.520780356537475 1.28981023007758 -1.10468264162748 0.274883638215606 0.977364046988821 -5.66317838064038
"RAP1B" -0.539405813107503 1.50258209146489 -1.07204684885226 0.289137163028116 0.989876773542602 -5.6972545112313
"KRT79" 0.814691568466716 2.44652612012048 1.06584075012903 0.2919048032584 0.989876773542602 -5.70362461828438
"Q04695" 0.656920533117387 2.19354047619982 1.06580012677096 0.291922979761839 0.989876773542602 -5.70366619930108
"ACTB" -0.309375850675783 4.69839418045775 -1.04682671153887 0.300498306254004 0.989876773542602 -5.72292194353321
"ACTG1" -0.309375850675783 4.69839418045775 -1.04682671153887 0.300498306254004 0.989876773542602 -5.72292194353321
"SeRPINA3-5" 0.813602153023884 4.18957050927843 1.03492151356819 0.305966673000436 0.993283112349243 -5.73483596870886
"A1BG" 0.378069551011159 4.1781310077701 1.01663274968687 0.314499071927521 0.996784598802698 -5.75288488058747
"SeRPINA5" 0.425600509172064 4.45905450628944 1.0135667779436 0.315945118370498 0.996784598802698 -5.75588055222278
"GC" 0.328028695591764 5.15266420639357 0.99928096653861 0.322742253903067 1 -5.76972469700217
"KRT3" 0.576581513932093 1.74723983828543 0.978846494851148 0.332634786014136 1 -5.78920027733695
"C4" 0.422563581004544 4.71262774733524 0.959654921600861 0.342107771576431 1 -5.80713982425273
"MSN" -0.752017749861977 1.53889918459733 -0.926103773260265 0.359092225098647 1 -5.83768181581156
"KRT10" -1.36462712094521 2.1811305592477 -0.917493210601227 0.363537882854599 1 -5.84535138734629
"KRT76" 0.695674442945649 1.71902759500493 0.908784912403114 0.368069982634541 1 -5.85303777628902
"APOe" 0.47310373552348 3.40336802544691 0.905705610151883 0.369681209571454 1 -5.85573880790355
"C4BPA" -0.470798455268811 1.32366387946617 -0.905297718009872 0.369894975575635 1 -5.85609593007813
"FGB" -0.586385882610835 2.88157124287961 -0.887574600133168 0.379259669638961 1 -5.87146309780173
"SeRPINA3-6" 0.910895034715812 3.94095215810859 0.856659842553151 0.395951284483889 1 -5.89756524301826
"FeTUB" 0.312888767907086 4.65955917386766 0.852138255135249 0.398430445849954 1 -5.90130786451774
"FeRMT3" -0.495027886193194 1.87093697072839 -0.8484211469293 0.400475725134932 1 -5.90437023028155
