"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"FLNA" 3.8815159734135 2.12980106281586 5.93213009896022 3.33626707882414e-07 7.47323825656607e-05 6.5492533572936
"TUBB" 3.44723568136548 1.6982673327166 5.25085076882394 3.52990662938767e-06 0.000395349542491419 4.32755697097075
"P26038" 2.65457173909361 1.46456907161834 4.15077540985004 0.000137097300778674 0.010236598458141 0.899422299919847
"TUBA1B" 2.16384251165924 1.94726573425111 3.75832795083199 0.000469491675088774 0.0262915338049713 -0.242249514685446
"P68371" 1.95261745090138 1.75239805099663 3.18574888617105 0.00255659948828474 0.114535657075156 -1.79564971264743
"P07900" 1.82159572282136 1.58250706049443 2.76104068587489 0.00817510836546784 0.305204045644133 -2.84147850176342
"P68366" 1.19411236659786 2.08258765709156 2.54282331352893 0.0143252057202396 0.398813850779278 -3.3375040940087
"FBLN1" -1.40794207211036 1.54404194159371 -2.47340743000656 0.0170283863120656 0.398813850779278 -3.48890015215839
"P08727" -1.96343960974543 1.50896968556269 -2.47216796586908 0.0170805971039482 0.398813850779278 -3.49157448652392
"C4A" -1.83279554874174 1.92122048006565 -2.45533413857651 0.0178041897669321 0.398813850779278 -3.52779458182081
"P68032" 1.73099371615574 2.10659978605528 2.37324373146084 0.0217451918524629 0.408645814859175 -3.70168517255652
"MYH9" 1.8451716330118 2.17147436226733 2.37045766468607 0.0218917400817415 0.408645814859175 -3.70750629208412
"TUBA1A" -1.60918662332858 1.56754237636975 -1.95525372923461 0.0564743967774804 0.965082221515143 -4.51289408043769
"KRT8" 1.5671347068236 1.57238229373487 1.87405541513633 0.0671054591570362 0.965082221515143 -4.65528890082771
"APOB" -1.68419613269584 1.88182983813944 -1.67467834609762 0.100596153341951 0.965082221515143 -4.98269500322031
"P68133" 1.73099371615574 1.43737644173672 1.63822958583283 0.108008348943851 0.965082221515143 -5.0390483671857
"P02788" -0.8053640896789 1.45774634577412 -1.55732260662903 0.126058738833289 0.965082221515143 -5.1601815508046
"P09429" -0.821182430157019 1.37638461910149 -1.28636335651192 0.204575721221868 0.965082221515143 -5.52508372083896
"VTN" -0.576593755726612 1.52379352816746 -1.15968753416014 0.251995273739203 0.965082221515143 -5.67349835941027
"P11142" 0.596996589643121 1.58731738439312 1.13367525816329 0.262642804779633 0.965082221515143 -5.70218415989173
"eeF1A1P5" -0.586445191750229 2.0344425061276 -1.10221389637619 0.27594423628151 0.965082221515143 -5.73605634146358
"TLN1" 0.560838543809728 3.01286371076434 1.08472518416027 0.28354004122997 0.965082221515143 -5.754494231271
"P02771" -0.557042174887433 1.46420732564624 -1.05911973443331 0.294922732407696 0.965082221515143 -5.78098368294428
"P68104" -0.586445191750228 1.96523511745077 -1.05132811065329 0.298448312878753 0.965082221515143 -5.78892476575137
"P26583" -0.581269573815592 1.35952732575011 -0.942559360128925 0.350694695433751 0.965082221515143 -5.89391853338408
"P63261" 0.307793796844633 2.73660694264868 0.901728909583903 0.371768677586837 0.965082221515143 -5.93048880279209
"P60709" 0.307793796844633 2.73660694264868 0.901728909583903 0.371768677586837 0.965082221515143 -5.93048880279209
"P07996" 0.563043764230083 2.092374929761 0.812162520727263 0.420766144084894 0.965082221515143 -6.0052212877286
"HBA1" -0.444123348937874 1.88969620876951 -0.780338613531851 0.439078396546218 0.965082221515143 -6.02994803255689
"DSP" -0.739711055829916 1.57262262338927 -0.732079912606801 0.46773095354619 0.965082221515143 -6.06560623923636
"KRT16" -0.555336218403485 2.5364333186317 -0.698701860400908 0.488158908076923 0.965082221515143 -6.08896831328339
"Q7RTS7" -0.428829257895911 1.40459970723818 -0.618800204838849 0.539016161541195 0.965082221515143 -6.14055070976457
"KRT77" -0.511866483043911 1.39040619227983 -0.577351170533655 0.566439756544396 0.965082221515143 -6.16488517530296
"P04406" -0.247288751117238 1.63629529099176 -0.416829638084621 0.678688255776281 0.965082221515143 -6.24339139807009
"KRT13" -0.264765487951306 1.73143413968201 -0.415774587624598 0.679454840432359 0.965082221515143 -6.24382428350891
"Q5XKe5" -0.302077896349754 1.57462061995481 -0.412915711503016 0.681533777085479 0.965082221515143 -6.24499180274238
"PKM" -0.193001409412413 1.62531181936248 -0.396275015998564 0.693683811442976 0.965082221515143 -6.25162882862681
"P01023" 0.419633475884479 2.56133651287742 0.39089610024093 0.69762880763914 0.965082221515143 -6.25371619424739
"KRT76" -0.362101742606209 1.71902759500493 -0.386224700155459 0.701061759603397 0.965082221515143 -6.25550600591763
"P13645" 0.14815301747894 3.28286207275526 0.368659452583675 0.714026178958335 0.965082221515143 -6.26204462475593
"ALB" -0.0969732846451448 8.0225757952076 -0.353083849696042 0.725593947937951 0.965082221515143 -6.26758953731699
"P01008" -0.267113907129666 1.82429362274305 -0.331895747313017 0.741433860794827 0.965082221515143 -6.27475028479354
"P13647" -0.26648576305148 2.68452794778343 -0.318620895979685 0.751416379213184 0.965082221515143 -6.27901201591288
"KRT14" -0.225131687113374 2.68973372823354 -0.312814613733094 0.755796276947167 0.965082221515143 -6.28082161851008
"PZP" 0.316062287004576 1.86308205916944 0.280872851333151 0.780032600094824 0.965082221515143 -6.29018385748533
"ACTB" -0.096973284645145 4.69839418045775 -0.267913662877464 0.789930399427032 0.965082221515143 -6.29369596176134
"ACTG1" -0.096973284645145 4.69839418045775 -0.267913662877464 0.789930399427032 0.965082221515143 -6.29369596176134
"AFP" -0.096973284645145 5.82309093743856 -0.256765277011339 0.798473311528326 0.965082221515143 -6.29658499835058
"AHSG" -0.0969732846451448 6.45909865672305 -0.253447752229322 0.801020369163862 0.965082221515143 -6.29742108017756
"TF" -0.096973284645145 6.62833730330571 -0.25112728447045 0.80280322801098 0.965082221515143 -6.29799943970826
"SeRPINA1" -0.096973284645145 6.48107743762678 -0.24674856172958 0.806170362101941 0.965082221515143 -6.29907635350461
"HBBF" -0.0969732846451448 5.20161125704235 -0.245871446177368 0.806845291437193 0.965082221515143 -6.29928980226755
"GC" -0.096973284645145 5.15266420639357 -0.241202750035144 0.810440280245299 0.965082221515143 -6.30041318645669
"A2M" -0.096973284645145 7.04890177435079 -0.237810321635787 0.813055113367239 0.965082221515143 -6.30121599883828
"KRT6B" 0.272608205132387 2.49674812989069 0.233787834465495 0.816158373248373 0.965082221515143 -6.30215321425202
"SeRPINF1" -0.0969732846451448 4.47146455055078 -0.228235664406795 0.820446631638548 0.965082221515143 -6.30342063431142
"KRT3" -0.162605741973277 1.74723983828543 -0.225394920089423 0.82264285380165 0.965082221515143 -6.30405735131272
"HBA" -0.0969732846451445 4.62559023340705 -0.222149145093279 0.82515396660422 0.965082221515143 -6.30477511113648
"TPI1" -0.0969732846451445 1.33011943252042 -0.219583866866115 0.827139917568461 0.965082221515143 -6.30533503823953
"FeTUB" -0.096973284645145 4.65955917386766 -0.215638631029256 0.830196407956646 0.965082221515143 -6.30618350521125
"SeRPINA3-7" -0.096973284645145 4.03724715903641 -0.214067595012813 0.831414277197167 0.965082221515143 -6.30651710036511
"A1BG" -0.096973284645145 4.1781310077701 -0.212911378089104 0.83231084523609 0.965082221515143 -6.3067610573639
"GSN" -0.096973284645145 4.75887842710271 -0.211833145085586 0.833147144958893 0.965082221515143 -6.30698737186383
"ADIPOQ" -0.0969732846451448 2.79383412952405 -0.210569078738081 0.834127828950603 0.965082221515143 -6.307251231359
"Q04695" -0.156909207809979 2.19354047619982 -0.207857515142226 0.836232402190458 0.965082221515143 -6.30781192241091
"C3" -0.096973284645145 6.80831847634258 -0.206618645072257 0.837194351843556 0.965082221515143 -6.30806567919475
"GAPDH" -0.0969732846451445 2.9599419780984 -0.201977792905347 0.840800071799736 0.965082221515143 -6.30900280101455
"AMBP" -0.096973284645145 3.20142321680015 -0.198384133495754 0.843594547095622 0.965082221515143 -6.30971386583835
"HABP2" -0.0969732846451448 1.33364828925658 -0.198154960120404 0.84377282457429 0.965082221515143 -6.30975877933987
"ITIH4" -0.096973284645145 5.68496499135984 -0.195259109475765 0.846026259738942 0.965082221515143 -6.31032184443739
"TUBB1" 0.0762832198512653 1.59234073883428 0.194865710191865 0.846332488072676 0.965082221515143 -6.31039769797163
"CFD" -0.096973284645145 1.76934998426834 -0.19399834537128 0.847007743368324 0.965082221515143 -6.31056439989109
"APOA1" -0.0969732846451448 5.83793754773609 -0.192914687077155 0.84785154892962 0.965082221515143 -6.31077162877656
"P01024" 0.160756807090544 2.35144295118694 0.189503838470921 0.850508623913227 0.965082221515143 -6.31141632346343
"APOD" -0.096973284645145 1.954804178567 -0.188982994585262 0.850914519988488 0.965082221515143 -6.31151375917745
"SeRPINA5" -0.0969732846451445 4.45905450628944 -0.188563097998257 0.85124177704881 0.965082221515143 -6.31159211546165
"KRT6A" 0.185401692489836 2.67428440972459 0.18610734970526 0.853156254465348 0.965082221515143 -6.31204689393516
"GPI" -0.096973284645145 1.26430635318619 -0.185584283450975 0.853564147563168 0.965082221515143 -6.31214299127551
"AGT" -0.0969732846451445 5.26136865827236 -0.185530198420729 0.853606326000333 0.965082221515143 -6.31215291233089
"F13A1" -0.0969732846451448 1.67684231089571 -0.184069990016918 0.854745238464576 0.965082221515143 -6.31241967347409
"CKM" -0.096973284645145 1.43905061876519 -0.180418589964942 0.857594567359176 0.965082221515143 -6.31307752476697
"APOH" -0.096973284645145 3.55010419307759 -0.180100791257151 0.857842649179525 0.965082221515143 -6.31313415808019
"C4" -0.0969732846451448 4.71262774733524 -0.179816486359715 0.858064597152953 0.965082221515143 -6.3131847381341
"KRT2" -0.148153017478943 3.15887506003387 -0.178979161431717 0.858718337831453 0.965082221515143 -6.313333241174
"SeRPINF2" -0.096973284645145 4.40365952530721 -0.177263755419907 0.860057951259923 0.965082221515143 -6.31363531398279
"FMOD" -0.096973284645145 1.25866081839479 -0.17650055939949 0.860654088418801 0.965082221515143 -6.31376877448501
"KNG1" -0.0969732846451449 4.64400516719177 -0.176485597227872 0.860665776284303 0.965082221515143 -6.31377138518064
"LUM" -0.0969732846451448 3.07535703145988 -0.175704600442082 0.861275904210289 0.965082221515143 -6.31390735163552
"CSN1S1" -0.0969732846451449 1.26152104314573 -0.172986510910161 0.863399985605394 0.965082221515143 -6.31437585820154
"F10" -0.0969732846451448 1.7889148002428 -0.171821564927453 0.864310658637372 0.965082221515143 -6.31457442226282
"THBS1" -0.0969732846451448 3.81444994666643 -0.171207945643335 0.864790418022154 0.965082221515143 -6.31467847435303
"YWHAZ" -0.096973284645145 1.70627317267171 -0.170918684034786 0.865016595601941 0.965082221515143 -6.3147273958193
"COL1A2" -0.0969732846451445 1.47526700442031 -0.17062661115634 0.865244982930543 0.965082221515143 -6.31477670891503
"MST1" -0.0969732846451445 1.6572762956501 -0.169714839778424 0.865958020137985 0.965082221515143 -6.31493010895387
"TTR" -0.096973284645145 3.5072245420389 -0.168887404303352 0.866605201192548 0.965082221515143 -6.31506860948234
"DDBX" -0.096973284645145 1.28981023007758 -0.167953636603772 0.867335661138339 0.965082221515143 -6.31522409649601
"ORM1" -0.096973284645145 3.84967463978969 -0.167072985598744 0.868024676545524 0.965082221515143 -6.31536994981353
"BLVRB" -0.0969732846451448 1.46374010893065 -0.16334782669209 0.870940353936754 0.965082221515143 -6.31597843859244
"PPIA" -0.0969732846451443 1.46674230262402 -0.163117180411062 0.871120940459058 0.965082221515143 -6.31601566315886
"POTee" -0.0969732846451454 1.55755606480302 -0.163089568850388 0.871142559636818 0.965082221515143 -6.31602011593488
"HPX" -0.096973284645145 4.51211037932 -0.162061454025943 0.871947619024038 0.965082221515143 -6.31618537881716
"SeRPINA7" -0.0969732846451445 3.56514370403678 -0.161080896485791 0.87271556652116 0.965082221515143 -6.31634202456859
"UBA52" -0.096973284645145 1.42367798513513 -0.160437040227096 0.873219885597174 0.965082221515143 -6.31644436524028
"APOC3" -0.096973284645145 1.35842095604172 -0.160043629541032 0.873528062102481 0.965082221515143 -6.31650669618404
"CHIA" -0.096973284645145 2.39387368752129 -0.160020083442368 0.873546507462372 0.965082221515143 -6.31651042191715
"KLKB1" -0.096973284645145 2.41074025784797 -0.15986590494744 0.873667288366582 0.965082221515143 -6.31653480427109
"GSTA1" -0.0969732846451448 1.36738597748422 -0.159655997632451 0.873831731197975 0.965082221515143 -6.31656796204526
"F9" -0.096973284645145 1.40713168865363 -0.158331287963468 0.874869647305723 0.965082221515143 -6.31677621440633
"RAP1B" -0.0969732846451452 1.50258209146489 -0.157363721880657 0.875627880295766 0.965082221515143 -6.31692722633806
"VNN1" -0.0969732846451445 2.69500811622411 -0.155316438799368 0.877232620901646 0.965082221515143 -6.31724370585484
"C4BPA" -0.0969732846451454 1.32366387946617 -0.152251953284145 0.879635655880655 0.965082221515143 -6.31770969322387
"FGA" -0.096973284645145 3.07297260030194 -0.151948052316673 0.879874024425369 0.965082221515143 -6.31775539899769
"APOe" -0.096973284645145 3.40336802544691 -0.151578343737769 0.880164025142546 0.965082221515143 -6.31781087903285
"APOA2" -0.096973284645145 2.05314683389666 -0.151097219570037 0.880541445474768 0.965082221515143 -6.31788287637858
"H4" -0.0969732846451449 1.67480620436773 -0.15066927841591 0.880877169652939 0.965082221515143 -6.31794672306019
"PROC" -0.0969732846451445 1.70688739576248 -0.148366635389866 0.882683994223206 0.965082221515143 -6.31828716032052
"H2A1" -0.0969732846451452 1.27489937046138 -0.14764545060624 0.883250019350296 0.965082221515143 -6.31839270768355
"H2AJ" -0.0969732846451452 1.27489937046138 -0.14764545060624 0.883250019350296 0.965082221515143 -6.31839270768355
"H2AC20" -0.0969732846451452 1.27489937046138 -0.14764545060624 0.883250019350296 0.965082221515143 -6.31839270768355
"SeRPINC1" -0.096973284645145 5.1272802214854 -0.147496711428347 0.883366765626266 0.965082221515143 -6.31841441215618
"SeRPINA3-2" -0.0969732846451454 4.82604857429141 -0.147472260405613 0.883385957631442 0.965082221515143 -6.31841797803197
"C9" -0.096973284645145 2.53409171363602 -0.146763432433971 0.883942358885682 0.965082221515143 -6.31852109498486
"KRT20" -0.096973284645145 1.38374151654103 -0.146155698399378 0.884419452547072 0.965082221515143 -6.31860911004569
"CFH" -0.0969732846451449 4.73751401127154 -0.145251596665747 0.885129285784141 0.965082221515143 -6.31873937137575
"eZR" -0.0969732846451445 1.43813744469939 -0.142178661538717 0.887542633064278 0.965082221515143 -6.31917607730499
"APOA4" -0.0969732846451449 2.23639630347994 -0.142124838356524 0.887584913068933 0.965082221515143 -6.31918364317786
"F12" -0.0969732846451448 1.5732420082278 -0.141704013558747 0.887915497135633 0.965082221515143 -6.31924269944111
"F12AI" -0.096973284645145 4.20663262039804 -0.14109799474229 0.888391597967391 0.965082221515143 -6.31932743741466
"RPS27A" -0.0969732846451453 1.5498931349851 -0.140158727535185 0.889129587632394 0.965082221515143 -6.31945805558846
"P19823" -0.0791656492198776 1.95199204990044 -0.139896791790103 0.889335410329133 0.965082221515143 -6.3194943259628
"AHCY" -0.096973284645145 2.09427844707235 -0.139484793701817 0.889659163914049 0.965082221515143 -6.31955123837631
"CLeC3B" -0.096973284645145 2.59057900230815 -0.139178511111568 0.889899857162653 0.965082221515143 -6.31959343882491
"CPB2" -0.096973284645145 2.43628368427722 -0.139177979897674 0.889900274628061 0.965082221515143 -6.31959351193649
"KRT9" -0.0635706129850186 3.05443713763583 -0.138615082971965 0.890342656480785 0.965082221515143 -6.31967082740484
"CLU" -0.0969732846451448 3.04215266023609 -0.137832910828451 0.890957425643625 0.965082221515143 -6.31977774118081
"FeRMT3" -0.0969732846451445 1.87093697072839 -0.135702640063548 0.892632111009154 0.965082221515143 -6.32006585908475
"AFM" -0.096973284645145 3.64994722284964 -0.134883946627594 0.893275848363933 0.965082221515143 -6.32017539411639
"eeF1A1" -0.0969732846451449 2.98419675711455 -0.134653372548442 0.893457161513136 0.965082221515143 -6.32020612366599
"COL1A1" -0.0969732846451454 1.41794131755679 -0.134625400397531 0.893479157953288 0.965082221515143 -6.32020984805571
"PLG" -0.096973284645145 5.25419591521744 -0.134160564098198 0.893844703302978 0.965082221515143 -6.32027162613273
"F2" -0.0969732846451448 4.58599019856791 -0.134084898437089 0.893904208671301 0.965082221515143 -6.32028166210995
"HRG" -0.096973284645145 1.89807251096587 -0.133202974185885 0.894597821320883 0.965082221515143 -6.32039821960402
"IGFBP3" -0.0969732846451449 1.59150732086787 -0.133126970402597 0.894657600406854 0.965082221515143 -6.32040822849785
"HMGB1" -0.0969732846451449 1.57185030634935 -0.132735291695053 0.894965676367942 0.965082221515143 -6.32045971793216
"COMP" -0.0969732846451445 2.05421860325544 -0.131956351049053 0.895578402810911 0.965082221515143 -6.32056166565406
"PGK1" -0.096973284645145 1.58291474149192 -0.131320938633928 0.896078275415592 0.965082221515143 -6.32064438437137
"HSPA1B" -0.096973284645145 2.38372430703903 -0.130266095686369 0.896908203749204 0.965082221515143 -6.32078082408889
"HSPA1A" -0.096973284645145 2.38372430703903 -0.130266095686369 0.896908203749204 0.965082221515143 -6.32078082408889
"HMGB2" -0.0969732846451449 1.61564898745718 -0.130004125601723 0.897114334406153 0.965082221515143 -6.32081453842433
"HSPA1L" -0.096973284645145 1.53063619309499 -0.129521547008359 0.897494069192457 0.965082221515143 -6.32087646651859
"GFAP" -0.0969732846451452 1.30769000984201 -0.129149523501711 0.897786826169686 0.965082221515143 -6.32092405026443
"GSTA2" -0.0969732846451449 1.60418294284528 -0.128941280663068 0.897950705268033 0.965082221515143 -6.32095062590249
"KRT73" -0.0969732846451451 2.30143899068349 -0.12834055967315 0.898423474707453 0.965082221515143 -6.32102704889166
"LBP" -0.0969732846451454 1.88723308630652 -0.127674237281411 0.898947916188183 0.965082221515143 -6.32111140044669
"P02768" 0.063570612985016 3.53014814150613 0.127654060211639 0.89896379763935 0.965082221515143 -6.3211139478722
"UBC" -0.0969732846451448 1.31940319373629 -0.127340005838302 0.89921099645371 0.965082221515143 -6.3211535464668
"LDHB" -0.0969732846451445 1.70047910519436 -0.127330679075886 0.899218337899342 0.965082221515143 -6.32115472097246
"HSP90AB1" -0.0969732846451445 1.74196872511885 -0.126848780624237 0.899597670397628 0.965082221515143 -6.32121528877494
"KNG2" -0.096973284645145 4.18911636434987 -0.126806569573112 0.899630898492436 0.965082221515143 -6.32122058317383
"GPLD1" -0.096973284645145 1.45084976958501 -0.126750018973133 0.899675414813589 0.965082221515143 -6.32122767337731
"C7" -0.096973284645145 3.17167040737004 -0.124708752685974 0.901282505359121 0.965082221515143 -6.32148148735286
"SeRPINA3-8" -0.0969732846451445 2.68654625935087 -0.123973131903907 0.901861762908486 0.965082221515143 -6.32157194608843
"CPN1" -0.096973284645145 2.26860933054171 -0.123882730619425 0.901932952262573 0.965082221515143 -6.32158302576649
"HBB" -0.0969732846451448 3.60913296436354 -0.123680976269154 0.902091833048497 0.965082221515143 -6.32160772386803
"KRT78" -0.096973284645145 1.39208057576647 -0.123609888979638 0.902147814984024 0.965082221515143 -6.3216164165549
"TAGLN2" -0.0969732846451449 1.82556932981405 -0.123051135728284 0.902587856095262 0.965082221515143 -6.32168456804191
"CFB" -0.096973284645145 4.69910009658115 -0.122904485514761 0.902703354278056 0.965082221515143 -6.32170240394141
"LDHA" -0.0969732846451445 1.7039208865796 -0.122297272039128 0.903181603602531 0.965082221515143 -6.32177602828221
"CAP1" -0.096973284645145 1.51249978979974 -0.122008809175829 0.903408813463686 0.965082221515143 -6.32181087658766
"KRT71" -0.0969732846451448 2.0614298276594 -0.120901183165761 0.904281318787239 0.965082221515143 -6.32194392129719
"eNO1" -0.0969732846451445 2.92915499641106 -0.120509335777094 0.904590015611438 0.965082221515143 -6.32199069846797
"THBS4" -0.0969732846451448 2.59908547029237 -0.120439048555929 0.904645389361273 0.965082221515143 -6.32199907302268
"HSPA8" -0.096973284645145 2.17635520350126 -0.120368216344716 0.904701192949818 0.965082221515143 -6.32200750757191
"PFN1" -0.096973284645145 1.82158817742358 -0.120136373335339 0.904883848724073 0.965082221515143 -6.32203508026657
"FGB" -0.096973284645145 2.88157124287961 -0.119847184553129 0.905111691213019 0.965082221515143 -6.32206939853443
"KRT5" -0.0969732846451449 4.75060084572523 -0.118518887920591 0.906158316426136 0.965082221515143 -6.32222596681002
"SeRPINA6" -0.096973284645145 1.95604734449887 -0.116458807810768 0.907781879135509 0.965082221515143 -6.32246534181156
"KRT80" -0.0969732846451448 1.51598194213391 -0.116156725862098 0.908019985508524 0.965082221515143 -6.32250009015892
"TGFBI" -0.0969732846451454 2.39847822889881 -0.115955672254262 0.90817846427243 0.965082221515143 -6.32252316726945
"PGLYRP1" -0.0969732846451452 1.67253892181117 -0.114885841006887 0.909021812757076 0.965082221515143 -6.32264529148892
"KRT7" -0.096973284645145 3.03408196945055 -0.114077638583965 0.909658989335052 0.965082221515143 -6.32273679990086
"KRT75" -0.0969732846451449 3.70013749810656 -0.113690079708999 0.909964557156132 0.965082221515143 -6.32278045206756
"RBP4" -0.096973284645145 1.84808540045016 -0.113122612082048 0.91041199743601 0.965082221515143 -6.3228441001637
"TBA1B" -0.0969732846451445 2.82043278934966 -0.112663441170454 0.910774068741406 0.965082221515143 -6.32289536853883
"TUBA4A" -0.096973284645145 2.95719026205517 -0.11166005354677 0.911565339193892 0.965082221515143 -6.32300667570632
"FGG" -0.0969732846451452 1.96575190415694 -0.108141446761323 0.914340818786988 0.965082221515143 -6.32338913546069
"HSP90AA1" -0.096973284645145 2.08255886911779 -0.106792714746075 0.915404987366122 0.965082221515143 -6.32353249298705
"P04272" -0.0969732846451448 1.39724294874033 -0.105565231179938 0.916373625280768 0.965082221515143 -6.32366139989519
"TUBB4B" -0.0969732846451445 2.13742188267733 -0.105490829375414 0.916432341735388 0.965082221515143 -6.32366916548763
"ITIH1" -0.096973284645145 3.81573558691508 -0.104881161911667 0.916913497113507 0.965082221515143 -6.32373259259636
"ITIH3" -0.096973284645145 4.82083252917635 -0.104710895188699 0.917047878854278 0.965082221515143 -6.32375024075308
"TUBB5" -0.096973284645145 2.17356382256763 -0.104341182824649 0.917339679995671 0.965082221515143 -6.32378846278336
"KRT79" -0.096973284645145 2.44652612012048 -0.103587076301055 0.917934905693254 0.965082221515143 -6.32386600578562
"MYH10" -0.096973284645145 1.73562566525439 -0.103558010246622 0.917957848845337 0.965082221515143 -6.32386898332755
"F5" -0.096973284645145 4.7740174212896 -0.102507983657115 0.918786729474132 0.965082221515143 -6.32397598851794
"SeRPINA3-5" -0.096973284645145 4.18957050927843 -0.100716773007964 0.920200903210186 0.965082221515143 -6.32415600996167
"SeRPINA3-4" -0.096973284645145 4.46456017642123 -0.0980627689450218 0.922296736129584 0.965082221515143 -6.32441691258943
"MDH1B" -0.0969732846451454 1.47730045651038 -0.0976201843764686 0.922646294064642 0.965082221515143 -6.32445974350442
"MSN" -0.0969732846451445 1.53889918459733 -0.0975075038686582 0.922735292777066 0.965082221515143 -6.32447061717819
"TUBB3" -0.0969732846451454 1.72331751717416 -0.0941384477175671 0.925396738449282 0.965082221515143 -6.32478993242977
"JUP" -0.0969732846451448 2.00926215738103 -0.0939694842146149 0.925530237117724 0.965082221515143 -6.32480565107033
"PROS1" -0.0969732846451445 2.06220399064509 -0.0915984459749241 0.927403829405558 0.965082221515143 -6.32502325096643
"KRT19" -0.0969732846451449 2.90798190215825 -0.0911183302449438 0.927783267353562 0.965082221515143 -6.32506663641159
"FN1" -0.0969732846451443 3.70447587721651 -0.0895005898715058 0.929061900193698 0.965082221515143 -6.32521114496788
"IGFBP2" -0.0969732846451449 2.56489382133601 -0.0894794503936391 0.929078609714626 0.965082221515143 -6.32521301617453
"KRT72" -0.0969732846451449 1.8955809951859 -0.0893645273093001 0.929169450255989 0.965082221515143 -6.32522318110954
"ACTG2" -0.0969732846451446 1.43099442202656 -0.0871483071157401 0.930921438436253 0.965082221515143 -6.32541665134374
"ACTA2" -0.0969732846451446 1.43099442202656 -0.0871483071157401 0.930921438436253 0.965082221515143 -6.32541665134374
"KRT28" -0.0969732846451445 1.42872685909555 -0.0840975975335824 0.933333678732311 0.965082221515143 -6.32567502625733
"KRT6C" -0.0953977997365563 2.43459542956762 -0.0834417786174625 0.933852327562686 0.965082221515143 -6.3257293679434
"LTF" -0.096973284645145 2.33228884689584 -0.083125131257786 0.934102755830292 0.965082221515143 -6.32575545335211
"K2C4" -0.0969732846451445 1.3424470958909 -0.082885695493762 0.934292123899023 0.965082221515143 -6.32577511223866
"P05786" -0.0969732846451454 1.70745143626579 -0.0806463968882041 0.936063353751022 0.965082221515143 -6.32595622556529
"TUBA1D" -0.0969732846451452 1.92357841852992 -0.0805472073419609 0.93614181785106 0.965082221515143 -6.32596413327873
"ACTC1" -0.096973284645145 3.22253436347275 -0.0783519492028125 0.937878543864999 0.965082221515143 -6.32613665593147
"P06396" 0.0679370251012203 2.12955510936767 0.0778122853215679 0.938305533083326 0.965082221515143 -6.32617833767895
"SeRPINA3-6" -0.096973284645145 3.94095215810859 -0.0744640324583783 0.940955119403458 0.965082221515143 -6.32643050825812
"SeRPINA3-1" -0.0969732846451445 4.09238033098127 -0.071016525191642 0.943683953663295 0.965082221515143 -6.32667856939749
"ACTA1" -0.0969732846451448 2.36297496839623 -0.070032498755121 0.944462974934465 0.965082221515143 -6.32674721748909
"KRT17" -0.0969732846451449 3.29428938584638 -0.0657567000141321 0.947848610416658 0.965082221515143 -6.32703438645373
"O95678" -0.0581826117315041 1.65030993373948 -0.0559118779283163 0.955647466002272 0.966397557616154 -6.32762683377731
"KRT10" -0.0969732846451448 2.1811305592477 -0.0532347645367275 0.957769007994582 0.966397557616154 -6.32777136032749
