"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -7.30624213695384 8.0225757952076 -28.9967780397326 8.86725775577891e-32 1.98626573729448e-29 56.7669240787047
"P13645" 6.9593849528552 3.28286207275526 18.8762477368647 1.15963821383218e-23 1.29879479949204e-21 41.7658002892833
"P02768" 8.28714548993509 3.53014814150613 18.1389913239754 6.10292264528592e-23 4.55684890848015e-21 40.3243142647776
"P63261" 5.47115674315555 2.73660694264868 17.4713001047222 2.87109537269793e-22 1.28625072696867e-20 38.9673751184406
"P60709" 5.47115674315555 2.73660694264868 17.4713001047222 2.87109537269793e-22 1.28625072696867e-20 38.9673751184406
"KRT1" 7.35161209125024 3.56366728071721 17.2651945550167 4.671823708723e-22 1.74414751792325e-20 38.5382987573015
"A2M" -6.34718919266694 7.04890177435079 -16.9664106353608 9.53465752503476e-22 3.05109040801112e-20 37.9075248228441
"AHSG" -5.91635083699393 6.45909865672305 -16.8546676579753 1.24793713391488e-21 3.49422397496167e-20 37.6689242135319
"TF" -5.78829242394744 6.62833730330571 -16.3388766469824 4.39594819497899e-21 1.09410266186144e-19 36.5482046590103
"KRT9" 6.52584735868677 3.05443713763583 15.5103264108642 3.52755195044343e-20 7.90171636899329e-19 34.679372996163
"SeRPINA1" -5.46068638161413 6.48107743762678 -15.1453632748285 9.04399212546566e-20 1.84168566918573e-18 33.8285197392787
"TLN1" 6.65560522104998 3.01286371076434 14.0313468446659 1.76168163803852e-18 3.28847239100525e-17 31.1225093653318
"AFP" -4.76596282543858 5.82309093743856 -13.7551323415261 3.76383389231338e-18 6.48537532213998e-17 30.4254942950001
"C3" -5.82241566575305 6.80831847634258 -13.5222993540493 7.18959514983635e-18 1.15033522397382e-16 29.8297177731999
"TUBB1" 4.38079934761432 1.59234073883428 12.198030264975 3.24708634378553e-16 4.84898227338639e-15 26.2950009512819
"P68366" 5.17150103657281 2.08258765709156 12.0037665512684 5.78648132719643e-16 8.101073858075e-15 25.7552621688924
"APOA1" -5.32003822702385 5.83793754773609 -11.5360698167168 2.37243342087471e-15 3.1260299192702e-14 24.4333616485076
"GC" -4.15788962307287 5.15266420639357 -11.2728321692132 5.31483271146065e-15 6.61401404092881e-14 23.6753918653138
"HBBF" -3.91169787723314 5.20161125704235 -10.8106356364206 2.238324849661e-14 2.63886719117928e-13 22.3203462445203
