"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"FLNA" -3.29365516617596 2.12980106281586 -6.16499951857123 1.47800016819493e-07 3.31072037675663e-05 7.32034614381853
"P07900" -2.8610255688469 1.58250706049443 -5.31114522969769 2.87037487022467e-06 0.000297958853244908 4.48780453244961
"P68366" -1.99958641543218 2.08258765709156 -5.21502981454219 3.99052035595858e-06 0.000297958853244908 4.17385357196837
"TUBB1" -1.48997816957249 1.59234073883428 -4.66156713869933 2.58667081590809e-05 0.00116017968622632 2.39738949929858
"C4A" 2.84090745284265 1.92122048006565 4.66121672881787 2.58968679961233e-05 0.00116017968622632 2.39628487820387
"TUBB" -2.30673131469562 1.6982673327166 -4.30329719246666 8.39047564368748e-05 0.00243145718135369 1.28442819226857
"P63261" -1.1948538811803 2.73660694264868 -4.28722778453844 8.83861421713334e-05 0.00243145718135369 1.23534441875303
"P60709" -1.1948538811803 2.73660694264868 -4.28722778453844 8.83861421713334e-05 0.00243145718135369 1.23534441875303
"P26038" -2.22252553645453 1.46456907161834 -4.25625028024226 9.76924760365322e-05 0.00243145718135369 1.14094391473015
"P68371" -2.03702438030291 1.75239805099663 -4.07039194339129 0.000177112876917322 0.00360605154055213 0.580925906459393
"ACTB" -1.1948538811803 4.69839418045775 -4.04299481188735 0.000193181332529578 0.00360605154055213 0.49934115035796
"ACTG1" -1.1948538811803 4.69839418045775 -4.04299481188735 0.000193181332529578 0.00360605154055213 0.49934115035796
"HSP90AB1" -2.47169006108058 1.74196872511885 -3.95980528929887 0.000251109662352201 0.00432681264360716 0.253222473515534
"P11142" -1.67439650591031 1.58731738439312 -3.89422245658817 0.000308302145987173 0.00493283433579477 0.0609539335260294
"P19823" 1.75678677914918 1.95199204990044 3.8022061623539 0.00041016199364412 0.00574233168991964 -0.206080067226656
"TUBA1B" -1.78739523509548 1.94726573425111 -3.80220256397815 0.000410166549279974 0.00574233168991964 -0.206090445793372
"P02768" 1.52684855692381 3.53014814150613 3.7550854657785 0.000474189483893868 0.00624814378777803 -0.341547805744526
"TLN1" -1.55741724453457 3.01286371076434 -3.68920237000471 0.000580035688660886 0.00697754894928478 -0.529453959939272
"TUBA1A" -2.47462952657535 1.56754237636975 -3.68258287426074 0.000591845669805405 0.00697754894928478 -0.548234791632964
"SeRPINA5" 1.49050711292797 4.45905450628944 3.54963976638865 0.000884098599970191 0.00990190431966614 -0.921475341287814
"FBLN1" 1.63888342075524 1.54404194159371 3.52618071353347 0.000948307476898282 0.0101152797535817 -0.98653650821563
"GPI" -1.46393747403258 1.26430635318619 -3.43128858790228 0.0012564295256294 0.0127927369882266 -1.24716211310134
"PKM" -1.30616133115441 1.62531181936248 -3.2845710714298 0.00192691360329264 0.0187664629190239 -1.64176090301577
"eZR" -1.79142938432677 1.43813744469939 -3.2168265047393 0.00234018002362568 0.0218416802205063 -1.82037374716586
"VTN" 1.2907556136082 1.52379352816746 3.17951373941205 0.00260223603145832 0.0233160348418666 -1.9177484942082
"KLKB1" 1.51535506160565 2.41074025784797 3.0595938392114 0.00364425764525731 0.0313966812514476 -2.22572808255985
"TUBB5" -2.30673131469562 2.17356382256763 -3.03980895735491 0.00384996389751965 0.0319404412238667 -2.27579317380746
"FeRMT3" -1.76326817335515 1.87093697072839 -3.02203986423114 0.00404394059279141 0.0323515247423313 -2.32057334429555
"TUBA4A" -1.99958641543218 2.95719026205517 -2.81988587941807 0.00699671024124064 0.0540435549668242 -2.81738132359062
"IGFBP2" 2.42857589668429 2.56489382133601 2.7445333450377 0.00853717525487539 0.0637442419030696 -2.99639655533686
"TUBB4B" -2.03702438030291 2.13742188267733 -2.71396634061291 0.00924694273325439 0.0664332065779878 -3.06802360088322
"P08238" -1.63491923022422 1.39869698286489 -2.70397571318562 0.00949045808256968 0.0664332065779878 -3.09130871256759
"CLeC3B" 1.5279967969156 2.59057900230815 2.68588957458015 0.00994636146016095 0.0675146959720016 -3.13330336606923
"CFH" 1.44702397631381 4.73751401127154 2.65454545037273 0.0107843961776793 0.0710501395235339 -3.20559476026738
"APOB" 2.14753197502074 1.88182983813944 2.61531501661558 0.0119244135240082 0.0763162465536525 -3.29519534673196
"KRT14" 1.51713334766546 2.68973372823354 2.58178332757463 0.0129850967449752 0.0807961575242902 -3.37099600284429
"HSPA8" -1.67439650591031 2.17635520350126 -2.54544464795874 0.0142312335807685 0.0843429076849036 -3.45231602214242
"TBA1B" -1.78739523509548 2.82043278934966 -2.54329730665619 0.0143081718394033 0.0843429076849036 -3.45709432141803
"HSP90AA1" -1.87053759221991 2.08255886911779 -2.52290902752918 0.0150577559271834 0.0864855725048485 -3.50231103026137
"HRG" 1.48896402968492 1.89807251096587 2.50490726061262 0.0157490773559847 0.0881948331935144 -3.54200591924784
"P09429" 1.28757411835331 1.37638461910149 2.47025552507867 0.0171614404949285 0.0937600651430243 -3.61780542614082
"KRT3" 1.36181906948866 1.74723983828543 2.31192258263664 0.0251826828769566 0.134307642010435 -3.95371832791669
"KRT16" 1.49233019042274 2.5364333186317 2.29956905403917 0.0259312779026373 0.135083866283506 -3.97919176274265
"P68133" 1.96446616803855 1.43737644173672 2.27703369317655 0.0273481516819886 0.139226954017396 -4.02538102588566
"SeRPINF1" -0.767360499283099 4.47146455055078 -2.21195593934949 0.0318340971012201 0.158463061126073 -4.15672011921662
"KRT6B" 2.07113986230086 2.49674812989069 2.17539457808167 0.0346301833481278 0.1635276932128 -4.22915806127503
"KRT6C" 2.01833957490689 2.43459542956762 2.16214621574764 0.0356955735707696 0.1635276932128 -4.25516436746253
"C7" -1.37149047683346 3.17167040737004 -2.16014674618716 0.0358588453125318 0.1635276932128 -4.25907804426971
"HMGB1" 1.28757411835331 1.57185030634935 2.15850058282114 0.0359937597964929 0.1635276932128 -4.26229795710719
"LDHA" -1.39348663230478 1.7039208865796 -2.15235101804951 0.036501717235 0.1635276932128 -4.27430884093666
"Q04695" 1.31884957270774 2.19354047619982 2.13972614786963 0.037564324991249 0.164988407804701 -4.29887899997216
"P01024" 1.45634224821194 2.35144295118694 2.10260511918798 0.0408475755580481 0.175958787019284 -4.3704351819226
"AHCY" -1.15873108387255 2.09427844707235 -2.04128218459507 0.0468221316103666 0.19583559096771 -4.4863733161292
"DSP" 1.6809842865674 1.57262262338927 2.03753775117575 0.0472103656797159 0.19583559096771 -4.49336012558214
"HBA1" 0.915334130649123 1.88969620876951 1.96972128376524 0.0547404207734082 0.222942804604426 -4.61803675956943
"JUP" 1.62737578403888 2.00926215738103 1.93138216076352 0.0594386068451337 0.237754427380535 -4.68694361213954
"KRT13" 0.985101677162894 1.73143413968201 1.89462496280213 0.064262939990121 0.244288910853053 -4.75192460694051
"HSPA1B" -1.15122840255207 2.38372430703903 -1.89402809104904 0.0643439541979022 0.244288910853053 -4.75297098389946
"HSPA1A" -1.15122840255207 2.38372430703903 -1.89402809104904 0.0643439541979022 0.244288910853053 -4.75297098389946
"P08727" 1.22211430966939 1.50896968556269 1.88459435233994 0.0656360051646049 0.245041085947858 -4.76947180116768
"MSN" -1.50357299190453 1.53889918459733 -1.85163797188375 0.0703242497416885 0.258239867903905 -4.82656137015027
"KRT77" 1.31201812565743 1.39040619227983 1.81246163361485 0.0762631366480994 0.275531332406037 -4.89329494280472
"FN1" 1.58744450580425 3.70447587721651 1.79439468049547 0.0791410864664493 0.276764432714142 -4.9236537292853
"PGK1" -1.08139190612891 1.58291474149192 -1.79353813941832 0.0792797614816794 0.276764432714142 -4.92508645647378
"F12AI" 1.00035899794627 4.20663262039804 1.78266709382124 0.0810575804178538 0.276764432714142 -4.94321861728474
"CHIA" -0.879385130628211 2.39387368752129 -1.77724431571982 0.0819568170458616 0.276764432714142 -4.95222754749593
"ALB" -0.397437115344601 8.0225757952076 -1.77231045113783 0.082782218713605 0.276764432714142 -4.96040344866448
"ACTA1" 1.96446616803855 2.36297496839623 1.73755155499737 0.0887961756082187 0.29185888659022 -5.01743909786428
"DDBX" -0.816219258636343 1.28981023007758 -1.73136954084161 0.0899029606014516 0.29185888659022 -5.02747943805547
"P04272" 1.29311942095511 1.39724294874033 1.72406271898321 0.0912258743261418 0.291922797843654 -5.03930607963316
"COL1A2" 0.784448614705752 1.47526700442031 1.69045957263131 0.0975192581388523 0.307666391874689 -5.09312814010151
"KRT73" 1.02419620275132 2.30143899068349 1.66012432676054 0.103504120540336 0.322012819458824 -5.14091163929518
"KRT72" 1.45624339918505 1.8955809951859 1.64358684180139 0.106891703584458 0.327996460313953 -5.16663783886738
"FGG" -1.1957293592489 1.96575190415694 -1.63312185844086 0.109081838978162 0.329200983561113 -5.18279912752281
"KRT19" 1.41443912106429 2.90798190215825 1.62773437725672 0.110223543603051 0.329200983561113 -5.19108327532575
"KRT7" 1.11445604023942 3.03408196945055 1.60567257058565 0.11500084333415 0.338949854037495 -5.22475209652423
"TF" -0.502676515603594 6.62833730330571 -1.59432193010402 0.117523450283734 0.33996999299069 -5.24191441612712
"HSPA1L" -0.972296414312471 1.53063619309499 -1.59050204022611 0.118382408273544 0.33996999299069 -5.2476656229297
"ADIPOQ" 0.591855212397508 2.79383412952405 1.57399590157607 0.122152621288981 0.346356799604199 -5.272374928842
"AGT" -0.668159953868664 5.26136865827236 -1.56562798335054 0.124100631993931 0.347481769583008 -5.28481308412231
"eNO1" -0.989462525479096 2.92915499641106 -1.50596045078941 0.138725320756461 0.379771236577844 -5.37176916576397
"KRT9" 0.563479833583763 3.05443713763583 1.50479762562275 0.139023399104389 0.379771236577844 -5.37343344363149
"KRT6A" 1.19970813378419 2.67428440972459 1.47492882391173 0.146855748121665 0.388210205744914 -5.41578263005021
"FGB" -0.972427563832056 2.88157124287961 -1.47190106672387 0.147668773512146 0.388210205744914 -5.42003241363774
"P02788" 0.619551945103334 1.45774634577412 1.46726879512506 0.148919514306429 0.388210205744914 -5.42651891812102
"LDHB" -0.912107512460353 1.70047910519436 -1.46680577580085 0.149044989705637 0.388210205744914 -5.42716625389578
"RBP4" 1.0185266041229 1.84808540045016 1.45517533697403 0.152224162078195 0.388604726370598 -5.44336538861388
